,EG
2017-10-02,197.71690368652344
2017-10-03,197.75135803222656
2017-10-04,196.3543701171875
2017-10-05,195.5352020263672
2017-10-06,194.03468322753906
2017-10-09,194.9056396484375
2017-10-10,193.8277130126953
2017-10-11,191.87887573242188
2017-10-12,195.5869140625
2017-10-13,207.40093994140625
2017-10-16,205.33995056152344
2017-10-17,203.85671997070312
2017-10-18,202.6494903564453
2017-10-19,204.5897216796875
2017-10-20,204.0895538330078
2017-10-23,203.38246154785156
2017-10-24,202.02854919433594
2017-10-25,200.87307739257812
2017-10-26,202.6063232421875
2017-10-27,204.33099365234375
2017-10-30,206.20228576660156
2017-10-31,204.76219177246094
2017-11-01,202.46835327148438
2017-11-02,196.1302032470703
2017-11-03,196.47511291503906
2017-11-06,197.009765625
2017-11-07,195.776611328125
2017-11-08,196.92355346679688
2017-11-09,199.01901245117188
2017-11-10,199.32086181640625
2017-11-13,197.08738708496094
2017-11-14,195.00051879882812
2017-11-15,197.708251953125
2017-11-16,194.43138122558594
2017-11-17,195.16436767578125
2017-11-20,193.02572631835938
2017-11-21,191.6546630859375
2017-11-22,189.05902099609375
2017-11-24,187.7051239013672
2017-11-27,192.36178588867188
2017-11-28,195.172119140625
2017-11-29,193.20315551757812
2017-11-30,190.4795379638672
2017-12-01,189.14373779296875
2017-12-04,185.240478515625
2017-12-05,184.01747131347656
2017-12-06,183.0719757080078
2017-12-07,182.46482849121094
2017-12-08,184.13023376464844
2017-12-11,188.63198852539062
2017-12-12,190.6703643798828
2017-12-13,188.15492248535156
2017-12-14,188.83148193359375
2017-12-15,192.6566619873047
2017-12-18,190.14993286132812
2017-12-19,189.85499572753906
2017-12-20,187.79925537109375
2017-12-21,189.4733123779297
2017-12-22,189.9157257080078
2017-12-26,190.59231567382812
2017-12-27,190.80911254882812
2017-12-28,193.05569458007812
2017-12-29,191.91941833496094
2018-01-02,187.76463317871094
2018-01-03,190.62696838378906
2018-01-04,192.3617706298828
2018-01-05,192.86488342285156
2018-01-08,189.7422332763672
2018-01-09,188.180908203125
2018-01-10,190.8004608154297
2018-01-11,193.26388549804688
2018-01-12,194.4695587158203
2018-01-16,193.21185302734375
2018-01-17,196.03086853027344
2018-01-18,193.6368408203125
2018-01-19,194.81649780273438
2018-01-22,199.93409729003906
2018-01-23,200.9229278564453
2018-01-24,201.20054626464844
2018-01-25,200.30706787109375
2018-01-26,198.84986877441406
2018-01-29,198.47691345214844
2018-01-30,197.28858947753906
2018-01-31,199.32693481445312
2018-02-01,199.62184143066406
2018-02-02,199.162109375
2018-02-05,195.53639221191406
2018-02-06,210.1866912841797
2018-02-07,213.9858856201172
2018-02-08,209.09376525878906
2018-02-09,207.974853515625
2018-02-12,207.72329711914062
2018-02-13,206.59568786621094
2018-02-14,210.42088317871094
2018-02-15,210.2474365234375
2018-02-16,211.00204467773438
2018-02-20,211.00204467773438
2018-02-21,208.12228393554688
2018-02-22,207.6539306640625
2018-02-23,210.72447204589844
2018-02-26,209.5882110595703
2018-02-27,210.93264770507812
2018-02-28,208.3825225830078
2018-03-01,206.76914978027344
2018-03-02,207.3069610595703
2018-03-05,220.6214141845703
2018-03-06,222.05999755859375
2018-03-07,222.8184814453125
2018-03-08,224.33551025390625
2018-03-09,228.96505737304688
2018-03-12,227.89263916015625
2018-03-13,228.2239227294922
2018-03-14,227.00335693359375
2018-03-15,226.13153076171875
2018-03-16,227.90139770507812
2018-03-19,229.0086669921875
2018-03-20,226.90745544433594
2018-03-21,226.3232879638672
2018-03-22,220.8306884765625
2018-03-23,216.76785278320312
2018-03-26,220.0983123779297
2018-03-27,218.57257080078125
2018-03-28,225.22476196289062
