,WDC
2015-09-18,64.46504974365234
2015-09-21,64.79643249511719
2015-09-22,61.219303131103516
2015-09-23,60.70097351074219
2015-09-24,60.6669921875
2015-09-25,59.87678909301758
2015-09-28,57.99050521850586
2015-09-29,58.942138671875
2015-09-30,67.98845672607422
2015-10-01,66.6618881225586
2015-10-02,67.98845672607422
2015-10-05,70.29923248291016
2015-10-06,71.05238342285156
2015-10-07,72.31046295166016
2015-10-08,72.97804260253906
2015-10-09,73.60279846191406
2015-10-12,72.7555160522461
2015-10-13,72.2077865600586
2015-10-14,71.1978759765625
2015-10-15,69.42626190185547
2015-10-16,68.05691528320312
2015-10-19,68.87853240966797
2015-10-20,64.06868743896484
2015-10-21,61.141666412353516
2015-10-22,59.875030517578125
2015-10-23,59.344390869140625
2015-10-26,57.47866439819336
2015-10-27,57.487213134765625
2015-10-28,57.78676223754883
2015-10-29,58.043514251708984
2015-10-30,57.18766784667969
2015-11-02,58.06062698364258
2015-11-03,58.65116500854492
2015-11-04,58.66828536987305
2015-11-05,58.06918716430664
2015-11-06,58.103424072265625
2015-11-09,57.007930755615234
2015-11-10,54.41472244262695
2015-11-11,53.57599639892578
2015-11-12,53.40482711791992
2015-11-13,51.54764175415039
2015-11-16,52.762943267822266
2015-11-17,53.45616912841797
2015-11-18,54.979576110839844
2015-11-19,53.071044921875
2015-11-20,52.814292907714844
2015-11-23,52.48050308227539
2015-11-24,52.9169921875
2015-11-25,52.745819091796875
2015-11-27,52.8314094543457
2015-11-30,53.41337966918945
2015-12-01,54.71426010131836
2015-12-02,53.40482711791992
2015-12-03,54.448951721191406
2015-12-04,55.27056884765625
2015-12-07,54.234989166259766
2015-12-08,54.77417755126953
2015-12-09,53.875545501708984
2015-12-10,54.2178840637207
2015-12-11,53.13095474243164
2015-12-14,50.82016372680664
2015-12-15,52.10393524169922
2015-12-16,52.17240524291992
2015-12-17,50.83728790283203
2015-12-18,50.37512969970703
2015-12-21,50.54629898071289
2015-12-22,51.08547592163086
2015-12-23,51.62466049194336
2015-12-24,52.39492416381836
2015-12-28,51.6075439453125
2015-12-29,52.6949348449707
2015-12-30,52.7208251953125
2015-12-31,51.823299407958984
2016-01-04,52.12535095214844
2016-01-05,51.900970458984375
2016-01-06,50.74454116821289
2016-01-07,49.90743637084961
2016-01-08,47.80170440673828
2016-01-11,45.5665283203125
2016-01-12,45.18680953979492
2016-01-13,43.14149475097656
2016-01-14,42.502872467041016
2016-01-15,40.76823425292969
2016-01-19,40.086463928222656
2016-01-20,39.51689147949219
2016-01-21,37.92033004760742
2016-01-22,38.619361877441406
2016-01-25,36.65171432495117
2016-01-26,39.1285285949707
2016-01-27,37.687313079833984
2016-01-28,39.43057632446289
2016-01-29,41.406856536865234
2016-02-01,42.45108413696289
2016-02-02,40.466182708740234
2016-02-03,41.45863723754883
2016-02-04,42.40793991088867
2016-02-05,39.57728958129883
2016-02-08,36.168434143066406
2016-02-09,34.67543411254883
2016-02-10,34.71859359741211
2016-02-11,34.60639572143555
2016-02-12,35.4521369934082
2016-02-16,36.91925048828125
2016-02-17,37.359378814697266
2016-02-18,38.3259391784668
2016-02-19,38.07566833496094
2016-02-22,39.78441619873047
2016-02-23,36.91061782836914
2016-02-24,37.90306854248047
2016-02-25,37.96347427368164
2016-02-26,37.87717819213867
2016-02-29,37.566497802734375
2016-03-01,39.78441619873047
2016-03-02,40.86316680908203
2016-03-03,41.99369430541992
2016-03-04,42.166297912597656
2016-03-07,43.210540771484375
2016-03-08,40.07783126831055
2016-03-09,40.94084167480469
2016-03-10,41.32918930053711
2016-03-11,43.046566009521484
2016-03-14,41.58808898925781
2016-03-15,39.361541748046875
2016-03-16,39.810306549072266
2016-03-17,39.6981201171875
2016-03-18,42.30438232421875
2016-03-21,42.53739547729492
2016-03-22,44.30655288696289
2016-03-23,42.04547882080078
2016-03-24,41.527679443359375
2016-03-28,41.49315643310547
2016-03-29,41.70028305053711
2016-03-30,40.23528289794922
2016-03-31,41.19450378417969
2016-04-01,40.63640594482422
2016-04-04,40.348636627197266
2016-04-05,38.48250198364258
2016-04-06,38.997005462646484
2016-04-07,37.715118408203125
2016-04-08,37.58431625366211
2016-04-11,38.569705963134766
2016-04-12,38.342987060546875
2016-04-13,39.06675720214844
2016-04-14,36.468116760253906
2016-04-15,35.308326721191406
2016-04-18,35.77922439575195
2016-04-19,36.03211212158203
2016-04-20,37.74127960205078
2016-04-21,37.802330017089844
2016-04-22,38.0726432800293
2016-04-25,37.793601989746094
2016-04-26,38.84003829956055
2016-04-27,40.182952880859375
2016-04-28,40.16551208496094
2016-04-29,35.63969421386719
2016-05-02,35.622257232666016
2016-05-03,34.322933197021484
2016-05-04,34.5322265625
2016-05-05,33.25035095214844
2016-05-06,32.50040817260742
2016-05-09,32.23008346557617
2016-05-10,33.459632873535156
2016-05-11,32.038230895996094
2016-05-12,31.706859588623047
2016-05-13,30.90460205078125
2016-05-16,31.017963409423828
2016-05-17,32.04695510864258
2016-05-18,33.538116455078125
2016-05-19,33.459632873535156
2016-05-20,34.497344970703125
2016-05-23,35.282161712646484
2016-05-24,36.869258880615234
2016-05-25,38.49995040893555
2016-05-26,38.700504302978516
2016-05-27,39.232444763183594
2016-05-31,40.584083557128906
2016-06-01,41.53459548950195
2016-06-02,42.188621520996094
2016-06-03,41.65666961669922
2016-06-06,41.87467956542969
2016-06-07,43.374568939208984
2016-06-08,42.955989837646484
2016-06-09,42.00548553466797
2016-06-10,40.854408264160156
2016-06-13,40.35736083984375
2016-06-14,40.462005615234375
2016-06-15,40.33991241455078
2016-06-16,40.47944259643555
2016-06-17,40.627685546875
2016-06-20,41.51715850830078
2016-06-21,42.615901947021484
2016-06-22,42.162445068359375
2016-06-23,44.30763244628906
2016-06-24,41.717716217041016
2016-06-27,36.78204345703125
2016-06-28,38.465065002441406
2016-06-29,40.22028732299805
2016-06-30,41.684444427490234
2016-07-01,40.9876594543457
2016-07-05,39.444114685058594
2016-07-06,40.09681701660156
2016-07-07,42.037261962890625
2016-07-08,43.527870178222656
2016-07-11,43.64254379272461
2016-07-12,45.724117279052734
2016-07-13,45.874061584472656
2016-07-14,45.64474105834961
2016-07-15,45.56535339355469
2016-07-18,45.97108840942383
2016-07-19,45.15962600708008
2016-07-20,45.75057601928711
2016-07-21,45.55653381347656
2016-07-22,46.218055725097656
2016-07-25,45.92698287963867
2016-07-26,47.399967193603516
2016-07-27,47.13535690307617
2016-07-28,47.36469268798828
2016-07-29,41.90495681762695
2016-08-01,40.63483810424805
2016-08-02,39.73517990112305
2016-08-03,39.49702835083008
2016-08-04,39.07366943359375
2016-08-05,40.0615234375
2016-08-08,39.999786376953125
2016-08-09,39.93804168701172
2016-08-10,38.07697296142578
2016-08-11,38.7120246887207
2016-08-12,39.082481384277344
2016-08-15,40.43197250366211
2016-08-16,40.37905502319336
2016-08-17,39.45292663574219
2016-08-18,40.405521392822266
2016-08-19,41.10231018066406
2016-08-22,40.69658279418945
2016-08-23,41.01411437988281
2016-08-24,40.05270767211914
2016-08-25,40.96119689941406
2016-08-26,41.39337921142578
2016-08-29,41.525691986083984
2016-08-30,41.54332733154297
2016-08-31,41.16405487060547
2016-09-01,40.85535430908203
2016-09-02,41.42866516113281
2016-09-06,41.94022750854492
2016-09-07,47.01187515258789
2016-09-08,47.16182327270508
2016-09-09,45.50360870361328
2016-09-12,46.138675689697266
2016-09-13,46.19159698486328
2016-09-14,45.85642623901367
2016-09-15,46.99423599243164
2016-09-16,48.4583854675293
2016-09-19,48.18496322631836
2016-09-20,47.99974060058594
2016-09-21,49.507999420166016
2016-09-22,49.45508575439453
2016-09-23,49.331600189208984
2016-09-26,50.28418731689453
2016-09-27,51.91593551635742
2016-09-28,51.604576110839844
2016-09-29,51.83586883544922
2016-09-30,52.01378631591797
2016-10-03,52.36072540283203
2016-10-04,52.20949172973633
2016-10-05,52.69875717163086
2016-10-06,51.64015197753906
2016-10-07,52.19169616699219
2016-10-10,52.716552734375
2016-10-11,50.3680534362793
2016-10-12,50.19903564453125
2016-10-13,49.176025390625
2016-10-14,48.78459930419922
2016-10-17,47.307899475097656
2016-10-18,48.028465270996094
2016-10-19,47.681522369384766
2016-10-20,47.91281509399414
2016-10-21,47.210052490234375
2016-10-24,47.61035919189453
2016-10-25,47.70821762084961
2016-10-26,50.27909851074219
2016-10-27,53.001220703125
2016-10-28,52.67207336425781
2016-10-31,51.987091064453125
2016-11-01,50.91959762573242
2016-11-02,49.10485076904297
2016-11-03,49.051475524902344
2016-11-04,48.944725036621094
2016-11-07,51.30211639404297
2016-11-08,50.93738555908203
2016-11-09,51.133094787597656
2016-11-10,50.56376647949219
2016-11-11,52.38740539550781
2016-11-14,52.91225814819336
2016-11-15,53.11686706542969
2016-11-16,52.95673370361328
2016-11-17,52.307342529296875
2016-11-18,54.20215606689453
2016-11-21,54.415645599365234
2016-11-22,54.43343734741211
2016-11-23,54.30000686645508
2016-11-25,54.78926467895508
2016-11-28,55.394187927246094
2016-11-29,55.75001907348633
2016-11-30,56.63071060180664
2016-12-01,54.80706787109375
2016-12-02,56.35493469238281
2016-12-05,55.23406982421875
2016-12-06,56.79973220825195
2016-12-07,61.514495849609375
2016-12-08,60.7138786315918
2016-12-09,60.23350143432617
2016-12-12,58.97030258178711
2016-12-13,60.40253448486328
2016-12-14,59.75312805175781
2016-12-15,60.39363098144531
2016-12-16,59.76202392578125
2016-12-19,60.811737060546875
2016-12-20,61.336585998535156
2016-12-21,61.57677459716797
2016-12-22,62.43967056274414
2016-12-23,62.581993103027344
2016-12-27,62.421871185302734
2016-12-28,62.009727478027344
2016-12-29,61.310890197753906
2016-12-30,60.88081741333008
2017-01-03,62.206844329833984
2017-01-04,63.201377868652344
2017-01-05,63.2103385925293
2017-01-06,63.058006286621094
2017-01-09,64.38404083251953
2017-01-10,63.47015380859375
2017-01-11,64.01669311523438
2017-01-12,63.389522552490234
2017-01-13,63.613521575927734
2017-01-17,64.16901397705078
2017-01-18,65.62046813964844
2017-01-19,64.21379852294922
2017-01-20,65.07393646240234
2017-01-23,65.09186553955078
2017-01-24,68.10230255126953
2017-01-25,71.69510650634766
2017-01-26,70.3063735961914
2017-01-27,71.24713134765625
2017-01-30,70.97834777832031
