,AMAT
2018-03-15,55.698177337646484
2018-03-16,54.92201614379883
2018-03-19,54.05348205566406
2018-03-20,54.727989196777344
2018-03-21,56.1601676940918
2018-03-22,54.47850799560547
2018-03-23,51.17063522338867
2018-03-26,54.02576446533203
2018-03-27,51.22605514526367
2018-03-28,49.950958251953125
2018-03-29,51.38314437866211
2018-04-02,48.86988830566406
2018-04-03,49.877037048339844
2018-04-04,51.336944580078125
2018-04-05,50.163475036621094
2018-04-06,48.3616943359375
2018-04-09,48.9900016784668
2018-04-10,50.63471221923828
2018-04-11,50.77330780029297
2018-04-12,52.14081954956055
2018-04-13,51.80817794799805
2018-04-16,52.54736328125
2018-04-17,53.46211624145508
2018-04-18,50.57003402709961
2018-04-19,47.299102783203125
2018-04-20,47.206695556640625
2018-04-23,46.365867614746094
2018-04-24,45.016841888427734
2018-04-25,45.4049072265625
2018-04-26,46.65230178833008
2018-04-27,45.64515686035156
2018-04-30,45.89462661743164
2018-05-01,47.040382385253906
2018-05-02,46.68927001953125
2018-05-03,46.855567932128906
2018-05-04,48.56496047973633
2018-05-07,48.592689514160156
2018-05-08,49.3873176574707
2018-05-09,50.015628814697266
2018-05-10,51.3092155456543
2018-05-11,50.671669006347656
2018-05-14,51.059749603271484
2018-05-15,49.97867202758789
2018-05-16,50.97658920288086
2018-05-17,49.858551025390625
2018-05-18,45.746795654296875
2018-05-21,46.19954299926758
2018-05-22,46.430545806884766
2018-05-23,46.6995735168457
2018-05-24,47.098480224609375
2018-05-25,47.172691345214844
2018-05-29,48.258087158203125
2018-05-30,47.85917663574219
2018-05-31,47.107765197753906
2018-06-01,48.462181091308594
2018-06-04,48.508567810058594
2018-06-05,49.08373260498047
2018-06-06,48.73119354248047
2018-06-07,47.54376983642578
2018-06-08,47.45101547241211
2018-06-11,46.28212356567383
2018-06-12,47.181968688964844
2018-06-13,47.293296813964844
2018-06-14,46.096580505371094
2018-06-15,45.744075775146484
2018-06-18,44.82564163208008
2018-06-19,45.03902053833008
