,ARE
2018-04-04,101.13764190673828
2018-04-05,100.11348724365234
2018-04-06,99.21941375732422
2018-04-09,98.62606811523438
2018-04-10,98.91867065429688
2018-04-11,98.4228515625
2018-04-12,98.17903137207031
2018-04-13,99.2031478881836
2018-04-16,99.91840362548828
2018-04-17,100.99132537841797
2018-04-18,101.04010772705078
2018-04-19,99.21129608154297
2018-04-20,98.59355926513672
2018-04-23,98.65045928955078
2018-04-24,98.88616943359375
2018-04-25,99.04871368408203
2018-04-26,100.22730255126953
2018-04-27,101.48714447021484
2018-04-30,101.25141143798828
2018-05-01,105.1854248046875
2018-05-02,103.6898422241211
2018-05-03,103.00709533691406
2018-05-04,104.48640441894531
2018-05-07,105.5024185180664
2018-05-08,104.31571197509766
2018-05-09,105.534912109375
2018-05-10,105.14478302001953
2018-05-11,104.07185363769531
2018-05-14,103.21031188964844
2018-05-15,100.91004943847656
2018-05-16,99.68270874023438
2018-05-17,98.95930480957031
2018-05-18,98.52852630615234
2018-05-21,100.32484436035156
2018-05-22,100.62557220458984
2018-05-23,102.25930786132812
2018-05-24,100.63368225097656
2018-05-25,100.38172149658203
2018-05-29,101.10511016845703
2018-05-30,101.86917877197266
2018-05-31,101.53591918945312
2018-06-01,102.07237243652344
2018-06-04,103.39723205566406
2018-06-05,102.90955352783203
2018-06-06,102.67383575439453
2018-06-07,102.69009399414062
2018-06-08,103.38098907470703
2018-06-11,101.82037353515625
2018-06-12,103.08023071289062
2018-06-13,102.1698989868164
2018-06-14,103.76300048828125
2018-06-15,103.90928649902344
2018-06-18,102.73884582519531
2018-06-19,102.70635986328125
2018-06-20,102.90142059326172
2018-06-21,102.74698638916016
2018-06-22,103.29157257080078
2018-06-25,102.36499786376953
2018-06-26,102.088623046875
2018-06-27,101.45462799072266
2018-06-28,103.46095275878906
2018-06-29,103.32173156738281
2018-07-02,102.92047882080078
2018-07-03,103.71480560302734
2018-07-05,104.53372955322266
2018-07-06,104.55010223388672
2018-07-09,104.98411560058594
2018-07-10,104.3125991821289
2018-07-11,104.84490203857422
2018-07-12,104.76300811767578
2018-07-13,104.74664306640625
2018-07-16,103.96866607666016
2018-07-17,102.99417877197266
2018-07-18,102.8876953125
2018-07-19,103.9359359741211
2018-07-20,102.1097640991211
2018-07-23,101.17620849609375
2018-07-24,100.61933898925781
2018-07-25,101.00423431396484
2018-07-26,100.97147369384766
2018-07-27,100.35729217529297
2018-07-30,100.57839965820312
2018-07-31,104.36174774169922
2018-08-01,104.95953369140625
2018-08-02,103.2234878540039
2018-08-03,104.37812805175781
2018-08-06,104.99234008789062
2018-08-07,104.3945083618164
2018-08-08,103.87040710449219
2018-08-09,103.56741333007812
2018-08-10,102.53557586669922
2018-08-13,101.6921157836914
2018-08-14,101.95415496826172
2018-08-15,103.78851318359375
2018-08-16,105.32807159423828
2018-08-17,106.26162719726562
2018-08-20,105.15609741210938
2018-08-21,104.2389144897461
2018-08-22,103.60833740234375
2018-08-23,103.60833740234375
2018-08-24,103.69841766357422
2018-08-27,103.4691390991211
2018-08-28,105.10696411132812
2018-08-29,104.88585662841797
2018-08-30,104.2880630493164
2018-08-31,105.10696411132812
2018-09-04,103.16616821289062
2018-09-05,104.4190673828125
2018-09-06,105.31988525390625
2018-09-07,103.71480560302734
2018-09-10,104.32080078125
2018-09-11,104.78758239746094
2018-09-12,104.52552795410156
2018-09-13,104.83670806884766
2018-09-14,103.99324798583984
2018-09-17,104.47639465332031
2018-09-18,103.67385864257812
2018-09-19,102.72392272949219
2018-09-20,103.37906646728516
2018-09-21,103.83766174316406
2018-09-24,101.8313217163086
2018-09-25,100.92231750488281
2018-09-26,100.25902557373047
2018-09-27,101.27397918701172
2018-09-28,103.79902648925781
2018-10-01,101.7938461303711
2018-10-02,101.82685089111328
2018-10-03,101.48028564453125
2018-10-04,101.21623229980469
2018-10-05,101.39777374267578
2018-10-08,103.43596649169922
2018-10-09,103.93930053710938
2018-10-10,102.90785217285156
2018-10-11,98.84795379638672
2018-10-12,99.05426025390625
2018-10-15,99.89594268798828
2018-10-16,101.86811828613281
2018-10-17,101.14196014404297
2018-10-18,100.49832153320312
2018-10-19,101.01817321777344
2018-10-22,99.48334503173828
2018-10-23,101.08418273925781
2018-10-24,101.69481658935547
2018-10-25,102.86659240722656
2018-10-26,99.92069244384766
2018-10-29,101.65357208251953
2018-10-30,102.28070831298828
2018-10-31,100.86138153076172
2018-11-01,100.91091918945312
2018-11-02,99.1202621459961
2018-11-05,101.1584701538086
2018-11-06,101.69481658935547
2018-11-07,103.4029312133789
2018-11-08,103.2379150390625
2018-11-09,102.7015380859375
2018-11-12,102.26421356201172
2018-11-13,101.7608413696289
2018-11-14,102.18994140625
2018-11-15,100.53132629394531
2018-11-16,101.35650634765625
2018-11-19,100.74585723876953
2018-11-20,99.64839935302734
2018-11-21,100.63036346435547
2018-11-23,100.33329010009766
2018-11-26,101.30699920654297
2018-11-27,101.08418273925781
2018-11-28,102.50350189208984
2018-11-29,100.98518371582031
2018-11-30,102.73454284667969
2018-12-03,103.88980865478516
2018-12-04,101.94239044189453
2018-12-06,104.86351013183594
2018-12-07,104.11259460449219
2018-12-10,103.77428436279297
2018-12-11,102.84180450439453
2018-12-12,100.08573913574219
2018-12-13,101.4968032836914
2018-12-14,101.08418273925781
2018-12-17,97.98979949951172
2018-12-18,99.21929168701172
2018-12-19,98.97174072265625
2018-12-20,96.89229583740234
2018-12-21,95.17594146728516
2018-12-24,91.00054168701172
2018-12-26,94.04544830322266
2018-12-27,94.4745101928711
2018-12-28,94.82408142089844
2018-12-31,95.90596008300781
2019-01-02,92.68524169921875
2019-01-03,93.45091247558594
2019-01-04,94.40796661376953
2019-01-07,94.99051666259766
2019-01-08,97.19590759277344
2019-01-09,97.620361328125
2019-01-10,99.50950622558594
2019-01-11,100.15031433105469
2019-01-14,99.19328308105469
2019-01-15,100.64134216308594
2019-01-16,101.4486083984375
2019-01-17,102.15599822998047
2019-01-18,103.41265869140625
2019-01-22,103.51254272460938
2019-01-23,103.02983856201172
2019-01-24,102.57212829589844
2019-01-25,104.36973571777344
2019-01-28,105.08544158935547
2019-01-29,106.5917739868164
2019-01-30,107.65702056884766
2019-01-31,109.61276245117188
2019-02-01,108.72229766845703
2019-02-04,108.97193908691406
2019-02-05,107.98159790039062
2019-02-06,107.36573028564453
2019-02-07,110.45331573486328
2019-02-08,110.1620101928711
2019-02-11,111.2688980102539
2019-02-12,110.32013702392578
2019-02-13,111.94300842285156
2019-02-14,111.42701721191406
2019-02-15,112.2342758178711
2019-02-19,112.9250259399414
2019-02-20,112.32583618164062
2019-02-21,112.75859832763672
2019-02-22,113.78221893310547
2019-02-25,113.19966888427734
2019-02-26,113.28287506103516
2019-02-27,112.3091812133789
2019-02-28,113.09149169921875
2019-03-01,113.1081314086914
2019-03-04,113.98194885253906
2019-03-05,114.3481216430664
2019-03-06,114.47297668457031
2019-03-07,113.76557159423828
2019-03-08,114.51461029052734
2019-03-11,116.00428009033203
2019-03-12,116.63677978515625
2019-03-13,117.6270980834961
2019-03-14,118.05988311767578
2019-03-15,116.9446792602539
2019-03-18,116.6950454711914
2019-03-19,116.25396728515625
2019-03-20,116.7532730102539
2019-03-21,118.55089569091797
2019-03-22,117.94340515136719
2019-03-25,117.9017562866211
2019-03-26,119.69937133789062
2019-03-27,118.93370056152344
2019-03-28,120.01461791992188
2019-03-29,119.45320129394531
2019-04-01,118.59855651855469
2019-04-02,120.01461791992188
2019-04-03,120.26598358154297
2019-04-04,119.93083190917969
2019-04-05,120.63468933105469
