,JCI
2018-07-06,29.75467872619629
2018-07-09,30.029544830322266
2018-07-10,29.952241897583008
2018-07-11,29.342370986938477
2018-07-12,29.8405704498291
2018-07-13,30.166980743408203
2018-07-16,29.857749938964844
2018-07-17,30.330188751220703
2018-07-18,30.42466163635254
2018-07-19,30.794023513793945
2018-07-20,31.043123245239258
2018-07-23,30.544921875
2018-07-24,30.51057243347168
2018-07-25,30.459028244018555
2018-07-26,30.682361602783203
2018-07-27,30.974414825439453
2018-07-30,31.318002700805664
2018-07-31,32.219913482666016
2018-08-01,32.365936279296875
2018-08-02,32.47761154174805
2018-08-03,32.589271545410156
2018-08-06,32.374534606933594
2018-08-07,32.52055358886719
2018-08-08,32.056705474853516
2018-08-09,32.06529998779297
2018-08-10,31.695955276489258
2018-08-13,31.48120880126953
2018-08-14,31.773256301879883
2018-08-15,32.254276275634766
2018-08-16,32.31440353393555
2018-08-17,32.85555648803711
2018-08-20,33.27644348144531
2018-08-21,34.36732864379883
2018-08-22,34.023746490478516
2018-08-23,33.62003707885742
2018-08-24,33.68016815185547
2018-08-27,34.118228912353516
2018-08-28,33.43965530395508
2018-08-29,33.001583099365234
2018-08-30,32.34017562866211
2018-08-31,32.443241119384766
2018-09-04,32.443241119384766
2018-09-05,32.87273406982422
2018-09-06,33.353763580322266
2018-09-07,32.89850616455078
2018-09-10,32.984405517578125
2018-09-11,32.297218322753906
2018-09-12,32.271461486816406
2018-09-13,32.589271545410156
2018-09-14,32.64080810546875
2018-09-17,31.9965877532959
2018-09-18,31.876340866088867
2018-09-19,31.78183937072754
2018-09-20,32.09965515136719
2018-09-21,31.969911575317383
2018-09-24,31.347118377685547
2018-09-25,30.949228286743164
2018-09-26,30.86273765563965
2018-09-27,30.75028419494629
2018-09-28,30.274532318115234
2018-10-01,30.430233001708984
2018-10-02,30.7675838470459
2018-10-03,30.957881927490234
2018-10-04,31.459577560424805
2018-10-05,31.407682418823242
2018-10-08,31.580673217773438
2018-10-09,30.28318214416504
2018-10-10,29.591201782226562
2018-10-11,29.17600440979004
2018-10-12,28.509963989257812
2018-10-15,28.674314498901367
2018-10-16,29.40090560913086
2018-10-17,29.28845977783203
2018-10-18,28.70891571044922
2018-10-19,28.484020233154297
2018-10-22,28.250469207763672
2018-10-23,28.181272506713867
2018-10-24,27.1346378326416
2018-10-25,27.76607894897461
2018-10-26,27.091388702392578
2018-10-29,27.05678939819336
2018-10-30,27.515228271484375
2018-10-31,27.653627395629883
2018-11-01,28.838659286499023
2018-11-02,28.112071990966797
2018-11-05,28.61376953125
2018-11-06,28.769458770751953
2018-11-07,28.890565872192383
2018-11-08,29.824745178222656
2018-11-09,29.712297439575195
2018-11-12,29.573898315429688
2018-11-13,30.084245681762695
2018-11-14,28.89920997619629
2018-11-15,28.99435806274414
2018-11-16,28.925161361694336
2018-11-19,28.933805465698242
2018-11-20,28.838659286499023
2018-11-21,28.76080894470215
2018-11-23,28.881906509399414
2018-11-26,29.219255447387695
2018-11-27,28.977060317993164
2018-11-28,29.4095516204834
2018-11-29,29.643098831176758
2018-11-30,30.084245681762695
2018-12-03,30.30913734436035
2018-12-04,29.31440544128418
2018-12-06,28.881906509399414
2018-12-07,28.250469207763672
2018-12-10,27.982322692871094
2018-12-11,27.878524780273438
2018-12-12,28.198570251464844
2018-12-13,27.80067253112793
2018-12-14,27.87915802001953
2018-12-17,27.08559799194336
2018-12-18,27.722192764282227
2018-12-19,26.88503646850586
2018-12-20,26.588537216186523
2018-12-21,25.699058532714844
2018-12-24,24.861894607543945
2018-12-26,25.93450927734375
2018-12-27,25.908348083496094
2018-12-28,25.82114028930664
2018-12-31,25.856019973754883
2019-01-02,26.597261428833008
2019-01-03,26.169963836669922
2019-01-04,27.21640968322754
2019-01-07,27.66114616394043
2019-01-08,27.852994918823242
2019-01-09,27.87915802001953
2019-01-10,27.800674438476562
2019-01-11,28.062292098999023
2019-01-14,28.22797203063965
2019-01-15,27.652423858642578
2019-01-16,27.617542266845703
2019-01-17,28.13205337524414
2019-01-18,28.541906356811523
2019-01-22,28.384939193725586
2019-01-23,27.940204620361328
2019-01-24,28.140777587890625
2019-01-25,28.524465560913086
2019-01-28,28.507028579711914
2019-01-29,28.620393753051758
2019-01-30,28.855846405029297
2019-01-31,29.448833465576172
2019-02-01,28.99536895751953
2019-02-04,29.492435455322266
2019-02-05,29.68428611755371
2019-02-06,29.754047393798828
2019-02-07,29.55348014831543
2019-02-08,29.649398803710938
2019-02-11,29.710453033447266
2019-02-12,30.181344985961914
2019-02-13,30.373199462890625
2019-02-14,30.216228485107422
2019-02-15,30.608642578125
2019-02-19,30.442960739135742
2019-02-20,30.89642906188965
2019-02-21,31.035951614379883
2019-02-22,31.192914962768555
2019-02-25,31.245241165161133
2019-02-26,31.027223587036133
2019-02-27,30.9661808013916
2019-02-28,30.756900787353516
2019-03-01,30.77434539794922
2019-03-04,30.791778564453125
2019-03-05,30.722017288208008
2019-03-06,30.66097640991211
2019-03-07,31.1057071685791
2019-03-08,31.288843154907227
2019-03-11,31.515567779541016
2019-03-12,31.471969604492188
2019-03-13,31.628944396972656
2019-03-14,31.402191162109375
2019-03-15,31.47248077392578
2019-03-18,31.99072265625
2019-03-19,31.94679832458496
2019-03-20,31.955585479736328
2019-03-21,32.465049743652344
2019-03-22,31.735992431640625
2019-03-25,31.762346267700195
2019-03-26,32.11369705200195
2019-03-27,32.03464889526367
2019-03-28,32.412357330322266
2019-03-29,32.447479248046875
2019-04-01,32.4299201965332
2019-04-02,32.06099319458008
2019-04-03,31.63057518005371
2019-04-04,31.74477195739746
2019-04-05,31.788686752319336
2019-04-08,31.973163604736328
2019-04-09,31.507614135742188
2019-04-10,31.463695526123047
2019-04-11,31.454910278320312
2019-04-12,31.692075729370117
2019-04-15,32.148834228515625
2019-04-16,32.37721252441406
2019-04-17,32.140052795410156
2019-04-18,32.28059387207031
2019-04-22,32.19275665283203
2019-04-23,32.465049743652344
2019-04-24,32.58802032470703
2019-04-25,32.19275665283203
2019-04-26,32.667076110839844
2019-04-29,32.78126525878906
2019-04-30,32.93938446044922
2019-05-01,34.51167678833008
2019-05-02,34.2393913269043
2019-05-03,34.76641082763672
2019-05-06,34.77518844604492
2019-05-07,34.4765510559082
2019-05-08,34.59074020385742
2019-05-09,34.77518844604492
2019-05-10,34.85425567626953
2019-05-13,34.34478759765625
2019-05-14,34.4765510559082
2019-05-15,34.30086898803711
2019-05-16,34.415061950683594
2019-05-17,34.213035583496094
2019-05-20,34.33600997924805
2019-05-21,34.68736267089844
2019-05-22,34.4414176940918
2019-05-23,34.046142578125
2019-05-24,33.82655334472656
2019-05-28,33.78261947631836
2019-05-29,33.598167419433594
2019-05-30,34.195472717285156
2019-05-31,33.835330963134766
2019-06-03,34.2569580078125
2019-06-04,34.74006271362305
2019-06-05,34.661006927490234
2019-06-06,34.652225494384766
2019-06-07,34.35358428955078
2019-06-10,34.090065002441406
2019-06-11,34.14276885986328
2019-06-12,34.72249984741211
2019-06-13,35.372493743896484
2019-06-14,35.0914192199707
2019-06-17,34.40626907348633
2019-06-18,34.8366813659668
2019-06-19,34.30965805053711
2019-06-20,34.87181854248047
2019-06-21,35.446529388427734
2019-06-24,35.7559928894043
2019-06-25,35.87977981567383
2019-06-26,35.9151496887207
2019-06-27,35.83556365966797
2019-06-28,36.525230407714844
2019-07-01,37.03805160522461
2019-07-02,36.8170051574707
2019-07-03,36.984989166259766
2019-07-05,37.02036666870117
2019-07-08,36.8612174987793
2019-07-09,36.82585144042969
2019-07-10,36.54290771484375
2019-07-11,36.54290771484375
2019-07-12,36.72859573364258
2019-07-15,36.97615432739258
2019-07-16,37.188358306884766
2019-07-17,36.30418014526367
2019-07-18,36.40143966674805
2019-07-19,36.5340690612793
2019-07-22,36.251136779785156
2019-07-23,36.30418014526367
2019-07-24,36.60480880737305
2019-07-25,36.35722732543945
2019-07-26,36.42796325683594
2019-07-29,36.17156219482422
2019-07-30,36.4898567199707
2019-07-31,37.52434539794922
2019-08-01,37.14414978027344
2019-08-02,37.07341003417969
2019-08-05,36.60480880737305
2019-08-06,37.02036666870117
2019-08-07,37.02920913696289
2019-08-08,37.66580581665039
2019-08-09,37.409400939941406
2019-08-12,37.00267791748047
2019-08-13,37.90453338623047
2019-08-14,36.70206069946289
2019-08-15,36.72859573364258
2019-08-16,37.427085876464844
2019-08-19,37.7011833190918
2019-08-20,37.46244812011719
2019-08-21,37.93107223510742
2019-08-22,37.250247955322266
2019-08-23,36.50754165649414
2019-08-26,36.772796630859375
2019-08-27,37.1264762878418
2019-08-28,37.612762451171875
2019-08-29,37.683502197265625
2019-08-30,37.745384216308594
2019-09-03,37.14414978027344
2019-09-04,37.488975524902344
2019-09-05,37.8868522644043
2019-09-06,37.860328674316406
2019-09-09,37.9222297668457
2019-09-10,37.99295425415039
2019-09-11,39.00975799560547
2019-09-12,39.168907165527344
2019-09-13,39.16891098022461
2019-09-16,38.875404357910156
2019-09-17,39.008819580078125
2019-09-18,39.23116683959961
2019-09-19,39.160011291503906
2019-09-20,39.053279876708984
2019-09-23,39.34678268432617
2019-09-24,38.6530647277832
2019-09-25,38.866512298583984
2019-09-26,38.76868438720703
2019-09-27,38.83982849121094
2019-09-30,39.03550338745117
2019-10-01,38.199466705322266
2019-10-02,37.23002243041992
2019-10-03,37.3812255859375
2019-10-04,37.74588394165039
2019-10-07,37.567996978759766
2019-10-08,36.74086380004883
2019-10-09,36.998783111572266
2019-10-10,37.16776657104492
2019-10-11,37.994903564453125
2019-10-14,37.567996978759766
2019-10-15,37.53242492675781
2019-10-16,37.35454177856445
2019-10-17,37.87038803100586
2019-10-18,37.221134185791016
2019-10-21,37.7014045715332
2019-10-22,37.968231201171875
2019-10-23,37.68362045288086
2019-10-24,37.62137222290039
2019-10-25,37.85260772705078
2019-10-28,37.950435638427734
2019-10-29,38.56411361694336
