,ROK
2014-09-30,89.36097717285156
2014-10-01,88.96249389648438
2014-10-02,89.00315856933594
2014-10-03,89.70257568359375
2014-10-06,88.49893951416016
2014-10-07,86.10795593261719
2014-10-08,87.88086700439453
2014-10-09,83.72510528564453
2014-10-10,81.74887084960938
2014-10-13,80.18743133544922
2014-10-14,82.11488342285156
2014-10-15,81.9603500366211
2014-10-16,83.86334991455078
2014-10-17,85.5305404663086
2014-10-20,85.4898910522461
2014-10-21,88.61280059814453
2014-10-22,85.49801635742188
2014-10-23,87.5636978149414
2014-10-24,88.89743041992188
2014-10-27,87.78326416015625
2014-10-28,90.17427062988281
2014-10-29,88.8242416381836
2014-10-30,89.66190338134766
2014-10-31,91.36976623535156
2014-11-03,90.1417465209961
2014-11-04,88.8486328125
2014-11-05,89.6456298828125
