,BKR
2015-12-23,26.247068405151367
2015-12-24,26.29666519165039
2015-12-28,25.178010940551758
2015-12-29,25.618864059448242
2015-12-30,25.216583251953125
2015-12-31,25.43149757385254
2016-01-04,26.03766441345215
2016-01-05,25.30475425720215
2016-01-06,24.053842544555664
2016-01-07,23.431142807006836
2016-01-08,22.913150787353516
2016-01-11,22.874570846557617
2016-01-12,22.615570068359375
2016-01-13,21.629173278808594
2016-01-14,22.687210083007812
2016-01-15,21.981853485107422
2016-01-19,21.92674446105957
2016-01-20,21.425281524658203
2016-01-21,22.444747924804688
2016-01-22,23.1666316986084
2016-01-25,21.59059715270996
2016-01-26,22.025936126708984
2016-01-27,22.499853134155273
2016-01-28,23.761781692504883
2016-01-29,23.976699829101562
2016-02-01,23.85546112060547
2016-02-02,23.144596099853516
2016-02-03,24.472652435302734
2016-02-04,24.378969192504883
2016-02-05,24.715118408203125
2016-02-08,23.59645652770996
2016-02-09,23.00682830810547
2016-02-10,22.874570846557617
2016-02-11,21.921236038208008
2016-02-12,21.98736572265625
2016-02-16,22.703739166259766
2016-02-17,23.414613723754883
2016-02-18,23.13908576965332
2016-02-19,23.22173309326172
2016-02-22,23.96567726135254
2016-02-23,23.414613723754883
2016-02-24,23.094987869262695
2016-02-25,23.833412170410156
2016-02-26,24.384483337402344
2016-02-29,23.71512222290039
2016-03-01,24.484046936035156
2016-03-02,25.12021827697754
2016-03-03,25.7508487701416
2016-03-04,25.557235717773438
2016-03-07,25.7674503326416
2016-03-08,24.367876052856445
2016-03-09,24.5117130279541
2016-03-10,24.080228805541992
2016-03-11,25.33043098449707
2016-03-14,24.27384376525879
2016-03-15,24.456396102905273
2016-03-16,25.391279220581055
2016-03-17,25.89468002319336
2016-03-18,26.243183135986328
2016-03-21,26.021909713745117
2016-03-22,25.68446922302246
2016-03-23,24.87127685546875
2016-03-24,24.71639060974121
2016-03-28,24.268308639526367
2016-03-29,23.632143020629883
2016-03-30,23.99172019958496
2016-03-31,24.246183395385742
2016-04-01,23.759370803833008
2016-04-04,22.94066047668457
2016-04-05,21.773433685302734
2016-04-06,23.692996978759766
2016-04-07,23.195127487182617
2016-04-08,23.847888946533203
2016-04-11,23.090023040771484
2016-04-12,22.807899475097656
2016-04-13,22.846616744995117
2016-04-14,23.886611938476562
2016-04-15,24.229583740234375
2016-04-18,25.280649185180664
2016-04-19,25.723190307617188
2016-04-20,25.999784469604492
2016-04-21,25.82830047607422
2016-04-22,25.68446922302246
2016-04-25,24.91554069519043
2016-04-26,25.335960388183594
2016-04-27,25.966594696044922
2016-04-28,26.475526809692383
2016-04-29,26.752120971679688
2016-05-02,26.221065521240234
2016-05-03,25.192127227783203
2016-05-04,24.611284255981445
2016-05-05,24.921070098876953
2016-05-06,25.380212783813477
2016-05-09,24.478519439697266
2016-05-10,25.020645141601562
2016-05-11,24.793838500976562
2016-05-12,25.153411865234375
2016-05-13,24.68873405456543
2016-05-16,25.380212783813477
2016-05-17,25.889142990112305
2016-05-18,25.41893768310547
2016-05-19,25.026180267333984
2016-05-20,25.075960159301758
2016-05-23,24.832561492919922
2016-05-24,24.318092346191406
2016-05-25,25.197664260864258
2016-05-26,25.208724975585938
2016-05-27,25.56409454345703
2016-05-31,25.75287628173828
2016-06-01,25.725116729736328
2016-06-02,25.486356735229492
2016-06-03,25.675148010253906
2016-06-06,27.496389389038086
2016-06-07,27.15213394165039
2016-06-08,26.61353302001953
2016-06-09,26.402536392211914
2016-06-10,25.508567810058594
2016-06-13,25.26425552368164
2016-06-14,25.325332641601562
2016-06-15,25.536333084106445
2016-06-16,25.514118194580078
2016-06-17,25.991641998291016
2016-06-20,25.469697952270508
2016-06-21,25.875038146972656
2016-06-22,25.575204849243164
2016-06-23,26.1915340423584
2016-06-24,25.10877799987793
2016-06-27,23.354167938232422
2016-06-28,24.259233474731445
2016-06-29,25.047706604003906
2016-06-30,25.058809280395508
2016-07-01,25.447490692138672
2016-07-05,24.459121704101562
2016-07-06,24.5479736328125
2016-07-07,24.175952911376953
2016-07-08,24.259233474731445
2016-07-11,24.20926284790039
2016-07-12,25.441940307617188
2016-07-13,25.1309871673584
2016-07-14,25.64183235168457
2016-07-15,25.49746322631836
2016-07-18,26.019407272338867
2016-07-19,25.39751625061035
2016-07-20,25.380863189697266
2016-07-21,24.703441619873047
2016-07-22,24.736757278442383
2016-07-25,24.27033805847168
2016-07-26,24.864465713500977
2016-07-27,24.72565269470215
2016-07-28,25.569643020629883
2016-07-29,26.558008193969727
2016-08-01,25.40306854248047
2016-08-02,25.919464111328125
2016-08-03,26.16932487487793
2016-08-04,26.236194610595703
2016-08-05,26.225055694580078
2016-08-08,26.743314743041992
2016-08-09,26.66529083251953
2016-08-10,26.60399055480957
2016-08-11,27.08881950378418
2016-08-12,27.72967529296875
2016-08-15,28.220073699951172
2016-08-16,28.532142639160156
2016-08-17,28.2646541595459
2016-08-18,29.005823135375977
2016-08-19,29.368051528930664
2016-08-22,28.86650848388672
2016-08-23,28.899951934814453
2016-08-24,28.548856735229492
2016-08-25,28.782915115356445
2016-08-26,28.342679977416992
2016-08-29,28.225643157958984
2016-08-30,27.863426208496094
2016-08-31,27.37860107421875
2016-09-01,27.768680572509766
2016-09-02,27.74082374572754
2016-09-06,27.841136932373047
2016-09-07,27.807697296142578
2016-09-08,28.582294464111328
2016-09-09,27.38417625427246
2016-09-12,27.696239471435547
2016-09-13,26.9383602142334
2016-09-14,26.98293685913086
2016-09-15,27.406457901000977
2016-09-16,26.9717960357666
2016-09-19,27.027523040771484
2016-09-20,27.016374588012695
2016-09-21,27.969303131103516
2016-09-22,27.947011947631836
2016-09-23,27.439897537231445
2016-09-26,27.39531707763672
2016-09-27,26.782323837280273
2016-09-28,27.763113021850586
2016-09-29,27.980451583862305
2016-09-30,28.125333786010742
2016-10-03,27.880142211914062
2016-10-04,27.841136932373047
2016-10-05,28.54328155517578
2016-10-06,29.139568328857422
2016-10-07,29.446062088012695
2016-10-10,29.73026466369629
2016-10-11,29.267738342285156
2016-10-12,29.08941078186035
2016-10-13,29.256587982177734
2016-10-14,28.838638305664062
2016-10-17,28.615724563598633
2016-10-18,28.75504493713379
2016-10-19,29.44049644470215
2016-10-20,29.117263793945312
2016-10-21,29.172992706298828
2016-10-24,29.06154441833496
2016-10-25,30.30982208251953
2016-10-26,30.516021728515625
2016-10-27,30.39898681640625
2016-10-28,32.94571304321289
2016-10-31,30.872671127319336
2016-11-01,30.839237213134766
2016-11-02,30.348834991455078
2016-11-03,30.863128662109375
2016-11-04,32.4842643737793
2016-11-07,32.81967544555664
2016-11-08,32.90352249145508
2016-11-09,32.981788635253906
2016-11-10,33.18862533569336
2016-11-11,32.780540466308594
2016-11-14,32.9762077331543
2016-11-15,34.110992431640625
2016-11-16,34.19485092163086
2016-11-17,34.2283935546875
2016-11-18,34.02156448364258
2016-11-21,34.67000961303711
2016-11-22,34.41845703125
2016-11-23,34.658836364746094
2016-11-25,34.59175109863281
2016-11-28,34.25075912475586
2016-11-29,33.80912780761719
2016-11-30,35.96133041381836
2016-12-01,35.77686309814453
2016-12-02,36.50357437133789
2016-12-05,37.06818389892578
2016-12-06,37.39240264892578
2016-12-07,36.97315216064453
2016-12-08,36.78868103027344
2016-12-09,37.07377624511719
2016-12-12,37.08494567871094
2016-12-13,37.023468017578125
2016-12-14,36.19051742553711
2016-12-15,36.531524658203125
2016-12-16,37.11289596557617
2016-12-19,36.74394989013672
2016-12-20,36.41972732543945
2016-12-21,36.27437973022461
2016-12-22,36.6768684387207
2016-12-23,36.2967414855957
2016-12-27,36.64332962036133
2016-12-28,36.17375946044922
2016-12-29,36.17934036254883
2016-12-30,36.31909942626953
2017-01-03,36.35264205932617
2017-01-04,36.19611358642578
2017-01-05,35.97251892089844
2017-01-06,35.75449752807617
2017-01-09,35.352012634277344
2017-01-10,34.87125778198242
2017-01-11,35.43027114868164
2017-01-12,34.893619537353516
2017-01-13,34.055091857910156
2017-01-17,34.60293197631836
2017-01-18,34.513492584228516
2017-01-19,34.636470794677734
2017-01-20,34.64765548706055
2017-01-23,34.334598541259766
2017-01-24,35.0389518737793
2017-01-25,35.553260803222656
2017-01-26,35.27375030517578
2017-01-27,35.268157958984375
2017-01-30,34.5582160949707
2017-01-31,35.262569427490234
2017-02-01,34.98306655883789
2017-02-02,34.98306655883789
2017-02-03,34.669158935546875
2017-02-06,34.57387161254883
2017-02-07,34.394493103027344
2017-02-08,34.282386779785156
2017-02-09,34.22633361816406
2017-02-10,34.27678298950195
2017-02-13,34.22633361816406
2017-02-14,34.47297668457031
2017-02-15,34.47297668457031
2017-02-16,34.304813385009766
2017-02-17,34.05817413330078
2017-02-21,33.940460205078125
2017-02-22,33.940460205078125
2017-02-23,33.6153564453125
2017-02-24,33.52006149291992
2017-02-27,33.77229309082031
2017-02-28,33.78912353515625
2017-03-01,34.65794372558594
2017-03-02,34.03575897216797
2017-03-03,33.570499420166016
2017-03-06,33.6153564453125
2017-03-07,33.30145263671875
2017-03-08,32.34854507446289
2017-03-09,32.174774169921875
2017-03-10,31.54697036743164
2017-03-13,31.77118682861328
2017-03-14,31.653467178344727
2017-03-15,32.34854507446289
2017-03-16,32.645626068115234
2017-03-17,33.03239822387695
2017-03-20,33.86199951171875
2017-03-21,33.7610969543457
2017-03-22,33.93486022949219
2017-03-23,33.16131591796875
2017-03-24,33.0660285949707
2017-03-27,32.55033493041992
2017-03-28,33.110870361328125
2017-03-29,33.64338302612305
2017-03-30,33.24540328979492
2017-03-31,33.53126907348633
2017-04-03,33.458396911621094
2017-04-04,33.716243743896484
2017-04-05,33.83395767211914
2017-04-06,34.15907287597656
2017-04-07,34.34965515136719
2017-04-10,34.59067916870117
2017-04-11,34.119842529296875
2017-04-12,33.82275390625
2017-04-13,33.3294792175293
2017-04-17,33.41917037963867
2017-04-18,33.63777542114258
2017-04-19,33.33507537841797
2017-04-20,33.35189437866211
2017-04-21,32.331722259521484
2017-04-24,32.87544250488281
2017-04-25,33.234188079833984
2017-04-26,33.3294792175293
2017-04-27,33.43597412109375
2017-04-28,33.279029846191406
2017-05-01,33.4696159362793
2017-05-02,33.391136169433594
2017-05-03,33.099666595458984
2017-05-04,32.273292541503906
2017-05-05,33.35262680053711
2017-05-08,33.436946868896484
2017-05-09,32.94225311279297
2017-05-10,33.76861572265625
2017-05-11,33.35262680053711
2017-05-12,32.75112533569336
2017-05-15,32.6105842590332
2017-05-16,32.32388687133789
2017-05-17,32.2845458984375
2017-05-18,32.115882873535156
