,EQT
2021-02-10,15.941869735717773
2021-02-11,15.998908042907715
2021-02-12,16.78791618347168
2021-02-16,16.978044509887695
2021-02-17,18.223352432250977
2021-02-18,17.39631462097168
2021-02-19,17.47236442565918
2021-02-22,16.816436767578125
2021-02-23,16.778413772583008
2021-02-24,17.691007614135742
2021-02-25,17.253721237182617
2021-02-26,16.9114990234375
2021-03-01,17.52940559387207
2021-03-02,17.52940559387207
2021-03-03,17.51038932800293
2021-03-04,17.40582275390625
2021-03-05,17.092119216918945
2021-03-08,16.512239456176758
2021-03-09,16.844955444335938
2021-03-10,17.84310531616211
2021-03-11,18.480018615722656
2021-03-12,17.824094772338867
2021-03-15,17.757551193237305
2021-03-16,17.719524383544922
2021-03-17,17.919157028198242
2021-03-18,16.730884552001953
2021-03-19,17.557918548583984
2021-03-22,17.557918548583984
2021-03-23,17.054096221923828
2021-03-24,16.673847198486328
2021-03-25,17.6719913482666
2021-03-26,18.736684799194336
2021-03-29,18.31841278076172
2021-03-30,17.32977294921875
2021-03-31,17.662485122680664
2021-04-01,18.023723602294922
2021-04-05,17.206188201904297
2021-04-06,17.538909912109375
2021-04-07,17.168169021606445
2021-04-08,16.844955444335938
2021-04-09,16.341127395629883
2021-04-12,15.970386505126953
2021-04-13,16.03693199157715
2021-04-14,16.749893188476562
2021-04-15,16.797426223754883
2021-04-16,16.683349609375
2021-04-19,16.65483283996582
2021-04-20,16.521747589111328
2021-04-21,16.521747589111328
2021-04-22,16.854463577270508
2021-04-23,16.844955444335938
2021-04-26,17.41533088684082
2021-04-27,17.719524383544922
2021-04-28,18.57508659362793
2021-04-29,18.37544822692871
2021-04-30,18.156810760498047
2021-05-03,18.77471160888672
2021-05-04,18.926809310913086
2021-05-05,19.18347930908203
2021-05-06,17.50088119506836
2021-05-07,19.668296813964844
2021-05-10,19.91545295715332
2021-05-11,19.89644432067871
2021-05-12,19.839405059814453
2021-05-13,19.145448684692383
2021-05-14,20.33372688293457
2021-05-17,21.987802505493164
2021-05-18,21.59804344177246
2021-05-19,21.25582504272461
2021-05-20,20.92310905456543
2021-05-21,21.27483558654785
2021-05-24,20.343231201171875
2021-05-25,19.60175132751465
2021-05-26,20.181625366210938
2021-05-27,19.73483657836914
2021-05-28,19.848905563354492
2021-06-01,20.694963455200195
2021-06-02,20.65693473815918
2021-06-03,20.352739334106445
2021-06-04,20.390764236450195
2021-06-07,20.761507034301758
2021-06-08,21.3889102935791
2021-06-09,21.293851852416992
2021-06-10,21.41743278503418
2021-06-11,21.883230209350586
2021-06-14,21.293851852416992
2021-06-15,20.77100944519043
2021-06-16,20.229156494140625
2021-06-17,19.478168487548828
2021-06-18,18.38495635986328
2021-06-21,19.402118682861328
2021-06-22,19.345083236694336
2021-06-23,19.649282455444336
2021-06-24,20.343231201171875
2021-06-25,20.942121505737305
2021-06-28,20.31471061706543
2021-06-29,20.11508560180664
2021-06-30,21.1607666015625
2021-07-01,21.046688079833984
2021-07-02,20.542861938476562
2021-07-06,19.65878677368164
2021-07-07,19.535202026367188
2021-07-08,20.286191940307617
2021-07-09,20.637924194335938
2021-07-12,20.343231201171875
2021-07-13,20.33372688293457
2021-07-14,19.497180938720703
2021-07-15,18.974342346191406
2021-07-16,18.01421546936035
2021-07-19,17.871625900268555
2021-07-20,18.52754783630371
2021-07-21,19.459152221679688
2021-07-22,19.43063735961914
2021-07-23,19.221500396728516
2021-07-26,19.839405059814453
2021-07-27,19.316564559936523
2021-07-28,19.72532844543457
2021-07-29,17.767059326171875
2021-07-30,17.481870651245117
2021-08-02,16.65483283996582
2021-08-03,17.006561279296875
2021-08-04,17.301254272460938
2021-08-05,17.2156982421875
2021-08-06,17.633968353271484
2021-08-09,18.194833755493164
2021-08-10,18.413476943969727
2021-08-11,18.223352432250977
2021-08-12,17.814586639404297
2021-08-13,17.054096221923828
2021-08-16,16.502735137939453
2021-08-17,16.18902587890625
2021-08-18,15.609151840209961
2021-08-19,15.447548866271973
2021-08-20,15.390509605407715
2021-08-23,15.742240905761719
