,GEHC
2023-05-09,76.1677474975586
2023-05-10,75.69898223876953
2023-05-11,74.79138946533203
2023-05-12,74.7215805053711
2023-05-15,74.73155212402344
2023-05-16,77.57400512695312
2023-05-17,80.08733367919922
2023-05-18,79.47895812988281
2023-05-19,79.12986755371094
2023-05-22,78.90039825439453
2023-05-23,77.01469421386719
2023-05-24,76.35619354248047
2023-05-25,79.67863464355469
2023-05-26,78.25188446044922
2023-05-30,77.7829360961914
2023-05-31,79.32942962646484
2023-06-01,79.64869689941406
2023-06-02,79.78838348388672
2023-06-05,80.30720520019531
2023-06-06,82.74166107177734
2023-06-07,80.29722595214844
2023-06-08,77.57341766357422
2023-06-09,76.92488861083984
2023-06-12,78.09223175048828
2023-06-13,77.61332702636719
2023-06-14,78.35164642333984
2023-06-15,78.92035675048828
2023-06-16,78.47137451171875
2023-06-20,78.72080993652344
2023-06-21,79.43917083740234
2023-06-22,80.02783966064453
2023-06-23,79.63872528076172
2023-06-26,77.62332153320312
2023-06-27,76.89495849609375
2023-06-28,77.01469421386719
2023-06-29,78.50131225585938
2023-06-30,81.05549621582031
2023-07-03,80.50674438476562
2023-07-05,80.46683502197266
2023-07-06,78.94031524658203
2023-07-07,79.43917083740234
2023-07-10,80.47682189941406
2023-07-11,81.07545471191406
2023-07-12,81.50447845458984
2023-07-13,81.21513366699219
2023-07-14,81.6341781616211
2023-07-17,81.00560760498047
2023-07-18,82.28270721435547
2023-07-19,81.5643310546875
2023-07-20,81.694091796875
2023-07-21,82.47260284423828
2023-07-24,80.47640991210938
2023-07-25,80.05722045898438
2023-07-26,77.28250885009766
2023-07-27,76.71359252929688
2023-07-28,77.72167205810547
2023-07-31,77.8514175415039
2023-08-01,77.54202270507812
2023-08-02,76.44410705566406
2023-08-03,75.87519073486328
2023-08-04,75.75542449951172
2023-08-07,75.44600677490234
2023-08-08,73.78916931152344
2023-08-09,73.7791976928711
2023-08-10,72.16228485107422
2023-08-11,71.45362091064453
2023-08-14,71.66324615478516
2023-08-15,70.40564727783203
2023-08-16,70.53538513183594
2023-08-17,68.25972747802734
2023-08-18,68.22978210449219
2023-08-21,68.838623046875
2023-08-22,68.79869842529297
2023-08-23,68.85858154296875
2023-08-24,68.29965209960938
2023-08-25,68.45934295654297
2023-08-28,69.17797088623047
2023-08-29,70.34574890136719
2023-08-30,70.25592041015625
2023-08-31,70.31580352783203
2023-09-01,69.11808776855469
2023-09-05,67.53112030029297
2023-09-06,66.8524169921875
2023-09-07,65.77447509765625
2023-09-08,64.77637481689453
2023-09-11,66.49309539794922
2023-09-12,65.27542877197266
2023-09-13,64.40707397460938
2023-09-14,65.87427520751953
2023-09-15,66.30345916748047
2023-09-18,66.15374755859375
2023-09-19,65.99405670166016
2023-09-20,64.88616943359375
2023-09-21,63.7682991027832
2023-09-22,64.20745849609375
2023-09-25,66.35337829589844
2023-09-26,66.0838851928711
2023-09-27,68.14993286132812
2023-09-28,69.6470947265625
2023-09-29,67.91039276123047
2023-10-02,67.71077728271484
2023-10-03,66.8524169921875
2023-10-04,67.75070190429688
2023-10-05,67.47122955322266
2023-10-06,68.32960510253906
2023-10-09,67.67086029052734
2023-10-10,68.06011199951172
2023-10-11,67.65089416503906
2023-10-12,66.38331604003906
2023-10-13,66.99214935302734
2023-10-16,66.75259399414062
2023-10-17,66.6727523803711
2023-10-18,65.10575103759766
2023-10-19,65.35537719726562
2023-10-20,63.95741653442383
2023-10-23,63.897499084472656
2023-10-24,64.57650756835938
2023-10-25,64.416748046875
2023-10-26,63.81761169433594
2023-10-27,63.008785247802734
2023-10-30,63.07868194580078
2023-10-31,66.47376251220703
2023-11-01,68.18128967285156
2023-11-02,69.14989471435547
2023-11-03,71.46654510498047
2023-11-06,70.98722839355469
2023-11-07,70.59779357910156
2023-11-08,69.88882446289062
2023-11-09,68.21125030517578
2023-11-10,69.41949462890625
2023-11-13,69.90879821777344
2023-11-14,72.1056137084961
2023-11-15,71.41661071777344
2023-11-16,71.81603240966797
2023-11-17,72.89447784423828
2023-11-20,73.2239990234375
2023-11-21,73.27391815185547
2023-11-22,73.49360656738281
2023-11-24,73.60343933105469
2023-11-27,71.03715515136719
2023-11-28,68.03150177001953
2023-11-29,67.61212921142578
2023-11-30,68.36103057861328
2023-12-01,69.30966186523438
2023-12-04,69.26972198486328
2023-12-05,67.83180236816406
2023-12-06,67.95162963867188
2023-12-07,67.2925796508789
2023-12-08,68.42094421386719
2023-12-11,71.02717590332031
2023-12-12,71.94584655761719
2023-12-13,74.07276153564453
2023-12-14,75.81025695800781
2023-12-15,74.90157318115234
2023-12-18,74.95149993896484
2023-12-19,75.58058166503906
2023-12-20,75.33094024658203
2023-12-21,77.07841491699219
2023-12-22,77.46784973144531
2023-12-26,78.02703857421875
2023-12-27,77.5577163696289
2023-12-28,77.42790985107422
2023-12-29,77.20822143554688
2024-01-02,76.25959777832031
2024-01-03,75.9999771118164
2024-01-04,76.45930480957031
2024-01-05,76.50924682617188
2024-01-08,77.24816131591797
2024-01-09,76.54918670654297
2024-01-10,76.05989074707031
2024-01-11,76.13977813720703
2024-01-12,76.0898208618164
2024-01-16,74.8910903930664
2024-01-17,72.67342376708984
2024-01-18,73.44261932373047
2024-01-19,74.03199768066406
2024-01-22,74.56143951416016
2024-01-23,73.59246063232422
2024-01-24,71.47469329833984
2024-01-25,72.79330444335938
2024-01-26,73.07300567626953
2024-01-29,74.30171203613281
2024-01-30,73.92210388183594
2024-01-31,73.28278350830078
2024-02-01,74.27173614501953
2024-02-02,73.83221435546875
2024-02-05,73.3327407836914
2024-02-06,81.87373352050781
2024-02-07,81.7438735961914
2024-02-08,81.97362518310547
2024-02-09,81.25438690185547
2024-02-12,83.08245849609375
2024-02-13,82.2233657836914
2024-02-14,83.08245849609375
2024-02-15,85.53987121582031
2024-02-16,85.92945861816406
2024-02-20,86.299072265625
2024-02-21,84.89055633544922
2024-02-22,87.5477523803711
2024-02-23,88.97624969482422
2024-02-26,90.52462005615234
2024-02-27,92.42261505126952
2024-02-28,92.92208862304688
2024-02-29,91.18392181396484
2024-03-01,92.62240600585938
2024-03-04,92.63240051269533
2024-03-05,91.71336364746094
2024-03-06,93.00200653076172
2024-03-07,92.5624771118164
2024-03-08,93.77120208740234
2024-03-11,92.90210723876952
2024-03-12,91.72335052490234
2024-03-13,88.38687133789062
2024-03-14,88.23703002929688
2024-03-15,89.3158950805664
2024-03-18,90.51463317871094
2024-03-19,90.6844482421875
2024-03-20,90.7943344116211
2024-03-21,91.10400390625
2024-03-22,89.63555908203125
2024-03-25,88.18708038330078
2024-03-26,88.97624969482422
2024-03-27,90.21495056152344
2024-03-28,90.81431579589844
2024-04-01,89.43576049804688
2024-04-02,88.01725769042969
2024-04-03,88.93629455566406
2024-04-04,87.86741638183594
2024-04-05,88.37688446044922
2024-04-08,87.61768341064453
2024-04-09,86.8484878540039
2024-04-10,85.30012512207031
2024-04-11,88.11715698242188
2024-04-12,86.1891860961914
2024-04-15,86.03934478759766
2024-04-16,85.78960418701172
2024-04-17,85.10033416748047
2024-04-18,84.91046142578125
2024-04-19,84.43080139160156
2024-04-22,84.25092315673828
2024-04-23,86.17957305908203
2024-04-24,86.65924072265625
2024-04-25,85.88977813720703
2024-04-26,86.17957305908203
2024-04-29,88.87769317626953
2024-04-30,76.18657684326172
2024-05-01,78.20516967773438
2024-05-02,77.77546691894531
2024-05-03,79.41431427001953
2024-05-06,79.74408721923828
2024-05-07,81.3729476928711
2024-05-08,81.05316925048828
2024-05-09,82.67203521728516
2024-05-10,83.34156799316406
2024-05-13,80.97322845458984
2024-05-14,80.46357727050781
2024-05-15,81.85261535644531
2024-05-16,81.2530288696289
2024-05-17,81.80264282226562
2024-05-20,81.6927261352539
2024-05-21,81.8825912475586
2024-05-22,80.56352233886719
2024-05-23,79.27442169189453
2024-05-24,79.79405212402344
2024-05-28,78.69482421875
2024-05-29,78.39503479003906
2024-05-30,78.51494598388672
2024-05-31,77.94535064697266
2024-06-03,77.095947265625
2024-06-04,77.46568298339844
2024-06-05,76.90607452392578
2024-06-06,76.946044921875
2024-06-07,76.28650665283203
2024-06-10,75.7269058227539
2024-06-11,74.68762969970703
2024-06-12,75.9167709350586
2024-06-13,76.9360580444336
2024-06-14,76.4364013671875
2024-06-17,77.49567413330078
2024-06-18,78.21515655517578
2024-06-20,79.38434600830078
2024-06-21,79.1145248413086
2024-06-24,78.79474639892578
2024-06-25,78.75477600097656
2024-06-26,77.94535064697266
2024-06-27,78.76477813720703
2024-06-28,77.86540985107422
2024-07-01,76.2065658569336
2024-07-02,76.27651977539062
2024-07-03,77.18588256835938
2024-07-05,77.0060043334961
2024-07-08,76.2965087890625
2024-07-09,76.81614685058594
2024-07-10,79.08454895019531
2024-07-11,79.88399505615234
2024-07-12,80.22374725341797
2024-07-15,80.1338119506836
2024-07-16,82.58209228515625
2024-07-17,82.41222381591797
2024-07-18,80.92326354980469
2024-07-19,80.4134292602539
2024-07-22,81.20317077636719
2024-07-23,80.79330444335938
2024-07-24,79.66368103027344
2024-07-25,79.89360046386719
2024-07-26,80.4734115600586
2024-07-29,82.02289581298828
2024-07-30,82.6227035522461
2024-07-31,84.60204315185547
2024-08-01,83.37245178222656
2024-08-02,83.41243743896484
2024-08-05,81.4930648803711
2024-08-06,81.52306365966797
2024-08-07,79.31378936767578
2024-08-08,82.29280853271484
2024-08-09,83.37245178222656
2024-08-12,82.3427963256836
2024-08-13,84.14219665527344
2024-08-14,83.44242858886719
2024-08-15,85.2718276977539
2024-08-16,84.77198791503906
2024-08-19,85.56172180175781
2024-08-20,83.91227722167969
2024-08-21,84.45209503173828
2024-08-22,84.34213256835938
2024-08-23,84.75199127197266
2024-08-26,84.46208953857422
2024-08-27,84.38211822509766
2024-08-28,83.90227508544922
2024-08-29,84.05223083496094
2024-08-30,84.79198455810547
2024-09-03,84.77198791503906
2024-09-04,87.52108001708984
2024-09-05,87.26116943359375
2024-09-06,85.0618896484375
2024-09-09,85.09188842773438
2024-09-10,85.52174377441406
2024-09-11,87.16120147705078
2024-09-12,87.43110656738281
2024-09-13,86.88129425048828
2024-09-16,86.61138153076172
2024-09-17,86.7613296508789
2024-09-18,88.5007553100586
2024-09-19,90.5900650024414
2024-09-20,90.25017547607422
2024-09-23,90.8499755859375
2024-09-24,92.1795425415039
2024-09-25,92.97927856445312
2024-09-26,92.45944213867188
2024-09-27,91.95960998535156
2024-09-30,93.81900024414062
2024-10-01,91.63971710205078
2024-10-02,91.00992584228516
2024-10-03,89.85030364990234
2024-10-04,91.38980102539062
2024-10-07,90.0302505493164
2024-10-08,90.66004180908205
2024-10-09,90.7400131225586
2024-10-10,90.22018432617188
2024-10-11,90.99993133544922
2024-10-14,91.58973693847656
2024-10-15,90.68003845214844
2024-10-16,90.19020080566406
2024-10-17,90.79000091552734
2024-10-18,91.33999633789062
2024-10-21,89.80000305175781
2024-10-22,89.30999755859375
2024-10-23,89.29000091552734
2024-10-24,88.9000015258789
2024-10-25,88.41999816894531
2024-10-28,85.93000030517578
2024-10-29,85.2699966430664
2024-10-30,87.19999694824219
2024-10-31,87.3499984741211
2024-11-01,86.94999694824219
2024-11-04,86.98999786376953
2024-11-05,88.16999816894531
2024-11-06,86.77999877929688
2024-11-07,88.33000183105469
2024-11-08,85.94000244140625
2024-11-11,85.38999938964844
2024-11-12,84.91999816894531
2024-11-13,84.18000030517578
2024-11-14,82.91999816894531
2024-11-15,81.76000213623047
2024-11-18,82.72000122070312
2024-11-19,82.5199966430664
2024-11-20,84.9000015258789
2024-11-21,82.0
2024-11-22,82.44000244140625
2024-11-25,82.66000366210938
2024-11-26,82.51000213623047
2024-11-27,83.0
2024-11-29,83.22000122070312
2024-12-02,83.08000183105469
2024-12-03,82.56999969482422
2024-12-04,83.01000213623047
2024-12-05,81.56500244140625
2024-12-06,81.23999786376953
2024-12-09,81.9000015258789
2024-12-10,82.36000061035156
2024-12-11,82.75
2024-12-12,81.62999725341797
2024-12-13,81.0999984741211
2024-12-16,80.29000091552734
2024-12-17,79.25
