,NTRS
2014-11-14,51.821006774902344
2014-11-17,51.85158157348633
2014-11-18,52.073265075683594
2014-11-19,52.08855438232422
2014-11-20,52.21851348876953
2014-11-21,51.92036819458008
2014-11-24,51.782779693603516
2014-11-25,51.86687088012695
2014-11-26,51.68340301513672
2014-11-28,51.7751579284668
2014-12-01,51.048927307128906
2014-12-02,51.729278564453125
2014-12-03,52.11336135864258
2014-12-04,51.87522506713867
2014-12-05,52.51283264160156
2014-12-08,52.750953674316406
2014-12-09,52.52817153930664
2014-12-10,51.5372314453125
2014-12-11,51.36054611206055
2014-12-12,50.62309646606445
2014-12-15,50.43104934692383
2014-12-16,49.72431945800781
2014-12-17,50.97645568847656
2014-12-18,52.25932693481445
2014-12-19,51.69856262207031
2014-12-22,52.12874221801758
2014-12-23,52.77400207519531
2014-12-24,52.48977279663086
2014-12-26,52.35150146484375
2014-12-29,52.47440719604492
2014-12-30,52.2977294921875
2014-12-31,51.775367736816406
2015-01-02,51.89059829711914
2015-01-05,49.985504150390625
2015-01-06,48.579734802246094
2015-01-07,49.36328125
2015-01-08,50.1314582824707
2015-01-09,49.24803924560547
2015-01-12,48.65654754638672
2015-01-13,48.74872589111328
2015-01-14,47.81924057006836
2015-01-15,47.46587371826172
2015-01-16,47.857635498046875
2015-01-20,47.965187072753906
2015-01-21,50.945716857910156
2015-01-22,52.23625564575195
2015-01-23,51.37590408325195
2015-01-26,51.93667984008789
2015-01-27,50.938053131103516
2015-01-28,49.80881881713867
2015-01-29,51.01487731933594
2015-01-30,50.223628997802734
2015-02-02,51.16851043701172
2015-02-03,52.343814849853516
2015-02-04,52.04423141479492
2015-02-05,52.62804412841797
2015-02-06,53.47304153442383
2015-02-09,52.958370208740234
2015-02-10,53.69581985473633
2015-02-11,54.21818161010742
2015-02-12,54.225852966308594
2015-02-13,53.834083557128906
2015-02-17,53.9339599609375
2015-02-18,53.142730712890625
2015-02-19,53.48839569091797
2015-02-20,53.834083557128906
2015-02-23,53.88018035888672
2015-02-24,54.60993957519531
2015-02-25,54.62532043457031
2015-02-26,53.91091537475586
2015-02-27,53.64204406738281
2015-03-02,54.164398193359375
2015-03-03,53.90323257446289
2015-03-04,53.54048156738281
2015-03-05,53.62538146972656
2015-03-06,54.304561614990234
2015-03-09,54.42034149169922
2015-03-10,53.54819869995117
2015-03-11,53.88779067993164
2015-03-12,54.72134017944336
2015-03-13,54.69819641113281
2015-03-16,55.47001266479492
2015-03-17,55.639793395996094
2015-03-18,55.037784576416016
2015-03-19,54.7445068359375
2015-03-20,55.06865310668945
2015-03-23,54.582420349121094
2015-03-24,53.74113464355469
2015-03-25,53.13915252685547
2015-03-26,53.733421325683594
2015-03-27,53.50961685180664
2015-03-30,53.972686767578125
2015-03-31,53.75658416748047
2015-04-01,54.0653076171875
2015-04-02,54.566986083984375
2015-04-06,54.366329193115234
2015-04-07,54.79851150512695
2015-04-08,54.93745040893555
2015-04-09,54.960601806640625
2015-04-10,54.69047546386719
2015-04-13,55.15355682373047
2015-04-14,55.06092834472656
2015-04-15,54.9142951965332
2015-04-16,54.806236267089844
2015-04-17,53.8955078125
2015-04-20,54.204227447509766
2015-04-21,55.48543167114258
2015-04-22,56.9981803894043
2015-04-23,56.951873779296875
2015-04-24,56.41930389404297
2015-04-27,56.3498649597168
2015-04-28,56.758914947509766
2015-04-29,56.913272857666016
2015-04-30,56.45792007446289
2015-05-01,56.88239288330078
2015-05-04,57.5384521484375
2015-05-05,57.546173095703125
2015-05-06,57.29147720336914
2015-05-07,57.6078987121582
2015-05-08,58.07870101928711
2015-05-11,57.92436218261719
2015-05-12,57.6078987121582
2015-05-13,57.67739486694336
2015-05-14,57.89347457885742
2015-05-15,57.66966247558594
2015-05-18,58.426048278808594
2015-05-19,58.77334976196289
2015-05-20,58.781089782714844
2015-05-21,58.68071365356445
2015-05-22,58.31796646118164
2015-05-26,57.72368240356445
2015-05-27,58.279388427734375
2015-05-28,58.3874397277832
2015-05-29,57.5384521484375
2015-06-01,57.30690002441406
2015-06-02,57.422691345214844
2015-06-03,58.2447624206543
2015-06-04,57.60104751586914
2015-06-05,58.36111068725586
2015-06-08,58.679080963134766
2015-06-09,58.84970474243164
2015-06-10,59.91999816894531
2015-06-11,60.106136322021484
2015-06-12,60.17591857910156
2015-06-15,59.90448760986328
