,A
2017-05-11,53.13788604736328
2017-05-12,53.07172393798828
2017-05-15,53.582035064697266
2017-05-16,53.704891204833984
2017-05-17,52.70317077636719
2017-05-18,52.77876663208008
2017-05-19,53.04337692260742
2017-05-22,52.996131896972656
2017-05-23,55.43425750732422
2017-05-24,55.972904205322266
2017-05-25,56.039066314697266
2017-05-26,56.23750305175781
2017-05-30,57.05021667480469
2017-05-31,57.02187728881836
2017-06-01,57.390411376953125
2017-06-02,57.46603012084961
2017-06-05,57.078575134277344
2017-06-06,56.795066833496094
2017-06-07,57.295921325683594
2017-06-08,56.842315673828125
2017-06-09,55.9539909362793
2017-06-12,55.74610900878906
2017-06-13,56.020145416259766
2017-06-14,56.11466598510742
2017-06-15,55.9539909362793
2017-06-16,56.23750305175781
2017-06-19,57.22031784057617
2017-06-20,57.012413024902344
2017-06-21,56.502105712890625
2017-06-22,57.277015686035156
2017-06-23,56.48320007324219
2017-06-26,55.98234939575195
2017-06-27,55.64215087890625
2017-06-28,56.1335563659668
2017-06-29,55.69029998779297
2017-06-30,56.173336029052734
2017-07-03,56.00286102294922
2017-07-05,56.6090087890625
2017-07-06,56.08808898925781
2017-07-07,56.476417541503906
2017-07-10,56.694252014160156
2017-07-11,56.637428283691406
2017-07-12,57.51823806762695
2017-07-13,57.953914642333984
2017-07-14,58.266448974609375
2017-07-17,58.294864654541016
2017-07-18,57.97285842895508
2017-07-19,58.13386154174805
2017-07-20,57.75502395629883
2017-07-21,58.124393463134766
2017-07-24,58.247520446777344
2017-07-25,57.338279724121094
2017-07-26,56.56166076660156
2017-07-27,56.741607666015625
2017-07-28,56.902610778808594
2017-07-31,56.62794876098633
2017-08-01,56.77002716064453
2017-08-02,57.01626205444336
2017-08-03,57.177284240722656
2017-08-04,56.94997024536133
2017-08-07,57.65083694458008
2017-08-08,56.959442138671875
2017-08-09,56.52376937866211
2017-08-10,55.47245788574219
2017-08-11,56.192283630371094
2017-08-14,56.46693801879883
2017-08-15,56.23963165283203
2017-08-16,58.8536491394043
2017-08-17,57.64137268066406
2017-08-18,58.0107307434082
2017-08-21,58.47481918334961
2017-08-22,59.63029861450195
2017-08-23,59.450355529785156
2017-08-24,59.365116119384766
2017-08-25,59.57347869873047
2017-08-28,60.103851318359375
2017-08-29,60.13228225708008
2017-08-30,60.52059555053711
2017-08-31,61.297218322753906
2017-09-01,60.97520446777344
2017-09-05,60.88996124267578
2017-09-06,61.28775405883789
2017-09-07,61.69500732421875
2017-09-08,61.58135986328125
2017-09-11,62.61370849609375
2017-09-12,62.64211654663086
2017-09-13,61.97914123535156
2017-09-14,62.206459045410156
2017-09-15,62.47164535522461
2017-09-18,62.585289001464844
2017-09-19,62.67055130004883
2017-09-20,62.59477996826172
2017-09-21,62.43375778198242
2017-09-22,62.30116271972656
2017-09-25,61.30669403076172
2017-09-26,60.71949005126953
2017-09-27,60.98467254638672
2017-09-28,60.59636306762695
2017-09-29,60.804725646972656
2017-10-02,61.56588363647461
2017-10-03,61.83161544799805
2017-10-04,62.476985931396484
2017-10-05,62.353599548339844
2017-10-06,62.97998809814453
2017-10-09,63.16979217529297
2017-10-10,63.20774459838867
2017-10-11,63.22673416137695
2017-10-12,64.0998764038086
2017-10-13,63.57789993286133
2017-10-16,63.50196075439453
2017-10-17,62.75223159790039
2017-10-18,63.05590057373047
2017-10-19,63.47349166870117
2017-10-20,63.824668884277344
2017-10-23,63.606353759765625
2017-10-24,63.89108657836914
2017-10-25,63.9575309753418
2017-10-26,64.26121520996094
2017-10-27,64.50797271728516
2017-10-30,64.05242156982422
2017-10-31,64.56492614746094
2017-11-01,64.55542755126953
2017-11-02,64.65982818603516
2017-11-03,64.88761138916016
2017-11-06,64.74523162841797
2017-11-07,64.77371978759766
2017-11-08,64.64083862304688
2017-11-09,64.033447265625
2017-11-10,63.40706253051758
2017-11-13,63.71075439453125
2017-11-14,64.0239486694336
2017-11-15,63.88160705566406
2017-11-16,65.23875427246094
2017-11-17,65.28620910644531
2017-11-20,66.39663696289062
2017-11-21,66.34916687011719
2017-11-22,65.19132232666016
2017-11-24,65.82717895507812
2017-11-27,65.77972412109375
2017-11-28,66.9945297241211
2017-11-29,65.19132232666016
2017-11-30,65.71329498291016
2017-12-01,65.19132232666016
2017-12-04,62.8660774230957
2017-12-05,62.476985931396484
2017-12-06,62.53391647338867
2017-12-07,63.31215286254883
2017-12-08,63.94802474975586
2017-12-11,63.58738708496094
2017-12-12,63.644351959228516
2017-12-13,63.2836799621582
2017-12-14,63.12234115600586
2017-12-15,64.16632080078125
2017-12-18,64.21377563476562
2017-12-19,64.29917907714844
2017-12-20,63.96701431274414
2017-12-21,64.08090209960938
2017-12-22,63.919559478759766
2017-12-26,63.824668884277344
2017-12-27,63.87211990356445
2017-12-28,64.01445770263672
2017-12-29,63.69964599609375
2018-01-02,64.29886627197266
2018-01-03,65.93485260009766
2018-01-04,65.44026184082031
2018-01-05,66.4865493774414
2018-01-08,66.6292495727539
2018-01-09,68.26521301269531
2018-01-10,67.33309173583984
2018-01-11,67.34259796142578
2018-01-12,68.22720336914062
2018-01-16,67.7516098022461
2018-01-17,68.54107666015625
2018-01-18,68.66470336914062
2018-01-19,69.50174713134766
2018-01-22,69.8917236328125
2018-01-23,69.85369110107422
2018-01-24,69.98683166503906
2018-01-25,70.25318145751953
2018-01-26,71.16627502441406
2018-01-29,70.89046478271484
2018-01-30,69.4256591796875
2018-01-31,69.84417724609375
2018-02-01,69.27345275878906
2018-02-02,67.7706527709961
2018-02-05,64.88859558105469
2018-02-06,65.10735321044922
2018-02-07,64.73638916015625
2018-02-08,61.87339401245117
2018-02-09,63.70914840698242
2018-02-12,65.08832550048828
2018-02-13,65.00272369384766
2018-02-14,66.29630279541016
2018-02-15,68.50301361083984
2018-02-16,68.45548248291016
2018-02-20,67.60893249511719
2018-02-21,67.7706527709961
2018-02-22,67.22844696044922
2018-02-23,67.24747467041016
2018-02-26,67.13334655761719
2018-02-27,65.6305160522461
2018-02-28,65.24052429199219
2018-03-01,64.08960723876953
2018-03-02,64.21327209472656
2018-03-05,64.25130462646484
2018-03-06,64.78394317626953
2018-03-07,66.29630279541016
2018-03-08,66.43898010253906
2018-03-09,67.65648651123047
2018-03-12,67.25698852539062
