,PNC
2016-02-02,63.30161666870117
2016-02-03,63.33938217163086
2016-02-04,64.12498474121094
2016-02-05,63.127864837646484
2016-02-08,61.76818084716797
2016-02-09,62.09298324584961
2016-02-10,61.57176208496094
2016-02-11,59.04875183105469
2016-02-12,61.13364028930664
2016-02-16,62.9012565612793
2016-02-17,63.498008728027344
2016-02-18,62.38004684448242
2016-02-19,62.561336517333984
2016-02-22,63.792633056640625
2016-02-23,62.55377197265625
2016-02-24,62.168540954589844
2016-02-25,62.6519775390625
2016-02-26,63.43003845214844
2016-02-29,61.42068099975586
2016-03-01,63.815277099609375
2016-03-02,64.69151306152344
2016-03-03,65.40159606933594
2016-03-04,65.9454574584961
2016-03-07,65.68863677978516
2016-03-08,64.26094055175781
2016-03-09,63.92102813720703
2016-03-10,64.31385040283203
2016-03-11,65.265625
2016-03-14,64.82749938964844
2016-03-15,64.8048324584961
2016-03-16,63.973907470703125
2016-03-17,64.359130859375
2016-03-18,65.08431243896484
2016-03-21,65.11454772949219
2016-03-22,64.85014343261719
2016-03-23,64.47245025634766
2016-03-24,64.05699157714844
2016-03-28,64.11743927001953
2016-03-29,63.80771255493164
2016-03-30,64.47245025634766
2016-03-31,63.88326644897461
2016-04-01,64.42715454101562
2016-04-04,64.44979858398438
2016-04-05,62.6519775390625
2016-04-06,63.30161666870117
2016-04-07,61.54155349731445
2016-04-08,61.805931091308594
2016-04-11,61.881465911865234
2016-04-12,62.59153747558594
2016-04-13,64.73493957519531
2016-04-14,64.3700942993164
2016-04-15,63.967247009277344
2016-04-18,64.61331176757812
2016-04-19,65.57100677490234
2016-04-20,66.68832397460938
2016-04-21,66.51347351074219
2016-04-22,66.95433044433594
2016-04-25,66.66551208496094
2016-04-26,67.55475616455078
2016-04-27,67.63838195800781
2016-04-28,67.03033447265625
2016-04-29,66.71870422363281
2016-05-02,66.81752014160156
2016-05-03,66.02706146240234
2016-05-04,64.88694763183594
2016-05-05,64.87174987792969
2016-05-06,65.0693588256836
2016-05-09,64.59812927246094
2016-05-10,65.81421661376953
2016-05-11,65.62419891357422
2016-05-12,65.50260925292969
2016-05-13,64.40809631347656
2016-05-16,64.94774627685547
2016-05-17,64.78054809570312
2016-05-18,67.17474365234375
2016-05-19,66.79473114013672
2016-05-20,67.03033447265625
2016-05-23,66.74911499023438
2016-05-24,67.66880798339844
2016-05-25,68.58088684082031
2016-05-26,68.0184326171875
2016-05-27,68.5884780883789
2016-05-31,68.20843505859375
2016-06-01,68.20843505859375
2016-06-02,68.41366577148438
2016-06-03,67.31916046142578
2016-06-06,68.35283660888672
2016-06-07,67.72200775146484
2016-06-08,68.02604675292969
2016-06-09,67.13674926757812
2016-06-10,66.12584686279297
2016-06-13,65.62419891357422
2016-06-14,64.15727996826172
2016-06-15,64.01286315917969
2016-06-16,63.7468376159668
2016-06-17,63.602420806884766
2016-06-20,63.86084747314453
2016-06-21,64.24848937988281
2016-06-22,64.42330932617188
2016-06-23,65.87503051757812
2016-06-24,61.62623977661133
2016-06-27,59.194034576416016
2016-06-28,60.02250671386719
2016-06-29,61.063812255859375
2016-06-30,61.86187744140625
2016-07-01,61.51225280761719
2016-07-05,59.91609573364258
2016-07-06,60.334144592285156
2016-07-07,60.41774368286133
2016-07-08,61.276615142822266
2016-07-11,61.611053466796875
2016-07-12,62.583919525146484
2016-07-13,62.40150833129883
2016-07-14,63.403934478759766
2016-07-15,62.79179382324219
2016-07-18,62.814735412597656
2016-07-19,63.028987884521484
2016-07-20,63.20497131347656
2016-07-21,63.09018325805664
2016-07-22,63.38096618652344
2016-07-25,63.327396392822266
2016-07-26,63.27386474609375
2016-07-27,63.22027587890625
2016-07-28,63.52635955810547
2016-07-29,63.24323654174805
2016-08-01,63.06724548339844
2016-08-02,62.485687255859375
2016-08-03,64.1614761352539
2016-08-04,64.18441772460938
2016-08-05,66.14334106445312
2016-08-08,66.18160247802734
2016-08-09,65.99794006347656
2016-08-10,65.33988189697266
2016-08-11,65.42401885986328
2016-08-12,65.04142761230469
2016-08-15,65.52352142333984
2016-08-16,65.55412292480469
2016-08-17,65.63829040527344
2016-08-18,65.39344787597656
2016-08-19,65.36283111572266
2016-08-22,65.44698333740234
2016-08-23,65.58470916748047
2016-08-24,65.55412292480469
2016-08-25,65.70716094970703
2016-08-26,66.33460235595703
2016-08-29,67.27579498291016
2016-08-30,68.00273132324219
2016-08-31,68.94393920898438
2016-09-01,68.8597640991211
2016-09-02,69.2806167602539
2016-09-06,68.4695053100586
2016-09-07,69.18879699707031
2016-09-08,69.4183578491211
2016-09-09,68.80620574951172
2016-09-12,69.55609130859375
2016-09-13,68.80620574951172
2016-09-14,68.32412719726562
2016-09-15,69.11226654052734
2016-09-16,68.40065002441406
2016-09-19,68.95159149169922
2016-09-20,69.14289855957031
2016-09-21,69.43365478515625
2016-09-22,68.8674087524414
2016-09-23,68.41594696044922
2016-09-26,67.16101837158203
2016-09-27,67.75788116455078
2016-09-28,68.41594696044922
2016-09-29,68.09455108642578
2016-09-30,68.9362564086914
2016-10-03,68.40828704833984
2016-10-04,69.25000762939453
2016-10-05,70.03050994873047
2016-10-06,70.26006317138672
2016-10-07,69.95398712158203
2016-10-10,70.16060638427734
2016-10-11,69.25765991210938
2016-10-12,69.15816497802734
2016-10-13,67.70313262939453
2016-10-14,67.77239227294922
2016-10-17,67.91096496582031
2016-10-18,69.18126678466797
2016-10-19,70.5208740234375
2016-10-20,71.82967376708984
2016-10-21,71.53710174560547
2016-10-24,71.61409759521484
2016-10-25,71.70649719238281
2016-10-26,72.58413696289062
2016-10-27,73.46951293945312
2016-10-28,73.2154312133789
2016-10-31,73.60038757324219
2016-11-01,73.5772933959961
2016-11-02,72.96138000488281
2016-11-03,73.06147766113281
2016-11-04,72.86898040771484
2016-11-07,74.21629333496094
2016-11-08,74.40106201171875
2016-11-09,77.9501953125
2016-11-10,81.59172821044922
2016-11-11,81.55325317382812
2016-11-14,83.22386932373047
2016-11-15,83.74737548828125
2016-11-16,82.76963806152344
2016-11-17,85.14855194091797
2016-11-18,85.64128875732422
2016-11-21,85.2332534790039
2016-11-22,85.27174377441406
2016-11-23,85.56429290771484
2016-11-25,86.28028106689453
2016-11-28,84.53267669677734
2016-11-29,84.11691284179688
2016-11-30,85.10237121582031
2016-12-01,86.68833923339844
2016-12-02,85.51807403564453
2016-12-05,85.84146118164062
2016-12-06,85.83375549316406
2016-12-07,86.74217987060547
2016-12-08,88.3974609375
2016-12-09,88.55142974853516
2016-12-12,87.82003021240234
2016-12-13,88.30506134033203
2016-12-14,87.92010498046875
2016-12-15,89.02104949951172
2016-12-16,88.42823791503906
2016-12-19,89.15192413330078
2016-12-20,90.89955139160156
2016-12-21,90.56849670410156
2016-12-22,90.4068374633789
2016-12-23,90.81486511230469
2016-12-27,91.0843276977539
2016-12-28,90.12197875976562
2016-12-29,89.38288879394531
2016-12-30,90.04499053955078
2017-01-03,90.82259368896484
2017-01-04,91.59244537353516
2017-01-05,90.36833190917969
2017-01-06,91.65401458740234
2017-01-09,90.99964141845703
2017-01-10,91.36146545410156
2017-01-11,93.40937042236328
2017-01-12,91.20521545410156
2017-01-13,91.87034606933594
2017-01-17,88.1116714477539
2017-01-18,89.96006774902344
2017-01-19,89.41095733642578
2017-01-20,90.75665283203125
2017-01-23,90.43184661865234
2017-01-24,91.76978302001953
2017-01-25,93.58724212646484
2017-01-26,94.06670379638672
2017-01-27,94.07447052001953
2017-01-30,93.09998321533203
2017-01-31,93.16188049316406
2017-02-01,93.68777465820312
2017-02-02,92.8138427734375
2017-02-03,94.47663116455078
2017-02-06,94.66998291015625
2017-02-07,93.94296264648438
2017-02-08,93.93524169921875
2017-02-09,94.65449523925781
2017-02-10,95.20359802246094
2017-02-13,96.22447967529297
2017-02-14,97.52375793457031
2017-02-15,98.80757904052734
2017-02-16,98.18885040283203
2017-02-17,98.11154174804688
2017-02-21,98.64517211914062
2017-02-22,98.80757904052734
2017-02-23,99.10147094726562
2017-02-24,98.12698364257812
2017-02-27,99.09374237060547
2017-02-28,98.39768981933594
2017-03-01,101.19732666015625
2017-03-02,98.61422729492188
2017-03-03,98.86172485351562
2017-03-06,98.67607879638672
2017-03-07,98.52916717529297
2017-03-08,98.64517211914062
2017-03-09,98.5910415649414
2017-03-10,97.80216217041016
2017-03-13,97.75577545166016
2017-03-14,97.61656951904297
2017-03-15,96.85090637207031
2017-03-16,97.22986602783203
2017-03-17,96.17032623291016
2017-03-20,95.73724365234375
2017-03-21,91.80071258544922
2017-03-22,91.76203918457031
2017-03-23,92.24928283691406
2017-03-24,92.34209442138672
2017-03-27,91.41401672363281
2017-03-28,93.01495361328125
2017-03-29,92.2956771850586
2017-03-30,93.98938751220703
2017-03-31,92.99171447753906
2017-04-03,92.68234252929688
2017-04-04,92.14874267578125
2017-04-05,91.483642578125
2017-04-06,92.23382568359375
2017-04-07,92.16419219970703
2017-04-10,91.5455093383789
2017-04-11,91.28253936767578
2017-04-12,90.13256072998047
2017-04-13,89.97721099853516
2017-04-17,92.0051498413086
2017-04-18,90.4511489868164
2017-04-19,90.50555419921875
2017-04-20,92.33151245117188
2017-04-21,91.81868743896484
2017-04-24,93.9088134765625
2017-04-25,94.10306549072266
2017-04-26,94.79460906982422
2017-04-27,94.03314208984375
2017-04-28,93.04634094238281
2017-05-01,94.13414764404297
2017-05-02,93.75343322753906
2017-05-03,95.13650512695312
2017-05-04,95.92127227783203
2017-05-05,95.66484832763672
2017-05-08,96.09998321533203
2017-05-09,94.76351928710938
2017-05-10,95.14427185058594
2017-05-11,94.59259796142578
2017-05-12,93.8699722290039
2017-05-15,94.90340423583984
2017-05-16,95.27635192871094
2017-05-17,91.05721282958984
2017-05-18,91.18929290771484
2017-05-19,92.27711486816406
2017-05-22,92.81326293945312
2017-05-23,94.13414764404297
2017-05-24,93.98651123046875
2017-05-25,94.36725616455078
2017-05-26,94.26625061035156
2017-05-30,92.35481262207031
2017-05-31,92.23048400878906
2017-06-01,93.34160614013672
2017-06-02,92.58792114257812
2017-06-05,92.13726043701172
2017-06-06,91.80315399169922
2017-06-07,93.16291809082031
2017-06-08,94.02538299560547
2017-06-09,95.70370483398438
2017-06-12,95.44729614257812
2017-06-13,96.20099639892578
2017-06-14,96.32530975341797
2017-06-15,95.54830169677734
2017-06-16,95.19088745117188
2017-06-19,96.1854476928711
2017-06-20,95.56382751464844
2017-06-21,95.05101776123047
2017-06-22,93.83112335205078
2017-06-23,92.8909683227539
2017-06-26,93.53584289550781
2017-06-27,94.11085510253906
2017-06-28,95.8824234008789
2017-06-29,97.31986999511719
2017-06-30,97.02461242675781
2017-07-03,97.90263366699219
2017-07-05,97.96480560302734
2017-07-06,97.91040802001953
2017-07-07,98.32222747802734
2017-07-10,98.83504486083984
2017-07-11,98.98267364501953
2017-07-12,98.8505859375
2017-07-13,99.51495361328125
2017-07-14,99.39769744873047
2017-07-17,99.54621887207031
2017-07-18,98.14713287353516
2017-07-19,98.79586791992188
2017-07-20,99.22573852539062
2017-07-21,98.67082214355469
2017-07-24,99.37428283691406
2017-07-25,101.08601379394531
2017-07-26,99.54621887207031
2017-07-27,99.78850555419922
2017-07-28,99.77289581298828
2017-07-31,100.67174530029297
2017-08-01,101.93014526367188
2017-08-02,102.14118194580078
2017-08-03,102.0082778930664
2017-08-04,103.30577850341797
2017-08-07,102.47726440429688
2017-08-08,103.45429992675781
2017-08-09,102.96184539794922
2017-08-10,100.82025146484375
2017-08-11,100.08554077148438
2017-08-14,102.3131332397461
2017-08-15,101.87542724609375
2017-08-16,101.68785095214844
2017-08-17,99.49932098388672
2017-08-18,99.35079956054688
2017-08-21,98.95219421386719
2017-08-22,99.66344451904297
2017-08-23,99.6791000366211
2017-08-24,99.78850555419922
2017-08-25,99.95264434814453
2017-08-28,99.69474029541016
2017-08-29,98.69424438476562
2017-08-30,98.31908416748047
2017-08-31,98.02207946777344
2017-09-01,98.98346710205078
2017-09-05,96.75585174560547
2017-09-06,96.57608795166016
2017-09-07,94.34850311279297
2017-09-08,94.97378540039062
2017-09-11,96.74022674560547
2017-09-12,98.82713317871094
2017-09-13,99.49932098388672
2017-09-14,99.4133529663086
2017-09-15,100.19496154785156
2017-09-18,101.37518310546875
2017-09-19,102.61013793945312
2017-09-20,103.95449829101562
2017-09-21,104.22806549072266
2017-09-22,104.29060363769531
2017-09-25,104.36095428466797
2017-09-26,103.50898742675781
2017-09-27,104.98624420166016
2017-09-28,105.09568786621094
2017-09-29,105.33796691894531
2017-10-02,105.61152648925781
2017-10-03,104.87683868408203
2017-10-04,104.94715881347656
2017-10-05,105.9397964477539
2017-10-06,106.05704498291016
2017-10-09,105.99452209472656
2017-10-10,106.86212921142578
2017-10-11,106.68236541748047
2017-10-12,105.72877502441406
2017-10-13,104.54071807861328
2017-10-16,106.13633728027344
2017-10-17,105.53108978271484
2017-10-18,105.90840911865234
2017-10-19,106.34856414794922
2017-10-20,107.64552307128906
2017-10-23,107.50399017333984
2017-10-24,108.33719635009766
2017-10-25,108.04637145996094
2017-10-26,108.35293579101562
2017-10-27,108.60445404052734
2017-10-30,107.81053924560547
2017-10-31,107.51976013183594
2017-11-01,107.63764190673828
2017-11-02,108.78522491455078
2017-11-03,108.973876953125
2017-11-06,108.93456268310547
2017-11-07,105.3974838256836
2017-11-08,104.76868438720703
2017-11-09,104.18704223632812
2017-11-10,104.13200378417969
2017-11-13,103.93548583984375
2017-11-14,103.75468444824219
2017-11-15,104.46212768554688
2017-11-16,104.13986206054688
2017-11-17,104.4228286743164
2017-11-20,104.76868438720703
2017-11-21,104.62718200683594
2017-11-22,104.5721664428711
2017-11-24,104.19486236572266
2017-11-27,104.19486236572266
2017-11-28,106.64725494384766
2017-11-29,109.83063507080078
2017-11-30,110.4830322265625
2017-12-01,110.8288803100586
2017-12-04,113.0611572265625
2017-12-05,111.95291137695312
2017-12-06,112.40877532958984
2017-12-07,112.73106384277344
2017-12-08,113.02973175048828
2017-12-11,112.62884521484375
2017-12-12,114.64110565185547
2017-12-13,113.05333709716797
2017-12-14,112.37735748291016
2017-12-15,113.93365478515625
2017-12-18,114.87687683105469
2017-12-19,114.05156707763672
2017-12-20,113.9100570678711
2017-12-21,114.9633560180664
2017-12-22,114.85330963134766
2017-12-26,113.89434814453125
2017-12-27,113.95724487304688
2017-12-28,114.49958801269531
2017-12-29,113.41487121582031
2018-01-02,113.67428588867188
2018-01-03,113.65071105957031
2018-01-04,113.65857696533203
2018-01-05,113.80004119873047
2018-01-08,114.01229095458984
2018-01-09,116.18952941894531
2018-01-10,117.6043930053711
2018-01-11,119.07422637939453
2018-01-12,119.349365234375
2018-01-16,120.2735366821289
2018-01-17,121.82970428466797
2018-01-18,121.41893005371094
2018-01-19,122.63545227050781
2018-01-22,123.0066909790039
2018-01-23,123.04620361328125
2018-01-24,124.60232543945312
2018-01-25,124.64972686767578
2018-01-26,125.32905578613281
2018-01-29,125.76354217529297
2018-01-30,124.7287368774414
2018-01-31,124.82351684570312
2018-02-01,125.71611785888672
2018-02-02,124.78400421142578
2018-02-05,118.74113464355469
2018-02-06,121.87709045410156
2018-02-07,122.43798065185547
2018-02-08,117.99860382080078
2018-02-09,119.8390884399414
2018-02-12,120.28936767578125
2018-02-13,121.0871810913086
2018-02-14,125.02100372314453
2018-02-15,126.27696990966797
2018-02-16,125.66083526611328
2018-02-20,125.7003173828125
2018-02-21,127.39867401123047
2018-02-22,124.49177551269531
