,RCL
2017-03-29,91.87105560302734
2017-03-30,92.54903411865234
2017-03-31,91.1187744140625
2017-04-03,90.73799896240234
2017-04-04,91.1187744140625
2017-04-05,91.16520690917969
2017-04-06,91.74104309082031
2017-04-07,90.45006561279297
2017-04-10,90.97016906738281
2017-04-11,88.50901794433594
2017-04-12,87.9703369140625
2017-04-13,87.635986328125
2017-04-17,89.10340118408203
2017-04-18,88.74119567871094
2017-04-19,89.07554626464844
2017-04-20,90.28290557861328
2017-04-21,90.39436340332031
2017-04-24,90.49651336669922
2017-04-25,92.08467102050781
2017-04-26,93.31060791015625
2017-04-27,93.33847045898438
2017-04-28,99.00376892089844
2017-05-01,100.68480682373047
2017-05-02,100.3690414428711
2017-05-03,100.39689636230469
2017-05-04,100.22972106933594
2017-05-05,100.87985229492188
2017-05-08,100.27616119384766
2017-05-09,101.06558990478516
2017-05-10,100.61979675292969
2017-05-11,100.5455093383789
2017-05-12,99.9046630859375
2017-05-15,100.41547393798828
2017-05-16,99.6910400390625
2017-05-17,96.26399993896484
2017-05-18,97.49923706054688
2017-05-19,98.58584594726562
2017-05-22,99.57030487060547
2017-05-23,99.50531005859375
2017-05-24,100.47119903564453
2017-05-25,102.40298461914062
2017-05-26,103.16456604003906
2017-05-30,102.56086730957031
2017-05-31,102.77539825439453
2017-06-01,105.17269134521484
2017-06-02,105.76034545898438
2017-06-05,104.5290756225586
2017-06-06,103.40038299560547
2017-06-07,104.61302185058594
2017-06-08,105.23798370361328
2017-06-09,102.43960571289062
2017-06-12,102.51422119140625
2017-06-13,103.38170623779297
2017-06-14,104.13727569580078
2017-06-15,104.53838348388672
2017-06-16,104.37982177734375
2017-06-19,105.68573760986328
2017-06-20,104.1652603149414
2017-06-21,106.25474548339844
2017-06-22,104.61302185058594
2017-06-23,104.3425064086914
2017-06-26,103.8481216430664
2017-06-27,101.57210540771484
2017-06-28,103.3071060180664
2017-06-29,101.92655944824219
2017-06-30,101.88924407958984
2017-07-03,101.52545928955078
2017-07-05,103.20449829101562
2017-07-06,101.27359008789062
2017-07-07,101.86127471923828
2017-07-10,101.85193634033203
2017-07-11,101.917236328125
2017-07-12,102.62616729736328
2017-07-13,102.18775177001953
2017-07-14,101.57210540771484
2017-07-17,103.99735260009766
2017-07-18,104.33316040039062
2017-07-19,104.9954605102539
2017-07-20,107.5140151977539
2017-07-21,107.18753051757812
2017-07-24,107.96175384521484
2017-07-25,107.19683837890625
2017-07-26,106.7584457397461
2017-07-27,105.67640686035156
2017-07-28,105.76969146728516
2017-07-31,105.47119140625
2017-08-01,109.01581573486328
2017-08-02,109.50086212158203
2017-08-03,111.86083221435547
2017-08-04,111.64630126953125
2017-08-07,109.84600067138672
2017-08-08,111.74890899658203
2017-08-09,112.39252471923828
2017-08-10,109.42623901367188
2017-08-11,109.34230041503906
2017-08-14,111.5716781616211
2017-08-15,113.53986358642578
2017-08-16,113.08279418945312
2017-08-17,111.20787048339844
2017-08-18,110.82542419433594
2017-08-21,111.92613220214844
2017-08-22,112.8775863647461
2017-08-23,112.5138168334961
2017-08-24,112.43917846679688
2017-08-25,112.34589385986328
2017-08-28,112.64439392089844
2017-08-29,112.2432861328125
2017-08-30,113.4559097290039
2017-08-31,116.09571838378906
2017-09-01,115.89051055908203
2017-09-05,111.03998565673828
2017-09-06,110.83476257324219
2017-09-07,109.64077758789062
2017-09-08,109.55683135986328
2017-09-11,113.51187896728516
2017-09-12,113.48392486572266
2017-09-13,113.9782943725586
2017-09-14,115.24689483642578
2017-09-15,112.79364013671875
2017-09-18,110.81610870361328
2017-09-19,110.5549087524414
2017-09-20,107.77518463134766
2017-09-21,108.94727325439453
2017-09-22,108.1033706665039
2017-09-25,106.78125
2017-09-26,109.88493347167969
2017-09-27,108.52532196044922
2017-09-28,110.84133911132812
2017-09-29,111.15077209472656
2017-10-02,111.69462585449219
2017-10-03,111.58209991455078
2017-10-04,114.0856704711914
2017-10-05,115.95162963867188
2017-10-06,115.6984634399414
2017-10-09,116.76739501953125
2017-10-10,117.02056121826172
2017-10-11,117.21747589111328
2017-10-12,117.20809936523438
2017-10-13,119.80542755126953
2017-10-16,119.44911193847656
2017-10-17,119.28971862792969
2017-10-18,117.0955810546875
2017-10-19,113.5699462890625
2017-10-20,113.1855239868164
2017-10-23,114.15131378173828
2017-10-24,114.77017974853516
2017-10-25,113.7199935913086
2017-10-26,115.38902282714844
2017-10-27,116.46733856201172
2017-10-30,114.3857421875
2017-10-31,116.05477142333984
2017-11-01,113.32616424560547
2017-11-02,115.41716003417969
2017-11-03,115.50154876708984
2017-11-06,117.52690124511719
2017-11-07,121.17442321777344
2017-11-08,120.88375091552734
2017-11-09,118.77399444580078
2017-11-10,116.47671508789062
2017-11-13,116.72052001953125
2017-11-14,115.81098175048828
2017-11-15,114.8826904296875
2017-11-16,115.13585662841797
2017-11-17,116.64550018310547
2017-11-20,116.22354125976562
2017-11-21,117.01119232177734
2017-11-22,117.63005065917969
2017-11-24,117.40501403808594
2017-11-27,117.44249725341797
2017-11-28,117.9582290649414
2017-11-29,116.92678833007812
2017-11-30,116.15790557861328
2017-12-01,117.42377471923828
2017-12-04,117.28311920166016
2017-12-05,115.16398620605469
2017-12-06,115.35152435302734
2017-12-07,116.31732177734375
2017-12-08,117.42377471923828
2017-12-11,117.63005065917969
2017-12-12,116.11102294921875
2017-12-13,114.10443115234375
2017-12-14,114.07630157470703
2017-12-15,117.29248809814453
2017-12-18,118.68961334228516
2017-12-19,118.66149139404297
2017-12-20,116.33441162109375
2017-12-21,114.70452117919922
2017-12-22,114.054443359375
2017-12-26,113.22538757324219
2017-12-27,114.19577026367188
2017-12-28,113.88488006591797
2017-12-29,112.37745666503906
2018-01-02,113.41380310058594
2018-01-03,116.42863464355469
2018-01-04,115.37344360351562
2018-01-05,114.21461486816406
2018-01-08,114.08271026611328
2018-01-09,116.02351379394531
2018-01-10,115.93871307373047
2018-01-11,118.15272521972656
2018-01-12,120.15003967285156
2018-01-16,119.41517639160156
2018-01-17,122.67497253417969
2018-01-18,121.83647155761719
2018-01-19,121.5067138671875
2018-01-22,121.2523422241211
2018-01-23,119.85799407958984
2018-01-24,124.84185791015625
2018-01-25,124.29540252685547
2018-01-26,127.16891479492188
2018-01-29,126.9710693359375
2018-01-30,125.56730651855469
2018-01-31,125.8216781616211
2018-02-01,125.59556579589844
2018-02-02,122.15678405761719
2018-02-05,118.11505126953125
2018-02-06,120.27252197265625
2018-02-07,121.08275604248047
2018-02-08,115.36400604248047
2018-02-09,117.26713562011719
2018-02-12,121.78935241699219
2018-02-13,121.56324768066406
2018-02-14,122.97644805908203
2018-02-15,124.0881576538086
2018-02-16,124.05986785888672
2018-02-20,123.94683074951172
2018-02-21,122.99527740478516
2018-02-22,122.10025024414062
2018-02-23,122.66552734375
2018-02-26,122.85396575927734
2018-02-27,121.40309143066406
2018-02-28,119.27384948730469
2018-03-01,116.79607391357422
2018-03-02,115.53359985351562
2018-03-05,114.33709716796875
2018-03-06,117.21540832519531
2018-03-07,116.95976257324219
2018-03-08,118.14327239990234
2018-03-09,119.88541412353516
2018-03-12,118.5977554321289
2018-03-13,119.25103759765625
2018-03-14,118.94805908203125
2018-03-15,118.02019500732422
2018-03-16,118.11487579345703
2018-03-19,117.80242919921875
2018-03-20,118.21903228759766
2018-03-21,116.80826568603516
2018-03-22,113.7879409790039
2018-03-23,110.81494903564453
2018-03-26,113.54176330566406
2018-03-27,112.00792694091797
2018-03-28,110.33206176757812
2018-03-29,111.47771453857422
2018-04-02,110.0764389038086
2018-04-03,109.4988784790039
2018-04-04,110.63504791259766
2018-04-05,111.553466796875
2018-04-06,108.72249603271484
2018-04-09,109.00653839111328
2018-04-10,106.91407775878906
2018-04-11,107.14131927490234
2018-04-12,108.62781524658203
2018-04-13,107.69046783447266
2018-04-16,109.55569458007812
2018-04-17,110.73920440673828
2018-04-18,112.00792694091797
2018-04-19,111.70496368408203
2018-04-20,112.75590515136719
2018-04-23,113.34292602539062
2018-04-24,111.03270721435547
2018-04-25,112.18782806396484
2018-04-26,106.92354583740234
2018-04-27,105.87258911132812
2018-04-30,102.43566131591797
2018-05-01,103.73279571533203
2018-05-02,101.48885345458984
2018-05-03,100.68405151367188
2018-05-04,101.6498031616211
2018-05-07,99.47212982177734
2018-05-08,98.5347900390625
2018-05-09,99.57628631591797
2018-05-10,101.56459045410156
2018-05-11,101.36575317382812
2018-05-14,101.43203735351562
2018-05-15,100.94917297363281
2018-05-16,102.24628448486328
2018-05-17,101.64032745361328
2018-05-18,101.27107238769531
2018-05-21,101.51725006103516
2018-05-22,101.79182434082031
2018-05-23,100.6745834350586
2018-05-24,101.02490234375
2018-05-25,103.96002960205078
2018-05-29,100.15383911132812
2018-05-30,100.40948486328125
2018-05-31,99.3963851928711
2018-06-01,101.25328063964844
2018-06-04,101.42469024658203
2018-06-05,97.27286529541016
2018-06-06,99.39637756347656
2018-06-07,99.41542053222656
2018-06-08,98.53936767578125
2018-06-11,98.72981262207031
2018-06-12,100.65335845947266
2018-06-13,102.82452392578125
2018-06-14,108.0809555053711
2018-06-15,109.04273986816406
2018-06-18,109.1474838256836
2018-06-19,106.93824768066406
2018-06-20,106.22405242919922
2018-06-21,104.95755767822266
2018-06-22,106.22405242919922
2018-06-25,100.3581771850586
2018-06-26,101.22472381591797
2018-06-27,99.76776123046875
2018-06-28,99.31068420410156
2018-06-29,98.65364074707031
2018-07-02,98.9964370727539
2018-07-03,98.50128173828125
2018-07-05,98.92025756835938
2018-07-06,99.73919677734375
2018-07-09,102.98638916015625
2018-07-10,103.91960144042969
2018-07-11,104.02433776855469
2018-07-12,103.73866271972656
2018-07-13,102.71976470947266
2018-07-16,103.87197875976562
2018-07-17,104.12909698486328
2018-07-18,107.43341827392578
2018-07-19,106.15740203857422
2018-07-20,105.28131866455078
2018-07-23,104.50997924804688
2018-07-24,103.96721649169922
2018-07-25,105.48128509521484
2018-07-26,106.23358154296875
2018-07-27,106.43355560302734
2018-07-30,105.72887420654297
2018-07-31,107.37628936767578
2018-08-01,104.73853302001953
2018-08-02,108.89037322998047
2018-08-03,107.05252075195312
2018-08-06,106.35737609863281
2018-08-07,106.843017578125
2018-08-08,105.78601837158203
2018-08-09,108.72848510742188
2018-08-10,108.21427154541016
2018-08-13,108.19522094726562
2018-08-14,110.83296966552734
2018-08-15,109.00464630126953
2018-08-16,109.97594451904297
2018-08-17,110.19496154785156
2018-08-20,111.24244689941406
2018-08-21,112.84223175048828
2018-08-22,112.68035125732422
2018-08-23,112.39466857910156
2018-08-24,113.99446105957031
2018-08-27,114.25157165527344
2018-08-28,114.4134521484375
2018-08-29,118.03202056884766
2018-08-30,117.04167175292969
2018-08-31,116.72743225097656
2018-09-04,115.3656997680664
2018-09-05,115.07051849365234
2018-09-06,118.11772155761719
2018-09-07,118.42244720458984
2018-09-10,118.00345611572266
2018-09-11,116.67029571533203
2018-09-12,117.79395294189453
2018-09-13,119.85083770751953
