,CME
2016-08-23,77.49638366699219
2016-08-24,77.34290313720703
2016-08-25,77.19674682617188
2016-08-26,77.38676452636719
2016-08-29,78.46119689941406
2016-08-30,78.81932067871094
2016-08-31,79.19208526611328
2016-09-01,79.4478759765625
2016-09-02,79.30901336669922
2016-09-06,78.71700286865234
2016-09-07,78.50382995605469
2016-09-08,78.26129913330078
2016-09-09,77.94526672363281
2016-09-12,79.5107650756836
2016-09-13,79.21678161621094
2016-09-14,79.0477066040039
2016-09-15,80.31926727294922
2016-09-16,80.59121704101562
2016-09-19,80.67205047607422
2016-09-20,80.06935119628906
2016-09-21,80.04730987548828
2016-09-22,79.68714904785156
2016-09-23,78.2686538696289
2016-09-26,77.37195587158203
2016-09-27,77.69535827636719
2016-09-28,78.14372253417969
2016-09-29,76.96774291992188
2016-09-30,76.82070922851562
2016-10-03,76.489990234375
2016-10-04,76.38709259033203
2016-10-05,76.4826431274414
2016-10-06,76.57820129394531
2016-10-07,76.30624389648438
2016-10-10,76.51936340332031
2016-10-11,76.38709259033203
2016-10-12,76.636962890625
2016-10-13,76.37972259521484
2016-10-14,77.49691009521484
2016-10-17,76.24010467529297
2016-10-18,76.50468444824219
2016-10-19,76.38709259033203
2016-10-20,76.18131256103516
2016-10-21,76.50468444824219
2016-10-24,76.10044860839844
2016-10-25,75.94608306884766
2016-10-26,75.58594512939453
2016-10-27,73.58678436279297
2016-10-28,73.43243408203125
2016-10-31,73.57208251953125
2016-11-01,73.2339859008789
2016-11-02,74.37324523925781
2016-11-03,75.71089172363281
2016-11-04,75.59331512451172
2016-11-07,77.0265121459961
2016-11-08,77.63655090332031
2016-11-09,82.31842041015625
2016-11-10,86.03009796142578
2016-11-11,84.06768798828125
2016-11-14,85.12603759765625
2016-11-15,85.30982208251953
2016-11-16,84.58952331542969
2016-11-17,84.890869140625
2016-11-18,83.7369384765625
2016-11-21,83.95745849609375
2016-11-22,82.53157043457031
2016-11-23,82.75208282470703
2016-11-25,82.935791015625
2016-11-28,82.23023223876953
2016-11-29,82.81086730957031
2016-11-30,82.98725128173828
2016-12-01,84.46458435058594
2016-12-02,84.99376678466797
2016-12-05,86.66216278076172
2016-12-06,87.53680419921875
2016-12-07,89.27278900146484
2016-12-08,90.3365249633789
2016-12-09,90.6689453125
2016-12-12,90.5581283569336
2016-12-13,91.17864227294922
2016-12-14,89.8342056274414
2016-12-15,90.36607360839844
2016-12-16,90.60986328125
2016-12-19,90.42520141601562
2016-12-20,90.43254852294922
2016-12-21,89.52393341064453
2016-12-22,89.15458679199219
2016-12-23,88.75981903076172
2016-12-27,88.58525848388672
2016-12-28,88.03105163574219
2016-12-29,87.75016021728516
2016-12-30,87.56795501708984
2017-01-03,86.84677124023438
2017-01-04,87.69699096679688
2017-01-05,88.00068664550781
2017-01-06,88.96481323242188
2017-01-09,88.31190490722656
2017-01-10,88.28913879394531
2017-01-11,87.98550415039062
2017-01-12,88.38786315917969
2017-01-13,88.72186279296875
2017-01-17,87.82608032226562
2017-01-18,89.0103530883789
2017-01-19,88.33470916748047
2017-01-20,88.56246185302734
2017-01-23,88.24362182617188
2017-01-24,89.15457153320312
2017-01-25,91.21189880371094
2017-01-26,91.6597671508789
2017-01-27,91.33335876464844
