,NUE
2020-01-14,49.07416915893555
2020-01-15,48.55616760253906
2020-01-16,48.48345947265625
2020-01-17,48.90149688720703
2020-01-21,47.583770751953125
2020-01-22,47.229339599609375
2020-01-23,47.0294075012207
2020-01-24,45.73893356323242
2020-01-27,44.693843841552734
2020-01-28,44.95738983154297
2020-01-29,43.676002502441406
2020-01-30,44.40303039550781
2020-01-31,43.157997131347656
2020-02-03,43.56695556640625
2020-02-04,44.384857177734375
2020-02-05,45.002830505371094
2020-02-06,44.57569885253906
2020-02-07,43.54878234863281
2020-02-10,43.3124885559082
2020-02-11,43.93046951293945
2020-02-12,43.95772171020508
2020-02-13,43.576045989990234
2020-02-14,42.8490104675293
2020-02-18,43.0671272277832
2020-02-19,43.35792922973633
2020-02-20,43.485172271728516
2020-02-21,44.13948059082031
2020-02-24,42.97624969482422
2020-02-25,40.867881774902344
2020-02-26,39.686458587646484
2020-02-27,37.99612808227539
2020-02-28,37.57807922363281
2020-03-02,38.804935455322266
2020-03-03,38.050655364990234
2020-03-04,39.250240325927734
2020-03-05,37.050994873046875
2020-03-06,35.99681091308594
2020-03-09,31.552871704101562
2020-03-10,33.743019104003906
2020-03-11,32.19810104370117
2020-03-12,28.871967315673828
2020-03-13,32.570709228515625
2020-03-16,27.845046997070312
2020-03-17,28.16312026977539
2020-03-18,26.672718048095703
2020-03-19,28.00862693786621
2020-03-20,27.835960388183594
2020-03-23,25.827552795410156
2020-03-24,29.062814712524414
2020-03-25,28.353965759277344
2020-03-26,30.480510711669922
2020-03-27,30.316932678222656
2020-03-30,32.1226806640625
2020-03-31,33.134559631347656
2020-04-01,33.024173736572266
2020-04-02,33.060977935791016
2020-04-03,32.7942008972168
2020-04-06,34.50519943237305
2020-04-07,34.33042526245117
2020-04-08,35.921844482421875
2020-04-09,36.27139663696289
2020-04-13,35.68266677856445
2020-04-14,35.30550765991211
2020-04-15,32.68381881713867
2020-04-16,32.66541290283203
2020-04-17,34.33962631225586
2020-04-20,33.603702545166016
2020-04-21,33.16216278076172
2020-04-22,33.4841194152832
2020-04-23,34.698387145996094
2020-04-24,34.836360931396484
2020-04-27,37.25568771362305
2020-04-28,37.246482849121094
2020-04-29,39.0954704284668
2020-04-30,37.890411376953125
2020-05-01,37.71562957763672
2020-05-04,37.770835876464844
2020-05-05,37.48566436767578
2020-05-06,37.25568771362305
2020-05-07,37.632835388183594
2020-05-08,38.81950759887695
2020-05-11,37.37527084350586
2020-05-12,35.885040283203125
2020-05-13,34.33042526245117
2020-05-14,34.4868049621582
2020-05-15,35.02034378051758
2020-05-18,37.58684539794922
2020-05-19,37.172889709472656
2020-05-20,37.4212646484375
2020-05-21,36.79574203491211
2020-05-22,36.31739807128906
2020-05-26,38.18477249145508
2020-05-27,39.64740753173828
2020-05-28,39.14146041870117
2020-05-29,38.87469482421875
2020-06-01,39.058677673339844
2020-06-02,39.76698684692383
2020-06-03,40.567298889160156
2020-06-04,41.06404113769531
2020-06-05,41.82755661010742
2020-06-08,41.845951080322266
2020-06-09,40.70528793334961
2020-06-10,40.567298889160156
2020-06-11,36.482967376708984
2020-06-12,37.89961624145508
2020-06-15,38.56193542480469
2020-06-16,41.01805114746094
2020-06-17,40.475303649902344
2020-06-18,40.03377151489258
2020-06-19,39.279449462890625
2020-06-22,38.911495208740234
2020-06-23,38.8379020690918
2020-06-24,37.41206359863281
2020-06-25,38.101985931396484
2020-06-26,37.3476676940918
2020-06-29,38.00084686279297
2020-06-30,38.474693298339844
2020-07-01,37.5177001953125
2020-07-02,38.46540832519531
2020-07-06,38.69768142700195
2020-07-07,38.260990142822266
2020-07-08,36.8487434387207
2020-07-09,36.04969024658203
2020-07-10,37.582740783691406
2020-07-13,37.10887908935547
2020-07-14,38.14950180053711
2020-07-15,38.725555419921875
2020-07-16,38.79988098144531
2020-07-17,38.335330963134766
2020-07-20,37.81502151489258
2020-07-21,38.92066955566406
2020-07-22,39.26443862915039
2020-07-23,39.571044921875
2020-07-24,39.812618255615234
2020-07-27,40.72315216064453
2020-07-28,39.645381927490234
2020-07-29,40.19355392456055
2020-07-30,39.673248291015625
2020-07-31,38.976417541503906
2020-08-03,39.8219108581543
2020-08-04,39.96126937866211
2020-08-05,40.3979606628418
2020-08-06,40.19355392456055
2020-08-07,41.19700241088867
2020-08-10,42.83224105834961
2020-08-11,42.191158294677734
2020-08-12,42.63712692260742
2020-08-13,42.2747688293457
2020-08-14,42.962318420410156
2020-08-17,43.083099365234375
2020-08-18,43.083099365234375
2020-08-19,42.54421615600586
2020-08-20,42.414146423339844
2020-08-21,41.522193908691406
2020-08-24,42.75790786743164
2020-08-25,42.339813232421875
2020-08-26,42.2747688293457
2020-08-27,42.321224212646484
2020-08-28,42.73004150390625
2020-08-31,42.23760986328125
2020-09-01,43.333961486816406
2020-09-02,44.095848083496094
2020-09-03,43.30609893798828
2020-09-04,43.57553482055664
2020-09-08,42.358394622802734
2020-09-09,42.79507827758789
2020-09-10,42.17256164550781
2020-09-11,42.6743049621582
2020-09-14,43.4175910949707
2020-09-15,43.47333908081055
2020-09-16,44.18875503540039
2020-09-17,45.49879837036133
2020-09-18,45.69392013549805
2020-09-21,42.55351638793945
2020-09-22,42.442012786865234
2020-09-23,41.50360870361328
2020-09-24,41.587223052978516
2020-09-25,42.0424919128418
2020-09-28,42.99019241333008
2020-09-29,41.93388366699219
2020-09-30,42.046356201171875
2020-10-01,42.22443389892578
2020-10-02,43.15234375
2020-10-05,44.314571380615234
2020-10-06,43.98651885986328
2020-10-07,45.5986442565918
2020-10-08,46.339088439941406
2020-10-09,45.79546356201172
2020-10-12,46.189125061035156
2020-10-13,45.61738204956055
2020-10-14,46.282867431640625
2020-10-15,46.17038345336914
2020-10-16,46.235992431640625
2020-10-19,45.898563385009766
2020-10-20,45.46742630004883
2020-10-21,45.40181350708008
2020-10-22,46.77024459838867
2020-10-23,47.042057037353516
2020-10-26,45.25184631347656
2020-10-27,45.195613861083984
2020-10-28,43.658470153808594
2020-10-29,44.93317413330078
2020-10-30,44.76445388793945
2020-11-02,45.80483627319336
2020-11-03,46.910831451416016
2020-11-04,44.005271911621094
2020-11-05,45.73923110961914
2020-11-06,45.3830680847168
2020-11-09,47.5762939453125
2020-11-10,48.532325744628906
2020-11-11,47.623165130615234
2020-11-12,46.49842834472656
2020-11-13,48.41984939575195
2020-11-16,50.89427185058594
2020-11-17,50.481868743896484
2020-11-18,49.600830078125
2020-11-19,49.516475677490234
2020-11-20,49.254032135009766
2020-11-23,50.30377960205078
2020-11-24,52.88129425048828
2020-11-25,51.34415817260742
2020-11-27,51.61598205566406
2020-11-30,50.3319091796875
2020-12-01,51.48476028442383
2020-12-02,51.64409255981445
2020-12-03,51.362911224365234
2020-12-04,52.88129425048828
2020-12-07,52.43141174316406
2020-12-08,52.993778228759766
2020-12-09,52.89067077636719
2020-12-10,53.52802658081055
2020-12-11,53.087501525878906
2020-12-14,52.16897964477539
2020-12-15,53.02189254760742
2020-12-16,52.900047302246094
2020-12-17,51.97214126586914
2020-12-18,50.5474739074707
2020-12-21,50.74430465698242
2020-12-22,49.760162353515625
2020-12-23,49.27278137207031
2020-12-24,49.15092468261719
2020-12-28,48.84162902832031
2020-12-29,48.81351089477539
2020-12-30,50.00845718383789
2020-12-31,50.24462127685547
2021-01-04,49.60226821899414
2021-01-05,51.07589340209961
2021-01-06,53.86252975463867
2021-01-07,53.0784912109375
2021-01-08,52.917903900146484
2021-01-11,53.65470886230469
2021-01-12,54.882728576660156
2021-01-13,53.569698333740234
2021-01-14,53.54136276245117
2021-01-15,52.39836120605469
2021-01-19,52.7856559753418
2021-01-20,52.67230224609375
2021-01-21,51.40650177001953
2021-01-22,51.74657440185547
2021-01-25,51.500972747802734
2021-01-26,49.87620544433594
2021-01-27,48.48762512207031
2021-01-28,47.54298782348633
2021-01-29,46.031593322753906
2021-02-01,46.30553436279297
2021-02-02,47.67523956298828
2021-02-03,48.799339294433594
2021-02-04,49.139404296875
2021-02-05,50.04624938964844
2021-02-08,50.72637939453125
2021-02-09,51.6521110534668
2021-02-10,51.916603088378906
2021-02-11,51.81269073486328
2021-02-12,53.220191955566406
2021-02-16,54.16481399536133
2021-02-17,53.84364318847656
2021-02-18,53.37132263183594
2021-02-19,54.826045989990234
2021-02-22,56.554718017578125
2021-02-23,57.489898681640625
2021-02-24,59.53972625732422
2021-02-25,58.10390090942383
2021-02-26,56.507476806640625
2021-03-01,58.11334991455078
2021-03-02,58.38729476928711
2021-03-03,58.85015106201172
2021-03-04,57.05537033081055
2021-03-05,59.43581771850586
2021-03-08,62.694786071777344
2021-03-09,62.213016510009766
2021-03-10,63.724422454833984
2021-03-11,64.07392883300781
2021-03-12,65.8970718383789
2021-03-15,65.65145874023438
2021-03-16,65.0941390991211
2021-03-17,66.35047912597656
2021-03-18,66.50161743164062
2021-03-19,67.37066650390625
2021-03-22,65.69868469238281
2021-03-23,63.77165985107422
2021-03-24,65.62312316894531
2021-03-25,68.78761291503906
2021-03-26,74.90878295898438
2021-03-29,74.38923645019531
2021-03-30,76.33098602294922
2021-03-31,76.217041015625
2021-04-01,75.84673309326172
2021-04-05,76.44493103027344
2021-04-06,75.80874633789062
2021-04-07,75.78026580810547
2021-04-08,75.58087921142578
2021-04-09,76.23603057861328
2021-04-12,76.46391296386719
2021-04-13,74.32752990722656
2021-04-14,75.068115234375
2021-04-15,74.91621398925781
2021-04-16,75.48592376708984
2021-04-19,75.42896270751953
2021-04-20,74.52690887451172
2021-04-21,76.13158416748047
2021-04-22,72.24809265136719
2021-04-23,73.9002456665039
2021-04-26,76.53038024902344
2021-04-27,76.6158447265625
2021-04-28,77.46089935302734
2021-04-29,78.24899291992188
2021-04-30,78.10655212402344
2021-05-03,81.37286376953125
2021-05-04,85.1329345703125
2021-05-05,88.14286804199219
2021-05-06,90.85845947265625
2021-05-07,93.7734603881836
2021-05-10,96.1852035522461
2021-05-11,96.83087921142578
2021-05-12,91.14330291748047
2021-05-13,95.71045684814453
2021-05-14,97.33411407470703
2021-05-17,100.95172882080078
2021-05-18,98.24563598632812
2021-05-19,96.40359497070312
2021-05-20,96.02378845214844
2021-05-21,96.97329711914062
2021-05-24,98.14120483398438
2021-05-25,94.99832916259766
2021-05-26,95.75792694091797
2021-05-27,95.94783782958984
2021-05-28,97.36259460449219
2021-06-01,105.1485824584961
2021-06-02,99.72686004638672
2021-06-03,101.66387176513672
2021-06-04,103.28752136230469
2021-06-07,101.94872283935547
2021-06-08,104.43643188476562
2021-06-09,102.14813232421875
2021-06-10,100.9422378540039
2021-06-11,101.20811462402344
2021-06-14,97.52400970458984
2021-06-15,96.77391052246094
2021-06-16,94.89388275146484
2021-06-17,90.44068145751953
2021-06-18,88.32327270507812
2021-06-21,91.0198745727539
