,WY
2020-11-30,24.383527755737305
2020-12-01,24.57664680480957
2020-12-02,24.257579803466797
2020-12-03,24.907941818237305
2020-12-04,25.946826934814453
2020-12-07,25.532960891723633
2020-12-08,26.014400482177734
2020-12-09,26.783004760742188
2020-12-10,26.816791534423828
2020-12-11,27.027944564819336
2020-12-14,27.332008361816406
2020-12-15,28.345558166503906
2020-12-16,28.632734298706055
2020-12-17,29.105716705322266
2020-12-18,28.497583389282227
2020-12-21,28.151294708251953
2020-12-22,28.168182373046875
2020-12-23,28.387788772583008
2020-12-24,28.59049415588379
2020-12-28,28.472248077392578
2020-12-29,28.151294708251953
2020-12-30,28.421573638916016
2020-12-31,28.320219039916992
2021-01-04,27.712085723876953
2021-01-05,27.973922729492188
2021-01-06,28.117515563964844
2021-01-07,28.387788772583008
2021-01-08,28.19352149963379
2021-01-11,27.957027435302734
2021-01-12,27.627626419067383
2021-01-13,27.163084030151367
2021-01-14,27.593841552734375
2021-01-15,27.467151641845703
2021-01-19,27.619182586669922
2021-01-20,28.32866668701172
2021-01-21,28.159738540649414
2021-01-22,28.049936294555664
2021-01-25,28.294879913330078
2021-01-26,27.990816116333008
2021-01-27,27.196868896484375
2021-01-28,27.88945770263672
2021-01-29,26.343799591064453
2021-02-01,27.061735153198242
2021-02-02,27.408023834228516
2021-02-03,28.708744049072266
2021-02-04,28.68340301513672
2021-02-05,29.055042266845703
2021-02-08,29.69695281982422
2021-02-09,29.198623657226562
2021-02-10,29.055042266845703
2021-02-11,28.92835235595703
2021-02-12,29.595596313476562
2021-02-16,29.468904495239258
2021-02-17,28.852331161499023
2021-02-18,28.556703567504883
2021-02-19,29.553369522094727
2021-02-22,29.96722984313965
2021-02-23,29.5871524810791
2021-02-24,30.32198143005371
2021-02-25,29.07193374633789
2021-02-26,28.60739517211914
2021-03-01,29.61249351501465
2021-03-02,28.53982162475586
2021-03-03,28.320219039916992
2021-03-04,27.853309631347656
2021-03-05,28.659791946411133
2021-03-08,28.897485733032227
2021-03-09,29.194616317749023
2021-03-10,30.170881271362305
2021-03-11,30.28123664855957
2021-03-12,30.484981536865234
2021-03-15,30.637784957885742
2021-03-16,30.24729347229004
2021-03-17,30.688724517822266
2021-03-18,29.262523651123047
2021-03-19,28.76166343688965
2021-03-22,29.109718322753906
2021-03-23,28.490005493164062
2021-03-24,28.702228546142578
2021-03-25,29.5341854095459
2021-03-26,30.085987091064453
2021-03-29,29.890731811523438
2021-03-30,30.094482421875
2021-03-31,30.22181510925293
2021-04-01,31.274490356445312
2021-04-05,31.189590454101562
2021-04-06,31.52916145324707
2021-04-07,31.266000747680664
2021-04-08,31.435773849487305
2021-04-09,31.86873435974121
2021-04-12,31.673480987548828
2021-04-13,31.76685905456543
2021-04-14,32.27621841430664
2021-04-15,32.69219970703125
2021-04-16,33.37982177734375
2021-04-19,33.00629425048828
2021-04-20,32.58183288574219
2021-04-21,32.42902374267578
2021-04-22,32.114925384521484
2021-04-23,32.42902374267578
2021-04-26,32.97233581542969
2021-04-27,33.43077087402344
2021-04-28,33.7618522644043
2021-04-29,33.6514778137207
2021-04-30,32.91291427612305
2021-05-03,33.42226791381836
2021-05-04,33.26946258544922
2021-05-05,32.73463821411133
2021-05-06,33.2949333190918
2021-05-07,33.95709991455078
2021-05-10,34.62775421142578
2021-05-11,33.6514778137207
2021-05-12,31.9366455078125
2021-05-13,32.361114501953125
2021-05-14,32.522403717041016
2021-05-17,32.318668365478516
2021-05-18,31.681964874267578
2021-05-19,31.648014068603516
2021-05-20,31.51219367980957
2021-05-21,31.444263458251953
2021-05-24,31.537643432617188
2021-05-25,31.63102912902832
2021-05-26,32.19982147216797
2021-05-27,32.530887603759766
2021-05-28,32.225284576416016
2021-06-01,32.80255126953125
2021-06-02,32.05548858642578
2021-06-03,30.946903228759766
2021-06-04,30.708127975463867
2021-06-07,30.44376564025879
2021-06-08,30.332908630371094
2021-06-09,30.725181579589844
2021-06-10,29.846834182739258
2021-06-11,30.11971664428711
2021-06-14,29.44603157043457
2021-06-15,29.56542205810547
2021-06-16,29.318115234375
2021-06-17,29.02817153930664
2021-06-18,28.490936279296875
2021-06-21,29.215787887573242
2021-06-22,29.104928970336914
2021-06-23,28.925844192504883
2021-06-24,29.19020652770996
2021-06-25,29.241365432739258
2021-06-28,28.994070053100586
2021-06-29,29.113454818725586
2021-06-30,29.352224349975586
2021-07-01,29.275484085083008
2021-07-02,29.258420944213867
2021-07-06,28.968482971191406
2021-07-07,29.710390090942383
2021-07-08,29.880939483642578
2021-07-09,30.546092987060547
2021-07-12,30.40113067626953
2021-07-13,29.514253616333008
2021-07-14,29.591007232666016
2021-07-15,29.531312942504883
2021-07-16,29.011119842529297
2021-07-19,28.098657608032227
2021-07-20,28.69559669494629
2021-07-21,29.062292098999023
2021-07-22,29.1390380859375
2021-07-23,29.48867416381836
2021-07-26,29.556894302368164
2021-07-27,29.718915939331055
2021-07-28,29.309598922729492
2021-07-29,29.70186996459961
2021-07-30,28.76382064819336
2021-08-02,29.181673049926758
2021-08-03,29.454553604125977
2021-08-04,29.02817153930664
2021-08-05,29.40339469909668
2021-08-06,29.463092803955078
2021-08-09,29.104928970336914
2021-08-10,29.514253616333008
2021-08-11,30.12824821472168
2021-08-12,29.86388397216797
2021-08-13,29.693336486816406
2021-08-16,29.573944091796875
2021-08-17,28.89173698425293
2021-08-18,28.823514938354492
2021-08-19,28.917322158813477
2021-08-20,29.130510330200195
2021-08-23,29.44603157043457
2021-08-24,29.727441787719727
2021-08-25,30.068553924560547
2021-08-26,30.017379760742188
2021-08-27,30.65696907043457
2021-08-30,30.929845809936523
2021-08-31,30.69959831237793
2021-09-01,30.972484588623047
2021-09-02,31.340904235839844
2021-09-03,31.392305374145508
2021-09-07,30.955354690551758
2021-09-08,30.287063598632812
2021-09-09,29.875810623168945
2021-09-10,29.738727569580078
2021-09-13,29.601646423339844
2021-09-14,29.20752716064453
2021-09-15,30.021461486816406
2021-09-16,30.5783634185791
2021-09-17,30.989612579345703
2021-09-20,30.6212100982666
2021-09-21,30.20995330810547
2021-09-22,31.19524383544922
2021-09-23,31.923505783081055
2021-09-24,31.863534927368164
2021-09-27,31.786422729492188
2021-09-28,31.315195083618164
2021-09-29,31.340904235839844
2021-09-30,30.475555419921875
2021-10-01,30.64690589904785
2021-10-04,31.037927627563477
2021-10-05,31.046615600585938
2021-10-06,31.124814987182617
2021-10-07,31.26384735107422
2021-10-08,31.507139205932617
2021-10-11,32.37606430053711
2021-10-12,32.523780822753906
2021-10-13,32.49771499633789
2021-10-14,32.628055572509766
2021-10-15,32.35869598388672
2021-10-18,32.12407684326172
2021-10-19,31.950298309326172
2021-10-20,32.41951370239258
2021-10-21,31.967674255371094
2021-10-22,32.27179718017578
2021-10-25,32.78445816040039
2021-10-26,31.94160270690918
2021-10-27,31.029237747192383
2021-10-28,31.628793716430664
2021-10-29,31.037927627563477
2021-11-01,32.13276672363281
2021-11-02,31.411563873291016
2021-11-03,33.25367736816406
2021-11-04,33.14071273803711
2021-11-05,33.305816650390625
2021-11-08,32.78445816040039
2021-11-09,32.628055572509766
2021-11-10,32.05455780029297
2021-11-11,31.98505401611328
2021-11-12,32.08932113647461
2021-11-15,32.506404876708984
2021-11-16,33.331886291503906
2021-11-17,33.47091293334961
2021-11-18,32.96693801879883
2021-11-19,33.0538330078125
2021-11-22,33.757659912109375
2021-11-23,33.488285064697266
2021-11-24,33.87061309814453
2021-11-26,33.38401794433594
2021-11-29,33.67076110839844
2021-11-30,32.68019104003906
2021-12-01,32.706260681152344
2021-12-02,33.61403274536133
2021-12-03,33.4569206237793
2021-12-06,33.570396423339844
