,PCAR
2018-04-02,33.49182891845703
2018-04-03,34.16780471801758
2018-04-04,35.01015853881836
2018-04-05,35.53535079956055
2018-04-06,34.45378875732422
2018-04-09,34.07421112060547
2018-04-10,35.22335433959961
2018-04-11,34.85416793823242
2018-04-12,35.452144622802734
2018-04-13,35.29095458984375
2018-04-16,36.14891815185547
2018-04-17,36.26332092285156
2018-04-18,36.85608673095703
2018-04-19,36.2113151550293
2018-04-20,35.97212600708008
2018-04-23,36.09172058105469
2018-04-24,33.75701141357422
2018-04-25,33.74662399291992
2018-04-26,33.41383361816406
2018-04-27,33.49182891845703
2018-04-30,33.10704040527344
2018-05-01,33.06025314331055
2018-05-02,32.32707977294922
2018-05-03,32.57145690917969
2018-05-04,33.17463684082031
2018-05-07,33.538631439208984
2018-05-08,33.40863037109375
2018-05-09,33.304630279541016
2018-05-10,33.153846740722656
2018-05-11,33.1694450378418
2018-05-14,33.00231170654297
2018-05-15,33.17466354370117
2018-05-16,33.37834167480469
2018-05-17,33.57681655883789
2018-05-18,33.952842712402344
2018-05-21,34.47511291503906
2018-05-22,34.334102630615234
2018-05-23,33.99462127685547
2018-05-24,34.0677490234375
2018-05-25,33.75960922241211
2018-05-29,33.16943359375
2018-05-30,33.56635665893555
2018-05-31,32.50093460083008
2018-06-01,32.88741683959961
2018-06-04,32.944862365722656
2018-06-05,33.63948440551758
2018-06-06,34.20353698730469
2018-06-07,33.93717575073242
2018-06-08,34.08341979980469
2018-06-11,34.26097869873047
2018-06-12,34.05207061767578
2018-06-13,33.43056869506836
2018-06-14,33.30000686645508
2018-06-15,33.425350189208984
2018-06-18,33.20600509643555
2018-06-19,32.77251434326172
2018-06-20,32.64717102050781
2018-06-21,32.124900817871094
2018-06-22,32.438262939453125
2018-06-25,32.45392990112305
2018-06-26,32.4643669128418
2018-06-27,32.25546646118164
2018-06-28,32.40170669555664
2018-06-29,32.35992431640625
2018-07-02,31.785425186157227
2018-07-03,31.31537628173828
2018-07-05,31.639184951782227
2018-07-06,31.811532974243164
2018-07-09,32.29724884033203
2018-07-10,32.68373107910156
2018-07-11,31.973430633544922
2018-07-12,32.23979568481445
2018-07-13,33.13810729980469
2018-07-16,32.67850875854492
2018-07-17,33.012760162353516
2018-07-18,33.117210388183594
2018-07-19,33.13810729980469
2018-07-20,32.77251434326172
2018-07-23,32.86129379272461
2018-07-24,33.03364181518555
2018-07-25,33.51414108276367
2018-07-26,34.16697692871094
2018-07-27,34.50645065307617
2018-07-30,33.952842712402344
2018-07-31,34.32366180419922
2018-08-01,33.409690856933594
2018-08-02,33.054534912109375
2018-08-03,33.64993667602539
2018-08-06,33.916282653808594
2018-08-07,34.0416374206543
2018-08-08,33.6551513671875
2018-08-09,33.58725357055664
2018-08-10,33.1955451965332
2018-08-13,33.54179000854492
2018-08-14,33.99817657470703
2018-08-15,33.85127639770508
2018-08-16,34.454551696777344
2018-08-17,35.23093032836914
2018-08-20,35.797481536865234
2018-08-21,35.650604248046875
2018-08-22,35.550926208496094
2018-08-23,34.947662353515625
2018-08-24,35.3725700378418
2018-08-27,35.99681854248047
2018-08-28,35.92861557006836
2018-08-29,35.897151947021484
2018-08-30,35.59814453125
2018-08-31,35.891910552978516
2018-09-04,35.849937438964844
2018-09-05,36.67353820800781
2018-09-06,36.290584564208984
2018-09-07,36.20140838623047
2018-09-10,36.71549987792969
2018-09-11,36.22763442993164
2018-09-12,36.53189468383789
2018-09-13,36.66304397583008
2018-09-14,36.89910888671875
2018-09-17,37.051231384277344
2018-09-18,37.30826950073242
2018-09-19,37.41320037841797
2018-09-20,37.984981536865234
2018-09-21,37.87482452392578
2018-09-24,36.90959548950195
2018-09-25,36.32731628417969
2018-09-26,36.08075714111328
2018-09-27,36.22763442993164
2018-09-28,35.771244049072266
2018-10-01,36.196163177490234
2018-10-02,36.552879333496094
2018-10-03,36.841400146484375
2018-10-04,36.65779495239258
2018-10-05,35.66108703613281
2018-10-08,35.739776611328125
2018-10-09,34.8112678527832
2018-10-10,33.49456787109375
2018-10-11,32.96998977661133
2018-10-12,32.5922966003418
2018-10-15,32.571292877197266
2018-10-16,33.0172004699707
2018-10-17,32.38770294189453
2018-10-18,31.653278350830078
2018-10-19,31.595582962036133
2018-10-22,31.73720932006836
2018-10-23,30.111000061035156
2018-10-24,28.82578468322754
2018-10-25,28.967418670654297
2018-10-26,29.009389877319336
2018-10-29,29.276927947998047
2018-10-30,29.628395080566406
2018-10-31,30.011337280273438
2018-11-01,31.023788452148438
2018-11-02,30.58314323425293
2018-11-05,30.667070388793945
2018-11-06,31.139188766479492
2018-11-07,31.422475814819336
2018-11-08,31.553613662719727
2018-11-09,30.75779151916504
2018-11-12,30.768335342407227
2018-11-13,31.016036987304688
2018-11-14,31.45348358154297
2018-11-15,31.91727066040039
2018-11-16,32.0279426574707
2018-11-19,31.880374908447266
2018-11-20,31.290102005004883
2018-11-21,31.59578514099121
2018-11-23,31.648479461669922
2018-11-26,31.980510711669922
2018-11-27,31.922542572021484
2018-11-28,32.68147659301758
2018-11-29,32.31254196166992
2018-11-30,32.792144775390625
2018-12-03,32.2071418762207
2018-12-04,31.263744354248047
2018-12-06,30.873743057250977
2018-12-07,30.088449478149414
2018-12-10,30.341440200805664
2018-12-11,30.467918395996094
2018-12-12,30.78413200378418
2018-12-13,31.275285720825195
2018-12-14,30.8714656829834
2018-12-17,30.609516143798828
2018-12-18,30.65863037109375
2018-12-19,29.949190139770508
2018-12-20,30.238418579101562
2018-12-21,29.96010398864746
2018-12-24,29.288856506347656
2018-12-26,30.822336196899414
2018-12-27,31.357162475585938
2018-12-28,31.155237197875977
2018-12-31,31.182523727416992
2019-01-02,31.575437545776367
2019-01-03,30.84417724609375
2019-01-04,32.213932037353516
2019-01-07,32.17572784423828
2019-01-08,32.486793518066406
2019-01-09,31.995643615722656
2019-01-10,32.28487014770508
2019-01-11,32.43768310546875
2019-01-14,32.7269172668457
2019-01-15,32.50862503051758
2019-01-16,32.77602767944336
2019-01-17,33.474552154541016
2019-01-18,34.36952590942383
2019-01-22,33.86200714111328
2019-01-23,33.62735366821289
2019-01-24,33.720115661621094
2019-01-25,34.21127700805664
2019-01-28,33.452720642089844
2019-01-29,35.38457489013672
2019-01-30,35.3354606628418
2019-01-31,35.755672454833984
2019-02-01,35.45005798339844
2019-02-04,35.60831832885742
2019-02-05,35.7829475402832
2019-02-06,35.77748489379883
2019-02-07,35.96303939819336
2019-02-08,35.990325927734375
2019-02-11,35.84226608276367
2019-02-12,36.61000442504883
2019-02-13,36.977413177490234
2019-02-14,36.67032241821289
2019-02-15,37.34482955932617
2019-02-19,37.41062927246094
2019-02-20,37.86030578613281
2019-02-21,37.93160629272461
2019-02-22,38.32642364501953
2019-02-25,38.10707473754883
2019-02-26,38.019344329833984
2019-02-27,37.52031707763672
2019-02-28,37.18031311035156
2019-03-01,37.16386413574219
2019-03-04,37.00482940673828
2019-03-05,37.174835205078125
2019-03-06,36.884193420410156
2019-03-07,36.80741882324219
2019-03-08,36.9116096496582
2019-03-11,37.372249603271484
2019-03-12,37.421600341796875
2019-03-13,37.695796966552734
2019-03-14,37.53675842285156
2019-03-15,37.09804916381836
2019-03-18,37.514827728271484
2019-03-19,37.34482955932617
2019-03-20,37.14741897583008
2019-03-21,37.39418029785156
2019-03-22,36.758060455322266
2019-03-25,36.960960388183594
2019-03-26,36.9719123840332
2019-03-27,37.19129180908203
2019-03-28,37.43804931640625
2019-03-29,37.366756439208984
2019-04-01,37.86579132080078
2019-04-02,37.52031707763672
2019-04-03,37.470947265625
2019-04-04,37.849342346191406
2019-04-05,37.849342346191406
2019-04-08,37.80546951293945
2019-04-09,37.50933837890625
2019-04-10,37.71773147583008
2019-04-11,38.22771453857422
2019-04-12,38.660945892333984
2019-04-15,38.58416748046875
2019-04-16,39.17095184326172
2019-04-17,39.000953674316406
2019-04-18,39.17642593383789
2019-04-22,39.00642395019531
2019-04-23,39.033851623535156
2019-04-24,39.19835662841797
2019-04-25,38.4744873046875
2019-04-26,38.913204193115234
2019-04-29,39.11062240600586
2019-04-30,39.30255126953125
2019-05-01,38.85287094116211
2019-05-02,38.490936279296875
2019-05-03,39.143516540527344
2019-05-06,38.07417297363281
2019-05-07,37.75611114501953
2019-05-08,37.75062942504883
2019-05-09,37.8438606262207
2019-05-10,38.1180419921875
2019-05-13,37.264122009277344
2019-05-14,37.853607177734375
2019-05-15,38.10702133178711
2019-05-16,38.50368881225586
2019-05-17,38.145591735839844
2019-05-20,38.18967056274414
2019-05-21,38.64693069458008
2019-05-22,37.561614990234375
2019-05-23,36.94458770751953
2019-05-24,37.22004318237305
2019-05-28,36.96663284301758
2019-05-29,37.192501068115234
2019-05-30,37.48448944091797
2019-05-31,36.26145553588867
2019-06-03,36.48732376098633
2019-06-04,37.80402755737305
2019-06-05,38.090492248535156
2019-06-06,38.42105484008789
2019-06-07,38.685482025146484
2019-06-10,38.67447280883789
2019-06-11,38.4485969543457
2019-06-12,38.46512222290039
2019-06-13,38.547767639160156
2019-06-14,38.5753059387207
2019-06-17,38.145591735839844
2019-06-18,39.10969924926758
2019-06-19,39.225379943847656
2019-06-20,39.79283905029297
2019-06-21,39.30252456665039
2019-06-24,39.335575103759766
2019-06-25,39.28049087524414
2019-06-26,39.065635681152344
2019-06-27,38.94443130493164
2019-06-28,39.478816986083984
2019-07-01,39.798343658447266
2019-07-02,39.30803298950195
2019-07-03,39.225379943847656
2019-07-05,38.90035629272461
2019-07-08,38.927886962890625
2019-07-09,38.911373138427734
2019-07-10,38.84524917602539
2019-07-11,38.9940071105957
2019-07-12,39.73775100708008
2019-07-15,39.39067840576172
2019-07-16,39.98015213012695
2019-07-17,38.64141845703125
2019-07-18,38.05744934082031
2019-07-19,38.1951789855957
2019-07-22,38.101524353027344
2019-07-23,38.140071868896484
2019-07-24,39.74325942993164
2019-07-25,39.48432159423828
2019-07-26,39.48432159423828
2019-07-29,39.396175384521484
2019-07-30,39.09868621826172
2019-07-31,38.64141845703125
2019-08-01,37.53957748413086
2019-08-02,37.032737731933594
2019-08-05,35.49567413330078
2019-08-06,36.1016960144043
2019-08-07,35.95294189453125
2019-08-08,36.636077880859375
2019-08-09,35.92538070678711
2019-08-12,35.688507080078125
2019-08-13,36.72936248779297
2019-08-14,35.06840896606445
2019-08-15,35.26771926879883
2019-08-16,35.69956588745117
2019-08-19,35.92103576660156
2019-08-20,35.644203186035156
2019-08-21,36.00961685180664
2019-08-22,35.677425384521484
2019-08-23,34.61994552612305
2019-08-26,34.9853630065918
2019-08-27,35.118228912353516
2019-08-28,35.3729133605957
2019-08-29,36.19785690307617
2019-08-30,36.297523498535156
2019-09-03,35.56669235229492
2019-09-04,36.24214172363281
2019-09-05,37.7591552734375
2019-09-06,37.836673736572266
2019-09-09,39.015953063964844
2019-09-10,39.81321334838867
2019-09-11,40.04020690917969
2019-09-12,39.414581298828125
2019-09-13,39.602821350097656
2019-09-16,39.281700134277344
2019-09-17,39.24848937988281
2019-09-18,39.17097473144531
2019-09-19,38.94951629638672
2019-09-20,38.93291091918945
2019-09-23,38.966121673583984
2019-09-24,37.753623962402344
2019-09-25,37.87542724609375
2019-09-26,38.06919860839844
2019-09-27,38.20761489868164
2019-09-30,38.76127243041992
2019-10-01,37.393741607666016
2019-10-02,36.66291809082031
2019-10-03,37.08924102783203
2019-10-04,37.55984878540039
2019-10-07,37.498939514160156
2019-10-08,36.85118103027344
2019-10-09,37.033870697021484
2019-10-10,37.271949768066406
2019-10-11,38.2574462890625
2019-10-14,38.46783447265625
2019-10-15,38.94951629638672
2019-10-16,38.794498443603516
2019-10-17,39.18758773803711
2019-10-18,39.885189056396484
2019-10-21,40.41670227050781
2019-10-22,42.28250503540039
2019-10-23,41.58491897583008
2019-10-24,41.690093994140625
2019-10-25,42.57594680786133
2019-10-28,42.91367721557617
2019-10-29,42.80847930908203
2019-10-30,42.337860107421875
2019-10-31,42.11088180541992
2019-11-01,43.212650299072266
2019-11-04,43.904727935791016
2019-11-05,44.10956573486328
2019-11-06,44.1151008605957
2019-11-07,44.220298767089844
2019-11-08,44.50934982299805
2019-11-11,44.425968170166016
2019-11-12,44.15358352661133
2019-11-13,43.99238204956055
2019-11-14,44.209171295166016
2019-11-15,44.592735290527344
2019-11-18,44.487117767333984
2019-11-19,44.15358352661133
2019-11-20,43.8311882019043
2019-11-21,44.35369873046875
2019-11-22,44.71503448486328
2019-11-25,45.31537628173828
2019-11-26,45.45990753173828
2019-11-27,45.67115020751953
2019-11-29,45.231990814208984
2019-12-02,44.859554290771484
2019-12-03,44.52046203613281
2019-12-04,44.381500244140625
2019-12-05,44.531593322753906
2019-12-06,45.0930290222168
2019-12-09,45.06523513793945
2019-12-10,45.13750457763672
2019-12-11,45.248680114746094
2019-12-12,46.11028289794922
2019-12-13,45.587764739990234
2019-12-16,46.03802490234375
2019-12-17,45.665584564208984
2019-12-18,45.92684555053711
2019-12-19,45.566612243652344
2019-12-20,45.84107208251953
2019-12-23,45.48655700683594
2019-12-24,45.45224380493164
2019-12-26,45.46369171142578
2019-12-27,45.406517028808594
2019-12-30,45.1549186706543
2019-12-31,45.229251861572266
2020-01-02,45.46369171142578
2020-01-03,45.0176887512207
2020-01-06,44.851863861083984
2020-01-07,44.55453109741211
2020-01-08,45.14919662475586
2020-01-09,44.85758590698242
2020-01-10,44.491634368896484
2020-01-13,44.63458251953125
2020-01-14,44.714637756347656
2020-01-15,44.29150390625
2020-01-16,44.92048645019531
2020-01-17,44.897621154785156
2020-01-21,44.33724594116211
2020-01-22,43.994163513183594
2020-01-23,44.37155532836914
2020-01-24,43.90839385986328
2020-01-27,42.98208999633789
2020-01-28,43.89696502685547
2020-01-29,43.51957321166992
2020-01-30,43.490989685058594
2020-01-31,42.43315887451172
2020-02-03,42.50748825073242
2020-02-04,43.55961227416992
2020-02-05,44.59455871582031
2020-02-06,44.3658332824707
2020-02-07,43.119319915771484
2020-02-10,43.24565124511719
2020-02-11,43.44662857055664
2020-02-12,43.963443756103516
2020-02-13,42.97001266479492
2020-02-14,42.91832733154297
2020-02-18,42.66567611694336
2020-02-19,42.62546920776367
2020-02-20,43.377716064453125
2020-02-21,43.27436065673828
2020-02-24,41.764129638671875
2020-02-25,40.19071578979492
2020-02-26,39.8634033203125
2020-02-27,38.91591262817383
2020-02-28,38.41632080078125
2020-03-02,40.01270294189453
2020-03-03,38.78959274291992
2020-03-04,39.8806266784668
2020-03-05,37.532012939453125
2020-03-06,37.07261657714844
2020-03-09,34.976661682128906
2020-03-10,37.12429428100586
2020-03-11,35.88395309448242
2020-03-12,34.000457763671875
2020-03-13,37.399932861328125
2020-03-16,34.551734924316406
2020-03-17,34.26461410522461
2020-03-18,32.013607025146484
2020-03-19,32.17439270019531
2020-03-20,30.03249740600586
2020-03-23,28.660076141357422
2020-03-24,32.73139953613281
2020-03-25,33.86838912963867
2020-03-26,34.71251678466797
2020-03-27,34.1612434387207
2020-03-30,35.75761795043945
2020-03-31,35.10299301147461
2020-04-01,34.52301788330078
2020-04-02,34.95370101928711
2020-04-03,35.37862777709961
2020-04-06,37.29082107543945
2020-04-07,37.62962341308594
2020-04-08,38.163665771484375
2020-04-09,38.6287956237793
2020-04-13,37.85933303833008
