,AON
2015-09-03,83.54065704345703
2015-09-04,82.48098754882812
2015-09-08,84.67341613769531
2015-09-09,83.62287139892578
2015-09-10,83.75077056884766
2015-09-11,83.42190551757812
2015-09-14,82.94689178466797
2015-09-15,84.12528991699219
2015-09-16,84.02484130859375
2015-09-17,84.18927764892578
2015-09-18,81.58575439453125
2015-09-21,82.58147430419922
2015-09-22,81.78672790527344
2015-09-23,81.38478088378906
2015-09-24,81.25689697265625
2015-09-25,82.2343521118164
2015-09-28,80.76361846923828
2015-09-29,80.75447082519531
2015-09-30,80.94631958007812
2015-10-01,80.9006118774414
2015-10-02,82.0151138305664
2015-10-05,83.60460662841797
2015-10-06,82.48098754882812
2015-10-07,83.27574920654297
2015-10-08,83.97915649414062
2015-10-09,83.39450073242188
2015-10-12,83.38536834716797
2015-10-13,82.92861938476562
2015-10-14,82.26175689697266
2015-10-15,83.35797882080078
2015-10-16,83.6959457397461
2015-10-19,82.79157257080078
2015-10-20,83.64115905761719
2015-10-21,83.42190551757812
2015-10-22,84.41764068603516
2015-10-23,84.49073791503906
2015-10-26,84.70085144042969
2015-10-27,84.75562286376953
2015-10-28,86.59183502197266
2015-10-29,86.90339660644531
2015-10-30,85.51042938232422
2015-11-02,86.78422546386719
2015-11-03,86.7109375
2015-11-04,86.56432342529297
2015-11-05,86.87590789794922
2015-11-06,85.74869537353516
2015-11-09,84.70401763916016
2015-11-10,85.2080307006836
2015-11-11,86.04196166992188
2015-11-12,85.04306030273438
2015-11-13,85.3179931640625
2015-11-16,86.4818115234375
2015-11-17,85.84033203125
2015-11-18,87.06832885742188
2015-11-19,85.97779846191406
2015-11-20,86.93087768554688
2015-11-23,86.8025894165039
2015-11-24,86.83008575439453
2015-11-25,86.61014556884766
2015-11-27,86.73843383789062
2015-11-30,86.82090759277344
2015-12-01,87.70063781738281
2015-12-02,86.62846374511719
2015-12-03,85.84952545166016
2015-12-04,88.57125091552734
2015-12-07,88.65372467041016
2015-12-08,87.15081024169922
2015-12-09,86.3535385131836
2015-12-10,85.98697662353516
2015-12-11,85.50125122070312
2015-12-14,86.216064453125
2015-12-15,88.60792541503906
2015-12-16,88.81868743896484
2015-12-17,85.47376251220703
2015-12-18,83.38436889648438
2015-12-21,83.21023559570312
2015-12-22,83.45767974853516
2015-12-23,84.08997344970703
2015-12-24,84.35575866699219
2015-12-28,84.30992126464844
2015-12-29,85.99614715576172
2015-12-30,85.72119903564453
2015-12-31,84.50238037109375
2016-01-04,83.12775421142578
2016-01-05,83.63182067871094
2016-01-06,82.36712646484375
2016-01-07,81.16661834716797
2016-01-08,79.74620819091797
2016-01-11,79.18719482421875
2016-01-12,79.86532592773438
2016-01-13,78.72900390625
2016-01-14,80.08528900146484
2016-01-15,78.89395141601562
2016-01-19,78.79313659667969
2016-01-20,77.84008026123047
2016-01-21,77.54681396484375
2016-01-22,79.18719482421875
2016-01-25,78.57318878173828
2016-01-26,78.83895874023438
2016-01-27,78.72900390625
2016-01-28,79.17040252685547
2016-01-29,80.77053833007812
2016-02-01,80.54063415527344
2016-02-02,79.27155303955078
2016-02-03,80.6877670288086
2016-02-04,81.80052947998047
2016-02-05,85.40547180175781
2016-02-08,85.50662994384766
2016-02-09,85.4146499633789
2016-02-10,85.36865997314453
2016-02-11,85.23992156982422
2016-02-12,86.26070404052734
2016-02-16,86.58257293701172
2016-02-17,87.36426544189453
2016-02-18,86.96878814697266
2016-02-19,86.05836486816406
2016-02-22,86.23309326171875
2016-02-23,86.5090103149414
2016-02-24,87.05155181884766
2016-02-25,87.64933776855469
2016-02-26,88.06317138671875
2016-02-29,87.63092041015625
2016-03-01,88.23788452148438
2016-03-02,89.5621337890625
2016-03-03,90.32544708251953
2016-03-04,90.97834777832031
2016-03-07,91.17149353027344
2016-03-08,90.52777099609375
2016-03-09,90.78527069091797
2016-03-10,90.63811492919922
2016-03-11,92.40379333496094
2016-03-14,91.75086212158203
2016-03-15,91.8611831665039
2016-03-16,91.76924133300781
2016-03-17,93.8016128540039
2016-03-18,93.31421661376953
2016-03-21,93.42456817626953
2016-03-22,93.30500793457031
2016-03-23,92.431396484375
2016-03-24,93.00151824951172
2016-03-28,93.93037414550781
2016-03-29,94.66606903076172
2016-03-30,95.60406494140625
2016-03-31,96.0546875
2016-04-01,96.44094848632812
2016-04-04,96.42253112792969
2016-04-05,93.71884155273438
2016-04-06,93.89356231689453
2016-04-07,92.90959167480469
2016-04-08,93.16705322265625
2016-04-11,93.31421661376953
2016-04-12,94.27063751220703
2016-04-13,95.41095733642578
2016-04-14,95.54887390136719
2016-04-15,95.916748046875
2016-04-18,97.16744232177734
2016-04-19,96.73522186279297
2016-04-20,96.03630828857422
2016-04-21,94.89598083496094
2016-04-22,94.93275451660156
2016-04-25,95.13506317138672
2016-04-26,96.31218719482422
2016-04-27,95.92593383789062
2016-04-28,95.16947937011719
2016-04-29,96.97764587402344
2016-05-02,98.36146545410156
2016-05-03,97.57730102539062
2016-05-04,97.76180267333984
2016-05-05,97.24518585205078
2016-05-06,96.66398620605469
2016-05-09,96.59940338134766
2016-05-10,97.90017700195312
2016-05-11,97.33744049072266
2016-05-12,97.53116607666016
2016-05-13,97.61420440673828
2016-05-16,97.95552062988281
2016-05-17,97.53116607666016
2016-05-18,97.22672271728516
2016-05-19,96.66398620605469
2016-05-20,97.22672271728516
2016-05-23,96.98686981201172
2016-05-24,98.64745330810547
2016-05-25,98.45370483398438
2016-05-26,98.69356536865234
2016-05-27,100.21575164794922
2016-05-31,100.80619049072266
2016-06-01,100.87075805664062
2016-06-02,100.95378112792969
2016-06-03,100.2988052368164
2016-06-06,100.92613220214844
2016-06-07,101.03681945800781
2016-06-08,101.26747131347656
2016-06-09,101.35050201416016
2016-06-10,100.8984603881836
2016-06-13,99.66223907470703
2016-06-14,99.15485382080078
2016-06-15,98.32455444335938
2016-06-16,98.70282745361328
2016-06-17,98.58287811279297
2016-06-20,99.0625991821289
2016-06-21,99.45005798339844
2016-06-22,99.3854751586914
2016-06-23,100.46485900878906
2016-06-24,95.95362091064453
2016-06-27,92.99227142333984
2016-06-28,95.87061309814453
2016-06-29,98.1861572265625
2016-06-30,100.7693099975586
2016-07-01,101.26747131347656
2016-07-05,99.90211486816406
2016-07-06,99.71759033203125
2016-07-07,100.51094818115234
2016-07-08,101.08295440673828
2016-07-11,101.63648986816406
2016-07-12,101.9962387084961
2016-07-13,101.71949768066406
2016-07-14,101.98704528808594
2016-07-15,102.25456237792969
2016-07-18,101.95935821533203
2016-07-19,101.23054504394531
2016-07-20,101.46119689941406
2016-07-21,100.81541442871094
2016-07-22,101.9962387084961
2016-07-25,101.77486419677734
2016-07-26,102.4206314086914
2016-07-27,101.9224624633789
2016-07-28,102.11677551269531
2016-07-29,99.07254028320312
2016-08-01,100.2291488647461
2016-08-02,100.31243133544922
2016-08-03,101.51533508300781
2016-08-04,101.73741912841797
