,DD
2014-10-03,56.329036712646484
2014-10-06,56.19550323486328
2014-10-07,55.082725524902344
2014-10-08,55.63909912109375
2014-10-09,53.66948699951172
2014-10-10,52.93503189086914
2014-10-13,49.95280075073242
2014-10-14,48.884525299072266
2014-10-15,49.06256866455078
2014-10-16,49.80813980102539
2014-10-17,51.24361038208008
2014-10-20,51.755516052246094
2014-10-21,53.6472282409668
2014-10-22,52.97957992553711
2014-10-23,53.057472229003906
2014-10-24,53.6472282409668
2014-10-27,51.733238220214844
2014-10-28,53.39128494262695
2014-10-29,52.72361755371094
2014-10-30,53.69175720214844
2014-10-31,54.97144317626953
2014-11-03,54.670982360839844
2014-11-04,52.9461784362793
