,BG
2016-10-26,48.29999923706055
2016-10-27,48.15856170654297
2016-10-28,48.49643325805664
2016-10-31,48.724308013916016
2016-11-01,49.172176361083984
2016-11-02,54.0673942565918
2016-11-03,54.46812438964844
2016-11-04,54.46027374267578
2016-11-07,54.27954864501953
2016-11-08,55.0417366027832
2016-11-09,53.80809020996094
2016-11-10,52.92806625366211
2016-11-11,50.52367401123047
2016-11-14,52.30731964111328
2016-11-15,53.47807693481445
2016-11-16,53.351600646972656
2016-11-17,53.31206130981445
2016-11-18,53.24879837036133
2016-11-21,53.56505584716797
2016-11-22,53.454376220703125
2016-11-23,53.05905532836914
2016-11-25,53.810142517089844
2016-11-28,52.55305099487305
2016-11-29,53.05905532836914
2016-11-30,53.984092712402344
2016-12-01,55.343971252441406
2016-12-02,54.64822769165039
2016-12-05,55.620697021484375
2016-12-06,56.537811279296875
2016-12-07,57.71586227416992
2016-12-08,58.0320930480957
2016-12-09,58.000465393066406
2016-12-12,58.19812774658203
2016-12-13,57.020103454589844
2016-12-14,56.182029724121094
2016-12-15,56.3243408203125
2016-12-16,57.581443786621094
2016-12-19,56.56153106689453
2016-12-20,56.86986541748047
2016-12-21,56.98847579956055
2016-12-22,56.498287200927734
2016-12-23,56.47457504272461
2016-12-27,56.92523193359375
2016-12-28,56.142513275146484
2016-12-29,56.00020217895508
2016-12-30,57.1149787902832
2017-01-03,57.90558624267578
2017-01-04,57.13870620727539
2017-01-05,56.213645935058594
2017-01-06,55.45465087890625
2017-01-09,55.45465087890625
2017-01-10,55.660221099853516
2017-01-11,55.81834411621094
2017-01-12,54.61659622192383
2017-01-13,54.41893768310547
2017-01-17,54.15011978149414
2017-01-18,54.561256408691406
2017-01-19,53.76271438598633
2017-01-20,53.73107147216797
2017-01-23,54.173828125
2017-01-24,54.31615447998047
2017-01-25,55.019805908203125
2017-01-26,53.984092712402344
2017-01-27,54.28453063964844
2017-01-30,53.61248779296875
2017-01-31,54.71937942504883
2017-02-01,54.308265686035156
2017-02-02,54.62448501586914
2017-02-03,55.05143356323242
2017-02-06,54.869598388671875
2017-02-07,54.60076904296875
2017-02-08,54.15803146362305
2017-02-09,54.213375091552734
2017-02-10,54.197532653808594
2017-02-13,54.12640380859375
2017-02-14,54.325286865234375
2017-02-15,59.774505615234375
2017-02-16,59.957481384277344
2017-02-17,61.874656677246094
2017-02-21,62.39971160888672
2017-02-22,63.19520568847656
2017-02-23,63.68046188354492
2017-02-24,64.47594451904297
2017-02-27,64.75439453125
2017-02-28,65.11238861083984
2017-03-01,65.28739929199219
2017-03-02,64.38848114013672
2017-03-03,64.9532699584961
2017-03-06,64.69076538085938
2017-03-07,64.77030181884766
2017-03-08,63.982757568359375
2017-03-09,64.34866333007812
2017-03-10,64.5316390991211
2017-03-13,64.34866333007812
2017-03-14,64.46003723144531
2017-03-15,64.88166046142578
2017-03-16,64.96122741699219
2017-03-17,65.10442352294922
2017-03-20,63.2906379699707
2017-03-21,62.51902389526367
2017-03-22,64.2293472290039
2017-03-23,63.704315185546875
2017-03-24,63.775909423828125
2017-03-27,63.60887145996094
2017-03-28,64.03843688964844
2017-03-29,64.84984588623047
2017-03-30,63.30657196044922
2017-03-31,63.0520133972168
2017-04-03,62.622440338134766
2017-04-04,62.2485466003418
2017-04-05,61.50872802734375
2017-04-06,61.2939567565918
2017-04-07,60.4506950378418
2017-04-10,60.959815979003906
2017-04-11,61.134822845458984
2017-04-12,61.40531539916992
2017-04-13,60.864356994628906
2017-04-17,61.27803039550781
2017-04-18,61.922386169433594
2017-04-19,61.262107849121094
2017-04-20,61.77121353149414
2017-04-21,61.62009048461914
2017-04-24,62.35193634033203
2017-04-25,62.526973724365234
2017-04-26,62.336055755615234
2017-04-27,62.439476013183594
2017-04-28,62.86903381347656
2017-05-01,62.03375244140625
2017-05-02,60.10067367553711
2017-05-03,53.33089065551758
2017-05-04,55.5185432434082
2017-05-05,55.31170654296875
2017-05-08,55.69355010986328
2017-05-09,55.23216247558594
2017-05-10,55.69355010986328
2017-05-11,55.804927825927734
2017-05-12,55.629920959472656
2017-05-15,55.773109436035156
2017-05-16,55.69355010986328
2017-05-17,55.381431579589844
2017-05-18,55.43745040893555
2017-05-19,55.76557540893555
2017-05-22,56.07770919799805
2017-05-23,65.3852767944336
2017-05-24,66.05757904052734
2017-05-25,66.6017837524414
2017-05-26,65.7614517211914
2017-05-30,64.80906677246094
2017-05-31,64.0007553100586
2017-06-01,63.496559143066406
2017-06-02,64.26486206054688
2017-06-05,64.10479736328125
2017-06-06,63.4565544128418
2017-06-07,65.08919525146484
2017-06-08,64.6250228881836
2017-06-09,63.272483825683594
2017-06-12,62.400146484375
2017-06-13,62.17605209350586
2017-06-14,62.328125
2017-06-15,61.89595413208008
2017-06-16,61.57581329345703
2017-06-19,62.26409149169922
2017-06-20,61.0316276550293
2017-06-21,60.60746383666992
2017-06-22,60.455406188964844
2017-06-23,60.59946060180664
2017-06-26,59.599090576171875
2017-06-27,59.47901153564453
2017-06-28,59.246917724609375
2017-06-29,58.89480209350586
2017-06-30,59.703102111816406
2017-07-03,60.71951675415039
2017-07-05,61.69586944580078
2017-07-06,60.35136032104492
2017-07-07,61.49580001831055
2017-07-10,61.19968795776367
2017-07-11,60.43138885498047
