,NSC
2019-08-14,153.71743774414062
2019-08-15,152.60336303710938
2019-08-16,155.4335174560547
2019-08-19,156.66439819335938
2019-08-20,154.37330627441406
2019-08-21,156.5116424560547
2019-08-22,156.14329528808594
2019-08-23,152.0912322998047
2019-08-26,153.95108032226562
2019-08-27,152.69320678710938
2019-08-28,154.93930053710938
2019-08-29,156.7362823486328
2019-08-30,156.37689208984375
2019-09-03,153.5107421875
2019-09-04,154.14869689941406
2019-09-05,158.38046264648438
2019-09-06,157.28428649902344
2019-09-09,159.31484985351562
2019-09-10,160.44691467285156
2019-09-11,159.0812530517578
2019-09-12,160.428955078125
2019-09-13,163.69033813476562
2019-09-16,163.77120971679688
2019-09-17,162.37860107421875
2019-09-18,163.78021240234375
2019-09-19,164.05868530273438
2019-09-20,162.1629638671875
2019-09-23,161.28245544433594
2019-09-24,164.33721923828125
2019-09-25,164.1485595703125
2019-09-26,164.39114379882812
2019-09-27,162.50433349609375
2019-09-30,161.41725158691406
2019-10-01,157.21246337890625
2019-10-02,152.45960998535156
2019-10-03,153.2861785888672
2019-10-04,155.27174377441406
2019-10-07,154.23855590820312
2019-10-08,149.8091278076172
2019-10-09,151.93849182128906
2019-10-10,154.55300903320312
2019-10-11,160.37501525878906
2019-10-14,160.4109649658203
2019-10-15,162.36062622070312
2019-10-16,162.73793029785156
2019-10-17,165.05599975585938
2019-10-18,163.43878173828125
2019-10-21,167.28421020507812
2019-10-22,169.7729034423828
2019-10-23,166.0981903076172
2019-10-24,164.57980346679688
2019-10-25,169.13507080078125
2019-10-28,168.6947784423828
2019-10-29,166.2509307861328
2019-10-30,166.2060546875
2019-10-31,164.3547821044922
2019-11-01,171.50692749023438
2019-11-04,173.9632110595703
2019-11-05,174.99266052246094
2019-11-06,174.25216674804688
2019-11-07,176.61817932128906
2019-11-08,176.49172973632812
2019-11-11,175.1732940673828
2019-11-12,174.29730224609375
2019-11-13,172.3738250732422
2019-11-14,172.44607543945312
2019-11-15,172.5454559326172
2019-11-18,174.6224365234375
2019-11-19,173.92706298828125
2019-11-20,171.47080993652344
2019-11-21,172.13003540039062
2019-11-22,174.4508514404297
2019-11-25,177.85533142089844
2019-11-26,177.1870574951172
2019-11-27,176.76268005371094
2019-11-29,174.73985290527344
2019-12-02,171.64239501953125
2019-12-03,168.1566162109375
2019-12-04,169.1951446533203
2019-12-05,169.68272399902344
2019-12-06,172.41900634765625
2019-12-09,170.6399688720703
2019-12-10,170.38714599609375
2019-12-11,172.49122619628906
2019-12-12,172.03973388671875
2019-12-13,171.64239501953125
2019-12-16,172.08489990234375
2019-12-17,171.9674835205078
2019-12-18,173.8729248046875
2019-12-19,173.31300354003906
2019-12-20,175.7241668701172
2019-12-23,175.4532470703125
2019-12-24,176.0131378173828
2019-12-26,175.5977020263672
2019-12-27,176.2750244140625
2019-12-30,174.8391571044922
2019-12-31,175.3087615966797
2020-01-02,177.7199249267578
2020-01-03,177.39480590820312
2020-01-06,176.9342498779297
2020-01-07,177.63861083984375
2020-01-08,178.46942138671875
2020-01-09,179.07447814941406
2020-01-10,178.39715576171875
2020-01-13,180.86248779296875
2020-01-14,182.14480590820312
2020-01-15,183.21945190429688
2020-01-16,186.25367736816406
2020-01-17,189.0260772705078
2020-01-21,184.78172302246094
2020-01-22,183.44520568847656
2020-01-23,188.3848876953125
2020-01-24,187.70758056640625
2020-01-27,183.0117645263672
2020-01-28,184.9081268310547
2020-01-29,194.0018768310547
2020-01-30,193.70384216308594
2020-01-31,188.02366638183594
2020-02-03,186.9219512939453
2020-02-04,191.3288116455078
2020-02-05,193.0717315673828
2020-02-06,192.90838623046875
2020-02-07,190.640869140625
2020-02-10,189.79730224609375
2020-02-11,189.72474670410156
2020-02-12,191.31204223632812
2020-02-13,190.9220428466797
2020-02-14,189.8880157470703
2020-02-18,188.68167114257812
2020-02-19,189.72474670410156
2020-02-20,191.21231079101562
2020-02-21,188.70887756347656
2020-02-24,184.12838745117188
2020-02-25,176.73597717285156
2020-02-26,172.40037536621094
2020-02-27,167.14862060546875
2020-02-28,165.3980712890625
2020-03-02,165.61569213867188
2020-03-03,160.41844177246094
2020-03-04,167.11233520507812
2020-03-05,159.04881286621094
2020-03-06,158.36851501464844
2020-03-09,140.13706970214844
2020-03-10,145.58834838867188
2020-03-11,137.2889862060547
2020-03-12,121.0893325805664
2020-03-13,133.20733642578125
2020-03-16,114.68563842773438
2020-03-17,126.61317443847656
2020-03-18,118.67662048339844
2020-03-19,123.65624237060547
