,TT
2015-10-14,35.45545196533203
2015-10-15,35.9659309387207
2015-10-16,35.53499984741211
2015-10-19,35.3692626953125
2015-10-20,36.01897430419922
2015-10-21,36.0123405456543
2015-10-22,36.907344818115234
2015-10-23,37.51063919067383
2015-10-26,37.66313552856445
2015-10-27,38.047645568847656
2015-10-28,38.889617919921875
2015-10-29,39.10176467895508
2015-10-30,39.28739547729492
2015-11-02,39.917213439941406
2015-11-03,39.65202713012695
2015-11-04,39.4730224609375
2015-11-05,39.71832275390625
2015-11-06,39.811126708984375
2015-11-09,39.214481353759766
2015-11-10,39.02884292602539
2015-11-11,39.00894546508789
2015-11-12,37.82886505126953
2015-11-13,37.69626998901367
2015-11-16,38.25315856933594
2015-11-17,37.95482635498047
2015-11-18,38.471946716308594
2015-11-19,38.896244049072266
2015-11-20,38.91613006591797
2015-11-23,38.7238655090332
2015-11-24,38.78353500366211
2015-11-25,38.79016876220703
2015-11-27,38.80344009399414
2015-11-30,38.896244049072266
2015-12-01,39.10176467895508
2015-12-02,38.47856903076172
2015-12-03,38.21337890625
2015-12-04,38.737125396728516
2015-12-07,37.95482635498047
2015-12-08,36.70182800292969
2015-12-09,36.62186050415039
2015-12-10,36.58186721801758
2015-12-11,36.36193084716797
2015-12-14,36.0953483581543
2015-12-15,35.655487060546875
2015-12-16,36.22864532470703
2015-12-17,35.60216522216797
2015-12-18,35.069007873535156
2015-12-21,35.41555404663086
2015-12-22,36.141998291015625
2015-12-23,37.08170700073242
2015-12-24,37.07504653930664
2015-12-28,36.99506378173828
2015-12-29,37.474918365478516
2015-12-30,37.208335876464844
2015-12-31,36.848445892333984
2016-01-04,36.74848175048828
2016-01-05,36.35527801513672
2016-01-06,35.582176208496094
2016-01-07,34.522499084472656
2016-01-08,34.1959342956543
2016-01-11,34.309234619140625
2016-01-12,34.86906814575195
2016-01-13,34.249267578125
2016-01-14,34.695777893066406
2016-01-15,34.482521057128906
2016-01-19,33.709434509277344
2016-01-20,32.60311508178711
2016-01-21,32.543121337890625
2016-01-22,33.629451751708984
2016-01-25,32.536468505859375
2016-01-26,33.716102600097656
2016-01-27,33.336212158203125
2016-01-28,33.28955841064453
2016-01-29,34.30257034301758
2016-02-01,33.92935562133789
2016-02-02,32.52313995361328
2016-02-03,33.28955841064453
2016-02-04,34.18928527832031
2016-02-05,34.215938568115234
2016-02-08,32.9630012512207
2016-02-09,33.422855377197266
2016-02-10,33.022979736328125
2016-02-11,32.64977264404297
2016-02-12,34.20261001586914
2016-02-16,34.482521057128906
2016-02-17,34.95570755004883
2016-02-18,34.72243118286133
2016-02-19,34.66912841796875
2016-02-22,35.78877639770508
2016-02-23,35.60216522216797
2016-02-24,36.955078125
