,TGT
2019-07-25,77.30526733398438
2019-07-26,76.5055923461914
2019-07-29,76.65499114990234
2019-07-30,76.34742736816406
2019-07-31,75.92561340332031
2019-08-01,72.6038818359375
2019-08-02,71.63719940185547
2019-08-05,70.99571990966797
2019-08-06,72.73567199707031
2019-08-07,72.94659423828125
2019-08-08,73.64080047607422
2019-08-09,72.41932678222656
2019-08-12,72.08538818359375
2019-08-13,74.0274658203125
2019-08-14,71.96235656738281
2019-08-15,72.55113983154297
2019-08-16,74.00111389160156
2019-08-19,76.08378601074219
2019-08-20,75.73843383789062
2019-08-21,91.20844268798828
2019-08-22,94.14837646484375
2019-08-23,91.64236450195312
2019-08-26,92.77581787109375
2019-08-27,92.7138442993164
2019-08-28,94.2192153930664
2019-08-29,95.57408142089844
2019-08-30,94.78594970703125
2019-09-03,94.49373626708984
2019-09-04,95.06929779052734
2019-09-05,96.11421966552734
2019-09-06,97.27425384521484
2019-09-09,95.59173583984375
2019-09-10,96.37101745605469
2019-09-11,96.49498748779297
2019-09-12,96.46844482421875
2019-09-13,95.62718200683594
2019-09-16,94.71510314941406
2019-09-17,94.99847412109375
2019-09-18,94.72395324707031
2019-09-19,95.52093505859375
2019-09-20,94.45828247070312
2019-09-23,96.32673645019531
2019-09-24,95.14900207519531
2019-09-25,94.57341766357422
2019-09-26,94.12181091308594
2019-09-27,93.97126007080078
2019-09-30,94.67082214355469
2019-10-01,93.81187438964844
2019-10-02,93.12117004394531
2019-10-03,94.41401672363281
2019-10-04,96.610107421875
2019-10-07,95.59173583984375
2019-10-08,96.09651184082031
2019-10-09,97.72587585449219
2019-10-10,97.91182708740234
2019-10-11,99.02760314941406
2019-10-14,98.4254379272461
2019-10-15,99.08069610595703
2019-10-16,99.34638214111328
2019-10-17,100.26729583740234
2019-10-18,99.8953857421875
2019-10-21,100.6657943725586
2019-10-22,100.23188781738281
2019-10-23,98.61140441894531
2019-10-24,97.62846374511719
2019-10-25,96.53926849365234
2019-10-28,97.15914154052734
2019-10-29,95.76885986328125
2019-10-30,95.57408142089844
2019-10-31,94.67082214355469
