,IRM
2018-05-10,22.887338638305664
2018-05-11,22.758378982543945
2018-05-14,22.74480438232422
2018-05-15,22.228958129882812
2018-05-16,22.140716552734375
2018-05-17,21.75383186340332
2018-05-18,21.774200439453125
2018-05-21,22.18144989013672
2018-05-22,22.072845458984375
2018-05-23,22.310407638549805
2018-05-24,22.385066986083984
2018-05-25,22.391855239868164
2018-05-29,22.575117111206055
2018-05-30,22.73801612854004
2018-05-31,22.595478057861328
2018-06-01,23.04344940185547
2018-06-04,23.464279174804688
2018-06-05,23.369251251220703
2018-06-06,23.50499725341797
2018-06-07,23.62038803100586
2018-06-08,23.491426467895508
2018-06-11,23.51178741455078
2018-06-12,23.756134033203125
2018-06-13,23.51178741455078
2018-06-14,23.468982696533203
2018-06-15,22.964937210083008
2018-06-18,23.047792434692383
2018-06-19,23.358497619628906
2018-06-20,23.69683837890625
2018-06-21,23.959209442138672
2018-06-22,24.16634750366211
2018-06-25,24.11802101135254
2018-06-26,23.87635612487793
2018-06-27,23.752065658569336
2018-06-28,23.9246826171875
2018-06-29,24.17325782775879
2018-07-02,24.097305297851562
2018-07-03,24.553014755249023
2018-07-05,24.6358642578125
2018-07-06,24.780864715576172
2018-07-09,25.202051162719727
2018-07-10,25.1744327545166
2018-07-11,25.28490447998047
2018-07-12,25.36776351928711
2018-07-13,25.2987117767334
2018-07-16,25.105384826660156
2018-07-17,24.18705940246582
2018-07-18,23.959209442138672
2018-07-19,24.456344604492188
2018-07-20,24.13182258605957
2018-07-23,24.03516387939453
2018-07-24,24.20087242126465
2018-07-25,24.408010482788086
2018-07-26,24.477067947387695
2018-07-27,23.793495178222656
2018-07-30,24.104209899902344
2018-07-31,24.24230194091797
2018-08-01,24.373483657836914
2018-08-02,24.566822052001953
2018-08-03,24.691104888916016
2018-08-06,24.863719940185547
2018-08-07,24.808486938476562
2018-08-08,24.566822052001953
2018-08-09,24.483963012695312
2018-08-10,23.890165328979492
2018-08-13,24.048980712890625
2018-08-14,24.380395889282227
2018-08-15,24.54610824584961
2018-08-16,24.91204833984375
2018-08-17,25.188241958618164
2018-08-20,25.250383377075195
2018-08-21,25.07086753845215
2018-08-22,24.843006134033203
2018-08-23,24.91204833984375
2018-08-24,24.787769317626953
2018-08-27,24.677295684814453
2018-08-28,25.00181770324707
2018-08-29,25.07086753845215
2018-08-30,24.822288513183594
2018-08-31,24.92586326599121
2018-09-04,25.098482131958008
2018-09-05,25.229671478271484
2018-09-06,25.043245315551758
2018-09-07,24.4149227142334
2018-09-10,24.801576614379883
2018-09-11,24.62205696105957
2018-09-12,24.870624542236328
2018-09-13,25.09157371520996
2018-09-14,25.019990921020508
2018-09-17,25.11122703552246
2018-09-18,24.739259719848633
2018-09-19,24.283079147338867
2018-09-20,24.935768127441406
2018-09-21,25.20246696472168
2018-09-24,24.7252254486084
2018-09-25,24.36027717590332
2018-09-26,24.079547882080078
2018-09-27,23.925146102905273
2018-09-28,24.226930618286133
2018-10-01,24.128673553466797
2018-10-02,23.897069931030273
2018-10-03,23.658449172973633
2018-10-04,23.525114059448242
2018-10-05,23.36368751525879
2018-10-08,23.798818588256836
2018-10-09,23.54616355895996
2018-10-10,22.774158477783203
2018-10-11,22.107423782348633
2018-10-12,22.17058753967285
2018-10-15,22.33902359008789
2018-10-16,22.56361198425293
2018-10-17,22.275861740112305
2018-10-18,22.31797218322754
2018-10-19,22.584665298461914
2018-10-22,22.30393409729004
2018-10-23,22.47939109802246
2018-10-24,22.633792877197266
2018-10-25,22.94961166381836
2018-10-26,21.391571044921875
2018-10-29,22.016183853149414
2018-10-30,22.184621810913086
2018-10-31,21.48280143737793
2018-11-01,22.17058753967285
2018-11-02,21.882837295532227
2018-11-05,22.198657989501953
2018-11-06,22.275861740112305
2018-11-07,22.54957389831543
2018-11-08,22.661863327026367
2018-11-09,22.998741149902344
2018-11-12,22.928556442260742
2018-11-13,23.06892204284668
2018-11-14,23.040847778320312
2018-11-15,23.1882381439209
2018-11-16,23.763729095458984
2018-11-19,23.482999801635742
2018-11-20,23.237361907958984
2018-11-21,22.858373641967773
2018-11-23,22.753101348876953
2018-11-26,23.349653244018555
2018-11-27,23.468961715698242
