,CVS
2015-03-30,79.52474975585938
2015-03-31,79.04988098144531
2015-04-01,78.322265625
2015-04-02,78.66694641113281
2015-04-06,79.2184066772461
2015-04-07,78.98861694335938
2015-04-08,78.83544158935547
2015-04-09,78.40652465820312
2015-04-10,78.53671264648438
2015-04-13,78.2303466796875
2015-04-14,78.2073745727539
2015-04-15,77.91634368896484
2015-04-16,77.48741912841797
2015-04-17,76.89002227783203
2015-04-20,77.5716781616211
2015-04-21,77.67123413085938
2015-04-22,77.80189514160156
2015-04-23,77.53290557861328
2015-04-24,78.07090759277344
2015-04-27,77.794189453125
2015-04-28,78.37065887451172
2015-04-29,77.37151336669922
2015-04-30,76.31088256835938
2015-05-01,77.21011352539062
2015-05-04,76.97953796386719
2015-05-05,75.88817596435547
2015-05-06,75.98808288574219
2015-05-07,76.36469268798828
2015-05-08,77.36380767822266
2015-05-11,77.23316955566406
2015-05-12,77.041015625
2015-05-13,76.7105484008789
2015-05-14,78.36293029785156
2015-05-15,78.44752502441406
2015-05-18,78.73188018798828
2015-05-19,78.6396484375
2015-05-20,77.8326644897461
2015-05-21,79.69258880615234
2015-05-22,79.89239501953125
2015-05-26,79.04698181152344
2015-05-27,79.53116607666016
2015-05-28,79.30828094482422
2015-05-29,78.68574523925781
2015-06-01,78.78567504882812
2015-06-02,78.2630386352539
2015-06-03,78.32454681396484
2015-06-04,77.52519226074219
2015-06-05,76.81814575195312
2015-06-08,76.40311431884766
2015-06-09,76.84119415283203
2015-06-10,78.49364471435547
2015-06-11,78.87788391113281
2015-06-12,78.56277465820312
2015-06-15,78.83949279785156
2015-06-16,79.29290771484375
2015-06-17,79.79248046875
2015-06-18,80.74551391601562
2015-06-19,81.06063079833984
2015-06-22,81.57555389404297
2015-06-23,81.82917785644531
2015-06-24,80.95301818847656
2015-06-25,80.70709228515625
2015-06-26,81.34497833251953
2015-06-29,80.55333709716797
2015-06-30,80.6071548461914
2015-07-01,81.24506378173828
2015-07-02,81.12208557128906
2015-07-06,80.55333709716797
2015-07-07,81.76002502441406
2015-07-08,80.07684326171875
2015-07-09,81.23738098144531
2015-07-10,82.57471466064453
2015-07-13,83.8966064453125
2015-07-14,84.40389251708984
2015-07-15,84.4653549194336
2015-07-16,84.9572525024414
2015-07-17,84.64981079101562
2015-07-20,85.29541778564453
2015-07-21,84.8559341430664
2015-07-22,85.56526947021484
2015-07-23,84.95619201660156
2015-07-24,85.18749237060547
2015-07-27,84.63233947753906
2015-07-28,86.07412719726562
2015-07-29,87.4696273803711
2015-07-30,87.076416015625
2015-07-31,86.71405792236328
2015-08-03,86.98390197753906
2015-08-04,84.77886199951172
2015-08-05,85.73487091064453
2015-08-06,83.36022186279297
2015-08-07,83.06723022460938
2015-08-10,83.74571990966797
2015-08-11,83.32936096191406
2015-08-12,83.514404296875
2015-08-13,83.01323699951172
2015-08-14,83.01323699951172
2015-08-17,83.83821868896484
2015-08-18,83.62235260009766
2015-08-19,82.31166076660156
2015-08-20,81.74113464355469
2015-08-21,78.80362701416016
2015-08-24,77.2616195678711
2015-08-25,77.0997085571289
2015-08-26,79.31248474121094
2015-08-27,81.10891723632812
2015-08-28,80.3224868774414
2015-08-31,78.95011901855469
2015-09-01,77.3078842163086
2015-09-02,77.95553588867188
2015-09-03,78.32561492919922
2015-09-04,77.19225311279297
2015-09-08,78.74964904785156
2015-09-09,77.27705383300781
2015-09-10,77.7165298461914
2015-09-11,78.27163696289062
2015-09-14,77.22306823730469
2015-09-15,78.33333587646484
2015-09-16,78.28705596923828
2015-09-17,78.13285827636719
2015-09-18,76.35184478759766
2015-09-21,77.80133819580078
2015-09-22,77.12283325195312
2015-09-23,77.58544921875
2015-09-24,76.45979309082031
2015-09-25,76.02803802490234
2015-09-28,74.28557586669922
2015-09-29,73.33723449707031
2015-09-30,74.38580322265625
2015-10-01,74.71732330322266
2015-10-02,76.29785919189453
2015-10-05,78.61859893798828
2015-10-06,76.96094512939453
2015-10-07,77.87844848632812
2015-10-08,78.77278137207031
2015-10-09,78.6417007446289
2015-10-12,79.46665954589844
2015-10-13,78.68026733398438
2015-10-14,77.44666290283203
2015-10-15,78.95782470703125
2015-10-16,79.7056884765625
2015-10-19,79.80592346191406
2015-10-20,80.14630889892578
2015-10-21,79.906494140625
2015-10-22,80.68010711669922
2015-10-23,80.41704559326172
2015-10-26,80.04571533203125
