,SHW
2019-09-26,174.8273162841797
2019-09-27,173.52969360351562
2019-09-30,175.3119354248047
2019-10-01,173.714599609375
2019-10-02,172.48716735839844
2019-10-03,173.18222045898438
2019-10-04,174.9835662841797
2019-10-07,175.1238250732422
2019-10-08,174.05892944335938
2019-10-09,177.157958984375
2019-10-10,178.1271514892578
2019-10-11,175.35655212402344
2019-10-14,175.46499633789062
2019-10-15,178.187744140625
2019-10-16,179.89344787597656
2019-10-17,178.71376037597656
2019-10-18,178.81581115722656
2019-10-21,175.48411560058594
2019-10-22,180.73834228515625
2019-10-23,179.77545166015625
2019-10-24,183.02110290527344
2019-10-25,183.3016815185547
2019-10-28,184.3569793701172
2019-10-29,185.43142700195312
2019-10-30,186.90444946289062
2019-10-31,182.46954345703125
2019-11-01,184.80331420898438
2019-11-04,182.04867553710938
2019-11-05,180.10704040527344
2019-11-06,183.40054321289062
2019-11-07,181.5576934814453
2019-11-08,185.34854125976562
2019-11-11,184.72999572753906
2019-11-12,187.22642517089844
2019-11-13,188.02346801757812
2019-11-14,189.5695037841797
2019-11-15,189.352294921875
2019-11-18,187.2152862548828
2019-11-19,186.61474609375
2019-11-20,184.00177001953125
2019-11-21,181.61875915527344
2019-11-22,183.62161254882812
2019-11-25,185.2762908935547
2019-11-26,187.56668090820312
2019-11-27,186.82559204101562
2019-11-29,186.27293395996094
2019-12-02,183.62161254882812
2019-12-03,184.60552978515625
2019-12-04,182.4971923828125
2019-12-05,182.8773193359375
2019-12-06,184.8067626953125
2019-12-09,184.17742919921875
2019-12-10,182.35028076171875
2019-12-11,183.83245849609375
2019-12-12,184.25408935546875
2019-12-13,182.79107666015625
2019-12-16,185.1166229248047
2019-12-17,184.6790008544922
2019-12-18,182.9125213623047
2019-12-19,184.58631896972656
2019-12-20,185.58616638183594
2019-12-23,186.31448364257812
2019-12-24,185.63726806640625
2019-12-26,185.78419494628906
2019-12-27,185.81295776367188
2019-12-30,184.87062072753906
2019-12-31,186.40394592285156
2020-01-02,182.66970825195312
2020-01-03,180.30589294433594
2020-01-06,179.9736785888672
2020-01-07,178.9993896484375
2020-01-08,181.84873962402344
2020-01-09,180.68283081054688
2020-01-10,181.14915466308594
2020-01-13,183.63119506835938
2020-01-14,183.50665283203125
2020-01-15,186.72975158691406
2020-01-16,186.86390686035156
2020-01-17,189.89535522460938
2020-01-21,189.4449462890625
2020-01-22,189.40342712402344
2020-01-23,190.5565948486328
2020-01-24,190.01353454589844
2020-01-27,186.6370849609375
2020-01-28,188.8028564453125
2020-01-29,188.55056762695312
2020-01-30,181.72738647460938
2020-01-31,177.9228973388672
2020-02-03,183.64720153808594
2020-02-04,187.49961853027344
2020-02-05,186.0525360107422
2020-02-06,185.88006591796875
2020-02-07,182.89334106445312
2020-02-10,182.80703735351562
2020-02-11,184.32760620117188
2020-02-12,185.31788635253906
2020-02-13,185.1964569091797
2020-02-14,187.01400756835938
2020-02-18,185.84169006347656
2020-02-19,188.16403198242188
2020-02-20,186.576416015625
2020-02-21,183.1456756591797
2020-02-24,181.15240478515625
2020-02-25,175.99671936035156
2020-02-26,175.88487243652344
2020-02-27,167.819091796875
2020-02-28,165.4908447265625
2020-03-02,172.3987579345703
2020-03-03,173.1225128173828
2020-03-04,184.07516479492188
2020-03-05,177.7117156982422
2020-03-06,173.2570037841797
2020-03-09,168.82473754882812
2020-03-10,174.86468505859375
2020-03-11,166.57655334472656
2020-03-12,154.56704711914062
2020-03-13,159.91207885742188
2020-03-16,130.04522705078125
2020-03-17,134.6280975341797
2020-03-18,129.01718139648438
2020-03-19,142.55113220214844
2020-03-20,132.16854858398438
2020-03-23,127.04447174072266
2020-03-24,145.4013671875
2020-03-25,144.6455841064453
2020-03-26,149.28285217285156
2020-03-27,147.2075958251953
2020-03-30,154.30764770507812
2020-03-31,147.1627655029297
2020-04-01,136.10121154785156
