,GL
2016-11-07,60.75395584106445
2016-11-08,61.25008773803711
2016-11-09,63.22530746459961
2016-11-10,65.14431762695312
2016-11-11,65.54685974121094
2016-11-14,66.28638458251953
2016-11-15,65.5187759399414
2016-11-16,64.77924346923828
2016-11-17,65.67791748046875
2016-11-18,65.58428955078125
2016-11-21,65.88387298583984
2016-11-22,66.15533447265625
2016-11-23,66.38935852050781
2016-11-25,66.557861328125
2016-11-28,65.14431762695312
2016-11-29,65.21922302246094
2016-11-30,65.61241149902344
2016-12-01,66.80123901367188
2016-12-02,66.44554138183594
2016-12-05,66.96039581298828
2016-12-06,67.67183685302734
2016-12-07,68.60797119140625
2016-12-08,69.27261352539062
2016-12-09,68.98243713378906
2016-12-12,68.36457824707031
2016-12-13,68.78581237792969
2016-12-14,68.75774383544922
2016-12-15,69.0291976928711
2016-12-16,68.66414642333984
2016-12-19,69.59086608886719
2016-12-20,70.0215072631836
2016-12-21,70.04959106445312
2016-12-22,69.85299682617188
2016-12-23,69.52536010742188
2016-12-27,69.73129272460938
2016-12-28,69.16026306152344
2016-12-29,68.92625427246094
2016-12-30,69.04793548583984
2017-01-03,69.19772338867188
2017-01-04,70.01367950439453
2017-01-05,69.5822525024414
2017-01-06,69.95738983154297
2017-01-09,69.31963348388672
2017-01-10,69.41342163085938
2017-01-11,69.16957092285156
2017-01-12,68.84131622314453
2017-01-13,69.29149627685547
2017-01-17,68.4661636352539
2017-01-18,69.2258529663086
2017-01-19,69.04764556884766
2017-01-20,69.3946533203125
2017-01-23,69.01950073242188
2017-01-24,69.64790344238281
2017-01-25,70.05118560791016
2017-01-26,70.21064758300781
2017-01-27,69.91989135742188
2017-01-30,69.45094299316406
2017-01-31,68.9726333618164
2017-02-01,68.9726333618164
2017-02-02,69.08516693115234
2017-02-03,69.63851928710938
2017-02-06,69.76983642578125
2017-02-07,69.57286834716797
2017-02-08,69.2446060180664
2017-02-09,69.82610321044922
2017-02-10,70.26692199707031
2017-02-13,71.14852905273438
2017-02-14,71.43926239013672
2017-02-15,72.2083511352539
2017-02-16,72.61165618896484
2017-02-17,72.33027648925781
2017-02-21,72.46159362792969
2017-02-22,72.69606018066406
2017-02-23,72.74293518066406
2017-02-24,72.73358917236328
2017-02-27,72.65853881835938
2017-02-28,72.7148208618164
2017-03-01,73.81214904785156
2017-03-02,73.04305267333984
2017-03-03,73.33380889892578
2017-03-06,73.08059692382812
2017-03-07,73.1837387084961
2017-03-08,72.77106475830078
2017-03-09,73.35257720947266
2017-03-10,73.4744873046875
2017-03-13,73.51201629638672
2017-03-14,73.54012298583984
2017-03-15,73.74649047851562
2017-03-16,73.82151794433594
2017-03-17,73.74649047851562
2017-03-20,73.54952239990234
2017-03-21,71.81441497802734
2017-03-22,71.73002624511719
2017-03-23,71.80506134033203
2017-03-24,71.83317565917969
2017-03-27,71.59872436523438
2017-03-28,72.14270782470703
2017-03-29,71.5049057006836
2017-03-30,72.51986694335938
2017-03-31,72.39768981933594
2017-04-03,72.04058837890625
2017-04-04,72.19094848632812
2017-04-05,71.44852447509766
2017-04-06,71.6646957397461
2017-04-07,71.5707015991211
2017-04-10,71.50492095947266
2017-04-11,71.6364974975586
2017-04-12,70.84710693359375
2017-04-13,69.991943359375
2017-04-17,70.99747467041016
2017-04-18,70.48063659667969
2017-04-19,70.25505828857422
2017-04-20,71.42034149169922
2017-04-21,71.73045349121094
2017-04-24,72.62322235107422
2017-04-25,72.61382293701172
2017-04-26,72.42588806152344
2017-04-27,72.76419067382812
2017-04-28,72.08757019042969
2017-05-01,72.2661361694336
2017-05-02,72.1345443725586
2017-05-03,72.2473373413086
2017-05-04,72.08757019042969
2017-05-05,72.20035552978516
2017-05-08,72.00300598144531
2017-05-09,71.45794677734375
2017-05-10,71.53312683105469
2017-05-11,71.02567291259766
2017-05-12,70.70614624023438
2017-05-15,71.43914794921875
2017-05-16,71.08203125
2017-05-17,69.64424896240234
2017-05-18,70.07650756835938
2017-05-19,69.88858032226562
2017-05-22,70.24567413330078
2017-05-23,70.53699493408203
2017-05-24,70.25505828857422
2017-05-25,71.0914535522461
2017-05-26,70.6967544555664
2017-05-30,70.7343521118164
2017-05-31,70.95047760009766
2017-06-01,71.97476959228516
2017-06-02,71.86205291748047
2017-06-05,71.2887954711914
2017-06-06,70.29266357421875
2017-06-07,70.20806884765625
2017-06-08,70.7531509399414
2017-06-09,72.1345443725586
2017-06-12,72.01239013671875
2017-06-13,72.32251739501953
2017-06-14,72.30370330810547
2017-06-15,72.35069274902344
2017-06-16,72.58563995361328
2017-06-19,73.08369445800781
2017-06-20,72.55744171142578
2017-06-21,71.55191802978516
2017-06-22,71.08203125
2017-06-23,71.11962890625
2017-06-26,71.38275909423828
2017-06-27,71.1102294921875
2017-06-28,72.1815185546875
2017-06-29,71.7210693359375
2017-06-30,72.03179931640625
2017-07-03,72.73796844482422
2017-07-05,72.3143081665039
2017-07-06,72.24837493896484
2017-07-07,73.10520935058594
2017-07-10,73.3123550415039
2017-07-11,72.92630767822266
2017-07-12,73.25586700439453
2017-07-13,73.66075897216797
2017-07-14,73.58544158935547
2017-07-17,73.79257202148438
2017-07-18,73.52891540527344
2017-07-19,73.64189910888672
2017-07-20,73.67015838623047
2017-07-21,73.74549102783203
2017-07-24,73.90557098388672
2017-07-25,74.18803405761719
2017-07-26,73.4065170288086
2017-07-27,74.19747161865234
2017-07-28,74.28218078613281
2017-07-31,74.3575439453125
2017-08-01,74.4987564086914
2017-08-02,74.31985473632812
2017-08-03,74.23513793945312
2017-08-04,74.45169067382812
2017-08-07,74.36695098876953
2017-08-08,74.64002227783203
2017-08-09,74.60234832763672
2017-08-10,73.86788940429688
2017-08-11,73.59484100341797
2017-08-14,74.16920471191406
2017-08-15,74.25395202636719
2017-08-16,74.15038299560547
2017-08-17,72.36135864257812
2017-08-18,72.13538360595703
2017-08-21,72.05062866210938
2017-08-22,72.90748596191406
2017-08-23,72.78506469726562
2017-08-24,72.59675598144531
2017-08-25,73.16168975830078
2017-08-28,72.7003173828125
2017-08-29,72.32366943359375
2017-08-30,72.44609832763672
2017-08-31,72.47437286376953
2017-09-01,72.99221801757812
2017-09-05,71.43860626220703
2017-09-06,71.60807800292969
2017-09-07,70.31810760498047
2017-09-08,71.62694549560547
2017-09-11,72.3519287109375
2017-09-12,73.23702239990234
2017-09-13,72.65325927734375
2017-09-14,72.43668365478516
2017-09-15,72.70974731445312
2017-09-18,73.00163269042969
2017-09-19,73.34061431884766
2017-09-20,74.02800750732422
2017-09-21,74.05624389648438
2017-09-22,74.04679870605469
2017-09-25,74.31043243408203
2017-09-26,74.26339721679688
2017-09-27,75.1767349243164
2017-09-28,75.08255004882812
2017-09-29,75.41211700439453
2017-10-02,75.63809967041016
2017-10-03,75.71342468261719
2017-10-04,75.6286849975586
2017-10-05,76.2324447631836
2017-10-06,76.2324447631836
2017-10-09,75.9682846069336
2017-10-10,76.34562683105469
2017-10-11,76.5060043334961
2017-10-12,76.91165924072266
2017-10-13,76.98710632324219
2017-10-16,77.40217590332031
2017-10-17,77.25123596191406
2017-10-18,77.50592803955078
2017-10-19,77.85501098632812
2017-10-20,78.41157531738281
2017-10-23,78.95870971679688
2017-10-24,79.12852478027344
2017-10-25,79.78886413574219
2017-10-26,80.26055145263672
2017-10-27,80.1473388671875
2017-10-30,79.7322998046875
2017-10-31,79.3643569946289
2017-11-01,79.95867156982422
2017-11-02,80.6944808959961
2017-11-03,80.58128356933594
2017-11-06,80.82654571533203
2017-11-07,80.35486602783203
2017-11-08,80.41146850585938
2017-11-09,79.71338653564453
2017-11-10,79.48700714111328
2017-11-13,79.89263916015625
2017-11-14,80.35486602783203
2017-11-15,80.53412628173828
2017-11-16,80.19449615478516
2017-11-17,80.60015869140625
2017-11-20,80.26055145263672
2017-11-21,80.4397964477539
2017-11-22,80.34546661376953
2017-11-24,80.33599853515625
2017-11-27,80.8831558227539
2017-11-28,82.5717544555664
2017-11-29,84.04338073730469
2017-11-30,83.81698608398438
2017-12-01,83.5151138305664
2017-12-04,84.33583068847656
2017-12-05,83.95849609375
2017-12-06,83.98677062988281
2017-12-07,84.11886596679688
2017-12-08,84.85469055175781
2017-12-11,84.55281829833984
2017-12-12,84.68486022949219
2017-12-13,84.25094604492188
2017-12-14,83.82642364501953
2017-12-15,84.53392028808594
2017-12-18,84.77921295166016
2017-12-19,85.03392028808594
2017-12-20,85.29806518554688
2017-12-21,85.3829574584961
2017-12-22,85.5527572631836
2017-12-26,85.49615478515625
2017-12-27,85.5527572631836
2017-12-28,85.99613952636719
2017-12-29,85.57162475585938
2018-01-02,85.09994506835938
2018-01-03,85.34521484375
2018-01-04,85.70428466796875
2018-01-05,86.04448699951172
2018-01-08,86.29959106445312
2018-01-09,86.99884796142578
2018-01-10,87.65084075927734
2018-01-11,87.74530792236328
2018-01-12,87.16893005371094
2018-01-16,86.38463592529297
2018-01-17,86.9610366821289
2018-01-18,86.61141204833984
2018-01-19,87.07444763183594
2018-01-22,87.66971588134766
2018-01-23,87.66028594970703
2018-01-24,87.94373321533203
2018-01-25,87.60359191894531
2018-01-26,88.17998504638672
2018-01-29,87.25395202636719
2018-01-30,86.29959106445312
2018-01-31,85.84603881835938
2018-02-01,85.74207305908203
2018-02-02,83.35143280029297
2018-02-05,79.33552551269531
2018-02-06,78.82526397705078
2018-02-07,78.69297790527344
2018-02-08,76.08500671386719
2018-02-09,78.0882568359375
2018-02-12,78.92920684814453
2018-02-13,79.41112518310547
2018-02-14,81.5466537475586
2018-02-15,81.37657165527344
2018-02-16,81.87737274169922
2018-02-20,81.62223052978516
2018-02-21,81.42379760742188
2018-02-22,80.92298889160156
2018-02-23,81.74507904052734
2018-02-26,82.7750473022461
2018-02-27,82.19865417480469
2018-02-28,80.66787719726562
2018-03-01,78.58905029296875
2018-03-02,78.39060974121094
2018-03-05,79.4772720336914
2018-03-06,80.0536880493164
2018-03-07,80.16706085205078
2018-03-08,80.90412902832031
2018-03-09,82.52935028076172
2018-03-12,82.22699737548828
2018-03-13,81.62223052978516
2018-03-14,80.54502868652344
2018-03-15,80.82852172851562
2018-03-16,80.87576293945312
2018-03-19,80.73402404785156
2018-03-20,81.29151153564453
2018-03-21,81.3198471069336
2018-03-22,79.21269226074219
2018-03-23,76.45352172851562
2018-03-26,79.48672485351562
2018-03-27,78.58905029296875
2018-03-28,79.08985137939453
2018-03-29,79.53396606445312
2018-04-02,77.82039642333984
2018-04-03,79.12686157226562
2018-04-04,80.08306121826172
2018-04-05,80.43331909179688
2018-04-06,78.558837890625
2018-04-09,78.71979522705078
2018-04-10,79.6854248046875
2018-04-11,78.97540283203125
2018-04-12,79.74224090576172
2018-04-13,79.8464126586914
2018-04-16,80.556396484375
2018-04-17,80.8120346069336
2018-04-18,81.14339447021484
2018-04-19,82.57293701171875
2018-04-20,82.53506469726562
2018-04-23,82.2605209350586
2018-04-24,81.53153991699219
2018-04-25,81.86288452148438
2018-04-26,82.14690399169922
2018-04-27,82.85693359375
2018-04-30,82.1185073852539
2018-05-01,82.06170654296875
2018-05-02,80.34812927246094
2018-05-03,79.60970306396484
2018-05-04,80.9067153930664
2018-05-07,80.88778686523438
2018-05-08,80.50907897949219
2018-05-09,80.49015808105469
2018-05-10,80.83097839355469
2018-05-11,80.96349334716797
2018-05-14,80.23455047607422
2018-05-15,80.36710357666016
2018-05-16,80.75521850585938
2018-05-17,81.10551452636719
2018-05-18,81.07711791992188
2018-05-21,81.9670181274414
2018-05-22,82.35519409179688
2018-05-23,81.9670181274414
2018-05-24,81.61674499511719
2018-05-25,81.14339447021484
2018-05-29,78.70084381103516
2018-05-30,80.5658950805664
2018-05-31,80.31026458740234
2018-06-01,81.20965576171875
2018-06-04,80.6416244506836
2018-06-05,80.40495300292969
2018-06-06,80.96349334716797
2018-06-07,81.0960693359375
2018-06-08,81.6451416015625
2018-06-11,81.11498260498047
2018-06-12,80.1114730834961
2018-06-13,79.8464126586914
2018-06-14,79.7138442993164
2018-06-15,79.97892761230469
2018-06-18,79.63809967041016
2018-06-19,79.78011322021484
2018-06-20,79.57183074951172
2018-06-21,79.240478515625
2018-06-22,79.2215347290039
2018-06-25,79.16472625732422
2018-06-26,78.59671020507812
2018-06-27,77.02515411376953
2018-06-28,76.82633209228516
2018-06-29,77.07249450683594
2018-07-02,77.54586029052734
2018-07-03,77.85888671875
2018-07-05,78.05807495117188
2018-07-06,78.53236389160156
2018-07-09,80.49590301513672
2018-07-10,80.41053009033203
2018-07-11,79.48094940185547
2018-07-12,79.10151672363281
2018-07-13,79.13945007324219
2018-07-16,80.11648559570312
2018-07-17,80.21134185791016
2018-07-18,80.89431762695312
2018-07-19,79.65167236328125
2018-07-20,79.17740631103516
2018-07-23,80.01213836669922
2018-07-24,80.17338562011719
2018-07-25,79.55680847167969
2018-07-26,82.3171615600586
2018-07-27,83.21832275390625
2018-07-30,83.63569641113281
2018-07-31,83.54082489013672
2018-08-01,82.7250747680664
2018-08-02,81.937744140625
2018-08-03,82.40254974365234
2018-08-06,82.7819595336914
2018-08-07,83.02859497070312
2018-08-08,83.49339294433594
2018-08-09,83.02859497070312
2018-08-10,82.1559066772461
2018-08-13,81.871337890625
2018-08-14,82.62071990966797
2018-08-15,82.35511779785156
2018-08-16,83.4365005493164
2018-08-17,83.64519500732422
2018-08-20,83.8064193725586
2018-08-21,84.60323333740234
2018-08-22,84.20481872558594
2018-08-23,83.2372817993164
2018-08-24,83.8728256225586
2018-08-27,84.138427734375
2018-08-28,83.7115707397461
2018-08-29,83.58826446533203
2018-08-30,83.19935607910156
