,AOS
2020-08-03,44.88111114501953
2020-08-04,44.491397857666016
2020-08-05,44.556358337402344
2020-08-06,45.09451675415039
2020-08-07,45.38215637207031
2020-08-10,45.28937530517578
2020-08-11,46.18013000488281
2020-08-12,46.402809143066406
2020-08-13,45.5213508605957
2020-08-14,46.17084884643555
2020-08-17,46.12445831298828
2020-08-18,45.93887710571289
2020-08-19,45.89248275756836
2020-08-20,45.55845260620117
2020-08-21,45.419273376464844
2020-08-24,46.12445831298828
2020-08-25,45.929595947265625
2020-08-26,45.91104507446289
2020-08-27,45.6512451171875
2020-08-28,45.799705505371094
2020-08-31,45.43783187866211
2020-09-01,45.77186965942383
2020-09-02,46.5698356628418
2020-09-03,45.25225830078125
2020-09-04,45.103797912597656
2020-09-08,43.85117721557617
2020-09-09,44.76976776123047
2020-09-10,44.91822052001953
2020-09-11,45.26152801513672
2020-09-14,46.263633728027344
2020-09-15,47.126556396484375
2020-09-16,48.01730728149414
2020-09-17,49.34416580200195
2020-09-18,49.39984130859375
2020-09-21,48.137939453125
2020-09-22,48.86167907714844
2020-09-23,48.0637092590332
2020-09-24,49.17715072631836
2020-09-25,48.39773941040039
2020-09-28,49.44622802734375
2020-09-29,49.854488372802734
2020-09-30,48.99156951904297
2020-10-01,49.7245979309082
2020-10-02,49.66892623901367
2020-10-05,51.22774124145508
2020-10-06,49.73386764526367
2020-10-07,50.179256439208984
2020-10-08,52.656673431396484
2020-10-09,53.06492614746094
2020-10-12,52.41542053222656
2020-10-13,51.21846008300781
2020-10-14,51.56178283691406
2020-10-15,51.80302429199219
2020-10-16,51.376197814941406
2020-10-19,50.99577713012695
2020-10-20,51.15351867675781
2020-10-21,50.85659408569336
2020-10-22,50.949378967285156
2020-10-23,50.96794509887695
2020-10-26,50.04005813598633
2020-10-27,49.20498275756836
2020-10-28,47.748233795166016
2020-10-29,49.78125762939453
2020-10-30,48.2051887512207
2020-11-02,49.28699493408203
2020-11-03,49.7066535949707
2020-11-04,48.885982513427734
2020-11-05,50.191585540771484
2020-11-06,50.88170623779297
2020-11-09,49.54811096191406
2020-11-10,51.058895111083984
2020-11-11,51.12417984008789
2020-11-12,50.443389892578125
2020-11-13,51.357322692871094
2020-11-16,52.597652435302734
2020-11-17,52.579002380371094
2020-11-18,52.68159103393555
2020-11-19,52.7841796875
2020-11-20,52.280574798583984
2020-11-23,53.61417770385742
2020-11-24,54.052490234375
2020-11-25,52.569679260253906
2020-11-27,53.231815338134766
2020-11-30,52.513729095458984
2020-12-01,51.34800338745117
2020-12-02,51.170799255371094
2020-12-03,51.254737854003906
2020-12-04,51.34800338745117
2020-12-07,51.581138610839844
2020-12-08,52.308555603027344
2020-12-09,53.78203582763672
2020-12-10,52.513729095458984
2020-12-11,52.56034469604492
2020-12-14,51.674400329589844
2020-12-15,52.616302490234375
2020-12-16,51.366641998291016
2020-12-17,51.53451919555664
2020-12-18,51.88889694213867
2020-12-21,52.0567626953125
2020-12-22,51.62777328491211
2020-12-23,51.39462661743164
2020-12-24,51.739681243896484
2020-12-28,51.870235443115234
2020-12-29,51.02159118652344
2020-12-30,51.02159118652344
2020-12-31,51.12417984008789
2021-01-04,50.28485107421875
2021-01-05,50.61125564575195
2021-01-06,52.355186462402344
2021-01-07,52.9986686706543
2021-01-08,52.37382888793945
2021-01-11,53.06394577026367
2021-01-12,54.81719970703125
2021-01-13,54.388214111328125
2021-01-14,53.54888916015625
2021-01-15,52.9986686706543
2021-01-19,53.34372329711914
2021-01-20,53.94057083129883
2021-01-21,54.12709045410156
2021-01-22,53.865970611572266
2021-01-25,53.082603454589844
2021-01-26,50.81642150878906
2021-01-27,49.604061126708984
2021-01-28,53.333980560302734
2021-01-29,50.88798141479492
2021-02-01,52.5092658996582
2021-02-02,53.7838134765625
2021-02-03,53.6245002746582
2021-02-04,54.955265045166016
2021-02-05,56.22981262207031
2021-02-08,57.523101806640625
2021-02-09,57.46686935424805
2021-02-10,57.373146057128906
2021-02-11,57.25132751464844
2021-02-12,56.57656478881836
2021-02-16,55.40510559082031
2021-02-17,55.53630447387695
2021-02-18,54.49606704711914
2021-02-19,55.892433166503906
2021-02-22,57.96356201171875
2021-02-23,57.879215240478516
2021-02-24,57.4481201171875
2021-02-25,56.44535446166992
2021-02-26,55.639400482177734
2021-03-01,56.85771179199219
2021-03-02,57.09199905395508
2021-03-03,58.08538818359375
2021-03-04,57.2044563293457
2021-03-05,58.553977966308594
2021-03-08,59.716064453125
2021-03-09,59.406795501708984
2021-03-10,60.90624237060547
2021-03-11,60.896881103515625
2021-03-12,60.33457946777344
2021-03-15,61.17803955078125
2021-03-16,61.50604248046875
2021-03-17,62.527549743652344
2021-03-18,63.22106170654297
2021-03-19,63.239784240722656
2021-03-22,63.239784240722656
2021-03-23,61.496673583984375
