,FTV
2018-02-09,58.94939041137695
2018-02-12,60.45463943481445
2018-02-13,60.32445526123047
2018-02-14,60.36513900756836
2018-02-15,61.089298248291016
2018-02-16,61.55308532714844
2018-02-20,61.71580505371094
2018-02-21,61.84599304199219
2018-02-22,62.44865417480469
2018-02-23,62.823272705078125
2018-02-26,63.4911003112793
2018-02-27,63.32821273803711
2018-02-28,62.546382904052734
2018-03-01,60.83612823486328
2018-03-02,60.257911682128906
2018-03-05,60.477779388427734
2018-03-06,61.17817306518555
2018-03-07,63.4911003112793
2018-03-08,63.816856384277344
2018-03-09,65.37235260009766
2018-03-12,63.955299377441406
2018-03-13,63.51552200317383
2018-03-14,63.20604705810547
2018-03-15,63.6051025390625
2018-03-16,63.71098709106445
2018-03-19,63.34449768066406
2018-03-20,63.65397644042969
2018-03-21,63.808712005615234
2018-03-22,62.45680618286133
2018-03-23,61.9111442565918
2018-03-26,63.596961975097656
2018-03-27,62.546382904052734
2018-03-28,62.424217224121094
2018-03-29,63.13276290893555
2018-04-02,61.43879318237305
2018-04-03,62.139190673828125
2018-04-04,62.40793991088867
2018-04-05,63.05133056640625
2018-04-06,60.85242462158203
2018-04-09,60.35563278198242
2018-04-10,61.73197555541992
2018-04-11,60.63251876831055
2018-04-12,60.87686920166016
2018-04-13,60.83612823486328
2018-04-16,61.29219436645508
2018-04-17,62.489383697509766
2018-04-18,62.823272705078125
2018-04-19,62.521934509277344
2018-04-20,62.49752426147461
2018-04-23,62.139190673828125
2018-04-24,59.49236679077149
2018-04-25,58.80012130737305
2018-04-26,58.85712814331055
2018-04-27,58.07529830932617
2018-04-30,57.260887145996094
2018-05-01,58.669803619384766
2018-05-02,58.2463264465332
2018-05-03,59.05257797241211
2018-05-04,59.68782043457031
2018-05-07,59.89140701293945
2018-05-08,60.46964645385742
2018-05-09,61.25962829589844
2018-05-10,61.520233154296875
2018-05-11,61.58538055419922
2018-05-14,62.139190673828125
2018-05-15,62.09845352172851
2018-05-16,62.53007888793945
2018-05-17,62.994293212890625
2018-05-18,63.41779708862305
2018-05-21,63.20604705810547
2018-05-22,61.98445129394531
2018-05-23,62.04146194458008
2018-05-24,62.08221054077149
2018-05-25,61.552364349365234
2018-05-29,60.33777618408203
2018-05-30,60.47635269165039
2018-05-31,59.25362777709961
2018-06-01,60.16659164428711
2018-06-04,60.525264739990234
2018-06-05,60.566017150878906
2018-06-06,61.10401916503906
2018-06-07,63.56577682495117
2018-06-08,63.74512481689453
2018-06-11,63.88370513916016
2018-06-12,63.81850051879883
2018-06-13,63.655460357666016
2018-06-14,65.3183822631836
2018-06-15,66.08460235595703
2018-06-18,65.51402282714844
2018-06-19,64.40541076660156
2018-06-20,64.2342300415039
2018-06-21,63.663597106933594
2018-06-22,63.45165252685547
2018-06-25,63.28049850463867
2018-06-26,61.299659729003906
2018-06-27,60.9654426574707
2018-06-28,61.78875350952149
2018-06-29,62.85660934448242
2018-07-02,62.5712890625
2018-07-03,62.3919677734375
2018-07-05,62.88105773925781
2018-07-06,62.94628143310547
2018-07-09,63.500587463378906
2018-07-10,62.81585311889648
2018-07-11,62.14742660522461
2018-07-12,62.726173400878906
2018-07-13,62.94628143310547
2018-07-16,62.32676315307617
2018-07-17,63.23158264160156
2018-07-18,63.19083404541016
2018-07-19,63.272335052490234
2018-07-20,63.28862762451172
2018-07-23,62.0985107421875
2018-07-24,63.10115814208984
2018-07-25,64.42170715332031
2018-07-26,66.19873809814453
2018-07-27,65.05751037597656
2018-07-30,65.00862884521484
2018-07-31,66.90792083740234
2018-08-01,65.9786605834961
2018-08-02,65.97049713134766
2018-08-03,66.19873809814453
2018-08-06,65.99496459960938
2018-08-07,66.25580596923828
2018-08-08,65.84821319580078
2018-08-09,65.40805053710938
2018-08-10,64.96783447265625
2018-08-13,64.64994049072266
2018-08-14,64.85374450683594
2018-08-15,64.95967864990234
2018-08-16,65.48953247070312
2018-08-17,65.41622161865234
2018-08-20,65.70149230957031
2018-08-21,65.53031158447266
2018-08-22,65.14717102050781
2018-08-23,65.22869873046875
2018-08-24,65.3183822631836
2018-08-27,66.58187103271484
2018-08-28,66.8997802734375
2018-08-29,68.37519073486328
2018-08-30,68.31809997558594
2018-08-31,68.51387786865234
2018-09-04,68.08966827392578
2018-09-05,68.80760192871094
2018-09-06,68.6607437133789
2018-09-07,69.01155090332031
2018-09-10,69.09315490722656
2018-09-11,69.36237335205078
2018-09-12,69.5989761352539
2018-09-13,70.56980895996094
2018-09-14,70.96141052246094
2018-09-17,71.07563018798828
2018-09-18,71.28773498535156
2018-09-19,70.1537094116211
2018-09-20,71.27957153320312
2018-09-21,70.96141052246094
2018-09-24,70.43110656738281
2018-09-25,70.16188049316406
2018-09-26,69.37052917480469
2018-09-27,69.0523452758789
2018-09-28,68.69337463378906
2018-10-01,68.88103485107422
2018-10-02,68.22020721435547
2018-10-03,68.31809997558594
2018-10-04,68.48944854736328
2018-10-05,68.51387786865234
2018-10-08,68.24468994140625
2018-10-09,67.06171417236328
2018-10-10,65.44636535644531
2018-10-11,64.10838317871094
2018-10-12,64.61420440673828
2018-10-15,64.4020767211914
2018-10-16,65.0873794555664
2018-10-17,65.44636535644531
2018-10-18,65.29135131835938
2018-10-19,65.09554290771484
2018-10-22,63.38228988647461
2018-10-23,62.86014938354492
2018-10-24,60.43712615966797
2018-10-25,62.27275466918945
2018-10-26,59.60497283935547
2018-10-29,58.903358459472656
2018-10-30,58.47911071777344
2018-10-31,60.57581329345703
2018-11-01,61.03268051147461
2018-11-02,61.0734748840332
2018-11-05,61.2692756652832
2018-11-06,61.90563201904297
2018-11-07,62.109596252441406
2018-11-08,62.729610443115234
2018-11-09,61.3671760559082
2018-11-12,61.15504455566406
2018-11-13,61.3590202331543
2018-11-14,60.04552459716797
2018-11-15,61.78325653076172
2018-11-16,61.55482864379883
2018-11-19,60.176055908203125
2018-11-20,59.221527099609375
2018-11-21,60.25764846801758
2018-11-23,59.392852783203125
2018-11-26,59.71918869018555
2018-11-27,60.176055908203125
2018-11-28,61.17953872680664
2018-11-29,60.5344123840332
2018-11-30,62.11861801147461
2018-12-03,62.02879333496094
2018-12-04,59.48917388916016
2018-12-06,58.90938949584961
2018-12-07,57.11288070678711
2018-12-10,57.74982070922851
2018-12-11,57.21086502075195
2018-12-12,57.79065704345703
2018-12-13,57.121036529541016
2018-12-14,56.230953216552734
2018-12-17,55.48783874511719
2018-12-18,55.61033248901367
2018-12-19,54.36911392211914
2018-12-20,53.20953369140625
2018-12-21,53.48717498779297
2018-12-24,51.96830749511719
2018-12-26,53.65049743652344
2018-12-27,54.62226104736328
2018-12-28,54.46709442138672
2018-12-31,55.251033782958984
2019-01-02,54.99787139892578
2019-01-03,52.77674102783203
2019-01-04,55.08771133422851
2019-01-07,55.365352630615234
2019-01-08,55.618499755859375
2019-01-09,56.53308868408203
2019-01-10,57.06386947631836
2019-01-11,56.76173400878906
2019-01-14,56.85972595214844
2019-01-15,57.1536979675293
2019-01-16,57.178192138671875
2019-01-17,58.28877258300781
2019-01-18,59.63616561889648
2019-01-22,58.52560043334961
2019-01-23,58.09278869628906
2019-01-24,57.97030258178711
2019-01-25,58.99922180175781
2019-01-28,58.70523834228515
2019-01-29,60.17511749267578
2019-01-30,61.02437973022461
2019-01-31,61.236698150634766
2019-02-01,60.6977424621582
2019-02-04,60.67323684692383
2019-02-05,60.86106491088867
2019-02-06,61.20403671264648
2019-02-07,60.771240234375
2019-02-08,62.7310791015625
2019-02-11,63.00871658325195
2019-02-12,64.36425018310547
2019-02-13,65.6871566772461
2019-02-14,65.69532012939453
2019-02-15,66.79772186279297
2019-02-19,65.71981811523438
2019-02-20,66.19344329833984
2019-02-21,65.88285827636719
2019-02-22,66.50401306152344
2019-02-25,66.6919937133789
2019-02-26,66.80641174316406
2019-02-27,66.78190612792969
2019-02-28,66.66747283935547
2019-03-01,67.47662353515625
2019-03-04,67.49295806884766
2019-03-05,67.22325897216797
2019-03-06,67.05159759521484
2019-03-07,66.25064849853516
2019-03-08,65.71125030517578
2019-03-11,67.16605377197266
2019-03-12,67.11698913574219
2019-03-13,67.98336029052734
2019-03-14,67.5419921875
2019-03-15,67.46027374267578
2019-03-18,68.17133331298828
2019-03-19,67.87710571289062
2019-03-20,67.82804870605469
2019-03-21,68.83334350585938
2019-03-22,67.2069091796875
2019-03-25,67.50930786132812
2019-03-26,68.31025695800781
2019-03-27,67.29679870605469
2019-03-28,67.78718566894531
2019-03-29,68.56362915039062
2019-04-01,69.52804565429688
2019-04-02,70.026611328125
2019-04-03,70.71311950683594
2019-04-04,70.5333251953125
2019-04-05,70.884765625
2019-04-08,71.04823303222656
2019-04-09,70.3862075805664
2019-04-10,70.31265258789062
2019-04-11,70.98283386230469
2019-04-12,71.64486694335938
2019-04-15,71.77565002441406
2019-04-16,71.62852478027344
2019-04-17,71.60399627685547
2019-04-18,72.33140563964844
2019-04-22,72.21696472167969
2019-04-23,72.70736694335938
2019-04-24,72.78907775878906
2019-04-25,71.75110626220703
2019-04-26,69.65882110595703
2019-04-29,70.16552734375
2019-04-30,70.5660171508789
2019-05-01,69.78141021728516
2019-05-02,70.14920043945312
2019-05-03,70.75399017333984
2019-05-06,69.42178344726562
2019-05-07,68.228515625
2019-05-08,67.41122436523438
2019-05-09,67.2314224243164
2019-05-10,67.53382110595703
2019-05-13,65.79296112060547
2019-05-14,65.80113220214844
2019-05-15,66.49585723876953
2019-05-16,66.48768615722656
2019-05-17,65.80931854248047
2019-05-20,64.84489440917969
2019-05-21,65.30257415771484
2019-05-22,65.04920196533203
2019-05-23,64.15836334228516
2019-05-24,63.782413482666016
2019-05-28,62.768951416015625
2019-05-29,62.6054801940918
2019-05-30,62.85908508300781
2019-05-31,62.294620513916016
2019-06-03,61.975582122802734
2019-06-04,63.61988067626953
2019-06-05,64.48698425292969
2019-06-06,64.93692779541016
2019-06-07,64.60152435302734
2019-06-10,64.56063842773438
2019-06-11,64.75697326660156
2019-06-12,63.95526885986328
2019-06-13,64.22521209716797
2019-06-14,63.25993347167969
2019-06-17,62.703643798828125
2019-06-18,64.08615112304688
2019-06-19,64.49515533447266
2019-06-20,66.11490631103516
2019-06-21,65.78771209716797
2019-06-24,65.98403930664062
2019-06-25,65.95948028564453
2019-06-26,65.32959747314453
2019-06-27,65.76316833496094
2019-06-28,66.68755340576172
2019-07-01,67.62832641601562
2019-07-02,67.04751586914062
2019-07-03,67.55467987060547
2019-07-05,66.2458267211914
2019-07-08,65.81224060058594
2019-07-09,65.66498565673828
2019-07-10,64.94508361816406
2019-07-11,65.19869995117188
2019-07-12,66.51576232910156
2019-07-15,66.05764770507812
2019-07-16,66.59757995605469
2019-07-17,65.19869995117188
2019-07-18,64.70787048339844
2019-07-19,64.22521209716797
2019-07-22,64.61787414550781
2019-07-23,66.61394500732422
2019-07-24,67.28474426269531
2019-07-25,66.9166030883789
2019-07-26,64.17611694335938
2019-07-29,62.85089492797851
2019-07-30,62.82636642456055
2019-07-31,62.21282196044922
2019-08-01,60.331295013427734
2019-08-02,60.24131393432617
2019-08-05,57.59900665283203
2019-08-06,58.425235748291016
2019-08-07,58.19618225097656
2019-08-08,58.768829345703125
2019-08-09,57.672630310058594
2019-08-12,56.4782829284668
2019-08-13,57.27178192138672
2019-08-14,55.07941055297851
2019-08-15,55.07941055297851
2019-08-16,56.388282775878906
2019-08-19,57.32905197143555
2019-08-20,57.27178192138672
2019-08-21,57.46811294555664
2019-08-22,57.05909729003906
2019-08-23,55.93018341064453
2019-08-26,56.56008529663086
2019-08-27,56.47010040283203
2019-08-28,56.969112396240234
2019-08-29,57.88624572753906
2019-08-30,58.05820846557617
2019-09-03,56.51872634887695
2019-09-04,54.83185195922851
2019-09-05,55.76536178588867
2019-09-06,56.06834411621094
2019-09-09,55.6916618347168
2019-09-10,56.182987213134766
2019-09-11,57.80437469482422
2019-09-12,57.30484390258789
2019-09-13,57.33760070800781
2019-09-16,56.91178894042969
2019-09-17,56.551475524902344
2019-09-18,57.0673713684082
2019-09-19,56.33038711547851
2019-09-20,55.830867767333984
2019-09-23,55.64253234863281
2019-09-24,54.815467834472656
2019-09-25,55.552452087402344
2019-09-26,55.66709518432617
2019-09-27,56.1747932434082
2019-09-30,56.14204788208008
2019-10-01,54.27501678466797
2019-10-02,52.76009750366211
2019-10-03,53.783695220947266
2019-10-04,54.45516586303711
2019-10-07,53.75093078613281
2019-10-08,52.6045036315918
2019-10-09,53.12038803100586
2019-10-10,53.578975677490234
2019-10-11,55.64253234863281
2019-10-14,55.65073013305664
2019-10-15,56.91997146606445
2019-10-16,56.78896713256836
2019-10-17,58.06639862060547
2019-10-18,58.090965270996094
2019-10-21,58.893463134765625
2019-10-22,59.1718864440918
2019-10-23,59.23738861083984
2019-10-24,58.5577278137207
2019-10-25,55.978267669677734
2019-10-28,56.20756912231445
2019-10-29,56.08472442626953
2019-10-30,56.84626770019531
2019-10-31,56.50234603881836
2019-11-01,58.795196533203125
2019-11-04,60.375633239746094
2019-11-05,60.19547653198242
2019-11-06,59.93343353271485
2019-11-07,59.19644546508789
2019-11-08,59.67958068847656
2019-11-11,59.02450180053711
2019-11-12,59.04086685180664
2019-11-13,58.12372970581055
2019-11-14,58.246559143066406
2019-11-15,58.65597915649414
2019-11-18,58.26293182373047
2019-11-19,58.22200012207031
2019-11-20,57.40312194824219
2019-11-21,58.08277130126953
