,MET
2020-10-22,35.38616180419922
2020-10-23,35.67371368408203
2020-10-26,34.314369201660156
2020-10-27,32.91148376464844
2020-10-28,31.891983032226562
2020-10-29,32.51065444946289
2020-10-30,32.98118209838867
2020-11-02,34.13671875
2020-11-03,35.25696563720703
2020-11-04,34.40134048461914
2020-11-05,36.28019332885742
2020-11-06,35.70683288574219
2020-11-09,39.640926361083984
2020-11-10,40.60240936279297
2020-11-11,40.143714904785156
2020-11-12,38.61771774291992
2020-11-13,39.46452331542969
2020-11-16,40.60240936279297
2020-11-17,40.58476638793945
2020-11-18,40.32014083862305
2020-11-19,40.143714904785156
2020-11-20,40.461273193359375
2020-11-23,41.60797882080078
2020-11-24,42.93110656738281
2020-11-25,42.128421783447266
2020-11-27,41.8549690246582
2020-11-30,40.725894927978516
2020-12-01,41.37864685058594
2020-12-02,42.08430862426758
2020-12-03,42.08430862426758
2020-12-04,42.754695892333984
2020-12-07,41.96964645385742
2020-12-08,41.916717529296875
2020-12-09,42.02256774902344
2020-12-10,41.94317626953125
2020-12-11,41.62562942504883
2020-12-14,40.434814453125
2020-12-15,40.78765106201172
2020-12-16,40.85820770263672
2020-12-17,41.00817108154297
2020-12-18,40.26721954345703
2020-12-21,40.099613189697266
2020-12-22,39.87909698486328
2020-12-23,40.69062423706055
2020-12-24,40.84939193725586
2020-12-28,40.79646682739258
2020-12-29,40.58476638793945
2020-12-30,40.92878341674805
2020-12-31,41.41392517089844
2021-01-04,40.64651870727539
2021-01-05,41.14930725097656
2021-01-06,43.601497650146484
2021-01-07,43.73381423950195
2021-01-08,43.583858489990234
2021-01-11,43.57503890991211
2021-01-12,44.28070831298828
2021-01-13,44.395381927490234
2021-01-14,45.489166259765625
2021-01-15,45.10986328125
2021-01-19,45.97431182861328
2021-01-20,45.559730529785156
2021-01-21,45.04812240600586
2021-01-22,44.862876892089844
2021-01-25,44.642364501953125
2021-01-26,44.20132064819336
2021-01-27,42.70176696777344
2021-01-28,43.72499465942383
2021-01-29,42.472434997558594
2021-02-01,42.754695892333984
2021-02-02,43.16044235229492
2021-02-03,43.548580169677734
2021-02-04,46.2108154296875
2021-02-05,46.81627655029297
2021-02-08,48.240882873535156
2021-02-09,48.45458221435547
2021-02-10,48.93538284301758
2021-02-11,49.24702072143555
2021-02-12,49.56755065917969
2021-02-16,49.87028503417969
2021-02-17,49.336055755615234
2021-02-18,48.962093353271484
2021-02-19,49.9237060546875
2021-02-22,51.143524169921875
2021-02-23,51.13462448120117
2021-02-24,53.03113555908203
2021-02-25,51.87364959716797
2021-02-26,51.285987854003906
2021-03-01,52.924293518066406
2021-03-02,52.49690628051758
2021-03-03,52.924293518066406
2021-03-04,52.20309066772461
2021-03-05,53.164695739746094
2021-03-08,53.75234603881836
2021-03-09,53.11127471923828
2021-03-10,53.85029220581055
2021-03-11,53.43181228637695
2021-03-12,54.39342498779297
2021-03-15,53.903717041015625
2021-03-16,52.808555603027344
2021-03-17,53.55646896362305
2021-03-18,54.9899787902832
2021-03-19,54.57150650024414
2021-03-22,53.520851135253906
2021-03-23,52.22979736328125
2021-03-24,52.12295150756836
2021-03-25,53.458526611328125
2021-03-26,54.153018951416016
2021-03-29,53.565364837646484
2021-03-30,54.70505905151367
2021-03-31,54.126304626464844
2021-04-01,54.847511291503906
2021-04-05,54.8297119140625
2021-04-06,54.5447883605957
2021-04-07,55.00778579711914
2021-04-08,54.58930206298828
2021-04-09,55.13243865966797
2021-04-12,55.79132843017578
2021-04-13,55.24819564819336
2021-04-14,55.8536491394043
2021-04-15,55.47079086303711
2021-04-16,56.15638732910156
2021-04-19,56.183082580566406
2021-04-20,54.45574951171875
2021-04-21,55.78242492675781
2021-04-22,55.114646911621094
2021-04-23,55.907073974609375
2021-04-26,55.907073974609375
2021-04-27,56.414588928222656
2021-04-28,56.7440299987793
2021-04-29,57.3673095703125
2021-04-30,56.65499496459961
2021-05-03,57.180328369140625
2021-05-04,57.260440826416016
2021-05-05,58.2398796081543
2021-05-06,59.61106491088867
2021-05-07,59.79804992675781
2021-05-10,59.60971450805664
2021-05-11,58.04929733276367
2021-05-12,56.8745002746582
2021-05-13,57.887882232666016
2021-05-14,59.09855270385742
2021-05-17,58.91917419433594
2021-05-18,58.64118576049805
2021-05-19,58.13897705078125
2021-05-20,57.807159423828125
2021-05-21,58.03136444091797
2021-05-24,58.62324523925781
2021-05-25,57.41257858276367
2021-05-26,57.636775970458984
2021-05-27,58.88331604003906
2021-05-28,58.61428451538086
2021-06-01,59.64558792114258
2021-06-02,59.26892852783203
2021-06-03,59.5200309753418
2021-06-04,59.6904296875
2021-06-07,59.376556396484375
2021-06-08,59.22409439086914
2021-06-09,58.004459381103516
2021-06-10,57.29600143432617
2021-06-11,57.49329376220703
2021-06-14,56.775856018066406
2021-06-15,57.188385009765625
2021-06-16,57.13456726074219
2021-06-17,54.03167724609375
2021-06-18,52.28293228149414
2021-06-21,53.5205078125
