,INTC
2014-08-01,25.547752380371094
2014-08-04,25.78248405456543
2014-08-05,25.016435623168945
2014-08-06,25.039302825927734
2014-08-07,24.909727096557617
2014-08-08,24.848745346069336
2014-08-11,25.16887855529785
2014-08-12,25.252727508544922
2014-08-13,25.99209213256836
2014-08-14,25.87013053894043
2014-08-15,26.04545021057129
2014-08-18,26.2283935546875
2014-08-19,26.175025939941406
2014-08-20,26.296987533569336
2014-08-21,26.792430877685547
2014-08-22,26.63237190246582
2014-08-25,26.533275604248047
2014-08-26,26.525653839111328
2014-08-27,26.518033981323242
2014-08-28,26.411317825317383
2014-08-29,26.617115020751953
2014-09-02,26.350337982177734
2014-09-03,26.350337982177734
2014-09-04,26.6094913482666
2014-09-05,26.678098678588867
2014-09-08,26.929636001586914
2014-09-09,26.6094913482666
2014-09-10,26.693347930908203
2014-09-11,26.693347930908203
2014-09-12,26.388450622558594
2014-09-15,26.327470779418945
2014-09-16,26.624740600585938
2014-09-17,26.662853240966797
2014-09-18,26.80767822265625
2014-09-19,26.540895462036133
2014-09-22,26.45705795288086
2014-09-23,26.236005783081055
2014-09-24,26.487539291381836
2014-09-25,26.0225887298584
2014-09-26,26.114046096801758
2014-09-29,26.60188102722168
2014-09-30,26.540895462036133
2014-10-01,25.908252716064453
2014-10-02,25.54999542236328
2014-10-03,25.938739776611328
2014-10-06,25.99970817565918
2014-10-07,25.511878967285156
2014-10-08,26.12166404724121
2014-10-09,25.6262149810791
2014-10-10,24.32280731201172
2014-10-13,23.98741912841797
2014-10-14,24.498119354248047
2014-10-15,23.842599868774414
2014-10-16,23.514846801757812
2014-10-17,23.9188175201416
2014-10-20,24.071273803710938
2014-10-21,24.856369018554688
2014-10-22,24.59720802307129
2014-10-23,24.917348861694336
2014-10-24,25.290834426879883
2014-10-27,25.30608367919922
2014-10-28,25.717693328857422
2014-10-29,25.854894638061523
2014-10-30,24.833499908447266
2014-10-31,25.923490524291992
2014-11-03,26.152162551879883
2014-11-04,26.327470779418945
2014-11-05,25.901662826538086
2014-11-06,25.947690963745117
2014-11-07,25.76356315612793
2014-11-10,25.518043518066406
2014-11-11,25.55640983581543
2014-11-12,25.6101131439209
2014-11-13,25.840286254882812
2014-11-14,26.04743003845215
2014-11-17,26.269933700561523
2014-11-18,26.63053321838379
2014-11-19,26.354333877563477
2014-11-20,27.581893920898438
2014-11-21,27.305694580078125
2014-11-24,27.812068939208984
2014-11-25,27.865772247314453
