,BK
2017-02-02,36.23655319213867
2017-02-03,36.94025802612305
2017-02-06,36.932159423828125
2017-02-07,36.76230239868164
2017-02-08,36.511573791503906
2017-02-09,36.802757263183594
2017-02-10,36.85129165649414
2017-02-13,37.30424499511719
2017-02-14,37.87043380737305
2017-02-15,38.363834381103516
2017-02-16,38.0726432800293
2017-02-17,38.129276275634766
2017-02-21,38.42045211791992
2017-02-22,38.2505989074707
2017-02-23,38.29103469848633
2017-02-24,38.08882522583008
2017-02-27,38.10500717163086
2017-02-28,38.129276275634766
2017-03-01,39.229305267333984
2017-03-02,38.81679916381836
2017-03-03,38.78443145751953
2017-03-06,38.74399948120117
2017-03-07,38.557960510253906
2017-03-08,38.97856521606445
2017-03-09,38.76825714111328
2017-03-10,38.96238708496094
2017-03-13,39.10797882080078
2017-03-14,39.035186767578125
2017-03-15,39.091800689697266
2017-03-16,39.20503234863281
2017-03-17,38.75209426879883
2017-03-20,38.185890197753906
2017-03-21,37.546897888183594
2017-03-22,37.33658981323242
2017-03-23,37.43365478515625
2017-03-24,37.40939712524414
2017-03-27,37.40939712524414
2017-03-28,38.01604080200195
2017-03-29,37.789546966552734
2017-03-30,38.4447135925293
2017-03-31,38.202056884765625
2017-04-03,38.12118148803711
2017-04-04,37.99176788330078
2017-04-05,38.01604080200195
2017-04-06,38.26677703857422
2017-04-07,38.13734817504883
2017-04-10,38.06456756591797
2017-04-11,38.22633743286133
2017-04-12,37.92705535888672
2017-04-13,37.546897888183594
2017-04-17,38.05647659301758
2017-04-18,37.92705535888672
2017-04-19,37.902793884277344
2017-04-20,37.73292922973633
2017-04-21,37.81381607055664
2017-04-24,38.46091079711914
2017-04-25,38.202056884765625
2017-04-26,38.13734817504883
2017-04-27,38.19397735595703
2017-04-28,38.21834182739258
2017-05-01,38.315792083740234
2017-05-02,38.267066955566406
2017-05-03,38.49446487426758
2017-05-04,38.66500473022461
2017-05-05,38.69749450683594
2017-05-08,38.721858978271484
2017-05-09,38.267066955566406
2017-05-10,38.29954528808594
2017-05-11,38.11276626586914
2017-05-12,37.974700927734375
2017-05-15,38.258941650390625
2017-05-16,38.315792083740234
2017-05-17,37.593013763427734
2017-05-18,37.519920349121094
2017-05-19,37.796043395996094
2017-05-22,38.0071907043457
2017-05-23,38.193973541259766
2017-05-24,38.13713836669922
2017-05-25,38.47822570800781
2017-05-26,38.50258255004883
2017-05-30,38.25081253051758
2017-05-31,38.267066955566406
2017-06-01,38.510704040527344
2017-06-02,38.583797454833984
2017-06-05,38.608158111572266
2017-06-06,38.35640335083008
2017-06-07,38.9005241394043
2017-06-08,39.29845428466797
2017-06-09,40.118682861328125
2017-06-12,39.87507247924805
2017-06-13,40.25676727294922
2017-06-14,40.419185638427734
2017-06-15,40.42729949951172
2017-06-16,40.51664733886719
2017-06-19,40.83335876464844
2017-06-20,40.49228286743164
2017-06-21,40.27299499511719
2017-06-22,40.24052047729492
2017-06-23,39.931907653808594
2017-06-26,40.24052047729492
2017-06-27,40.346092224121094
2017-06-28,41.09324264526367
2017-06-29,41.426204681396484
2017-06-30,41.4343376159668
2017-07-03,42.09214401245117
2017-07-05,42.44948196411133
2017-07-06,41.60487747192383
2017-07-07,42.027183532714844
2017-07-10,42.13276290893555
2017-07-11,41.79978942871094
2017-07-12,41.783546447753906
2017-07-13,42.278934478759766
2017-07-14,42.5225715637207
2017-07-17,43.32657241821289
2017-07-18,43.47275161743164
2017-07-19,43.09105682373047
2017-07-20,43.78136444091797
2017-07-21,43.334686279296875
2017-07-24,43.424034118652344
2017-07-25,43.63517761230469
2017-07-26,43.35906219482422
2017-07-27,42.92864227294922
2017-07-28,42.961265563964844
2017-07-31,43.263126373291016
2017-08-01,43.8178825378418
2017-08-02,43.98104476928711
2017-08-03,43.90761184692383
2017-08-04,44.070796966552734
2017-08-07,43.8178825378418
2017-08-08,43.88315200805664
2017-08-09,44.08711242675781
2017-08-10,42.38202667236328
2017-08-11,42.57783889770508
2017-08-14,43.09995651245117
2017-08-15,43.361019134521484
2017-08-16,43.140743255615234
2017-08-17,42.25965881347656
2017-08-18,42.50440979003906
2017-08-21,42.57783889770508
2017-08-22,42.961265563964844
2017-08-23,43.051002502441406
2017-08-24,43.06732177734375
2017-08-25,42.95310592651367
2017-08-28,42.643096923828125
2017-08-29,42.49625015258789
2017-08-30,42.71652603149414
2017-08-31,42.651248931884766
2017-09-01,42.69206237792969
2017-09-05,41.770179748535156
2017-09-06,41.8272705078125
2017-09-07,41.01960754394531
2017-09-08,41.1419792175293
2017-09-11,42.03938674926758
2017-09-12,42.414669036865234
2017-09-13,42.088340759277344
2017-09-14,41.713050842285156
2017-09-15,42.06385803222656
2017-09-18,42.178077697753906
2017-09-19,42.45546340942383
2017-09-20,42.74916076660156
2017-09-21,42.765472412109375
2017-09-22,42.724674224853516
2017-09-25,42.58598709106445
2017-09-26,42.520721435546875
2017-09-27,43.0428581237793
2017-09-28,43.246803283691406
2017-09-29,43.25497055053711
2017-10-02,43.7689208984375
2017-10-03,43.89131546020508
2017-10-04,43.89131546020508
2017-10-05,44.4052734375
2017-10-06,44.43790817260742
2017-10-09,44.32369613647461
2017-10-10,44.592918395996094
2017-10-11,44.772396087646484
2017-10-12,44.658180236816406
2017-10-13,44.6010627746582
2017-10-16,44.63370895385742
2017-10-17,44.02183532714844
2017-10-18,44.42974853515625
2017-10-19,43.116268157958984
2017-10-20,43.3365478515625
2017-10-23,42.83889389038086
2017-10-24,43.140743255615234
2017-10-25,42.2188720703125
2017-10-26,42.6023063659668
2017-10-27,42.53703308105469
2017-10-30,42.33213424682617
2017-10-31,42.16823196411133
2017-11-01,42.33213424682617
2017-11-02,42.12724304199219
2017-11-03,42.06986618041992
2017-11-06,42.08626174926758
2017-11-07,41.85678482055664
2017-11-08,41.97972106933594
2017-11-09,41.651878356933594
2017-11-10,41.74203109741211
2017-11-13,41.815799713134766
2017-11-14,42.496055603027344
2017-11-15,42.56980895996094
2017-11-16,42.8075065612793
2017-11-17,43.004207611083984
2017-11-20,43.04518508911133
2017-11-21,42.96323013305664
2017-11-22,42.97142791748047
2017-11-24,42.8075065612793
2017-11-27,42.76652526855469
2017-11-28,43.54514694213867
2017-11-29,44.59421157836914
2017-11-30,44.86469268798828
2017-12-01,44.62700653076172
2017-12-04,45.053199768066406
2017-12-05,44.61061477661133
2017-12-06,44.274593353271484
2017-12-07,44.438507080078125
2017-12-08,44.807308197021484
2017-12-11,44.700767517089844
2017-12-12,45.053199768066406
2017-12-13,44.569637298583984
2017-12-14,44.274593353271484
2017-12-15,44.422096252441406
2017-12-18,44.602413177490234
2017-12-19,44.422096252441406
2017-12-20,44.21721267700195
2017-12-21,44.55324935913086
2017-12-22,44.258182525634766
2017-12-26,44.10246658325195
2017-12-27,44.12705993652344
2017-12-28,44.356544494628906
2017-12-29,44.14344787597656
2018-01-02,44.110652923583984
2018-01-03,44.38113021850586
2018-01-04,44.823707580566406
2018-01-05,44.938453674316406
2018-01-08,45.1269645690918
2018-01-09,45.5367546081543
2018-01-10,46.962867736816406
2018-01-11,47.397247314453125
2018-01-12,47.880794525146484
2018-01-16,47.15956115722656
2018-01-17,47.446414947509766
2018-01-18,45.36464309692383
2018-01-19,46.39734649658203
2018-01-22,47.307090759277344
2018-01-23,47.307090759277344
2018-01-24,47.34806442260742
2018-01-25,46.59403610229492
2018-01-26,47.35625457763672
2018-01-29,47.33979797363281
2018-01-30,46.66493606567383
2018-01-31,46.66493606567383
2018-02-01,47.32333755493164
2018-02-02,46.36042404174805
2018-02-05,44.755531311035156
2018-02-06,45.66908645629883
2018-02-07,45.54562759399414
2018-02-08,43.85844802856445
2018-02-09,44.50864028930664
2018-02-12,44.9448356628418
2018-02-13,45.10942840576172
2018-02-14,46.07235336303711
2018-02-15,46.22050857543945
2018-02-16,46.2945671081543
2018-02-20,46.434478759765625
2018-02-21,46.459171295166016
2018-02-22,46.00651931762695
2018-02-23,46.82953643798828
2018-02-26,47.88299560546875
2018-02-27,47.726619720458984
2018-02-28,46.93653106689453
2018-03-01,45.685546875
2018-03-02,45.570316314697266
2018-03-05,46.42626190185547
2018-03-06,46.804840087890625
2018-03-07,46.82953643798828
2018-03-08,45.83367919921875
2018-03-09,47.10111999511719
