,ES
2015-09-08,34.39569854736328
2015-09-09,33.94430160522461
2015-09-10,33.98013687133789
2015-09-11,34.4207649230957
2015-09-14,34.540245056152344
2015-09-15,34.87632751464844
2015-09-16,34.8837890625
2015-09-17,35.5932731628418
2015-09-18,35.26468276977539
2015-09-21,35.48125457763672
2015-09-22,35.45138931274414
2015-09-23,35.63808822631836
2015-09-24,35.974151611328125
2015-09-25,36.511844635009766
2015-09-28,36.66120910644531
2015-09-29,36.81804656982422
2015-09-30,37.8038330078125
2015-10-01,37.28107452392578
2015-10-02,37.721702575683594
2015-10-05,38.16230773925781
2015-10-06,37.81877136230469
2015-10-07,37.654476165771484
2015-10-08,38.139915466308594
2015-10-09,37.811302185058594
2015-10-12,38.22206497192383
2015-10-13,38.05030059814453
2015-10-14,38.27434158325195
2015-10-15,38.70749282836914
2015-10-16,39.01368713378906
2015-10-19,38.81949996948242
2015-10-20,38.98380661010742
2015-10-21,38.87925720214844
2015-10-22,39.357215881347656
2015-10-23,38.62533950805664
2015-10-26,38.87178421020508
2015-10-27,38.78217315673828
2015-10-28,38.06523513793945
2015-10-29,37.90840530395508
2015-10-30,38.04283142089844
2015-11-02,38.05775451660156
2015-11-03,38.4236946105957
2015-11-04,38.52826690673828
2015-11-05,38.46103286743164
2015-11-06,36.60894775390625
2015-11-09,36.85539245605469
2015-11-10,37.61715316772461
2015-11-11,38.139915466308594
2015-11-12,37.51259231567383
2015-11-13,37.19144821166992
2015-11-16,38.06523513793945
2015-11-17,37.07943344116211
2015-11-18,37.788902282714844
2015-11-19,38.11751174926758
2015-11-20,38.416236877441406
2015-11-23,38.18471145629883
2015-11-24,37.82625198364258
2015-11-25,37.60966491699219
2015-11-27,37.736629486083984
2015-11-30,38.05030059814453
2015-12-01,37.91586685180664
2015-12-02,37.13917922973633
2015-12-03,36.83300018310547
2015-12-04,37.811302185058594
2015-12-07,38.22206497192383
2015-12-08,38.16978454589844
2015-12-09,37.96814727783203
2015-12-10,36.79194259643555
2015-12-11,36.82960510253906
2015-12-14,37.040435791015625
2015-12-15,37.439537048339844
2015-12-16,38.51634216308594
2015-12-17,38.9455451965332
2015-12-18,37.98922348022461
2015-12-21,37.70309066772461
2015-12-22,38.16994857788086
2015-12-23,38.88531494140625
2015-12-24,38.960609436035156
2015-12-28,39.03590774536133
2015-12-29,39.08109664916992
2015-12-30,39.0434455871582
2015-12-31,38.45609664916992
2016-01-04,38.31301498413086
2016-01-05,38.66693115234375
2016-01-06,38.74977111816406
2016-01-07,38.508811950683594
2016-01-08,38.26782989501953
2016-01-11,38.425960540771484
2016-01-12,38.49373245239258
2016-01-13,38.6292839050293
2016-01-14,39.05096435546875
2016-01-15,38.69705581665039
2016-01-19,39.60066223144531
2016-01-20,38.51634216308594
2016-01-21,38.08712387084961
2016-01-22,38.84013366699219
2016-01-25,38.88531494140625
2016-01-26,39.26933288574219
2016-01-27,39.39735794067383
2016-01-28,39.97718048095703
2016-01-29,40.51179122924805
2016-02-01,41.09163284301758
2016-02-02,41.47565460205078
2016-02-03,41.95758819580078
2016-02-04,41.36269760131836
2016-02-05,41.159393310546875
2016-02-08,40.73018264770508
2016-02-09,41.181983947753906
2016-02-10,41.370235443115234
2016-02-11,40.58710479736328
2016-02-12,40.293426513671875
2016-02-16,40.556983947753906
2016-02-17,40.316017150878906
2016-02-18,41.008785247802734
2016-02-19,41.16691970825195
2016-02-22,41.67143249511719
2016-02-23,42.047943115234375
2016-02-24,42.341609954833984
2016-02-25,42.66539764404297
2016-02-26,41.24222183227539
2016-02-29,41.22324752807617
2016-03-01,41.17009353637695
2016-03-02,41.253604888916016
2016-03-03,41.4737663269043
2016-03-04,42.16463088989258
2016-03-07,42.59735870361328
2016-03-08,43.03767395019531
2016-03-09,43.17431640625
2016-03-10,42.89341735839844
2016-03-11,42.93138885498047
2016-03-14,43.075626373291016
2016-03-15,43.083213806152344
2016-03-16,43.569095611572266
2016-03-17,43.910728454589844
2016-03-18,43.41725540161133
2016-03-21,43.53873062133789
2016-03-22,43.637413024902344
2016-03-23,43.97904586791992
2016-03-24,43.903133392333984
2016-03-28,43.85758590698242
2016-03-29,44.43455123901367
2016-03-30,44.32827377319336
2016-03-31,44.29030990600586
2016-04-01,44.639530181884766
2016-04-04,44.48011016845703
2016-04-05,43.33374786376953
2016-04-06,43.18950653076172
2016-04-07,43.12117385864258
2016-04-08,43.31096649169922
2016-04-11,42.99212646484375
2016-04-12,43.02248764038086
2016-04-13,42.56698989868164
2016-04-14,42.589759826660156
2016-04-15,43.06044387817383
2016-04-18,43.36410903930664
2016-04-19,43.30337905883789
2016-04-20,42.24053955078125
2016-04-21,41.769840240478516
2016-04-22,42.0583381652832
2016-04-25,42.13425064086914
2016-04-26,42.02796936035156
2016-04-27,42.55180740356445
2016-04-28,42.55938720703125
2016-04-29,42.84788131713867
2016-05-02,43.326148986816406
2016-05-03,43.250247955322266
2016-05-04,43.66019821166992
2016-05-05,43.576690673828125
2016-05-06,43.394493103027344
2016-05-09,43.713348388671875
2016-05-10,43.682979583740234
2016-05-11,43.54631805419922
2016-05-12,43.75128936767578
2016-05-13,43.569095611572266
2016-05-16,43.56150436401367
2016-05-17,42.37718963623047
2016-05-18,41.595237731933594
2016-05-19,41.97481918334961
2016-05-20,41.68634033203125
2016-05-23,41.1169548034668
2016-05-24,41.50413131713867
2016-05-25,41.22324752807617
2016-05-26,41.94657897949219
2016-05-27,42.107330322265625
2016-05-31,42.283390045166016
2016-06-01,42.49772262573242
2016-06-02,42.36758804321289
2016-06-03,42.98759460449219
2016-06-06,42.727352142333984
2016-06-07,42.635498046875
2016-06-08,43.11772537231445
2016-06-09,43.538726806640625
2016-06-10,43.3856315612793
2016-06-13,43.569332122802734
2016-06-14,43.852561950683594
2016-06-15,43.26315689086914
2016-06-16,43.46217727661133
2016-06-17,43.546382904052734
2016-06-20,43.4927978515625
2016-06-21,43.653533935546875
2016-06-22,43.39329147338867
2016-06-23,43.18661880493164
2016-06-24,43.798973083496094
2016-06-27,44.8476448059082
2016-06-28,44.648624420166016
2016-06-29,44.83998107910156
2016-06-30,45.85037612915039
2016-07-01,45.70494079589844
2016-07-05,46.1182746887207
2016-07-06,46.11063766479492
2016-07-07,45.429386138916016
2016-07-08,45.59779739379883
2016-07-11,45.41407775878906
2016-07-12,44.30417251586914
2016-07-13,44.63330841064453
2016-07-14,44.20466232299805
2016-07-15,44.29651641845703
2016-07-18,44.49553680419922
2016-07-19,44.46492004394531
2016-07-20,44.319480895996094
2016-07-21,44.403682708740234
2016-07-22,45.06962203979492
2016-07-25,45.06196975708008
2016-07-26,44.63330841064453
2016-07-27,44.17405319213867
2016-07-28,44.37306213378906
2016-07-29,44.77109146118164
2016-08-01,45.18444061279297
2016-08-02,44.77109146118164
2016-08-03,44.07454299926758
2016-08-04,44.10515594482422
2016-08-05,43.43155288696289
2016-08-08,43.454524993896484
2016-08-09,43.50811004638672
2016-08-10,43.58464431762695
2016-08-11,43.74539566040039
2016-08-12,43.82193374633789
2016-08-15,43.148345947265625
2016-08-16,42.459442138671875
2016-08-17,42.6890754699707
2016-08-18,43.270809173583984
2016-08-19,42.51303482055664
2016-08-22,42.5819091796875
2016-08-23,42.31400680541992
2016-08-24,42.35993194580078
2016-08-25,42.30634307861328
2016-08-26,41.426090240478516
2016-08-29,41.6174430847168
2016-08-30,41.13521957397461
2016-08-31,41.31127166748047
2016-09-01,41.0203971862793
2016-09-02,41.6174430847168
2016-09-06,42.069053649902344
2016-09-07,42.000179290771484
2016-09-08,42.107330322265625
2016-09-09,40.76014709472656
2016-09-12,41.57151794433594
2016-09-13,41.035701751708984
