,RJF
2019-12-19,56.101932525634766
2019-12-20,55.818504333496094
2019-12-23,55.72607421875
2019-12-24,55.584354400634766
2019-12-26,55.89244079589844
2019-12-27,55.63981246948242
2019-12-30,55.49809265136719
2019-12-31,55.349605560302734
2020-01-02,56.166297912597656
2020-01-03,55.201107025146484
2020-01-06,54.978370666503906
2020-01-07,55.55996322631836
2020-01-08,56.64269256591797
2020-01-09,57.447021484375
2020-01-10,57.465576171875
2020-01-13,58.05954360961914
2020-01-14,58.12759780883789
2020-01-15,57.892494201660156
2020-01-16,59.012351989746094
2020-01-17,59.563011169433594
2020-01-21,59.79192352294922
2020-01-22,60.163150787353516
2020-01-23,56.45090103149414
2020-01-24,55.94356155395508
2020-01-27,55.4052848815918
2020-01-28,56.25291061401367
2020-01-29,55.955936431884766
2020-01-30,57.440834045410156
2020-01-31,56.56845474243164
2020-02-03,56.8963623046875
2020-02-04,58.24515151977539
2020-02-05,59.315521240234375
2020-02-06,58.412200927734375
2020-02-07,58.189476013183594
2020-02-10,58.30083084106445
2020-02-11,59.70530700683594
2020-02-12,60.17551803588867
2020-02-13,61.103572845458984
2020-02-14,61.22114562988281
2020-02-18,61.51812744140625
2020-02-19,62.65034866333008
2020-02-20,62.65034866333008
2020-02-21,60.392066955566406
2020-02-24,58.00386047363281
2020-02-25,56.26528549194336
2020-02-26,55.7022590637207
2020-02-27,53.32024383544922
2020-02-28,51.74253845214844
2020-03-02,53.91421127319336
2020-03-03,49.63893127441406
2020-03-04,49.366695404052734
2020-03-05,46.21128463745117
2020-03-06,45.53689193725586
2020-03-09,40.25932312011719
2020-03-10,44.58408737182617
2020-03-11,41.7380256652832
2020-03-12,37.623619079589844
2020-03-13,44.75114059448242
2020-03-16,41.20594024658203
2020-03-17,47.34352111816406
2020-03-18,44.497474670410156
2020-03-19,41.3668098449707
2020-03-20,38.00102996826172
2020-03-23,34.090797424316406
2020-03-24,36.763614654541016
2020-03-25,37.605064392089844
2020-03-26,40.011837005615234
2020-03-27,38.14332962036133
2020-03-30,39.84477615356445
2020-03-31,39.328285217285156
2020-04-01,36.70225143432617
2020-04-02,37.32453918457031
2020-04-03,35.79994201660156
2020-04-06,39.95679473876953
2020-04-07,39.77010726928711
2020-04-08,41.444053649902344
2020-04-09,43.21133041381836
2020-04-13,41.96055221557617
2020-04-14,41.69296646118164
2020-04-15,39.004695892333984
2020-04-16,37.74146270751953
2020-04-17,39.62076187133789
2020-04-20,38.80557632446289
2020-04-21,38.13349914550781
2020-04-22,38.66866683959961
2020-04-23,38.17707443237305
2020-04-24,38.301517486572266
2020-04-27,40.95245361328125
2020-04-28,42.40859603881836
2020-04-29,44.474571228027344
2020-04-30,41.02089309692383
2020-05-01,39.31584548950195
2020-05-04,38.9051399230957
2020-05-05,39.06071853637695
2020-05-06,38.8989143371582
2020-05-07,40.09370040893555
2020-05-08,41.58717727661133
2020-05-11,41.45026779174805
2020-05-12,39.340736389160156
2020-05-13,36.9449462890625
2020-05-14,38.593990325927734
2020-05-15,37.98415756225586
2020-05-18,40.42350769042969
2020-05-19,39.1167106628418
2020-05-20,40.95245361328125
2020-05-21,40.31150436401367
2020-05-22,40.57907485961914
2020-05-26,43.77139663696289
2020-05-27,45.414215087890625
2020-05-28,43.989192962646484
2020-05-29,43.11176300048828
2020-06-01,44.300323486328125
2020-06-02,45.42666244506836
2020-06-03,48.058921813964844
2020-06-04,49.3283805847168
2020-06-05,50.61650085449219
2020-06-08,50.42981719970703
2020-06-09,50.81563949584961
2020-06-10,47.52375411987305
2020-06-11,43.72161102294922
2020-06-12,44.55546569824219
2020-06-15,45.33953857421875
2020-06-16,45.73157501220703
2020-06-17,45.02217102050781
2020-06-18,44.95372009277344
2020-06-19,45.837371826171875
2020-06-22,44.76082992553711
2020-06-23,44.742156982421875
2020-06-24,42.570377349853516
2020-06-25,43.603363037109375
2020-06-26,41.31958770751953
2020-06-29,42.56415557861328
2020-06-30,43.064697265625
2020-07-01,41.98229217529297
2020-07-02,42.25132369995117
2020-07-06,43.289939880371094
2020-07-07,41.932247161865234
2020-07-08,42.53287887573242
2020-07-09,41.043792724609375
2020-07-10,43.133522033691406
2020-07-13,43.17731857299805
2020-07-14,43.20234680175781
2020-07-15,45.13565444946289
2020-07-16,45.51730728149414
2020-07-17,44.32854080200195
2020-07-20,43.99068069458008
2020-07-21,45.686248779296875
2020-07-22,45.31710433959961
2020-07-23,45.198219299316406
2020-07-24,45.12314224243164
2020-07-27,44.54752731323242
2020-07-28,43.80924606323242
2020-07-29,44.741485595703125
2020-07-30,43.221107482910156
2020-07-31,43.47138595581055
2020-08-03,44.703941345214844
2020-08-04,44.378604888916016
2020-08-05,45.15442657470703
2020-08-06,45.01677322387695
2020-08-07,46.787418365478516
2020-08-10,47.525699615478516
2020-08-11,47.481903076171875
2020-08-12,47.744686126708984
2020-08-13,46.97512435913086
2020-08-14,47.5382194519043
2020-08-17,47.075225830078125
2020-08-18,46.856239318847656
2020-08-19,46.83121871948242
2020-08-20,46.124202728271484
2020-08-21,46.11168670654297
2020-08-24,47.851051330566406
2020-08-25,48.145118713378906
2020-08-26,47.05018997192383
