,KO
2018-08-02,37.713401794433594
2018-08-03,38.07273864746094
2018-08-06,38.09724044799805
2018-08-07,37.9747428894043
2018-08-08,37.688907623291016
2018-08-09,37.85223388671875
2018-08-10,37.63174057006836
2018-08-13,37.42757797241211
2018-08-14,37.4765739440918
2018-08-15,37.63174057006836
2018-08-16,37.74607849121094
2018-08-17,38.05640411376953
2018-08-20,38.162567138671875
2018-08-21,37.74607849121094
2018-08-22,37.50923538208008
2018-08-23,37.32140350341797
2018-08-24,37.26424789428711
2018-08-27,37.31324005126953
2018-08-28,37.05190658569336
2018-08-29,37.01924514770508
2018-08-30,36.70891571044922
2018-08-31,36.39857864379883
2018-09-04,36.553741455078125
2018-09-05,37.0600700378418
2018-09-06,37.37858200073242
2018-09-07,37.337738037109375
2018-09-10,37.61540603637695
2018-09-11,37.582733154296875
2018-09-12,37.76239776611328
2018-09-13,37.74593734741211
2018-09-14,37.877708435058594
2018-09-17,38.149505615234375
2018-09-18,37.82828903198242
2018-09-19,37.85300827026367
2018-09-20,38.41305923461914
2018-09-21,38.3636474609375
2018-09-24,37.943607330322266
2018-09-25,37.62239074707031
2018-09-26,37.76240539550781
2018-09-27,37.89418029785156
2018-09-28,38.04242706298828
2018-10-01,38.075374603271484
2018-10-02,38.30598068237305
2018-10-03,37.778873443603516
2018-10-04,37.76240539550781
2018-10-05,37.787109375
2018-10-08,38.28127670288086
2018-10-09,38.207149505615234
2018-10-10,37.62239074707031
2018-10-11,36.765838623046875
2018-10-12,36.798789978027344
2018-10-15,36.98820495605469
2018-10-16,37.465904235839844
2018-10-17,37.770652770996094
2018-10-18,37.56473922729492
2018-10-19,38.15773391723633
2018-10-22,37.86124038696289
2018-10-23,38.18245315551758
2018-10-24,38.487178802490234
2018-10-25,38.30598068237305
2018-10-26,37.8200569152832
2018-10-29,38.26481246948242
2018-10-30,39.22842788696289
2018-10-31,39.43433380126953
2018-11-01,39.319026947021484
2018-11-02,39.53316879272461
2018-11-05,40.10144805908203
2018-11-06,40.447364807128906
2018-11-07,40.66150665283203
2018-11-08,40.628562927246094
2018-11-09,40.91682434082031
2018-11-12,41.07331848144531
2018-11-13,41.06507110595703
2018-11-14,40.982704162597656
2018-11-15,40.96623611450195
2018-11-16,41.32038879394531
2018-11-19,41.60041809082031
2018-11-20,40.669742584228516
2018-11-21,40.134395599365234
2018-11-23,40.37323760986328
2018-11-26,40.24970626831055
2018-11-27,40.66150665283203
2018-11-28,40.941532135009766
2018-11-29,40.65928649902344
2018-11-30,41.83806228637695
2018-12-03,41.24867248535156
2018-12-04,41.15736770629883
2018-12-06,40.991336822509766
2018-12-07,40.75060272216797
2018-12-10,40.875125885009766
2018-12-11,41.124168395996094
2018-12-12,40.8585205078125
2018-12-13,41.0660514831543
2018-12-14,40.95813751220703
2018-12-17,40.119720458984375
2018-12-18,40.11141586303711
2018-12-19,39.76276397705078
2018-12-20,39.463932037353516
2018-12-21,39.48881530761719
2018-12-24,38.152320861816406
2018-12-26,38.96583938598633
2018-12-27,39.455623626708984
2018-12-28,39.181678771972656
2018-12-31,39.30619430541992
2019-01-02,38.957542419433594
2019-01-03,38.71681213378906
2019-01-04,39.48881530761719
2019-01-07,38.97415542602539
2019-01-08,39.41411590576172
2019-01-09,38.6587028503418
2019-01-10,39.073768615722656
2019-01-11,39.297889709472656
2019-01-14,39.140174865722656
2019-01-15,39.48881530761719
2019-01-16,38.949241638183594
2019-01-17,39.06546401977539
2019-01-18,39.52201843261719
2019-01-22,39.61334228515625
2019-01-23,40.06990432739258
2019-01-24,39.58843231201172
2019-01-25,39.32280349731445
2019-01-28,39.156768798828125
2019-01-29,39.34770584106445
2019-01-30,39.729557037353516
2019-01-31,39.953697204589844
2019-02-01,40.42686080932617
2019-02-04,40.8834114074707
2019-02-05,40.8917236328125
2019-02-06,40.8917236328125
2019-02-07,41.0245475769043
2019-02-08,41.0909538269043
2019-02-11,41.1822624206543
2019-02-12,41.22378158569336
2019-02-13,41.331687927246094
2019-02-14,37.84518051147461
2019-02-15,37.55464172363281
2019-02-19,37.214290618896484
2019-02-20,37.438419342041016
2019-02-21,38.06932067871094
2019-02-22,37.58784484863281
2019-02-25,37.30560302734375
2019-02-26,37.09807586669922
2019-02-27,37.30560302734375
2019-02-28,37.63764572143555
2019-03-01,37.67085266113281
2019-03-04,37.89499282836914
2019-03-05,37.853477478027344
2019-03-06,37.728965759277344
2019-03-07,37.58784484863281
2019-03-08,37.22258758544922
2019-03-11,38.33494186401367
2019-03-12,38.22703170776367
2019-03-13,38.368160247802734
2019-03-14,38.267669677734375
2019-03-15,37.9327278137207
2019-03-18,38.02484130859375
2019-03-19,38.15044403076172
2019-03-20,38.12531280517578
2019-03-21,38.10857009887695
2019-03-22,38.46026611328125
2019-03-25,38.544002532958984
2019-03-26,39.05479431152344
2019-03-27,39.0296745300293
2019-03-28,39.00456237792969
2019-03-29,39.239017486572266
2019-04-01,39.121795654296875
2019-04-02,38.99618148803711
2019-04-03,38.66960525512695
2019-04-04,38.92081832885742
2019-04-05,38.91244888305664
2019-04-08,38.97943878173828
2019-04-09,39.079917907714844
2019-04-10,39.05479431152344
2019-04-11,39.11341094970703
2019-04-12,39.1385383605957
2019-04-15,39.35624694824219
2019-04-16,39.31438446044922
2019-04-17,39.5907096862793
2019-04-18,39.75818634033203
2019-04-22,39.691200256347656
2019-04-23,40.36946105957031
2019-04-24,40.1768684387207
2019-04-25,40.05964660644531
2019-04-26,40.41133117675781
2019-04-29,40.545310974121094
2019-04-30,41.08122253417969
2019-05-01,40.68766784667969
2019-05-02,40.52019119262695
2019-05-03,40.79652786254883
2019-05-06,40.587181091308594
2019-05-07,40.19361877441406
2019-05-08,40.0680046081543
2019-05-09,39.691200256347656
2019-05-10,40.35271072387695
2019-05-13,40.2354850769043
2019-05-14,40.77139663696289
2019-05-15,41.18170166015625
2019-05-16,41.516666412353516
2019-05-17,41.19845962524414
2019-05-20,40.90537643432617
2019-05-21,40.6960334777832
2019-05-22,41.57526779174805
2019-05-23,41.74275207519531
2019-05-24,41.541778564453125
2019-05-28,41.114723205566406
2019-05-29,40.704410552978516
2019-05-30,41.24031448364258
2019-05-31,41.13983917236328
2019-06-03,41.85160827636719
2019-06-04,41.86834716796875
2019-06-05,42.52149963378906
2019-06-06,43.04066467285156
2019-06-07,43.11602783203125
2019-06-10,43.023921966552734
2019-06-11,42.98204803466797
2019-06-12,43.24163055419922
2019-06-13,43.148799896240234
2019-06-14,43.30070114135742
2019-06-17,42.92938232421875
2019-06-18,42.73529052734375
2019-06-19,43.1403694152832
2019-06-20,43.596073150634766
2019-06-21,43.50324249267578
2019-06-24,43.81548309326172
2019-06-25,43.68045425415039
2019-06-26,43.1403694152832
2019-06-27,43.10660934448242
2019-06-28,42.97157669067383
2019-07-01,43.54544448852539
2019-07-02,43.866119384765625
2019-07-03,43.9673957824707
2019-07-05,43.9758415222168
2019-07-08,43.882999420166016
2019-07-09,43.53700256347656
2019-07-10,43.73109817504883
2019-07-11,43.91675567626953
2019-07-12,43.98426055908203
2019-07-15,43.992706298828125
2019-07-16,44.00114440917969
2019-07-17,44.0349006652832
2019-07-18,43.90831756591797
2019-07-19,43.368228912353516
2019-07-22,43.224754333496094
2019-07-23,45.849300384521484
2019-07-24,45.38514709472656
2019-07-25,44.78597640991211
2019-07-26,45.71426773071289
2019-07-29,45.56237030029297
2019-07-30,45.33451843261719
2019-07-31,44.4146614074707
2019-08-01,43.90831756591797
2019-08-02,44.16148376464844
2019-08-05,43.5876350402832
2019-08-06,44.11085510253906
2019-08-07,44.87880325317383
2019-08-08,45.30918502807617
2019-08-09,45.08134078979492
2019-08-12,44.89568328857422
2019-08-13,45.14885330200195
2019-08-14,44.718467712402344
2019-08-15,45.461097717285156
2019-08-16,45.916805267333984
2019-08-19,46.15310287475586
2019-08-20,45.469539642333984
2019-08-21,45.65519714355469
2019-08-22,45.98432540893555
2019-08-23,45.35139465332031
2019-08-26,46.02651596069336
2019-08-27,46.17841720581055
2019-08-28,46.507545471191406
2019-08-29,46.456905364990234
2019-08-30,46.44847106933594
2019-09-03,46.66788101196289
2019-09-04,47.064510345458984
2019-09-05,46.51598358154297
2019-09-06,46.60880661010742
2019-09-09,46.009639739990234
2019-09-10,45.90837860107422
2019-09-11,46.22060775756836
2019-09-12,46.507545471191406
2019-09-13,46.125003814697266
2019-09-16,45.86997985839844
2019-09-17,46.10801696777344
2019-09-18,46.09950256347656
2019-09-19,46.34602355957031
2019-09-20,45.82748031616211
2019-09-23,46.02299880981445
2019-09-24,46.15901184082031
2019-09-25,46.048500061035156
2019-09-26,46.23551559448242
2019-09-27,46.167510986328125
2019-09-30,46.27803039550781
2019-10-01,46.45653533935547
2019-10-02,45.121925354003906
2019-10-03,45.767974853515625
2019-10-04,46.36302185058594
2019-10-07,45.79347610473633
2019-10-08,45.54696273803711
2019-10-09,45.75947570800781
2019-10-10,45.61495590209961
2019-10-11,45.30894088745117
2019-10-14,45.30894088745117
2019-10-15,45.487457275390625
2019-10-16,45.47045135498047
2019-10-17,45.72547912597656
2019-10-18,46.567054748535156
2019-10-21,46.09950256347656
2019-10-22,45.7764778137207
2019-10-23,46.44804382324219
2019-10-24,46.42253494262695
2019-10-25,45.691463470458984
2019-10-28,45.53845977783203
