,BMY
2018-01-16,47.59378433227539
2018-01-17,49.12675857543945
2018-01-18,49.11087417602539
2018-01-19,49.468299865722656
2018-01-22,50.26258087158203
2018-01-23,50.38174057006836
2018-01-24,50.64384460449219
2018-01-25,50.453216552734375
2018-01-26,51.03304672241211
2018-01-29,51.176025390625
2018-01-30,50.802711486816406
2018-01-31,49.722476959228516
2018-02-01,49.88134002685547
2018-02-02,50.421443939208984
2018-02-05,48.419837951660156
2018-02-06,48.37218475341797
2018-02-07,49.746299743652344
2018-02-08,49.793968200683594
2018-02-09,49.801902770996094
2018-02-12,50.167274475097656
2018-02-13,50.731224060058594
2018-02-14,51.906768798828125
2018-02-15,54.7900505065918
2018-02-16,54.77415466308594
2018-02-20,53.49535369873047
2018-02-21,52.84402847290039
2018-02-22,52.375404357910156
2018-02-23,53.97191619873047
2018-02-26,54.51203536987305
2018-02-27,53.88453674316406
2018-02-28,52.58192443847656
2018-03-01,52.17681884765625
2018-03-02,52.558082580566406
2018-03-05,53.074378967285156
2018-03-06,52.0020866394043
2018-03-07,52.50248718261719
2018-03-08,53.01877975463867
2018-03-09,53.94808578491211
2018-03-12,53.57477569580078
2018-03-13,52.963172912597656
2018-03-14,52.9234619140625
2018-03-15,52.62162780761719
2018-03-16,52.89963150024414
2018-03-19,52.478660583496094
2018-03-20,52.76459884643555
2018-03-21,52.50248718261719
2018-03-22,50.794769287109375
2018-03-23,49.29356384277344
2018-03-26,50.357913970947266
2018-03-27,49.571563720703125
2018-03-28,49.698638916015625
2018-03-29,50.238765716552734
2018-04-02,49.24589157104492
2018-04-03,49.857505798339844
2018-04-04,50.02430725097656
2018-04-05,49.80848693847656
2018-04-06,48.66537857055664
2018-04-09,48.34563064575195
2018-04-10,48.929168701171875
2018-04-11,48.105831146240234
2018-04-12,47.034671783447266
2018-04-13,46.88279342651367
2018-04-16,43.229713439941406
2018-04-17,41.87077331542969
2018-04-18,41.80682373046875
2018-04-19,41.25525665283203
2018-04-20,40.90353775024414
2018-04-23,40.68770980834961
2018-04-24,41.23128890991211
2018-04-25,41.375179290771484
2018-04-26,41.598995208740234
2018-04-27,41.78285598754883
2018-04-30,41.670936584472656
2018-05-01,42.11857604980469
2018-05-02,41.1673469543457
2018-05-03,41.12736511230469
2018-05-04,41.03144836425781
2018-05-07,41.023441314697266
2018-05-08,40.39194107055664
2018-05-09,40.839595794677734
2018-05-10,40.88755798339844
2018-05-11,41.45511245727539
2018-05-14,41.58300018310547
2018-05-15,41.80682373046875
2018-05-16,41.734886169433594
2018-05-17,42.158546447753906
2018-05-18,42.13456726074219
2018-05-21,41.75886535644531
2018-05-22,41.838802337646484
2018-05-23,41.966705322265625
2018-05-24,42.11857604980469
2018-05-25,42.18253707885742
2018-05-29,41.78285598754883
2018-05-30,42.38236999511719
2018-05-31,42.062618255615234
2018-06-01,42.47029495239258
2018-06-04,41.12736511230469
2018-06-05,41.50307083129883
2018-06-06,42.30243682861328
2018-06-07,42.062618255615234
2018-06-08,42.49427795410156
2018-06-11,42.462310791015625
2018-06-12,42.47029495239258
2018-06-13,42.734092712402344
2018-06-14,42.86998748779297
2018-06-15,43.80524826049805
2018-06-18,42.88596725463867
2018-06-19,42.87797546386719
2018-06-20,43.36558532714844
2018-06-21,43.1177864074707
2018-06-22,44.07703399658203
2018-06-25,43.70132064819336
2018-06-26,43.8931770324707
2018-06-27,43.54145050048828
2018-06-28,44.204917907714844
2018-06-29,44.23689651489258
2018-07-02,44.11699295043945
2018-07-03,44.48471450805664
2018-07-05,45.048309326171875
2018-07-06,45.539459228515625
2018-07-09,45.45088577270508
2018-07-10,45.233497619628906
2018-07-11,44.88727569580078
2018-07-12,45.74074935913086
2018-07-13,45.78098678588867
2018-07-16,45.434783935546875
2018-07-17,45.59581756591797
2018-07-18,45.797096252441406
2018-07-19,45.523345947265625
2018-07-20,45.660221099853516
2018-07-23,44.991943359375
2018-07-24,46.9082145690918
2018-07-25,47.53622817993164
2018-07-26,46.634464263916016
2018-07-27,45.829307556152344
2018-07-30,47.447662353515625
2018-07-31,47.302738189697266
2018-08-01,48.00321960449219
2018-08-02,47.72142028808594
2018-08-03,47.632850646972656
2018-08-06,47.81804275512695
2018-08-07,47.48793029785156
2018-08-08,48.44605255126953
2018-08-09,47.93075942993164
2018-08-10,47.753623962402344
2018-08-13,47.842185974121094
2018-08-14,48.2769775390625
2018-08-15,48.51851272583008
2018-08-16,49.2028923034668
2018-08-17,49.02576446533203
2018-08-20,48.56682586669922
2018-08-21,48.37359619140625
2018-08-22,48.76811599731445
2018-08-23,48.38164520263672
2018-08-24,48.2850227355957
2018-08-27,48.317230224609375
2018-08-28,48.44605255126953
2018-08-29,49.2109489440918
2018-08-30,48.86473083496094
2018-08-31,48.752010345458984
2018-09-04,48.69565200805664
2018-09-05,49.275360107421875
2018-09-06,49.066017150878906
2018-09-07,49.36393356323242
