,DIS
2018-10-10,109.28905487060547
2018-10-11,107.63314819335938
2018-10-12,109.04696655273438
2018-10-15,109.8507080078125
2018-10-16,112.5136947631836
2018-10-17,113.42394256591797
2018-10-18,112.5040054321289
2018-10-19,115.13794708251953
2018-10-22,114.52787017822266
2018-10-23,114.12115478515625
2018-10-24,108.07859802246094
2018-10-25,110.54793548583984
2018-10-26,109.60861206054688
2018-10-29,109.46336364746094
2018-10-30,111.1289291381836
2018-10-31,111.19672393798828
2018-11-01,112.4265365600586
2018-11-02,111.53565216064453
2018-11-05,111.79710388183594
2018-11-06,113.01724243164062
2018-11-07,113.34648895263672
2018-11-08,112.32969665527344
2018-11-09,114.26642608642578
2018-11-12,113.0075454711914
2018-11-13,113.15281677246094
2018-11-14,113.41426849365234
2018-11-15,113.40457916259766
2018-11-16,112.5136947631836
2018-11-19,111.76805877685547
2018-11-20,108.33037567138672
2018-11-21,109.45366668701172
2018-11-23,108.53372955322266
2018-11-26,108.98886108398438
2018-11-27,110.29615020751953
2018-11-28,112.4265365600586
2018-11-29,112.92040252685547
2018-11-30,111.83583068847656
2018-12-03,112.07792663574219
2018-12-04,109.29874420166016
2018-12-06,110.71253967285156
2018-12-07,109.27802276611328
2018-12-10,109.1609115600586
2018-12-11,109.26826477050781
2018-12-12,109.5024642944336
2018-12-13,110.65399169921875
2018-12-14,109.4926986694336
2018-12-17,107.9508285522461
2018-12-18,106.8090591430664
2018-12-19,106.58460235595703
2018-12-20,104.41817474365234
2018-12-21,101.70525360107422
2018-12-24,97.92864227294922
2018-12-26,103.27641296386719
2018-12-27,103.94975280761719
2018-12-28,104.71094512939453
2018-12-31,107.00423431396484
2019-01-02,106.34064483642578
2019-01-03,103.76434326171875
2019-01-04,106.96519470214844
2019-01-07,107.89227294921875
2019-01-08,108.73152923583984
2019-01-09,109.95137023925781
2019-01-10,110.0782241821289
2019-01-11,109.93184661865234
2019-01-14,109.70738983154297
2019-01-15,109.06332397460938
2019-01-16,108.23384094238281
2019-01-17,108.3314208984375
2019-01-18,108.36068725585938
2019-01-22,107.93131256103516
2019-01-23,108.43876647949219
2019-01-24,107.88252258300781
2019-01-25,108.40947723388672
2019-01-28,108.13624572753906
2019-01-29,108.22407531738281
2019-01-30,107.47264099121094
2019-01-31,108.8291015625
2019-02-01,108.61442565917969
2019-02-04,109.10235595703125
2019-02-05,109.94161224365234
2019-02-06,108.72176361083984
2019-02-07,108.27286529541016
2019-02-08,108.81935119628906
2019-02-11,106.79930877685547
2019-02-12,106.5650863647461
2019-02-13,107.54096221923828
2019-02-14,107.9898681640625
2019-02-15,109.873291015625
2019-02-19,110.7710952758789
2019-02-20,110.93699645996094
2019-02-21,111.53227233886719
2019-02-22,112.46910858154297
2019-02-25,110.84915924072266
2019-02-26,110.76133728027344
2019-02-27,110.0587158203125
2019-02-28,110.11725616455078
2019-03-01,111.259033203125
2019-03-04,111.57130432128906
2019-03-05,111.24928283691406
2019-03-06,112.0787582397461
2019-03-07,111.259033203125
2019-03-08,111.06385803222656
2019-03-11,111.9811782836914
2019-03-12,111.96166229248047
2019-03-13,111.33709716796875
2019-03-14,111.71769714355469
2019-03-15,112.18611145019531
2019-03-18,110.39051055908203
2019-03-19,107.34578704833984
2019-03-20,107.33602905273438
2019-03-21,106.03812408447266
2019-03-22,105.6185073852539
2019-03-25,105.1891098022461
2019-03-26,107.48241424560547
2019-03-27,107.61903381347656
2019-03-28,108.03865814208984
2019-03-29,108.3509292602539
2019-04-01,109.79523468017578
2019-04-02,109.25849914550781
2019-04-03,109.80497741699219
2019-04-04,111.9811782836914
2019-04-05,112.22515106201172
2019-04-08,112.18611145019531
2019-04-09,114.04026794433594
2019-04-10,114.33302307128906
2019-04-11,113.78652954101562
2019-04-12,126.92176055908203
2019-04-15,128.85397338867188
2019-04-16,126.76560974121094
2019-04-17,128.5709686279297
2019-04-18,129.2540740966797
2019-04-22,128.50265502929688
2019-04-23,130.1421356201172
2019-04-24,131.84014892578125
2019-04-25,133.9285125732422
2019-04-26,136.54383850097656
2019-04-29,135.93881225585938
2019-04-30,133.66502380371094
2019-05-01,133.0892791748047
2019-05-02,130.90330505371094
2019-05-03,131.08872985839844
2019-05-06,131.74256896972656
2019-05-07,130.22019958496094
2019-05-08,131.73281860351562
2019-05-09,130.3665771484375
2019-05-10,130.80572509765625
2019-05-13,128.17086791992188
2019-05-14,129.98597717285156
2019-05-15,131.43028259277344
2019-05-16,132.23049926757812
2019-05-17,131.78158569335938
2019-05-20,130.67884826660156
2019-05-21,130.85450744628906
2019-05-22,130.6203155517578
2019-05-23,129.52732849121094
2019-05-24,129.5858612060547
2019-05-28,129.41998291015625
2019-05-29,128.3953399658203
2019-05-30,129.0101318359375
2019-05-31,128.85397338867188
2019-06-03,129.27359008789062
2019-06-04,131.56690979003906
2019-06-05,132.65988159179688
2019-06-06,133.8992462158203
2019-06-07,134.70919799804688
2019-06-10,133.7626190185547
2019-06-11,131.8206329345703
2019-06-12,132.4451904296875
2019-06-13,138.31993103027344
2019-06-14,138.2321014404297
2019-06-17,137.56849670410156
2019-06-18,135.88027954101562
2019-06-19,137.51971435546875
2019-06-20,138.5931854248047
2019-06-21,136.8463592529297
2019-06-24,135.86074829101562
2019-06-25,136.5633544921875
2019-06-26,137.0122528076172
2019-06-27,135.93881225585938
2019-06-28,136.27061462402344
2019-07-01,138.2321014404297
2019-07-02,139.0908660888672
2019-07-03,139.53001403808594
2019-07-05,139.87367248535156
2019-07-08,138.46954345703125
2019-07-09,139.0488739013672
2019-07-10,140.9439697265625
2019-07-11,140.96360778808594
2019-07-12,142.25975036621094
2019-07-15,142.43646240234375
2019-07-16,141.69021606445312
2019-07-17,139.99151611328125
2019-07-18,139.0685272216797
2019-07-19,137.32070922851562
2019-07-22,138.29278564453125
2019-07-23,138.70521545410156
2019-07-24,138.73464965820312
2019-07-25,140.6199493408203
2019-07-26,142.03387451171875
2019-07-29,143.742431640625
2019-07-30,142.30880737304688
2019-07-31,140.42355346679688
2019-08-01,139.28453063964844
2019-08-02,139.14707946777344
2019-08-05,135.79873657226562
2019-08-06,139.3041534423828
2019-08-07,132.42095947265625
2019-08-08,135.3961639404297
2019-08-09,136.0147705078125
2019-08-12,133.2948455810547
2019-08-13,134.5320587158203
2019-08-14,130.44729614257812
2019-08-15,130.99716186523438
2019-08-16,132.7548065185547
2019-08-19,132.84317016601562
2019-08-20,132.68606567382812
2019-08-21,133.30465698242188
2019-08-22,133.61888122558594
2019-08-23,129.2886505126953
2019-08-26,132.17547607421875
2019-08-27,132.05764770507812
2019-08-28,134.0803985595703
2019-08-29,135.3470458984375
2019-08-30,134.7775421142578
2019-09-03,133.8447265625
2019-09-04,135.3961639404297
2019-09-05,136.32896423339844
2019-09-06,137.02613830566406
2019-09-09,136.3191375732422
2019-09-10,133.33413696289062
2019-09-11,133.72689819335938
2019-09-12,135.01321411132812
2019-09-13,135.52378845214844
2019-09-16,133.34396362304688
2019-09-17,133.8447265625
2019-09-18,134.32586669921875
2019-09-19,130.88917541503906
2019-09-20,129.8778076171875
2019-09-23,130.06436157226562
2019-09-24,129.58322143554688
2019-09-25,130.68295288085938
2019-09-26,128.8958740234375
2019-09-27,127.60958099365234
2019-09-30,127.96305084228516
2019-10-01,127.20697784423828
2019-10-02,126.80440521240234
2019-10-03,125.8322982788086
2019-10-04,127.91397857666016
2019-10-07,128.5325469970703
2019-10-08,126.14652252197266
2019-10-09,126.990966796875
2019-10-10,127.00078582763672
2019-10-11,127.66849517822266
2019-10-14,127.35425567626953
2019-10-15,127.41316986083984
2019-10-16,128.49330139160156
2019-10-17,129.97598266601562
2019-10-18,128.52273559570312
2019-10-21,127.90413665771484
2019-10-22,130.00543212890625
2019-10-23,128.75840759277344
2019-10-24,127.90413665771484
2019-10-25,128.5325469970703
2019-10-28,128.1692657470703
2019-10-29,127.13825225830078
2019-10-30,127.25608825683594
2019-10-31,127.57029724121094
2019-11-01,130.34912109375
2019-11-04,130.51605224609375
2019-11-05,129.07260131835938
2019-11-06,128.8958740234375
2019-11-07,130.55531311035156
2019-11-08,135.4648895263672
2019-11-11,134.26695251464844
2019-11-12,136.07366943359375
2019-11-13,146.03028869628906
2019-11-14,144.48867797851562
2019-11-15,142.05352783203125
2019-11-18,144.97962951660156
2019-11-19,145.69644165039062
2019-11-20,144.2726593017578
2019-11-21,144.24317932128906
2019-11-22,145.60804748535156
2019-11-25,146.98272705078125
2019-11-26,148.89747619628906
2019-11-27,148.7403564453125
2019-11-29,148.83856201171875
2019-12-02,147.89590454101562
2019-12-03,145.89280700683594
2019-12-04,145.59823608398438
2019-12-05,144.77342224121094
2019-12-06,144.98947143554688
2019-12-09,143.56568908691406
2019-12-10,143.45767211914062
2019-12-11,144.92071533203125
2019-12-12,145.087646484375
2019-12-13,144.59375
2019-12-16,146.6483612060547
2019-12-17,145.92726135253906
2019-12-18,144.47518920898438
2019-12-19,144.36654663085938
2019-12-20,145.087646484375
2019-12-23,142.9144744873047
2019-12-24,143.5170440673828
2019-12-26,143.92202758789062
2019-12-27,143.971435546875
2019-12-30,142.01559448242188
2019-12-31,142.8651123046875
2020-01-02,146.3915252685547
2020-01-03,144.7122802734375
2020-01-06,143.87265014648438
2020-01-07,143.92202758789062
2020-01-08,143.62570190429688
2020-01-09,143.0626678466797
2020-01-10,142.85520935058594
2020-01-13,142.12425231933594
2020-01-14,143.4281463623047
2020-01-15,142.5588836669922
2020-01-16,143.34910583496094
2020-01-17,142.56874084472656
2020-01-21,141.8081512451172
2020-01-22,142.25265502929688
2020-01-23,140.46475219726562
2020-01-24,138.37062072753906
2020-01-27,134.2416229248047
2020-01-28,136.6814727783203
2020-01-29,134.399658203125
2020-01-30,136.12831115722656
2020-01-31,136.62220764160156
2020-02-03,139.59548950195312
2020-02-04,142.96388244628906
2020-02-05,139.64486694335938
2020-02-06,140.95864868164062
2020-02-07,139.2991485595703
2020-02-10,140.8499755859375
2020-02-11,139.2892608642578
2020-02-12,140.1190185546875
2020-02-13,139.18060302734375
2020-02-14,137.8372039794922
2020-02-18,137.4420928955078
2020-02-19,139.5757293701172
2020-02-20,138.65707397460938
2020-02-21,137.274169921875
2020-02-24,131.3868865966797
2020-02-25,126.62571716308594
2020-02-26,121.85465240478516
2020-02-27,116.59957122802734
2020-02-28,116.2143325805664
2020-03-02,118.51589965820312
2020-03-03,115.02897644042969
2020-03-04,117.72565460205078
2020-03-05,112.58911895751953
2020-03-06,113.86337280273438
2020-03-09,103.07662963867188
2020-03-10,110.09986877441406
2020-03-11,104.22247314453125
2020-03-12,90.68965148925781
2020-03-13,101.26895904541016
2020-03-16,93.8506088256836
2020-03-17,92.38866424560547
2020-03-18,87.71638488769531
2020-03-19,93.77157592773438
2020-03-20,84.93079376220703
2020-03-23,84.7134780883789
2020-03-24,96.92265319824219
2020-03-25,99.50080108642578
2020-03-26,104.07430267333984
2020-03-27,95.22364044189453
2020-03-30,98.5821533203125
2020-03-31,95.42119598388672
2020-04-01,93.7616958618164
2020-04-02,95.78668212890625
2020-04-03,92.73439025878906
2020-04-06,98.36483764648438
2020-04-07,100.00457000732422
2020-04-08,99.83665466308594
2020-04-09,103.22479248046875
2020-04-13,102.23699951171875
2020-04-14,104.73612976074219
2020-04-15,102.10858917236328
2020-04-16,100.77505493164062
2020-04-17,105.32880401611328
2020-04-20,101.01213836669922
2020-04-21,99.31311798095703
2020-04-22,99.75762939453125
2020-04-23,99.76750946044922
2020-04-24,99.95518493652344
2020-04-27,104.76575469970703
2020-04-28,104.91393280029297
2020-04-29,110.8802261352539
2020-04-30,106.83026123046875
2020-05-01,104.21259307861328
2020-05-04,101.92091369628906
2020-05-05,99.82677459716797
2020-05-06,99.64897155761719
2020-05-07,104.28174591064453
2020-05-08,107.82794189453125
2020-05-11,106.45489501953125
2020-05-12,103.28406524658203
2020-05-13,101.66407775878906
2020-05-14,104.61759948730469
2020-05-15,107.71927642822266
2020-05-18,115.42408752441406
2020-05-19,112.97435760498047
2020-05-20,118.45662689208984
2020-05-21,116.39214324951172
2020-05-22,116.5798110961914
2020-05-26,119.47405242919922
2020-05-27,120.04698181152344
2020-05-28,115.32530975341797
2020-05-29,115.86859893798828
2020-06-01,117.3206558227539
2020-06-02,117.30091094970703
2020-06-03,120.68904876708984
2020-06-04,122.18062591552734
2020-06-05,123.29683685302734
2020-06-08,125.72681427001953
2020-06-09,122.37818908691406
2020-06-10,120.68904876708984
2020-06-11,111.26547241210938
2020-06-12,114.08069610595703
2020-06-15,115.65129089355469
2020-06-16,116.99468994140625
2020-06-17,116.2143325805664
2020-06-18,116.92554473876953
2020-06-19,112.95459747314453
2020-06-22,114.50543975830078
2020-06-23,115.1672592163086
2020-06-24,110.7024154663086
2020-06-25,110.00108337402344
2020-06-26,107.7686538696289
2020-06-29,110.15912628173828
2020-06-30,110.14926147460938
2020-07-01,111.6309585571289
2020-07-02,110.81108856201172
2020-07-06,113.03363037109375
2020-07-07,112.2433853149414
2020-07-08,115.23641967773438
2020-07-09,115.38457489013672
2020-07-10,117.88370513916016
2020-07-13,114.8017807006836
2020-07-14,117.2120132446289
2020-07-15,119.42466735839844
2020-07-16,117.97260284423828
2020-07-17,117.2021255493164
2020-07-20,116.35263061523438
2020-07-21,117.17250061035156
2020-07-22,117.5774917602539
2020-07-23,116.67860412597656
2020-07-24,116.17481994628906
2020-07-27,114.89067840576172
2020-07-28,114.76226806640625
2020-07-29,114.19922637939453
2020-07-30,114.24861145019531
2020-07-31,115.51299285888672
2020-08-03,114.93019104003906
2020-08-04,115.85872650146484
2020-08-05,126.05279541015625
2020-08-06,129.22361755371094
2020-08-07,128.344482421875
2020-08-10,127.2183837890625
2020-08-11,128.8976593017578
2020-08-12,130.18177795410156
2020-08-13,129.36192321777344
2020-08-14,128.93714904785156
2020-08-17,127.79129791259766
2020-08-18,127.34680938720703
2020-08-19,126.21083068847656
2020-08-20,126.55656433105469
2020-08-21,125.88487243652344
2020-08-24,129.09521484375
2020-08-25,128.2061767578125
2020-08-26,130.5670166015625
2020-08-27,132.0980987548828
2020-08-28,133.8860321044922
2020-08-31,130.26080322265625
2020-09-01,131.92030334472656
2020-09-02,133.7378387451172
2020-09-03,131.61410522460938
2020-09-04,130.3793487548828
2020-09-08,132.5623779296875
2020-09-09,131.73263549804688
2020-09-10,131.59432983398438
2020-09-11,130.14227294921875
2020-09-14,129.64837646484375
2020-09-15,129.6385040283203
2020-09-16,130.47811889648438
2020-09-17,128.63095092773438
2020-09-18,127.06034088134766
2020-09-21,123.879638671875
2020-09-22,125.65766906738281
2020-09-23,121.77561950683594
2020-09-24,120.9952621459961
2020-09-25,122.4868392944336
2020-09-28,124.45255279541016
2020-09-29,123.86975860595703
2020-09-30,122.56587219238281
2020-10-01,121.80525970458984
2020-10-02,121.05453491210938
2020-10-05,121.86453247070312
2020-10-06,119.45429992675781
2020-10-07,121.41014099121094
2020-10-08,121.58794403076172
2020-10-09,123.45488739013672
2020-10-12,123.44500732421875
2020-10-13,127.38632202148438
2020-10-14,125.04522705078125
2020-10-15,125.80583953857422
2020-10-16,125.2625503540039
2020-10-19,122.71404266357422
2020-10-20,123.42524719238281
2020-10-21,125.0847396850586
2020-10-22,126.0033950805664
2020-10-23,126.78376770019531
2020-10-26,122.54611206054688
2020-10-27,121.80525970458984
2020-10-28,117.02432250976562
2020-10-29,120.0568618774414
2020-10-30,119.77040100097656
2020-11-02,118.66407012939453
2020-11-03,122.506591796875
2020-11-04,123.54377746582031
2020-11-05,125.41071319580078
2020-11-06,125.90461730957031
2020-11-09,140.8499755859375
2020-11-10,140.37583923339844
2020-11-11,136.13819885253906
