,VTRS
2014-11-28,50.342735290527344
2014-12-01,49.63840103149414
2014-12-02,49.67276382446289
2014-12-03,50.01634216308594
2014-12-04,50.01634216308594
2014-12-05,50.17095184326172
2014-12-08,49.15739059448242
2014-12-09,48.607669830322266
2014-12-10,47.23336410522461
2014-12-11,46.99285125732422
2014-12-12,45.79892349243164
2014-12-15,46.82966232299805
2014-12-16,46.00507736206055
2014-12-17,47.46527862548828
2014-12-18,48.81382369995117
2014-12-19,49.39790344238281
2014-12-22,48.959842681884766
2014-12-23,48.59908676147461
2014-12-24,48.9340705871582
2014-12-26,49.47520065307617
2014-12-29,49.56968307495117
2014-12-30,48.908302307128906
2014-12-31,48.41870880126953
2015-01-02,48.401527404785156
2015-01-05,47.860389709472656
2015-01-06,46.53761672973633
2015-01-07,48.195377349853516
2015-01-08,48.659210205078125
2015-01-09,47.96346664428711
2015-01-12,47.47386169433594
2015-01-13,47.65424346923828
2015-01-14,46.8897819519043
2015-01-15,45.30073165893555
2015-01-16,48.10089874267578
2015-01-20,47.35361099243164
2015-01-21,46.8897819519043
2015-01-22,46.76093673706055
2015-01-23,46.563385009765625
2015-01-26,48.78805160522461
2015-01-27,48.358585357666016
2015-01-28,47.44810104370117
2015-01-29,47.147464752197266
2015-01-30,45.65290451049805
2015-02-02,45.687255859375
2015-02-03,46.8897819519043
2015-02-04,45.71302795410156
2015-02-05,46.640689849853516
2015-02-06,46.28852081298828
2015-02-09,45.5240592956543
2015-02-10,46.357242584228516
2015-02-11,46.176856994628906
2015-02-12,46.82106399536133
2015-02-13,47.972049713134766
2015-02-17,48.55613327026367
2015-02-18,48.573307037353516
2015-02-19,49.148807525634766
2015-02-20,49.70711898803711
2015-02-23,49.51815414428711
2015-02-24,49.148807525634766
2015-02-25,48.530364990234375
2015-02-26,49.17457580566406
2015-02-27,49.24329376220703
2015-03-02,49.724300384521484
2015-03-03,47.6198844909668
2015-03-04,47.76589584350586
2015-03-05,48.69356155395508
2015-03-06,47.6198844909668
2015-03-09,47.877567291259766
2015-03-10,47.50822067260742
2015-03-11,50.67772674560547
2015-03-12,53.51225280761719
2015-03-13,51.33052444458008
2015-03-16,52.627540588378906
2015-03-17,53.873008728027344
2015-03-18,55.79703903198242
2015-03-19,54.9209098815918
2015-03-20,54.1650505065918
2015-03-23,54.354007720947266
2015-03-24,54.19081497192383
2015-03-25,52.59318161010742
2015-03-26,53.1514892578125
2015-03-27,52.93675994873047
2015-03-30,51.536678314208984
2015-03-31,50.978363037109375
2015-04-01,49.767250061035156
2015-04-02,49.9046745300293
2015-04-06,50.231075286865234
2015-04-07,51.16733169555664
2015-04-08,58.717464447021484
2015-04-09,60.21200942993164
2015-04-10,60.332252502441406
2015-04-13,58.88922882080078
2015-04-14,58.940773010253906
2015-04-15,57.351722717285156
2015-04-16,57.40327072143555
