,XEL
2014-07-11,22.839672088623047
2014-07-14,22.658924102783203
2014-07-15,22.80352210998535
2014-07-16,22.92643165588379
2014-07-17,22.78183364868164
2014-07-18,22.998735427856445
2014-07-21,22.911977767944336
2014-07-22,22.91920280456543
2014-07-23,22.80352210998535
2014-07-24,22.948122024536133
2014-07-25,22.796300888061523
2014-07-28,23.186717987060547
2014-07-29,22.92643165588379
2014-07-30,22.49986457824707
2014-07-31,22.26850128173828
2014-08-01,22.398643493652344
2014-08-04,22.217885971069336
2014-08-05,21.856386184692383
2014-08-06,21.429821014404297
2014-08-07,21.675642013549805
2014-08-08,22.094982147216797
2014-08-11,22.015453338623047
2014-08-12,22.05160140991211
2014-08-13,22.16728401184082
2014-08-14,22.333572387695312
2014-08-15,22.427562713623047
2014-08-18,22.333572387695312
2014-08-19,22.673385620117188
2014-08-20,22.68060874938965
2014-08-21,22.71676254272461
2014-08-22,22.695072174072266
2014-08-25,22.82521629333496
2014-08-26,22.593852996826172
2014-08-27,22.861366271972656
2014-08-28,23.020427703857422
2014-08-29,23.17225456237793
2014-09-02,22.911977767944336
2014-09-03,23.085498809814453
2014-09-04,23.034883499145508
2014-09-05,23.483150482177734
2014-09-08,23.2662410736084
2014-09-09,22.933666229248047
2014-09-10,22.82521629333496
2014-09-11,23.056577682495117
2014-09-12,22.60831642150879
2014-09-15,22.65169334411621
2014-09-16,22.907190322875977
2014-09-17,22.81229019165039
2014-09-18,22.60059356689453
2014-09-19,22.768495559692383
2014-09-22,22.556793212890625
2014-09-23,22.512990951538086
2014-09-24,22.454591751098633
2014-09-25,22.235597610473633
2014-09-26,22.18449592590332
2014-09-29,22.11880111694336
2014-09-30,22.191791534423828
2014-10-01,22.242895126342773
2014-10-02,22.17719841003418
2014-10-03,22.345096588134766
2014-10-06,22.345096588134766
2014-10-07,22.50569725036621
2014-10-08,23.096988677978516
2014-10-09,22.826894760131836
2014-10-10,23.053192138671875
2014-10-13,23.184593200683594
2014-10-14,23.87078094482422
2014-10-15,23.5203914642334
2014-10-16,23.27948760986328
2014-10-17,23.27948760986328
2014-10-20,23.564184188842773
2014-10-21,23.68828010559082
2014-10-22,23.87078094482422
2014-10-23,23.87078094482422
2014-10-24,24.016786575317383
2014-10-27,23.965682983398438
2014-10-28,24.148183822631836
2014-10-29,23.98027801513672
2014-10-30,24.46938133239746
2014-10-31,24.432878494262695
2014-11-03,24.637271881103516
2014-11-04,24.432878494262695
2014-11-05,24.885473251342773
2014-11-06,24.126279830932617
2014-11-07,24.527774810791016
2014-11-10,24.812477111816406
2014-11-11,24.732177734375
2014-11-12,24.38907814025879
2014-11-13,24.25037384033203
2014-11-14,24.11897850036621
2014-11-17,24.4036808013916
2014-11-18,24.615373611450195
2014-11-19,24.505874633789062
2014-11-20,24.49857521057129
2014-11-21,24.5861759185791
2014-11-24,24.367183685302734
2014-11-25,24.330678939819336
2014-11-26,24.45478057861328
2014-11-28,24.775972366333008
2014-12-01,25.016868591308594
2014-12-02,25.301570892333984
2014-12-03,25.3891658782959
2014-12-04,25.41107177734375
2014-12-05,25.206663131713867
2014-12-08,25.469463348388672
2014-12-09,25.564361572265625
2014-12-10,25.30886459350586
2014-12-11,25.542469024658203
2014-12-12,25.279666900634766
2014-12-15,25.002269744873047
2014-12-16,24.98037338256836
2014-12-17,25.36726951599121
2014-12-18,25.80527114868164
2014-12-19,25.84176254272461
2014-12-22,26.024272918701172
2014-12-23,26.083160400390625
2014-12-24,26.67210578918457
2014-12-26,26.92977523803711
2014-12-29,27.423019409179688
2014-12-30,26.78253746032715
2014-12-31,26.44388771057129
2015-01-02,26.591127395629883
2015-01-05,26.289291381835938
2015-01-06,26.42916488647461
2015-01-07,26.657379150390625
2015-01-08,26.966588973999023
2015-01-09,26.63529396057129
2015-01-12,26.39971923828125
2015-01-13,26.613210678100586
2015-01-14,26.84879493713379
2015-01-15,27.084373474121094
2015-01-16,27.253698348999023
2015-01-20,27.43775177001953
2015-01-21,27.665958404541016
2015-01-22,27.621793746948242
2015-01-23,27.798479080200195
2015-01-26,27.724863052368164
2015-01-27,27.77639389038086
2015-01-28,27.57025146484375
2015-01-29,28.05613899230957
2015-01-30,27.6291561126709
2015-02-02,27.658599853515625
2015-02-03,27.710145950317383
2015-02-04,27.386211395263672
2015-02-05,27.6512508392334
2015-02-06,26.289291381835938
2015-02-09,26.016902923583984
2015-02-10,26.68682861328125
2015-02-11,26.171499252319336
2015-02-12,26.15677833557129
2015-02-13,25.766599655151367
2015-02-17,25.90647315979004
2015-02-18,26.723644256591797
2015-02-19,26.66474723815918
2015-02-20,26.44388771057129
2015-02-23,26.78253746032715
2015-02-24,26.760446548461914
2015-02-25,26.22303009033203
2015-02-26,26.075794219970703
2015-02-27,25.97272491455078
2015-03-02,25.332242965698242
2015-03-03,25.538372039794922
2015-03-04,25.457401275634766
2015-03-05,25.715063095092773
2015-03-06,24.77274513244629
2015-03-09,25.089309692382812
2015-03-10,25.14820098876953
2015-03-11,24.919981002807617
2015-03-12,25.361696243286133
2015-03-13,25.07189178466797
2015-03-16,25.428573608398438
2015-03-17,25.3616943359375
2015-03-18,25.97846031188965
2015-03-19,25.62177276611328
2015-03-20,25.844701766967773
2015-03-23,26.0081844329834
2015-03-24,25.792686462402344
2015-03-25,25.577190399169922
2015-03-26,25.488012313842773
2015-03-27,25.55489158630371
2015-03-30,25.814983367919922
2015-03-31,25.867000579833984
2015-04-01,25.911582946777344
2015-04-02,25.829843521118164
2015-04-06,26.04534149169922
2015-04-07,25.64406967163086
2015-04-08,25.58461570739746
2015-04-09,25.502883911132812
2015-04-10,25.762958526611328
2015-04-13,25.465721130371094
2015-04-14,25.614343643188477
2015-04-15,25.629207611083984
2015-04-16,25.488012313842773
2015-04-17,25.54003143310547
2015-04-20,25.83726692199707
2015-04-21,25.473154067993164
2015-04-22,25.495447158813477
2015-04-23,25.651500701904297
2015-04-24,25.911582946777344
2015-04-27,25.56975746154785
2015-04-28,25.792686462402344
2015-04-29,25.651500701904297
2015-04-30,25.198217391967773
2015-05-01,25.235374450683594
2015-05-04,25.532602310180664
2015-05-05,25.00501251220703
2015-05-06,24.900981903076172
2015-05-07,24.878686904907227
2015-05-08,24.98271942138672
2015-05-11,24.834096908569336
2015-05-12,24.678049087524414
2015-05-13,24.41053581237793
2015-05-14,24.878686904907227
2015-05-15,25.07931900024414
2015-05-18,25.383989334106445
2015-05-19,25.54003143310547
2015-05-20,25.725805282592773
2015-05-21,25.64406967163086
2015-05-22,25.60691261291504
2015-05-26,25.257665634155273
2015-05-27,25.33940315246582
2015-05-28,25.3616943359375
2015-05-29,25.30224609375
2015-06-01,25.317108154296875
2015-06-02,24.81923484802246
2015-06-03,24.40310287475586
2015-06-04,24.351093292236328
2015-06-05,24.038990020751953
2015-06-08,24.024127960205078
2015-06-09,24.046424865722656
2015-06-10,24.046424865722656
2015-06-11,24.380817413330078
2015-06-12,24.2990779876709
2015-06-15,24.15045928955078
2015-06-16,24.300554275512695
2015-06-17,24.443147659301758
2015-06-18,24.803377151489258
2015-06-19,24.59324073791504
2015-06-22,24.540706634521484
2015-06-23,24.18798065185547
2015-06-24,24.00786590576172
2015-06-25,23.9553279876709
2015-06-26,24.19548225402832
2015-06-29,24.142953872680664
2015-06-30,24.15045738220215
2015-07-01,24.390609741210938
2015-07-02,24.630765914916992
2015-07-06,24.720821380615234
2015-07-07,25.433786392211914
2015-07-08,25.298690795898438
2015-07-09,25.013511657714844
2015-07-10,25.178611755371094
2015-07-13,25.171110153198242
2015-07-14,25.171110153198242
2015-07-15,25.23114776611328
2015-07-16,25.606388092041016
2015-07-17,25.291187286376953
2015-07-20,25.126081466674805
2015-07-21,24.878427505493164
2015-07-22,25.066041946411133
2015-07-23,24.69830894470215
2015-07-24,24.66077995300293
2015-07-27,25.021015167236328
2015-07-28,25.208633422851562
2015-07-29,25.313697814941406
2015-07-30,25.673934936523438
2015-07-31,26.019147872924805
2015-08-03,25.914077758789062
2015-08-04,25.6289119720459
2015-08-05,25.83152961730957
2015-08-06,26.139230728149414
2015-08-07,26.454421997070312
2015-08-10,26.221786499023438
2015-08-11,26.544479370117188
2015-08-12,26.807151794433594
2015-08-13,26.68707275390625
2015-08-14,26.867191314697266
2015-08-17,27.009788513183594
2015-08-18,26.949750900268555
2015-08-19,27.257444381713867
2015-08-20,27.02480125427246
2015-08-21,26.68707275390625
2015-08-24,25.59137535095215
2015-08-25,24.825891494750977
2015-08-26,25.171110153198242
2015-08-27,25.51633071899414
2015-08-28,25.478805541992188
2015-08-31,25.313697814941406
2015-09-01,24.75084114074707
2015-09-02,24.840892791748047
2015-09-03,24.98349380493164
2015-09-04,24.488174438476562
2015-09-08,24.825891494750977
2015-09-09,24.435640335083008
2015-09-10,24.548213958740234
2015-09-11,24.88593292236328
2015-09-14,24.88593292236328
2015-09-15,25.09052848815918
2015-09-16,25.279977798461914
2015-09-17,25.643720626831055
2015-09-18,25.484582901000977
2015-09-21,25.848323822021484
2015-09-22,25.704345703125
2015-09-23,25.848323822021484
2015-09-24,26.06808090209961
2015-09-25,26.454553604125977
2015-09-28,26.249950408935547
2015-09-29,26.295421600341797
2015-09-30,26.833452224731445
2015-10-01,26.530324935913086
2015-10-02,26.7728328704834
2015-10-05,26.90923500061035
2015-10-06,26.553077697753906
2015-10-07,26.545495986938477
2015-10-08,26.90923500061035
2015-10-09,26.71977996826172
2015-10-12,27.1593074798584
2015-10-13,27.197200775146484
2015-10-14,27.27297592163086
2015-10-15,27.545774459838867
2015-10-16,27.606407165527344
2015-10-19,27.477575302124023
2015-10-20,27.757970809936523
2015-10-21,27.720073699951172
2015-10-22,28.144433975219727
2015-10-23,27.613977432250977
2015-10-26,27.87162971496582
2015-10-27,27.8261661529541
2015-10-28,27.310867309570312
2015-10-29,26.931964874267578
2015-10-30,27.000167846679688
2015-11-02,27.166881561279297
2015-11-03,27.197200775146484
2015-11-04,27.30329132080078
2015-11-05,27.363910675048828
2015-11-06,26.41667366027832
2015-11-09,26.530324935913086
2015-11-10,26.96228790283203
2015-11-11,27.318445205688477
2015-11-12,26.757678985595703
2015-11-13,26.530324935913086
2015-11-16,26.9698543548584
2015-11-17,26.68947410583496
2015-11-18,26.99258804321289
2015-11-19,27.068368911743164
2015-11-20,27.17446517944336
2015-11-23,26.95469856262207
2015-11-24,27.075937271118164
2015-11-25,26.901653289794922
2015-11-27,27.00774574279785
2015-11-30,27.022907257080078
2015-12-01,27.257814407348633
2015-12-02,26.68947410583496
2015-12-03,26.083240509033203
2015-12-04,26.50003433227539
2015-12-07,26.72736167907715
2015-12-08,26.6818904876709
2015-12-09,26.73493766784668
2015-12-10,26.363624572753906
2015-12-11,26.477298736572266
2015-12-14,26.74251937866211
2015-12-15,26.95469856262207
2015-12-16,27.59882354736328
2015-12-17,27.58367156982422
2015-12-18,26.977434158325195
2015-12-21,26.833452224731445
2015-12-22,27.01698875427246
2015-12-23,27.41463279724121
2015-12-24,27.330509185791016
2015-12-28,27.63639259338379
2015-12-29,27.69757080078125
2015-12-30,27.83521842956543
2015-12-31,27.460514068603516
2016-01-04,27.299930572509766
2016-01-05,27.575218200683594
2016-01-06,27.86580467224121
2016-01-07,27.972864151000977
2016-01-08,27.666975021362305
2016-01-11,27.888751983642578
2016-01-12,27.781688690185547
2016-01-13,27.613449096679688
2016-01-14,28.072282791137695
2016-01-15,27.91168785095215
2016-01-19,28.45462417602539
2016-01-20,28.003450393676758
2016-01-21,27.628751754760742
2016-01-22,28.011106491088867
2016-01-25,27.934629440307617
2016-01-26,28.1181640625
