,FITB
2018-03-21,26.04372215270996
2018-03-22,25.02117919921875
2018-03-23,24.037382125854492
2018-03-26,24.88174819946289
2018-03-27,24.27752685546875
2018-03-28,24.573396682739258
2018-03-29,24.721336364746094
2018-04-02,24.098438262939453
2018-04-03,24.573396682739258
2018-04-04,25.134002685546875
2018-04-05,25.172943115234375
2018-04-06,24.324234008789062
2018-04-09,24.44881248474121
2018-04-10,24.744699478149414
2018-04-11,24.50331687927246
2018-04-12,25.118432998657227
2018-04-13,24.45660400390625
2018-04-16,24.51888656616211
2018-04-17,24.090648651123047
2018-04-18,23.966068267822266
2018-04-19,24.417667388916016
2018-04-20,24.46438980102539
2018-04-23,24.861492156982422
2018-04-24,25.889270782470703
2018-04-25,26.115074157714844
2018-04-26,26.177366256713867
2018-04-27,26.340879440307617
2018-04-30,25.82697868347168
2018-05-01,25.97492027282715
2018-05-02,25.499961853027344
2018-05-03,25.134002685546875
2018-05-04,25.406524658203125
2018-05-07,25.554460525512695
2018-05-08,25.772476196289062
2018-05-09,26.216291427612305
2018-05-10,26.42652702331543
2018-05-11,26.457666397094727
2018-05-14,26.49659538269043
2018-05-15,26.714614868164062
2018-05-16,26.745756149291992
2018-05-17,26.714614868164062
2018-05-18,26.130647659301758
2018-05-21,24.05950927734375
2018-05-22,24.83034896850586
2018-05-23,24.293092727661133
2018-05-24,24.729122161865234
2018-05-25,24.417667388916016
2018-05-29,23.58454132080078
2018-05-30,23.825916290283203
2018-05-31,23.810340881347656
2018-06-01,23.950498580932617
2018-06-04,24.137371063232422
2018-06-05,24.1140079498291
2018-06-06,24.64347267150879
2018-06-07,24.620115280151367
2018-06-08,24.768056869506836
2018-06-11,24.46438980102539
2018-06-12,24.355382919311523
2018-06-13,24.254159927368164
2018-06-14,24.012786865234375
2018-06-15,23.88041877746582
2018-06-18,23.88041877746582
2018-06-19,23.80255889892578
2018-06-20,23.911563873291016
2018-06-21,23.849271774291992
2018-06-22,23.43660545349121
2018-06-25,23.405458450317383
2018-06-26,23.047292709350586
2018-06-27,22.52561378479004
2018-06-28,22.517778396606445
2018-06-29,22.486438751220703
2018-07-02,22.784168243408203
2018-07-03,22.650976181030273
2018-07-05,22.58045768737793
2018-07-06,22.831174850463867
2018-07-09,23.473651885986328
2018-07-10,23.269933700561523
2018-07-11,23.16808319091797
2018-07-12,23.042726516723633
2018-07-13,22.792003631591797
2018-07-16,23.08189582824707
2018-07-17,23.128910064697266
2018-07-18,23.693029403686523
2018-07-19,22.18087387084961
2018-07-20,22.3218994140625
2018-07-23,22.870351791381836
2018-07-24,22.980043411254883
2018-07-25,22.93303680419922
2018-07-26,23.15241050720215
2018-07-27,23.121076583862305
2018-07-30,23.309112548828125
2018-07-31,23.18375587463379
2018-08-01,23.332616806030273
2018-08-02,23.512821197509766
2018-08-03,23.277772903442383
2018-08-06,23.160247802734375
2018-08-07,23.222925186157227
2018-08-08,23.387460708618164
2018-08-09,23.128910064697266
2018-08-10,22.987876892089844
2018-08-13,22.82334327697754
2018-08-14,23.207260131835938
2018-08-15,22.85468101501465
2018-08-16,23.379627227783203
2018-08-17,23.262102127075195
2018-08-20,23.37179183959961
2018-08-21,23.559833526611328
2018-08-22,23.309112548828125
2018-08-23,23.097566604614258
2018-08-24,23.07406234741211
2018-08-27,23.30127716064453
2018-08-28,23.277772903442383
2018-08-29,23.128910064697266
2018-08-30,22.940866470336914
