,ZTS
2015-06-05,45.74767303466797
2015-06-08,45.55166244506836
2015-06-09,45.96236801147461
2015-06-10,46.382415771484375
2015-06-11,46.5504264831543
2015-06-12,45.81302261352539
2015-06-15,45.990360260009766
2015-06-16,46.401084899902344
2015-06-17,46.83046340942383
2015-06-18,47.138492584228516
2015-06-19,46.89580154418945
2015-06-22,46.87712478637695
2015-06-23,47.110511779785156
2015-06-24,46.401084899902344
2015-06-25,51.693660736083984
2015-06-26,45.383636474609375
2015-06-29,43.93682098388672
2015-06-30,45.01027297973633
2015-07-01,45.2062873840332
2015-07-02,45.09426498413086
2015-07-06,45.178287506103516
2015-07-07,44.69290542602539
2015-07-08,43.386085510253906
2015-07-09,43.47008514404297
2015-07-10,43.83414077758789
2015-07-13,43.9088134765625
2015-07-14,44.300846099853516
2015-07-15,43.97414779663086
2015-07-16,44.80490493774414
2015-07-17,44.61822509765625
2015-07-20,45.719661712646484
2015-07-21,45.85035705566406
2015-07-22,46.6904411315918
2015-07-23,46.53176498413086
2015-07-24,46.19572830200195
2015-07-27,46.1864013671875
2015-07-28,45.598331451416016
2015-07-29,45.178287506103516
2015-07-30,45.31829833984375
2015-07-31,45.719661712646484
2015-08-03,45.252960205078125
2015-08-04,45.598331451416016
2015-08-05,45.374305725097656
2015-08-06,45.0662727355957
2015-08-07,45.09426498413086
2015-08-10,45.1689453125
2015-08-11,45.07826232910156
2015-08-12,44.7509880065918
2015-08-13,44.5639762878418
2015-08-14,44.386329650878906
2015-08-17,45.52707290649414
2015-08-18,44.629417419433594
2015-08-19,44.7977409362793
2015-08-20,43.367130279541016
2015-08-21,42.09547424316406
2015-08-24,40.70225524902344
2015-08-25,39.79527282714844
2015-08-26,41.375492095947266
2015-08-27,42.88090133666992
2015-08-28,42.806114196777344
2015-08-31,41.95523452758789
2015-09-01,41.1230354309082
2015-09-02,42.1889762878418
2015-09-03,41.63730239868164
2015-09-04,41.15108108520508
2015-09-08,41.97392654418945
2015-09-09,41.094970703125
2015-09-10,41.45964431762695
2015-09-11,42.0767707824707
2015-09-14,41.581207275390625
2015-09-15,42.13288116455078
2015-09-16,41.61859893798828
2015-09-17,43.02116394042969
2015-09-18,42.1889762878418
2015-09-21,41.60926055908203
2015-09-22,41.35679626464844
2015-09-23,41.440948486328125
2015-09-24,40.75837326049805
2015-09-25,39.74853515625
2015-09-28,37.36418151855469
2015-09-29,37.074317932128906
2015-09-30,38.504920959472656
2015-10-01,38.607757568359375
2015-10-02,40.225399017333984
2015-10-05,40.06644058227539
2015-10-06,38.7012825012207
2015-10-07,39.89813232421875
2015-10-08,40.41239929199219
2015-10-09,40.019691467285156
2015-10-12,39.93552017211914
2015-10-13,39.570858001708984
2015-10-14,39.62696838378906
2015-10-15,40.206703186035156
2015-10-16,41.07628631591797
2015-10-19,40.9360237121582
2015-10-20,40.29085922241211
2015-10-21,38.9537467956543
2015-10-22,38.14961624145508
2015-10-23,39.776573181152344
2015-10-26,39.59892272949219
2015-10-27,39.96358871459961
2015-10-28,40.52461242675781
2015-10-29,40.72096633911133
2015-10-30,40.216033935546875
2015-11-02,41.36614990234375
2015-11-03,43.68284606933594
2015-11-04,43.60790252685547
2015-11-05,42.586788177490234
2015-11-06,43.06455612182617
2015-11-09,42.905303955078125
2015-11-10,42.980247497558594
2015-11-11,42.23081588745117
2015-11-12,41.715576171875
2015-11-13,42.01534652709961
2015-11-16,42.43690490722656
2015-11-17,42.87720489501953
