,WST
2019-03-18,104.33474731445312
2019-03-19,104.17718505859375
2019-03-20,103.49762725830078
2019-03-21,105.19156646728516
2019-03-22,102.09915924072266
2019-03-25,103.36961364746094
2019-03-26,103.90142822265625
2019-03-27,104.70901489257812
2019-03-28,105.9301986694336
2019-03-29,108.53020477294922
2019-04-01,110.08626556396484
2019-04-02,109.58401489257812
2019-04-03,110.10594177246094
2019-04-04,110.16507720947266
2019-04-05,111.15973663330078
2019-04-08,111.41581726074219
2019-04-09,111.238525390625
2019-04-10,112.8143081665039
2019-04-11,112.79459381103516
2019-04-12,114.01580047607422
2019-04-15,115.12867736816406
2019-04-16,112.30841827392578
2019-04-17,110.08965301513672
2019-04-18,109.9713134765625
2019-04-22,110.60243225097656
2019-04-23,113.60023498535156
2019-04-24,113.61006927490234
2019-04-25,120.56216430664062
2019-04-26,121.96244812011719
2019-04-29,120.61145782470703
2019-04-30,122.07091522216797
2019-05-01,118.91535949707031
2019-05-02,120.14798736572266
2019-05-03,121.14396667480469
2019-05-06,121.074951171875
2019-05-07,119.71410369873047
2019-05-08,118.7674560546875
2019-05-09,118.77730560302734
2019-05-10,118.73786926269531
2019-05-13,115.91756439208984
2019-05-14,114.70465850830078
2019-05-15,114.78355407714844
2019-05-16,115.5428466796875
2019-05-17,114.79341888427734
2019-05-20,115.80911254882812
2019-05-21,116.88397216796875
2019-05-22,116.55854034423828
2019-05-23,114.44827270507812
2019-05-24,114.67508697509766
2019-05-28,114.05381774902344
2019-05-29,113.76785278320312
2019-05-30,114.23133087158203
2019-05-31,113.0085220336914
2019-06-03,113.10716247558594
2019-06-04,114.68492889404297
2019-06-05,115.80911254882812
2019-06-06,116.4402084350586
2019-06-07,117.65312957763672
2019-06-10,118.29411315917969
2019-06-11,119.01396179199219
2019-06-12,120.49315643310547
2019-06-13,120.20716857910156
2019-06-14,119.00411987304688
2019-06-17,118.98439025878906
2019-06-18,119.6648178100586
2019-06-19,120.13814544677734
2019-06-20,120.52272033691406
2019-06-21,120.34522247314453
2019-06-24,120.49315643310547
2019-06-25,120.8875961303711
2019-06-26,120.0296630859375
2019-06-27,121.86383819580078
2019-06-28,123.41204071044922
2019-07-01,122.99787139892578
2019-07-02,121.86383819580078
2019-07-03,122.19911193847656
2019-07-05,122.27799987792969
2019-07-08,121.18344116210938
2019-07-09,122.337158203125
2019-07-10,122.12023162841797
2019-07-11,122.76119232177734
2019-07-12,122.70201873779297
2019-07-15,122.65272521972656
2019-07-16,121.50883483886719
2019-07-17,120.21703338623047
2019-07-18,120.37480926513672
2019-07-19,119.72398376464844
2019-07-22,121.30175018310547
2019-07-23,121.70655059814453
2019-07-24,120.71924591064453
2019-07-25,131.1749267578125
2019-07-26,135.1735076904297
2019-07-29,136.6150665283203
2019-07-30,135.73629760742188
2019-07-31,135.5290069580078
2019-08-01,135.53883361816406
2019-08-02,133.84068298339844
2019-08-05,131.94500732421875
2019-08-06,136.66439819335938
2019-08-07,137.87879943847656
2019-08-08,141.275146484375
2019-08-09,142.0946502685547
2019-08-12,140.48529052734375
2019-08-13,143.23004150390625
2019-08-14,140.54458618164062
2019-08-15,141.0678253173828
2019-08-16,143.22018432617188
2019-08-19,143.93106079101562
2019-08-20,143.2794189453125
2019-08-21,144.07913208007812
2019-08-22,144.01004028320312
2019-08-23,141.5121307373047
2019-08-26,143.5064697265625
2019-08-27,144.41481018066406
2019-08-28,144.3358612060547
2019-08-29,145.2738037109375
2019-08-30,143.61508178710938
2019-09-03,143.03257751464844
2019-09-04,146.0537567138672
2019-09-05,148.1172637939453
2019-09-06,147.80130004882812
2019-09-09,143.60523986816406
2019-09-10,139.27093505859375
2019-09-11,142.88450622558594
2019-09-12,144.23709106445312
2019-09-13,142.37110900878906
2019-09-16,140.3273468017578
2019-09-17,141.48251342773438
2019-09-18,139.5276336669922
2019-09-19,141.5121307373047
2019-09-20,141.275146484375
2019-09-23,142.07489013671875
2019-09-24,141.42327880859375
2019-09-25,143.79283142089844
2019-09-26,141.294921875
2019-09-27,139.08331298828125
2019-09-30,140.02130126953125
2019-10-01,137.9084014892578
2019-10-02,135.8548126220703
2019-10-03,138.40206909179688
2019-10-04,139.79420471191406
2019-10-07,138.91546630859375
2019-10-08,136.15097045898438
2019-10-09,138.8957061767578
2019-10-10,139.18206787109375
2019-10-11,140.19900512695312
2019-10-14,139.8534698486328
2019-10-15,139.9916534423828
2019-10-16,138.19476318359375
2019-10-17,139.8139190673828
2019-10-18,139.0635986328125
2019-10-21,138.30335998535156
2019-10-22,137.216064453125
2019-10-23,137.56202697753906
2019-10-24,137.255615234375
2019-10-25,139.2621307373047
2019-10-28,140.84365844726562
