,EVRG
2016-11-07,42.50738525390625
2016-11-08,42.425601959228516
2016-11-09,42.18767166137695
2016-11-10,41.89769744873047
2016-11-11,42.135623931884766
2016-11-14,42.239715576171875
2016-11-15,42.306636810302734
2016-11-16,42.180240631103516
2016-11-17,42.16536331176758
2016-11-18,42.38842010498047
2016-11-21,42.47021484375
2016-11-22,42.38100051879883
2016-11-23,42.366111755371094
2016-11-25,42.44047927856445
2016-11-28,42.51482391357422
2016-11-29,42.462772369384766
2016-11-30,42.35124206542969
2016-12-01,42.19509506225586
2016-12-02,41.94231033325195
2016-12-05,42.17280578613281
2016-12-06,42.410728454589844
2016-12-07,42.6502571105957
2016-12-08,42.85235595703125
2016-12-09,42.799957275390625
2016-12-12,42.85235595703125
2016-12-13,42.85235595703125
2016-12-14,42.859832763671875
2016-12-15,42.83737564086914
2016-12-16,42.94965744018555
2016-12-19,42.14874267578125
2016-12-20,42.34336471557617
2016-12-21,42.10383987426758
2016-12-22,42.10383987426758
2016-12-23,42.036460876464844
2016-12-27,42.088871002197266
2016-12-28,42.036460876464844
2016-12-29,42.10383987426758
2016-12-30,42.178688049316406
2017-01-03,42.066410064697266
2017-01-04,41.52000427246094
2017-01-05,41.175689697265625
2017-01-06,40.928680419921875
2017-01-09,40.67417907714844
2017-01-10,40.853824615478516
2017-01-11,41.235565185546875
2017-01-12,41.13077163696289
2017-01-13,41.175689697265625
2017-01-17,41.3328742980957
2017-01-18,41.60982894897461
2017-01-19,41.5723991394043
2017-01-20,41.54993438720703
2017-01-23,41.392757415771484
2017-01-24,41.28047561645508
2017-01-25,40.89873504638672
2017-01-26,41.0559196472168
2017-01-27,40.996036529541016
2017-01-30,40.8613166809082
2017-01-31,40.9361572265625
2017-02-01,40.95112991333008
2017-02-02,40.86880111694336
2017-02-03,40.928680419921875
2017-02-06,40.71908950805664
2017-02-07,40.31489562988281
2017-02-08,40.322383880615234
2017-02-09,40.12776565551758
2017-02-10,40.10530471801758
2017-02-13,39.93315887451172
2017-02-14,39.67117691040039
2017-02-15,39.32685470581055
2017-02-16,39.49152374267578
2017-02-17,39.70859909057617
2017-02-21,39.93315887451172
2017-02-22,39.85830307006836
2017-02-23,39.67117691040039
2017-02-24,40.26997756958008
2017-02-27,40.38227081298828
2017-02-28,40.40471649169922
2017-03-01,40.8388557434082
2017-03-02,40.928680419921875
2017-03-03,41.14574432373047
2017-03-06,41.08586120605469
2017-03-07,41.078330993652344
2017-03-08,40.88982009887695
2017-03-09,40.87472915649414
2017-03-10,41.131103515625
2017-03-13,41.131103515625
2017-03-14,41.153724670410156
2017-03-15,41.2894401550293
2017-03-16,41.20650100708008
2017-03-17,41.34223175048828
2017-03-20,41.39500427246094
2017-03-21,41.28190612792969
2017-03-22,41.28190612792969
2017-03-23,41.1612663269043
2017-03-24,40.9652214050293
2017-03-27,40.731475830078125
2017-03-28,40.84457778930664
2017-03-29,41.078330993652344
2017-03-30,40.98784637451172
2017-03-31,40.91999435424805
2017-04-03,41.266815185546875
2017-04-04,41.1688117980957
2017-04-05,41.214046478271484
2017-04-06,40.98030090332031
2017-04-07,40.95767593383789
2017-04-10,40.75410461425781
2017-04-11,41.078330993652344
2017-04-12,40.82950973510742
2017-04-13,40.490196228027344
2017-04-17,40.88982009887695
2017-04-18,41.19142150878906
2017-04-19,41.5533561706543
2017-04-20,38.35635757446289
2017-04-21,38.778594970703125
2017-04-24,39.10282516479492
2017-04-25,39.178218841552734
2017-04-26,39.2083740234375
2017-04-27,39.16313552856445
2017-04-28,39.23101043701172
2017-05-01,39.389339447021484
2017-05-02,39.71356201171875
2017-05-03,39.55521774291992
2017-05-04,39.396888732910156
2017-05-05,39.60047912597656
2017-05-08,39.479827880859375
2017-05-09,39.45721435546875
2017-05-10,39.09527587890625
2017-05-11,39.16313552856445
2017-05-12,39.10282516479492
2017-05-15,39.178218841552734
2017-05-16,38.952030181884766
2017-05-17,39.00480651855469
2017-05-18,38.97465133666992
2017-05-19,39.13298416137695
2017-05-22,38.982181549072266
2017-05-23,39.080196380615234
2017-05-24,39.585384368896484
2017-05-25,39.86437225341797
2017-05-26,39.90207290649414
2017-05-30,39.788970947265625
2017-05-31,39.92469787597656
2017-06-01,40.1508903503418
2017-06-02,40.316776275634766
2017-06-05,40.14336013793945
2017-06-06,40.098114013671875
2017-06-07,40.48556900024414
2017-06-08,40.43998718261719
2017-06-09,40.234867095947266
2017-06-12,40.28044509887695
2017-06-13,40.47798156738281
2017-06-14,40.47038269042969
2017-06-15,40.759071350097656
2017-06-16,40.75148010253906
2017-06-19,40.59953308105469
2017-06-20,40.60712432861328
2017-06-21,40.58433532714844
2017-06-22,40.348819732666016
2017-06-23,40.348819732666016
2017-06-26,40.675506591796875
2017-06-27,40.59953308105469
2017-06-28,40.37160873413086
2017-06-29,40.4247932434082
2017-06-30,40.28044509887695
2017-07-03,40.2652587890625
2017-07-05,40.12090301513672
2017-07-06,40.02214431762695
2017-07-07,40.3640251159668
2017-07-10,38.297576904296875
2017-07-11,38.5938606262207
2017-07-12,38.533077239990234
2017-07-13,38.22159194946289
2017-07-14,37.94049835205078
2017-07-17,37.65181350708008
2017-07-18,37.583431243896484
2017-07-19,37.5378532409668
2017-07-20,37.62902069091797
2017-07-21,38.26717758178711
2017-07-24,38.213993072509766
2017-07-25,38.22159194946289
2017-07-26,38.19881057739258
2017-07-27,38.289981842041016
2017-07-28,38.41152572631836
2017-07-31,38.55587387084961
2017-08-01,38.806583404541016
2017-08-02,38.829383850097656
2017-08-03,38.897762298583984
2017-08-04,38.973731994628906
2017-08-07,39.04209518432617
2017-08-08,39.1788444519043
2017-08-09,38.8217887878418
