,ZBH
2016-08-23,118.0743637084961
2016-08-24,116.28189849853516
2016-08-25,116.60946655273438
2016-08-26,117.8377914428711
2016-08-29,118.8204574584961
2016-08-30,118.16532135009766
2016-08-31,117.92877197265625
2016-09-01,116.78233337402344
2016-09-02,117.73771667480469
2016-09-06,118.2290267944336
2016-09-07,118.25634002685547
2016-09-08,118.28362274169922
2016-09-09,113.99809265136719
2016-09-12,115.14456939697266
2016-09-13,112.38764953613281
2016-09-14,112.28755950927734
2016-09-15,113.63417053222656
2016-09-16,113.09733581542969
2016-09-19,113.70697021484375
2016-09-20,113.54318237304688
2016-09-21,115.94989013671875
2016-09-22,117.48139953613281
2016-09-23,116.9891357421875
2016-09-26,115.6672592163086
2016-09-27,116.69740295410156
2016-09-28,117.2444076538086
2016-09-29,116.54244995117188
2016-09-30,118.52978515625
2016-10-03,118.40216827392578
2016-10-04,117.80958557128906
2016-10-05,119.012939453125
2016-10-06,119.23172760009766
2016-10-07,119.42317199707031
2016-10-10,121.0093765258789
2016-10-11,115.43025207519531
2016-10-12,115.8131332397461
2016-10-13,115.69466400146484
2016-10-14,115.91343688964844
2016-10-17,115.43025207519531
2016-10-18,117.69112396240234
2016-10-19,116.76123046875
2016-10-20,116.87974548339844
2016-10-21,116.2507095336914
2016-10-24,116.67921447753906
2016-10-25,114.49127960205078
2016-10-26,110.37982940673828
2016-10-27,110.29781341552734
2016-10-28,111.71993255615234
2016-10-31,96.08552551269531
2016-11-01,94.59044647216797
2016-11-02,93.00423431396484
2016-11-03,93.4782485961914
2016-11-04,93.90673065185547
2016-11-07,95.21949005126953
2016-11-08,92.83100128173828
2016-11-09,92.63958740234375
2016-11-10,91.78263092041016
2016-11-11,89.36682891845703
2016-11-14,89.33036041259766
2016-11-15,92.48460388183594
2016-11-16,91.96497344970703
2016-11-17,91.89205169677734
2016-11-18,91.74617767333984
2016-11-21,93.06803894042969
2016-11-22,91.90116119384766
2016-11-23,92.07434844970703
2016-11-25,93.31417846679688
2016-11-28,92.96778106689453
2016-11-29,94.26226806640625
2016-11-30,92.85839080810547
2016-12-01,90.97128295898438
2016-12-02,91.34505462646484
2016-12-05,92.46634674072266
2016-12-06,95.36534881591797
2016-12-07,95.19213104248047
2016-12-08,95.21949005126953
2016-12-09,95.92142486572266
2016-12-12,96.45928192138672
2016-12-13,97.2979965209961
2016-12-14,95.60235595703125
2016-12-15,93.57855224609375
2016-12-16,94.3534164428711
2016-12-19,93.7699966430664
2016-12-20,92.84923553466797
2016-12-21,92.67604064941406
2016-12-22,92.593994140625
2016-12-23,93.27771759033203
2016-12-27,94.0252456665039
2016-12-28,94.17145538330078
2016-12-29,94.573486328125
2016-12-30,94.29938507080078
2017-01-03,94.41816711425781
2017-01-04,95.28620910644531
2017-01-05,95.8984375
2017-01-06,95.90760803222656
2017-01-09,97.7716293334961
2017-01-10,103.86638641357422
2017-01-11,104.85322570800781
2017-01-12,104.56082153320312
2017-01-13,105.26441192626953
2017-01-17,105.49286651611328
2017-01-18,105.5111312866211
2017-01-19,104.6978988647461
2017-01-20,103.84808349609375
2017-01-23,104.31411743164062
2017-01-24,104.67960357666016
2017-01-25,105.94062042236328
2017-01-26,105.40148162841797
2017-01-27,106.87262725830078
2017-01-30,105.43803405761719
2017-01-31,108.1244888305664
2017-02-01,108.2889404296875
2017-02-02,107.47570037841797
2017-02-03,107.95084381103516
2017-02-06,107.12846374511719
2017-02-07,107.9234390258789
2017-02-08,107.04621887207031
2017-02-09,107.45744323730469
2017-02-10,107.21073150634766
2017-02-13,107.59449005126953
2017-02-14,107.07364654541016
2017-02-15,107.19242095947266
2017-02-16,106.28782653808594
2017-02-17,106.79039764404297
2017-02-21,107.06451416015625
2017-02-22,106.81778717041016
2017-02-23,106.34265899658203
2017-02-24,106.83607482910156
2017-02-27,106.87262725830078
2017-02-28,106.9822769165039
2017-03-01,108.63616943359375
2017-03-02,107.84120178222656
2017-03-03,108.07878112792969
2017-03-06,107.1102066040039
2017-03-07,106.9731216430664
2017-03-08,107.45744323730469
2017-03-09,108.90113067626953
2017-03-10,109.72354125976562
2017-03-13,109.45855712890625
2017-03-14,108.44427490234375
2017-03-15,109.33064270019531
2017-03-16,109.11132049560547
2017-03-17,111.17640686035156
2017-03-20,111.15811157226562
2017-03-21,110.5458984375
2017-03-22,110.91143035888672
2017-03-23,110.01593780517578
2017-03-24,110.25350952148438
2017-03-27,109.91543579101562
2017-03-28,110.7378158569336
2017-03-29,111.122314453125
2017-03-30,111.11319732666016
2017-03-31,111.79986572265625
2017-04-03,111.1040267944336
2017-04-04,110.57298278808594
2017-04-05,110.03282165527344
2017-04-06,110.05110931396484
2017-04-07,109.7581558227539
2017-04-10,109.89547729492188
2017-04-11,109.48345947265625
2017-04-12,109.10807800292969
2017-04-13,109.43769073486328
2017-04-17,110.93006896972656
2017-04-18,109.4743423461914
2017-04-19,110.10604858398438
2017-04-20,111.56180572509766
2017-04-21,110.9575424194336
2017-04-24,112.86193084716797
2017-04-25,113.97891235351562
2017-04-26,114.73883056640625
2017-04-27,108.12843322753906
2017-04-28,109.54754638671875
2017-05-01,110.61875915527344
2017-05-02,110.44482421875
