,MA
2016-12-09,99.68295288085938
2016-12-12,98.6041030883789
2016-12-13,98.64228820800781
2016-12-14,98.6041030883789
2016-12-15,99.62565612792969
2016-12-16,98.747314453125
2016-12-19,98.85234069824219
2016-12-20,99.80706787109375
2016-12-21,99.45378875732422
2016-12-22,99.58747863769531
2016-12-23,99.96937561035156
2016-12-27,100.0552749633789
2016-12-28,98.98601531982422
2016-12-29,99.0718994140625
2016-12-30,98.5754623413086
2017-01-03,100.61856842041016
2017-01-04,101.57331085205078
2017-01-05,102.35781860351562
2017-01-06,103.0944595336914
2017-01-09,102.89354705810547
2017-01-10,102.67350769042969
2017-01-11,103.14229583740234
2017-01-12,104.00332641601562
2017-01-13,103.9937515258789
2017-01-17,103.70675659179688
2017-01-18,103.95550537109375
2017-01-19,103.83113861083984
2017-01-20,105.19921875
2017-01-23,104.88348388671875
2017-01-24,105.16093444824219
2017-01-25,105.41925048828125
2017-01-26,104.64434051513672
2017-01-27,105.08441162109375
2017-01-30,104.5677719116211
2017-01-31,101.72638702392578
2017-02-01,100.45394897460938
2017-02-02,100.587890625
2017-02-03,101.96554565429688
2017-02-06,101.97511291503906
2017-02-07,101.98468017578125
2017-02-08,102.09951782226562
2017-02-09,102.65437316894531
2017-02-10,102.62567901611328
2017-02-13,103.59193420410156
2017-02-14,104.16596984863281
2017-02-15,104.9122085571289
2017-02-16,104.5677719116211
2017-02-17,104.68258666992188
2017-02-21,105.39055633544922
2017-02-22,104.70174407958984
2017-02-23,105.9454574584961
2017-02-24,106.19417572021484
2017-02-27,105.78279876708984
2017-02-28,105.67756652832031
2017-03-01,107.44749450683594
2017-03-02,106.5099105834961
2017-03-03,106.90216064453125
2017-03-06,106.53860473632812
2017-03-07,106.15589904785156
2017-03-08,106.175048828125
2017-03-09,105.9932861328125
2017-03-10,106.39509582519531
2017-03-13,106.70125579833984
2017-03-14,105.70626068115234
2017-03-15,107.1700210571289
2017-03-16,107.79188537597656
2017-03-17,107.94495391845703
2017-03-20,107.54312896728516
2017-03-21,105.91675567626953
2017-03-22,106.62469482421875
2017-03-23,106.76820373535156
2017-03-24,107.13175964355469
2017-03-27,107.09349060058594
2017-03-28,107.6005630493164
2017-03-29,107.20828247070312
2017-03-30,107.79188537597656
2017-03-31,107.6005630493164
2017-04-03,107.38050842285156
2017-04-04,107.23699951171875
2017-04-05,107.42871856689453
2017-04-06,107.77381134033203
2017-04-07,107.59165954589844
2017-04-10,107.6683578491211
2017-04-11,107.4670639038086
2017-04-12,106.85353088378906
2017-04-13,106.61393737792969
2017-04-17,108.00386047363281
2017-04-18,107.86007690429688
2017-04-19,107.63961029052734
2017-04-20,109.8443374633789
2017-04-21,109.53759002685547
2017-04-24,110.90837097167969
2017-04-25,111.320556640625
2017-04-26,111.35891723632812
2017-04-27,112.25038146972656
2017-04-28,111.5027084350586
2017-05-01,111.5506362915039
2017-05-02,113.22816467285156
2017-05-03,112.47089385986328
2017-05-04,113.03646087646484
2017-05-05,112.63382720947266
2017-05-08,111.78070068359375
2017-05-09,111.58897399902344
2017-05-10,111.81901550292969
2017-05-11,111.7040023803711
2017-05-12,112.2791519165039
2017-05-15,113.31443786621094
2017-05-16,113.58284759521484
2017-05-17,111.96282196044922
2017-05-18,111.42599487304688
2017-05-19,112.71053314208984
2017-05-22,114.07171630859375
2017-05-23,114.64684295654297
2017-05-24,115.70130157470703
2017-05-25,116.87078857421875
2017-05-26,116.5927734375
2017-05-30,116.61197662353516
2017-05-31,117.791015625
2017-06-01,118.28949737548828
2017-06-02,120.01495361328125
2017-06-05,120.68596649169922
2017-06-06,120.05329132080078
2017-06-07,120.00537109375
2017-06-08,119.5931625366211
2017-06-09,117.94438171386719
2017-06-12,115.75881958007812
2017-06-13,117.25421905517578
2017-06-14,117.42676544189453
2017-06-15,116.3915023803711
2017-06-16,116.90913391113281
2017-06-19,117.9923324584961
2017-06-20,117.83895111083984
2017-06-21,118.00190734863281
2017-06-22,118.19365692138672
2017-06-23,118.87422943115234
2017-06-26,118.40452575683594
2017-06-27,117.65682220458984
2017-06-28,119.64109802246094
2017-06-29,116.47777557373047
2017-06-30,116.42023468017578
2017-07-03,115.7779769897461
2017-07-05,117.14167022705078
2017-07-06,116.00846862792969
2017-07-07,117.3529281616211
2017-07-10,117.86192321777344
2017-07-11,119.30245208740234
2017-07-12,120.31077575683594
2017-07-13,120.49324035644531
2017-07-14,121.97216796875
2017-07-17,122.3755111694336
2017-07-18,122.66361236572266
2017-07-19,122.9613037109375
2017-07-20,123.37425231933594
2017-07-21,124.14253997802734
2017-07-24,124.38262176513672
2017-07-25,124.82434844970703
2017-07-26,125.79429626464844
2017-07-27,123.81600952148438
2017-07-28,122.83647918701172
2017-07-31,122.73079681396484
2017-08-01,124.35379791259766
2017-08-02,125.42935180664062
2017-08-03,124.73789978027344
2017-08-04,124.67068481445312
2017-08-07,125.20848083496094
2017-08-08,124.68989562988281
2017-08-09,124.57467651367188
2017-08-10,122.60597229003906
2017-08-11,123.45106506347656
2017-08-14,125.89031982421875
2017-08-15,126.36089324951172
2017-08-16,127.11956024169922
2017-08-17,125.68865203857422
2017-08-18,125.9383316040039
2017-08-21,126.70659637451172
2017-08-22,128.49285888671875
2017-08-23,127.79174041748047
2017-08-24,127.68614196777344
2017-08-25,127.48445129394531
2017-08-28,128.5408935546875
2017-08-29,128.53121948242188
2017-08-30,128.49285888671875
2017-08-31,128.01268005371094
2017-09-01,127.955078125
2017-09-05,127.39808654785156
2017-09-06,127.61895751953125
2017-09-07,131.1145477294922
2017-09-08,131.77713012695312
2017-09-11,136.35800170898438
2017-09-12,136.77093505859375
2017-09-13,134.54290771484375
2017-09-14,135.85862731933594
2017-09-15,135.96424865722656
2017-09-18,135.79139709472656
2017-09-19,136.83815002441406
2017-09-20,136.5980987548828
2017-09-21,136.09872436523438
2017-09-22,136.26194763183594
2017-09-25,133.07362365722656
2017-09-26,132.88156127929688
2017-09-27,134.12997436523438
2017-09-28,134.63894653320312
2017-09-29,135.59933471679688
2017-10-02,136.19468688964844
2017-10-03,137.3471221923828
2017-10-04,136.45404052734375
2017-10-05,138.2622528076172
2017-10-06,138.04103088378906
2017-10-09,139.03172302246094
2017-10-10,140.08969116210938
2017-10-11,141.24392700195312
2017-10-12,141.1380615234375
2017-10-13,141.7151641845703
2017-10-16,140.637939453125
2017-10-17,140.35902404785156
2017-10-18,140.6090850830078
2017-10-19,139.44532775878906
2017-10-20,139.83001708984375
2017-10-23,140.00314331054688
2017-10-24,140.23394775390625
2017-10-25,140.65719604492188
2017-10-26,140.99378967285156
2017-10-27,142.85015869140625
2017-10-30,143.26370239257812
2017-10-31,143.09060668945312
2017-11-01,143.20602416992188
2017-11-02,142.59046936035156
2017-11-03,143.59072875976562
2017-11-06,144.3601531982422
2017-11-07,144.24476623535156
2017-11-08,144.24476623535156
2017-11-09,143.59072875976562
2017-11-10,143.83120727539062
2017-11-13,143.97549438476562
2017-11-14,144.22555541992188
2017-11-15,142.6674346923828
2017-11-16,144.59104919433594
2017-11-17,143.33108520507812
2017-11-20,143.8504638671875
2017-11-21,146.68777465820312
2017-11-22,145.4759063720703
2017-11-24,146.90904235839844
2017-11-27,147.13026428222656
2017-11-28,148.30369567871094
2017-11-29,142.68663024902344
2017-11-30,144.72573852539062
2017-12-01,143.97549438476562
2017-12-04,137.95445251464844
2017-12-05,139.5895233154297
2017-12-06,141.7921142578125
2017-12-07,143.74462890625
2017-12-08,144.16781616210938
2017-12-11,145.12002563476562
2017-12-12,146.67819213867188
2017-12-13,145.89915466308594
2017-12-14,146.1299591064453
2017-12-15,147.54380798339844
2017-12-18,147.2744903564453
2017-12-19,145.88946533203125
2017-12-20,145.6682891845703
2017-12-21,144.78341674804688
2017-12-22,145.0911865234375
2017-12-26,145.5048065185547
2017-12-27,145.62013244628906
2017-12-28,145.97607421875
2017-12-29,145.58172607421875
2018-01-02,146.11074829101562
2018-01-03,147.9478302001953
2018-01-04,149.86183166503906
2018-01-05,152.96852111816406
2018-01-08,153.4309539794922
2018-01-09,153.65252685546875
2018-01-10,153.9993133544922
2018-01-11,155.02044677734375
2018-01-12,156.37875366210938
2018-01-16,156.34019470214844
2018-01-17,158.2958221435547
2018-01-18,159.4132537841797
2018-01-19,160.71376037597656
2018-01-22,162.11065673828125
2018-01-23,161.06056213378906
2018-01-24,160.8871612548828
2018-01-25,162.4092254638672
2018-01-26,164.09503173828125
2018-01-29,162.3707275390625
2018-01-30,161.06056213378906
2018-01-31,162.80419921875
2018-02-01,166.59011840820312
2018-02-02,164.29737854003906
2018-02-05,158.55587768554688
2018-02-06,163.073974609375
2018-02-07,162.5440673828125
2018-02-08,154.7314453125
2018-02-09,159.1435546875
2018-02-12,162.02392578125
2018-02-13,163.88316345214844
2018-02-14,166.19515991210938
2018-02-15,168.28558349609375
2018-02-16,169.21043395996094
2018-02-20,168.92141723632812
2018-02-21,166.0025177001953
2018-02-22,166.6094207763672
2018-02-23,169.31640625
2018-02-26,171.3490447998047
2018-02-27,169.48013305664062
2018-02-28,169.31640625
2018-03-01,167.12960815429688
2018-03-02,168.60350036621094
2018-03-05,171.9847869873047
2018-03-06,171.02145385742188
2018-03-07,172.63992309570312
2018-03-08,172.67843627929688
2018-03-09,176.52215576171875
2018-03-12,175.84783935546875
2018-03-13,174.37388610839844
2018-03-14,173.5165557861328
2018-03-15,174.31613159179688
2018-03-16,175.8574676513672
2018-03-19,173.9596710205078
2018-03-20,175.81890869140625
2018-03-21,174.12339782714844
2018-03-22,169.08518981933594
2018-03-23,165.53045654296875
2018-03-26,170.6746826171875
2018-03-27,166.19515991210938
2018-03-28,164.10470581054688
2018-03-29,168.7384033203125
2018-04-02,165.30894470214844
2018-04-03,166.14697265625
2018-04-04,167.32228088378906
2018-04-05,169.35491943359375
2018-04-06,163.7113494873047
2018-04-09,164.3287353515625
2018-04-10,168.55422973632812
2018-04-11,166.27749633789062
2018-04-12,168.6313934326172
2018-04-13,168.12010192871094
2018-04-16,167.7342071533203
2018-04-17,172.04644775390625
2018-04-18,173.126953125
2018-04-19,172.6928253173828
2018-04-20,170.83094787597656
2018-04-23,169.23916625976562
2018-04-24,167.12646484375
2018-04-25,166.38360595703125
2018-04-26,171.87281799316406
2018-04-27,169.73114013671875
2018-04-30,171.97894287109375
2018-05-01,173.88906860351562
2018-05-02,179.26251220703125
2018-05-03,179.89920043945312
2018-05-04,181.52957153320312
2018-05-07,182.42677307128906
2018-05-08,183.80628967285156
2018-05-09,183.90274047851562
2018-05-10,186.23731994628906
2018-05-11,186.52676391601562
2018-05-14,185.3401336669922
2018-05-15,185.2244110107422
2018-05-16,185.5909881591797
2018-05-17,184.45266723632812
2018-05-18,183.68087768554688
2018-05-21,184.45266723632812
2018-05-22,184.85781860351562
2018-05-23,186.17950439453125
2018-05-24,185.13755798339844
2018-05-25,184.4237060546875
2018-05-29,182.84152221679688
2018-05-30,184.99288940429688
2018-05-31,183.41073608398438
2018-06-01,188.47544860839844
2018-06-04,190.75218200683594
2018-06-05,192.3246612548828
2018-06-06,196.03878784179688
2018-06-07,192.49827575683594
2018-06-08,192.9806671142578
2018-06-11,191.48536682128906
2018-06-12,193.0674591064453
2018-06-13,192.3729248046875
2018-06-14,192.27642822265625
2018-06-15,192.48866271972656
2018-06-18,194.03219604492188
2018-06-19,192.6430206298828
2018-06-20,194.42771911621094
2018-06-21,193.69454956054688
2018-06-22,194.36985778808594
2018-06-25,188.09922790527344
2018-06-26,189.52699279785156
2018-06-27,186.36277770996094
2018-06-28,190.14442443847656
2018-06-29,189.58489990234375
2018-07-02,190.69427490234375
2018-07-03,189.36302185058594
2018-07-05,191.8519744873047
2018-07-06,192.7213134765625
2018-07-09,194.08323669433594
2018-07-10,194.65318298339844
2018-07-11,196.8940887451172
2018-07-12,200.69984436035156
2018-07-13,198.8935546875
2018-07-16,197.12591552734375
2018-07-17,199.3379364013672
2018-07-18,201.2600555419922
2018-07-19,199.03843688964844
2018-07-20,199.66632080078125
2018-07-23,200.75784301757812
2018-07-24,202.43850708007812
2018-07-25,206.86245727539062
2018-07-26,200.30380249023438
2018-07-27,196.0247344970703
2018-07-30,191.1275177001953
2018-07-31,191.2530975341797
2018-08-01,194.34408569335938
2018-08-02,195.12648010253906
2018-08-03,194.34408569335938
2018-08-06,194.67242431640625
2018-08-07,195.7156982421875
2018-08-08,195.94749450683594
2018-08-09,196.6622772216797
2018-08-10,195.74462890625
2018-08-13,195.41622924804688
2018-08-14,196.93275451660156
2018-08-15,193.416748046875
2018-08-16,196.6622772216797
2018-08-17,196.28553771972656
2018-08-20,197.7731170654297
2018-08-21,196.16966247558594
2018-08-22,197.34803771972656
2018-08-23,198.22705078125
2018-08-24,202.26463317871094
2018-08-27,204.3220672607422
2018-08-28,205.38458251953125
2018-08-29,207.25848388671875
2018-08-30,206.51470947265625
2018-08-31,208.2147216796875
2018-09-04,209.4318084716797
2018-09-05,203.96469116210938
2018-09-06,205.51983642578125
2018-09-07,203.89700317382812
2018-09-10,204.45729064941406
2018-09-11,206.1766357421875
2018-09-12,206.73692321777344
2018-09-13,209.81820678710938
2018-09-14,210.53294372558594
2018-09-17,209.09373474121094
2018-09-18,212.55174255371094
2018-09-19,210.75511169433594
2018-09-20,213.84609985351562
2018-09-21,214.3386993408203
2018-09-24,213.8074188232422
2018-09-25,214.55117797851562
2018-09-26,214.6864013671875
2018-09-27,214.73471069335938
2018-09-28,215.0244903564453
2018-10-01,216.1449737548828
2018-10-02,214.79270935058594
2018-10-03,215.52674865722656
2018-10-04,208.7845916748047
2018-10-05,206.23162841796875
2018-10-08,201.3964080810547
2018-10-09,202.84698486328125
2018-10-10,190.20770263671875
2018-10-11,188.09954833984375
2018-10-12,197.48959350585938
2018-10-15,193.7180938720703
2018-10-16,200.93223571777344
2018-10-17,200.54541015625
2018-10-18,196.90933227539062
2018-10-19,196.36781311035156
2018-10-22,197.76036071777344
2018-10-23,195.758544921875
2018-10-24,189.2406463623047
2018-10-25,197.47019958496094
