,SRE
2015-04-15,40.062984466552734
2015-04-16,39.70869827270508
2015-04-17,39.36549377441406
2015-04-20,40.026084899902344
2015-04-21,39.638607025146484
2015-04-22,39.771427154541016
2015-04-23,40.062984466552734
2015-04-24,40.41357421875
2015-04-27,40.0150032043457
2015-04-28,40.21797180175781
2015-04-29,39.72346115112305
2015-04-30,39.180973052978516
2015-05-01,39.41346740722656
2015-05-04,39.786197662353516
2015-05-05,38.50194549560547
2015-05-06,38.092315673828125
2015-05-07,38.30266571044922
2015-05-08,39.06657028198242
2015-05-11,38.7454948425293
2015-05-12,38.889434814453125
2015-05-13,38.47611618041992
2015-05-14,38.91157531738281
2015-05-15,39.43561935424805
2015-05-18,39.64227294921875
2015-05-19,39.78989028930664
2015-05-20,39.76405715942383
2015-05-21,39.74192428588867
2015-05-22,39.70869827270508
2015-05-26,39.52049255371094
2015-05-27,39.63489532470703
2015-05-28,39.84894943237305
2015-05-29,39.66072082519531
2015-06-01,39.70501708984375
2015-06-02,39.22895812988281
2015-06-03,38.6606330871582
2015-06-04,38.49087142944336
2015-06-05,38.332183837890625
2015-06-08,38.02587127685547
2015-06-09,38.029571533203125
2015-06-10,38.132904052734375
2015-06-11,38.39492416381836
2015-06-12,37.959449768066406
2015-06-15,37.859806060791016
2015-06-16,37.937313079833984
2015-06-17,38.51670455932617
2015-06-18,38.631103515625
2015-06-19,38.369083404541016
2015-06-22,38.31372833251953
2015-06-23,37.84136199951172
2015-06-24,37.269344329833984
2015-06-25,36.9386100769043
2015-06-26,36.95347595214844
2015-06-29,36.89401626586914
2015-06-30,36.76766586303711
2015-07-01,36.73050308227539
2015-07-02,37.302799224853516
2015-07-06,37.12813186645508
2015-07-07,37.607513427734375
2015-07-08,37.696712493896484
2015-07-09,37.20988845825195
2015-07-10,37.570369720458984
2015-07-13,37.81190490722656
2015-07-14,37.897377014160156
2015-07-15,38.10549545288086
2015-07-16,38.61088943481445
2015-07-17,38.05345153808594
2015-07-20,37.91224670410156
2015-07-21,37.417999267578125
2015-07-22,37.518333435058594
2015-07-23,37.050106048583984
2015-07-24,37.020362854003906
2015-07-27,37.291648864746094
2015-07-28,37.299072265625
2015-07-29,37.38083267211914
2015-07-30,37.481170654296875
2015-07-31,37.823062896728516
2015-08-03,38.18352127075195
2015-08-04,37.1467170715332
2015-08-05,37.417999267578125
2015-08-06,37.25077438354492
2015-08-07,37.8453483581543
2015-08-10,38.034889221191406
2015-08-11,38.220680236816406
2015-08-12,39.142295837402344
2015-08-13,39.04938507080078
2015-08-14,39.43958282470703
2015-08-17,39.53248977661133
