,EOG
2019-10-03,55.63680648803711
2019-10-04,55.69962692260742
2019-10-07,54.78858184814453
2019-10-08,53.979637145996094
2019-10-09,53.86966323852539
2019-10-10,54.120994567871094
2019-10-11,54.38804626464844
2019-10-14,53.55552291870117
2019-10-15,54.38804626464844
2019-10-16,53.771305084228516
2019-10-17,52.659271240234375
2019-10-18,50.82167434692383
2019-10-21,53.36119842529297
2019-10-22,54.867530822753906
2019-10-23,56.736698150634766
2019-10-24,56.76034164428711
2019-10-25,57.162559509277344
2019-10-28,56.0347785949707
2019-10-29,56.634159088134766
2019-10-30,54.906982421875
2019-10-31,54.66249465942383
2019-11-01,56.1136360168457
2019-11-04,58.116859436035156
2019-11-05,58.36922836303711
2019-11-06,56.32658004760742
2019-11-07,58.94496154785156
2019-11-08,58.91341018676758
2019-11-11,58.21938705444336
2019-11-12,57.80139923095703
2019-11-13,57.265098571777344
2019-11-14,57.06004333496094
2019-11-15,57.95124053955078
2019-11-18,56.200408935546875
2019-11-19,55.52213668823242
2019-11-20,56.831336975097656
2019-11-21,57.82503890991211
2019-11-22,57.56476974487305
2019-11-25,57.982765197753906
2019-11-26,56.71302795410156
2019-11-27,57.06004333496094
2019-11-29,55.91647720336914
2019-12-02,55.82971954345703
2019-12-03,54.24449920654297
2019-12-04,56.823421478271484
2019-12-05,55.671993255615234
2019-12-06,58.329803466796875
2019-12-09,58.76355743408203
2019-12-10,59.02382278442383
2019-12-11,58.88975524902344
2019-12-12,60.498634338378906
2019-12-13,59.53645324707031
2019-12-16,61.445030212402344
2019-12-17,62.15484619140625
2019-12-18,63.558658599853516
2019-12-19,64.07915496826172
2019-12-20,65.1911849975586
2019-12-23,65.759033203125
2019-12-24,66.09814453125
2019-12-26,65.97196197509766
2019-12-27,65.56977081298828
2019-12-30,64.9782485961914
2019-12-31,66.05872344970703
2020-01-02,66.35842895507812
2020-01-03,67.0287857055664
2020-01-06,69.74968719482422
2020-01-07,70.42007446289062
2020-01-08,68.88214874267578
2020-01-09,69.5998306274414
2020-01-10,68.03829193115234
2020-01-13,67.44677734375
2020-01-14,68.08560943603516
2020-01-15,68.40896606445312
2020-01-16,68.85840606689453
2020-01-17,67.50528717041016
2020-01-21,66.50035095214844
2020-01-22,65.74862670898438
2020-01-23,64.75159454345703
2020-01-24,63.184818267822266
2020-01-27,60.644771575927734
2020-01-28,60.96921920776367
2020-01-29,59.457847595214844
2020-01-30,59.99592590332031
2020-01-31,57.69325637817383
2020-02-03,56.474666595458984
2020-02-04,58.255062103271484
2020-02-05,60.96921920776367
2020-02-06,60.035499572753906
2020-02-07,58.83271408081055
2020-02-10,58.31837463378906
2020-02-11,59.18088912963867
2020-02-12,59.647743225097656
2020-02-13,59.8851432800293
2020-02-14,59.28375244140625
2020-02-18,58.97515106201172
2020-02-19,61.15121841430664
2020-02-20,60.130435943603516
2020-02-21,58.72193908691406
2020-02-24,55.319358825683594
2020-02-25,53.00879669189453
2020-02-26,50.00979232788086
2020-02-27,47.47764205932617
2020-02-28,50.0572624206543
2020-03-02,49.740745544433594
2020-03-03,49.400489807128906
2020-03-04,50.70612335205078
2020-03-05,48.957366943359375
2020-03-06,43.7585563659668
2020-03-09,29.75266456604004
2020-03-10,32.91783905029297
2020-03-11,30.749683380126953
2020-03-12,25.71705436706543
2020-03-13,27.537038803100586
2020-03-16,24.60924530029297
2020-03-17,24.44307518005371
2020-03-18,23.548917770385742
2020-03-19,26.28679084777832
2020-03-20,27.608245849609375
2020-03-23,27.331300735473633
2020-03-24,31.493505477905273
2020-03-25,31.40645408630371
2020-03-26,31.27985191345215
2020-03-27,28.48658561706543
2020-03-30,27.679466247558594
2020-03-31,28.423282623291016
2020-04-01,27.378765106201172
2020-04-02,30.306560516357422
2020-04-03,31.564720153808594
2020-04-06,31.200727462768555
2020-04-07,32.70418167114258
2020-04-08,35.83771514892578
2020-04-09,35.46579360961914
2020-04-13,34.2551155090332
2020-04-14,33.416351318359375
2020-04-15,31.847524642944336
2020-04-16,29.156972885131836
2020-04-17,33.40437316894531
2020-04-20,32.86945724487305
2020-04-21,32.33454132080078
2020-04-22,34.450260162353516
2020-04-23,35.304527282714844
2020-04-24,34.6179084777832
2020-04-27,35.56000900268555
2020-04-28,35.91130447387695
2020-04-29,38.0988655090332
2020-04-30,37.93121337890625
2020-05-01,35.583961486816406
2020-05-04,37.31645202636719
2020-05-05,36.765567779541016
2020-05-06,36.597904205322266
2020-05-07,38.569915771484375
2020-05-08,41.076839447021484
2020-05-11,39.79144287109375
2020-05-12,39.69563293457031
2020-05-13,38.48210525512695
2020-05-14,37.971126556396484
2020-05-15,38.06694412231445
2020-05-18,41.86724090576172
2020-05-19,40.44611740112305
2020-05-20,42.03490447998047
2020-05-21,41.77143859863281
2020-05-22,41.7394905090332
2020-05-26,41.068851470947266
2020-05-27,42.09877395629883
2020-05-28,41.22853469848633
2020-05-29,40.69361877441406
2020-06-01,41.364261627197266
2020-06-02,43.75940704345703
2020-06-03,44.20650863647461
2020-06-04,44.030860900878906
2020-06-05,47.35213851928711
2020-06-08,49.58760452270508
2020-06-09,47.47987365722656
2020-06-10,44.41408157348633
2020-06-11,40.83732223510742
2020-06-12,41.971031188964844
2020-06-15,41.683616638183594
2020-06-16,43.59175491333008
2020-06-17,41.8991813659668
2020-06-18,42.25844955444336
2020-06-19,41.755462646484375
2020-06-22,41.851280212402344
2020-06-23,41.883209228515625
2020-06-24,39.08088302612305
2020-06-25,40.50200271606445
2020-06-26,38.92918014526367
2020-06-29,39.63975143432617
2020-06-30,40.44611740112305
2020-07-01,39.807403564453125
2020-07-02,40.334346771240234
2020-07-06,40.24652099609375
2020-07-07,38.41024398803711
2020-07-08,37.87531661987305
2020-07-09,35.40033721923828
2020-07-10,36.24662399291992
2020-07-13,35.88734436035156
2020-07-14,37.74757766723633
2020-07-15,37.89128494262695
2020-07-16,38.4827766418457
2020-07-17,37.95164108276367
2020-07-20,38.38621139526367
2020-07-21,40.575096130371094
2020-07-22,40.3900146484375
2020-07-23,39.3116569519043
2020-07-24,39.464569091796875
2020-07-27,39.078285217285156
2020-07-28,38.040157318115234
2020-07-29,39.029998779296875
2020-07-30,37.48488998413086
2020-07-31,37.70217514038086
2020-08-03,37.315895080566406
2020-08-04,38.9978141784668
2020-08-05,40.84067153930664
2020-08-06,40.95332336425781
2020-08-07,39.27947235107422
2020-08-10,40.6072883605957
2020-08-11,39.770355224609375
2020-08-12,39.50479507446289
2020-08-13,38.1608772277832
2020-08-14,38.60348129272461
2020-08-17,37.452701568603516
2020-08-18,37.299800872802734
2020-08-19,36.70429611206055
2020-08-20,35.489139556884766
2020-08-21,34.91775894165039
2020-08-24,35.674232482910156
2020-08-25,35.71446228027344
2020-08-26,34.813148498535156
2020-08-27,36.17316818237305
2020-08-28,37.18714141845703
2020-08-31,36.48700714111328
2020-09-01,36.38239288330078
2020-09-02,35.167240142822266
2020-09-03,34.70853042602539
2020-09-04,34.716590881347656
2020-09-08,32.85762405395508
2020-09-09,33.68650436401367
2020-09-10,30.580198287963867
2020-09-11,31.425186157226562
2020-09-14,31.521751403808594
2020-09-15,31.05500030517578
2020-09-16,32.881771087646484
2020-09-17,33.147335052490234
2020-09-18,32.76105499267578
2020-09-21,31.232053756713867
2020-09-22,30.942340850830078
2020-09-23,29.276521682739258
2020-09-24,29.493804931640625
2020-09-25,30.137601852416992
2020-09-28,30.12954330444336
2020-09-29,29.123628616333008
2020-09-30,28.92243766784668
