,TSN
2018-10-08,53.44005584716797
2018-10-09,53.06003952026367
2018-10-10,51.74261474609375
2018-10-11,50.86433410644531
2018-10-12,50.91499710083008
2018-10-15,51.59904098510742
2018-10-16,52.38443374633789
2018-10-17,52.333763122558594
2018-10-18,52.705345153808594
2018-10-19,52.722232818603516
2018-10-22,52.215538024902344
2018-10-23,52.48577117919922
2018-10-24,52.114192962646484
2018-10-25,52.08885955810547
2018-10-26,51.067012786865234
2018-10-29,51.987510681152344
2018-10-30,52.44356155395508
2018-10-31,50.6025276184082
2018-11-01,52.663116455078125
2018-11-02,51.987510681152344
2018-11-05,52.39288330078125
2018-11-06,52.37599182128906
2018-11-07,52.39288330078125
2018-11-08,51.93684387207031
2018-11-09,52.426658630371094
2018-11-12,52.029747009277344
2018-11-13,49.12464904785156
2018-11-14,49.622920989990234
2018-11-15,49.850921630859375
2018-11-16,50.85588836669922
2018-11-19,50.18027877807617
2018-11-20,49.673580169677734
2018-11-21,49.74958801269531
2018-11-23,49.73270034790039
2018-11-26,50.21405792236328
2018-11-27,49.26821517944336
2018-11-28,48.12815475463867
2018-11-29,49.067501068115234
2018-11-30,50.113121032714844
2018-12-03,51.23524856567383
2018-12-04,49.50955581665039
2018-12-06,49.22052001953125
2018-12-07,47.78386306762695
2018-12-10,47.10377883911133
2018-12-11,47.4353141784668
2018-12-12,47.33331298828125
2018-12-13,47.67334747314453
2018-12-14,47.01027297973633
2018-12-17,45.4546012878418
2018-12-18,44.52798843383789
2018-12-19,44.77450942993164
2018-12-20,45.344085693359375
2018-12-21,43.975433349609375
2018-12-24,43.14234161376953
2018-12-26,44.25596237182617
2018-12-27,44.62150955200195
2018-12-28,44.49398422241211
2018-12-31,45.39508819580078
2019-01-02,45.35258102416992
2019-01-03,46.321693420410156
2019-01-04,46.89126968383789
2019-01-07,47.64783477783203
2019-01-08,48.92298126220703
2019-01-09,48.07289123535156
2019-01-10,48.93148422241211
2019-01-11,49.161014556884766
2019-01-14,49.11000061035156
2019-01-15,49.80708312988281
2019-01-16,49.73057174682617
2019-01-17,50.487159729003906
2019-01-18,51.821815490722656
2019-01-22,51.06522750854492
2019-01-23,51.43077087402344
2019-01-24,51.08222961425781
2019-01-25,51.617794036865234
2019-01-28,52.535892486572266
2019-01-29,52.51888656616211
2019-01-30,52.84192657470703
2019-01-31,52.63790512084961
2019-02-01,52.63790512084961
2019-02-04,52.51888656616211
2019-02-05,52.442378997802734
2019-02-06,51.77080535888672
2019-02-07,51.107730865478516
2019-02-08,50.40214920043945
2019-02-11,50.52116012573242
2019-02-12,52.17884826660156
2019-02-13,51.592281341552734
2019-02-14,52.008827209472656
2019-02-15,53.22446823120117
2019-02-19,53.50499725341797
2019-02-20,54.066062927246094
2019-02-21,53.60700988769531
2019-02-22,53.82802963256836
2019-02-25,52.977935791015625
2019-02-26,52.51038360595703
2019-02-27,52.40837478637695
2019-02-28,52.73766326904297
2019-03-01,53.19096374511719
2019-03-04,53.2508430480957
2019-03-05,54.71339416503906
2019-03-06,54.34563064575195
2019-03-07,54.83314514160156
2019-03-08,53.69559860229492
2019-03-11,54.9272346496582
2019-03-12,54.57655334472656
2019-03-13,55.115394592285156
2019-03-14,55.49172592163086
2019-03-15,55.782527923583984
2019-03-18,55.876609802246094
2019-03-19,56.25294494628906
2019-03-20,55.49172592163086
2019-03-21,56.894405364990234
2019-03-22,56.97139358520508
2019-03-25,57.698387145996094
2019-03-26,58.03195571899414
2019-03-27,58.160247802734375
2019-03-28,58.92148208618164
2019-03-29,59.38333511352539
2019-04-01,59.614261627197266
2019-04-02,59.2379264831543
2019-04-03,58.95568084716797
2019-04-04,59.89651107788086
2019-04-05,59.699790954589844
2019-04-08,60.24717712402344
2019-04-09,59.503074645996094
2019-04-10,60.42678451538086
2019-04-11,60.871543884277344
2019-04-12,60.58930206298828
2019-04-15,61.07682800292969
2019-04-16,61.63277053833008
2019-04-17,62.67621612548828
2019-04-18,62.8558464050293
2019-04-22,62.30845642089844
2019-04-23,63.676918029785156
2019-04-24,63.08678436279297
2019-04-25,62.9670295715332
2019-04-26,63.42890167236328
2019-04-29,63.463104248046875
2019-04-30,64.15587615966797
2019-05-01,63.97629165649414
2019-05-02,64.24996948242188
2019-05-03,64.22431182861328
2019-05-06,65.90069580078125
2019-05-07,65.7296371459961
2019-05-08,66.27702331542969
2019-05-09,66.66191864013672
2019-05-10,68.26131439208984
2019-05-13,68.05606079101562
2019-05-14,69.76667022705078
2019-05-15,70.3396987915039
2019-05-16,70.6476058959961
2019-05-17,70.55352783203125
2019-05-20,70.02323913574219
2019-05-21,68.94556427001953
2019-05-22,69.50149536132812
2019-05-23,69.8863754272461
2019-05-24,69.67255401611328
2019-05-28,68.68897247314453
2019-05-29,65.24214172363281
2019-05-30,65.95982360839844
2019-05-31,65.22921752929688
2019-06-03,67.09439086914062
2019-06-04,68.18598937988281
2019-06-05,69.28617858886719
2019-06-06,70.30902099609375
2019-06-07,70.86770629882812
2019-06-10,70.90209197998047
2019-06-11,70.74736785888672
2019-06-12,70.38636016845703
2019-06-13,70.93647003173828
2019-06-14,70.4035415649414
2019-06-17,67.49838256835938
2019-06-18,66.3380126953125
2019-06-19,66.83655548095703
2019-06-20,67.58432006835938
2019-06-21,68.151611328125
2019-06-24,69.4666748046875
2019-06-25,68.73609161376953
2019-06-26,68.34929656982422
2019-06-27,68.4610366821289
2019-06-28,69.39791107177734
2019-07-01,69.5870132446289
2019-07-02,69.86205291748047
2019-07-03,70.61843872070312
2019-07-05,71.02239990234375
2019-07-08,70.41215515136719
2019-07-09,70.60984802246094
2019-07-10,70.5066909790039
2019-07-11,69.9909896850586
2019-07-12,69.947998046875
2019-07-15,70.26602935791016
2019-07-16,68.01407623291016
2019-07-17,68.022705078125
2019-07-18,69.5870132446289
2019-07-19,69.4494857788086
2019-07-22,69.90504455566406
2019-07-23,70.5066909790039
2019-07-24,69.65577697753906
2019-07-25,70.19725799560547
2019-07-26,69.60420227050781
2019-07-29,69.8362808227539
2019-07-30,69.90504455566406
2019-07-31,68.33210754394531
2019-08-01,69.0970687866211
2019-08-02,68.55557250976562
2019-08-05,72.05384826660156
2019-08-06,73.07667541503906
2019-08-07,74.09949493408203
2019-08-08,76.2397232055664
2019-08-09,75.95608520507812
2019-08-12,75.87012481689453
2019-08-13,75.48332977294922
2019-08-14,73.71273803710938
2019-08-15,75.51771545410156
2019-08-16,75.38018798828125
2019-08-19,75.18250274658203
2019-08-20,75.84432220458984
2019-08-21,77.17660522460938
2019-08-22,78.78388977050781
2019-08-23,77.29693603515625
2019-08-26,78.59483337402344
2019-08-27,77.3313217163086
2019-08-28,77.85563659667969
2019-08-29,79.16322326660156
2019-08-30,80.3025131225586
2019-09-03,80.51827239990234
2019-09-04,74.278076171875
2019-09-05,73.58760070800781
2019-09-06,74.26081848144531
2019-09-09,72.12035369873047
2019-09-10,70.30785369873047
2019-09-11,71.05010986328125
2019-09-12,72.04266357421875
2019-09-13,73.50992584228516
2019-09-16,74.51976013183594
2019-09-17,76.71202087402344
2019-09-18,76.18553924560547
2019-09-19,76.09921264648438
2019-09-20,75.42601013183594
2019-09-23,74.04505157470703
2019-09-24,74.46797180175781
2019-09-25,74.20039367675781
2019-09-26,74.62332916259766
2019-09-27,73.53581237792969
2019-09-30,74.34713745117188
2019-10-01,71.91320037841797
2019-10-02,71.09326171875
2019-10-03,70.8602294921875
2019-10-04,70.98970031738281
