,PNW
2014-07-25,37.3049201965332
2014-07-28,37.84172821044922
2014-07-29,37.397701263427734
2014-07-30,36.72018814086914
2014-07-31,35.80972671508789
2014-08-01,36.13106155395508
2014-08-04,35.72938537597656
2014-08-05,35.387962341308594
2014-08-06,34.926021575927734
2014-08-07,35.19382095336914
2014-08-08,35.91683578491211
2014-08-11,35.72938537597656
2014-08-12,35.67582702636719
2014-08-13,35.75616455078125
2014-08-14,36.38546371459961
2014-08-15,36.49928283691406
2014-08-18,36.365386962890625
2014-08-19,36.7938346862793
2014-08-20,36.86748123168945
2014-08-21,37.10179901123047
2014-08-22,37.32942199707031
2014-08-25,37.757877349853516
2014-08-26,37.19551467895508
2014-08-27,37.9051513671875
2014-08-28,37.87838363647461
2014-08-29,38.126075744628906
2014-09-02,37.59050750732422
2014-09-03,37.70431137084961
2014-09-04,37.53025436401367
2014-09-05,38.02565383911133
2014-09-08,38.06582260131836
2014-09-09,37.644065856933594
2014-09-10,37.65076446533203
2014-09-11,38.30014419555664
2014-09-12,37.89846420288086
2014-09-15,37.99217987060547
2014-09-16,38.38716506958008
2014-09-17,38.34030532836914
2014-09-18,37.65076446533203
2014-09-19,37.83151626586914
2014-09-22,37.63737869262695
2014-09-23,37.47001647949219
2014-09-24,37.2222900390625
2014-09-25,36.82061767578125
2014-09-26,36.81393051147461
2014-09-29,36.733585357666016
2014-09-30,36.579612731933594
2014-10-01,36.69342041015625
2014-10-02,36.787139892578125
2014-10-03,37.175437927246094
2014-10-06,37.13526153564453
2014-10-07,37.108497619628906
2014-10-08,38.13277053833008
2014-10-09,37.47001647949219
2014-10-10,37.864986419677734
2014-10-13,38.22649002075195
2014-10-14,38.775455474853516
2014-10-15,38.413944244384766
2014-10-16,38.21980667114258
2014-10-17,38.64156723022461
2014-10-20,39.16374206542969
2014-10-21,39.177146911621094
2014-10-22,39.317718505859375
2014-10-23,39.5654296875
2014-10-24,39.61228561401367
2014-10-27,39.9068603515625
2014-10-28,40.01397705078125
2014-10-29,40.00728225708008
2014-10-30,40.92353057861328
2014-10-31,41.56591796875
2014-11-03,42.09334945678711
2014-11-04,41.69438552856445
2014-11-05,42.5261116027832
2014-11-06,41.782291412353516
2014-11-07,42.26240921020508
2014-11-10,42.47201919555664
2014-11-11,42.47878646850586
2014-11-12,41.789058685302734
2014-11-13,41.40361785888672
2014-11-14,41.10609436035156
2014-11-17,41.80258560180664
2014-11-18,42.086585998535156
2014-11-19,41.978397369384766
2014-11-20,41.8904914855957
2014-11-21,42.39763259887695
2014-11-24,41.937808990478516
2014-11-25,42.025718688964844
2014-11-26,42.17448806762695
2014-11-28,42.756019592285156
2014-12-01,43.00620651245117
2014-12-02,43.844703674316406
2014-12-03,44.17604064941406
2014-12-04,44.53443145751953
2014-12-05,44.56147003173828
2014-12-08,44.77785873413086
2014-12-09,44.62233352661133
2014-12-10,44.13545608520508
2014-12-11,44.54117965698242
2014-12-12,44.29098892211914
2014-12-15,43.641849517822266
2014-12-16,43.58775329589844
2014-12-17,44.62233352661133
2014-12-18,45.50137710571289
2014-12-19,45.569000244140625
2014-12-22,45.9747314453125
2014-12-23,46.10321044921875
2014-12-24,47.056636810302734
2014-12-26,47.34065246582031
2014-12-29,47.759891510009766
2014-12-30,46.92817306518555
2014-12-31,46.19111633300781
2015-01-02,46.41425323486328
2015-01-05,46.10321044921875
2015-01-06,46.25872039794922
2015-01-07,47.33388137817383
2015-01-08,47.415035247802734
2015-01-09,46.71854019165039
2015-01-12,46.71179962158203
2015-01-13,46.8132209777832
2015-01-14,47.313594818115234
2015-01-15,47.73960876464844
2015-01-16,48.294090270996094
2015-01-20,48.659244537353516
2015-01-21,48.997337341308594
2015-01-22,49.00409698486328
2015-01-23,48.862098693847656
2015-01-26,48.82828140258789
2015-01-27,48.74714660644531
2015-01-28,48.22646713256836
2015-01-29,48.71400833129883
2015-01-30,47.854835510253906
2015-02-02,47.902565002441406
2015-02-03,48.045772552490234
2015-02-04,47.59571838378906
2015-02-05,47.6093635559082
2015-02-06,45.54324722290039
2015-02-09,45.34549331665039
2015-02-10,46.095577239990234
2015-02-11,45.70008087158203
2015-02-12,45.64552307128906
2015-02-13,44.41129684448242
2015-02-17,44.30220031738281
2015-02-18,45.46142578125
2015-02-19,44.88863754272461
2015-02-20,44.847721099853516
2015-02-23,45.02500915527344
2015-02-24,45.04546356201172
2015-02-25,44.199928283691406
2015-02-26,43.91353225708008
2015-02-27,43.6953239440918
2015-03-02,42.86342239379883
2015-03-03,43.340755462646484
2015-03-04,43.00661849975586
2015-03-05,43.32028579711914
2015-03-06,42.256534576416016
2015-03-09,42.345191955566406
2015-03-10,42.454280853271484
2015-03-11,42.140625
2015-03-12,42.95888137817383
2015-03-13,42.33155059814453
2015-03-16,43.12936019897461
2015-03-17,43.18390655517578
2015-03-18,44.23402404785156
2015-03-19,43.63395690917969
2015-03-20,44.13856506347656
2015-03-23,44.199928283691406
2015-03-24,43.57258987426758
2015-03-25,42.99297332763672
2015-03-26,42.65885925292969
2015-03-27,42.99297332763672
2015-03-30,43.504390716552734
2015-03-31,43.470306396484375
2015-04-01,43.66804885864258
2015-04-02,43.4089241027832
2015-04-06,43.92716979980469
2015-04-07,43.09526824951172
2015-04-08,43.04071044921875
2015-04-09,42.69295120239258
2015-04-10,43.490760803222656
2015-04-13,42.74068069458008
2015-04-14,43.19072723388672
2015-04-15,42.98616409301758
2015-04-16,42.761146545410156
2015-04-17,42.720218658447266
2015-04-20,43.23163986206055
2015-04-21,42.897525787353516
2015-04-22,42.89069747924805
2015-04-23,43.26573181152344
2015-04-24,43.470306396484375
2015-04-27,42.94524383544922
2015-04-28,43.245277404785156
2015-04-29,42.829322814941406
2015-04-30,42.1306037902832
2015-05-01,41.63495635986328
2015-05-04,42.04798126220703
2015-05-05,41.042911529541016
2015-05-06,40.89145278930664
2015-05-07,41.12553024291992
2015-05-08,41.2081298828125
2015-05-11,40.946533203125
2015-05-12,40.98094940185547
2015-05-13,40.34074020385742
2015-05-14,40.87770080566406
2015-05-15,41.27695846557617
2015-05-18,41.69002151489258
2015-05-19,41.84146499633789
2015-05-20,41.96538162231445
2015-05-21,42.05488204956055
2015-05-22,41.97915267944336
2015-05-26,41.69689178466797
2015-05-27,42.096168518066406
2015-05-28,42.11682891845703
2015-05-29,41.93782424926758
2015-06-01,41.93096160888672
2015-06-02,41.063568115234375
2015-06-03,40.40269470214844
2015-06-04,40.251243591308594
2015-06-05,39.67298889160156
2015-06-08,39.363189697265625
2015-06-09,39.170440673828125
2015-06-10,39.30124282836914
2015-06-11,39.80377960205078
2015-06-12,39.23927307128906
2015-06-15,38.99833679199219
2015-06-16,39.21174240112305
2015-06-17,39.445796966552734
2015-06-18,39.968990325927734
2015-06-19,40.02407455444336
2015-06-22,39.968990325927734
2015-06-23,39.40449905395508
2015-06-24,38.90884780883789
2015-06-25,38.764278411865234
2015-06-26,39.16355514526367
