,UPS
2020-03-03,77.5821762084961
2020-03-04,81.42303466796875
2020-03-05,79.01823425292969
2020-03-06,79.87650299072266
2020-03-09,74.08120727539062
2020-03-10,78.87379455566406
2020-03-11,74.7695083618164
2020-03-12,73.2229232788086
2020-03-13,80.07193756103516
2020-03-16,73.9792251586914
2020-03-17,82.24729919433594
2020-03-18,84.34616088867188
2020-03-19,81.78841400146484
2020-03-20,79.41763305664062
2020-03-23,78.09201049804688
2020-03-24,80.94718170166016
2020-03-25,80.3013687133789
2020-03-26,84.78804779052734
2020-03-27,82.86759948730469
2020-03-30,83.13951110839844
2020-03-31,79.38362884521484
2020-04-01,76.80887603759766
2020-04-02,79.06072998046875
2020-04-03,76.47748565673828
2020-04-06,81.30406951904297
2020-04-07,78.95026397705078
2020-04-08,83.94680786132812
2020-04-09,83.86181640625
2020-04-13,83.63237762451172
2020-04-14,86.16463470458984
2020-04-15,84.9070053100586
2020-04-16,86.86143493652344
2020-04-17,87.31180572509766
2020-04-20,85.99468994140625
2020-04-21,85.50184631347656
2020-04-22,82.944091796875
2020-04-23,84.50762176513672
2020-04-24,85.12794494628906
2020-04-27,87.14185333251953
2020-04-28,81.94139099121094
2020-04-29,81.6694564819336
2020-04-30,80.43732452392578
2020-05-01,78.09201049804688
2020-05-04,76.85137939453125
2020-05-05,78.78031158447266
2020-05-06,78.96725463867188
2020-05-07,78.88228607177734
2020-05-08,80.581787109375
2020-05-11,79.80004119873047
2020-05-12,78.8992691040039
2020-05-13,77.1063003540039
2020-05-14,77.9135971069336
2020-05-15,77.35272216796875
2020-05-18,81.66096496582031
2020-05-19,81.94139099121094
2020-05-20,82.57870483398438
2020-05-21,82.68916320800781
2020-05-22,83.0498046875
2020-05-26,83.35033416748047
2020-05-27,85.53992462158203
2020-05-28,85.62577056884766
2020-05-29,85.6172103881836
2020-06-01,85.24797058105469
2020-06-02,86.870849609375
2020-06-03,89.0003433227539
2020-06-04,88.61392974853516
2020-06-05,91.57632446289062
2020-06-08,94.8392333984375
2020-06-09,92.58953857421875
2020-06-10,91.55912780761719
2020-06-11,86.2697982788086
2020-06-12,87.13702392578125
2020-06-15,90.70906829833984
2020-06-16,90.8722152709961
2020-06-17,91.86827087402344
2020-06-18,92.37489318847656
2020-06-19,92.53801727294922
2020-06-22,91.79098510742188
2020-06-23,94.97663116455078
2020-06-24,94.02349853515625
2020-06-25,94.89935302734375
2020-06-26,92.15161895751953
2020-06-29,94.00633239746094
2020-06-30,95.4660415649414
2020-07-01,98.24811553955078
2020-07-02,98.19660186767578
2020-07-06,99.05526733398438
2020-07-07,98.27388763427734
2020-07-08,98.29106140136719
2020-07-09,98.27388763427734
2020-07-10,98.8062515258789
2020-07-13,97.68140411376953
2020-07-14,99.02951049804688
2020-07-15,102.36112976074219
2020-07-16,102.81620025634766
2020-07-17,101.79438781738281
2020-07-20,101.62265014648438
2020-07-21,102.21514129638672
2020-07-22,101.94036102294922
2020-07-23,101.44233703613281
2020-07-24,101.62265014648438
2020-07-27,103.9067153930664
2020-07-28,102.71317291259766
2020-07-29,106.19933319091797
2020-07-30,121.46636199951172
2020-07-31,122.58260345458984
2020-08-03,122.0845718383789
2020-08-04,124.26556396484375
2020-08-05,124.57469940185547
2020-08-06,124.90960693359375
2020-08-07,134.72409057617188
2020-08-10,137.03392028808594
2020-08-11,133.822509765625
2020-08-12,135.48829650878906
2020-08-13,136.77626037597656
2020-08-14,138.0213623046875
2020-08-17,137.64352416992188
2020-08-18,137.3773193359375
2020-08-19,137.67787170410156
2020-08-20,136.99957275390625
2020-08-21,137.4229736328125
2020-08-24,138.56362915039062
2020-08-25,137.43162536621094
2020-08-26,137.31063842773438
2020-08-27,138.44264221191406
2020-08-28,140.30052185058594
2020-08-31,141.38934326171875
2020-09-01,140.5511016845703
2020-09-02,143.255859375
2020-09-03,136.55023193359375
2020-09-04,138.9352264404297
2020-09-08,135.19351196289062
2020-09-09,138.08836364746094
2020-09-10,136.43788146972656
2020-09-11,137.28469848632812
2020-09-14,138.38217163085938
2020-09-15,139.5832977294922
2020-09-16,138.1488494873047
2020-09-17,138.04513549804688
2020-09-18,137.9674072265625
2020-09-21,139.17715454101562
2020-09-22,139.89439392089844
2020-09-23,139.6005859375
2020-09-24,138.615478515625
2020-09-25,143.54966735839844
2020-09-28,145.95193481445312
2020-09-29,145.60629272460938
2020-09-30,143.99038696289062
2020-10-01,144.87181091308594
2020-10-02,144.27552795410156
2020-10-05,146.17662048339844
2020-10-06,146.34080505371094
2020-10-07,151.2145233154297
2020-10-08,150.54051208496094
2020-10-09,150.95526123046875
2020-10-12,152.5539093017578
2020-10-13,151.50833129882812
2020-10-14,150.68743896484375
2020-10-15,150.3935546875
2020-10-16,150.7392578125
2020-10-19,148.71717834472656
2020-10-20,151.11944580078125
2020-10-21,149.2615966796875
2020-10-22,149.48626708984375
2020-10-23,148.54437255859375
2020-10-26,145.1742706298828
2020-10-27,147.6283416748047
2020-10-28,134.61456298828125
2020-10-29,139.4364013671875
2020-10-30,135.7638397216797
2020-11-02,137.87234497070312
2020-11-03,141.2683868408203
2020-11-04,140.49066162109375
2020-11-05,141.33750915527344
2020-11-06,144.897705078125
2020-11-09,141.043701171875
2020-11-10,142.34852600097656
2020-11-11,143.99899291992188
2020-11-12,141.80812072753906
2020-11-13,142.2949981689453
2020-11-16,146.4420166015625
2020-11-17,146.82455444335938
2020-11-18,146.4507293701172
2020-11-19,144.7379913330078
2020-11-20,142.37322998046875
2020-11-23,144.8423309326172
2020-11-24,150.1370086669922
2020-11-25,148.23300170898438
2020-11-27,146.8332977294922
2020-11-30,148.72857666015625
2020-12-01,146.0247039794922
2020-12-02,146.78111267089844
2020-12-03,145.91171264648438
2020-12-04,145.40744018554688
2020-12-07,145.59873962402344
2020-12-08,144.65975952148438
2020-12-09,147.08535766601562
2020-12-10,142.79052734375
2020-12-11,146.40724182128906
2020-12-14,144.85972595214844
2020-12-15,145.337890625
2020-12-16,147.91131591796875
2020-12-17,151.701904296875
2020-12-18,152.3018035888672
2020-12-21,150.050048828125
2020-12-22,151.7627410888672
2020-12-23,150.093505859375
2020-12-24,149.70230102539062
