,ALLE
2020-10-13,99.6102294921875
2020-10-14,99.07917022705078
2020-10-15,99.40159606933594
2020-10-16,99.56280517578125
2020-10-19,98.5575942993164
2020-10-20,99.8567886352539
2020-10-21,98.5291519165039
2020-10-22,96.69892120361328
2020-10-23,97.56188201904297
2020-10-26,95.62733459472656
2020-10-27,94.12899780273438
2020-10-28,91.37891387939453
2020-10-29,93.03844451904297
2020-10-30,93.40829467773438
2020-11-02,96.26270294189453
2020-11-03,98.69984436035156
2020-11-04,96.30062866210938
2020-11-05,98.74726104736328
2020-11-06,97.51446533203125
2020-11-09,106.087158203125
2020-11-10,109.19762420654297
2020-11-11,106.55184173583984
2020-11-12,104.45606994628906
2020-11-13,108.10704803466797
2020-11-16,112.1468505859375
2020-11-17,109.49159240722656
2020-11-18,108.63810729980469
2020-11-19,108.2303466796875
2020-11-20,107.15874481201172
2020-11-23,108.2587890625
2020-11-24,110.75284576416016
2020-11-25,109.2545166015625
2020-11-27,108.37259674072266
2020-11-30,108.14497375488281
2020-12-01,109.05537414550781
2020-12-02,107.67084503173828
2020-12-03,107.8889389038086
2020-12-04,108.61914825439453
2020-12-07,106.40957641601562
2020-12-08,107.27253723144531
2020-12-09,105.60353088378906
2020-12-10,104.93023681640625
2020-12-11,103.91553497314453
2020-12-14,104.01984405517578
2020-12-15,106.23587036132812
2020-12-16,105.76030731201172
2020-12-17,107.30109405517578
2020-12-18,108.18559265136719
2020-12-21,107.27255249023438
2020-12-22,106.8921127319336
2020-12-23,107.24402618408203
2020-12-24,107.50080871582031
2020-12-28,108.91791534423828
2020-12-29,107.98587036132812
2020-12-30,109.31739044189453
2020-12-31,110.68692779541016
2021-01-04,108.8798828125
2021-01-05,109.089111328125
2021-01-06,111.57144165039062
2021-01-07,114.51029968261719
2021-01-08,114.11082458496094
2021-01-11,114.44371032714844
2021-01-12,114.0157241821289
2021-01-13,111.28612518310547
2021-01-14,110.59185028076172
2021-01-15,108.81330871582031
2021-01-19,109.0986328125
2021-01-20,108.60408020019531
2021-01-21,109.41248321533203
2021-01-22,108.05243682861328
2021-01-25,106.60680389404297
2021-01-26,105.81741333007812
2021-01-27,106.66387176513672
2021-01-28,105.0755615234375
2021-01-29,101.77530670166016
2021-02-01,104.92338562011719
2021-02-02,105.46548461914062
2021-02-03,105.97908782958984
2021-02-04,106.39755249023438
2021-02-05,108.22364044189453
2021-02-08,111.30513763427734
2021-02-09,111.01029968261719
2021-02-10,112.14208221435547
2021-02-11,113.28338623046875
2021-02-12,112.4749755859375
2021-02-16,104.43831634521484
2021-02-17,103.95327758789062
2021-02-18,103.01171875
2021-02-19,103.72502136230469
2021-02-22,103.65843200683594
2021-02-23,103.46822357177734
2021-02-24,103.98180389404297
2021-02-25,102.32691192626953
2021-02-26,103.45870208740234
2021-03-01,106.23587036132812
2021-03-02,107.27255249023438
2021-03-03,106.66387176513672
2021-03-04,104.99947357177734
2021-03-05,107.76712799072266
2021-03-08,110.79155731201172
2021-03-09,108.84183502197266
2021-03-10,110.27796173095703
2021-03-11,109.37445831298828
2021-03-12,111.55242919921875
2021-03-15,112.35132598876953
2021-03-16,115.7475357055664
2021-03-17,116.92092895507812
2021-03-18,116.36761474609375
2021-03-19,114.40240478515625
2021-03-22,114.90801239013672
2021-03-23,113.8013916015625
2021-03-24,116.05278778076172
2021-03-25,117.7986068725586
2021-03-26,120.91815185546875
2021-03-29,120.46977233886719
2021-03-30,119.52532958984375
2021-03-31,119.84014892578125
2021-04-01,121.87213134765625
2021-04-05,124.04724884033203
2021-04-06,125.4496078491211
2021-04-07,125.31603240966797
2021-04-08,124.82950592041016
2021-04-09,125.63086700439453
2021-04-12,125.55455780029297
2021-04-13,123.38898468017578
2021-04-14,124.24757385253906
2021-04-15,124.52421569824219
2021-04-16,126.8901138305664
2021-04-19,126.2509536743164
2021-04-20,126.35588073730469
2021-04-21,126.96642303466797
2021-04-22,129.25604248046875
2021-04-23,131.9844207763672
2021-04-26,129.98104858398438
2021-04-27,131.31663513183594
2021-04-28,130.2195587158203
2021-04-29,130.9064178466797
2021-04-30,128.1970977783203
2021-05-03,129.80934143066406
2021-05-04,131.0876922607422
2021-05-05,129.9715118408203
2021-05-06,133.71116638183594
2021-05-07,134.75100708007812
2021-05-10,135.99119567871094
2021-05-11,133.31045532226562
2021-05-12,129.16061401367188
2021-05-13,132.80487060546875
2021-05-14,133.79701232910156
2021-05-17,132.5377197265625
2021-05-18,130.8778076171875
2021-05-19,131.32615661621094
2021-05-20,131.29754638671875
2021-05-21,131.18307495117188
2021-05-24,132.34695434570312
2021-05-25,132.83351135253906
2021-05-26,132.6713104248047
2021-05-27,133.730224609375
2021-05-28,134.0164337158203
2021-06-01,132.9479522705078
2021-06-02,131.97486877441406
2021-06-03,131.5933074951172
2021-06-04,132.44235229492188
2021-06-07,131.65054321289062
2021-06-08,132.6045379638672
2021-06-09,131.7364044189453
2021-06-10,132.2801971435547
2021-06-11,132.318359375
2021-06-14,131.94627380371094
2021-06-15,132.47232055664062
2021-06-16,133.07493591308594
2021-06-17,130.61679077148438
2021-06-18,128.78990173339844
2021-06-21,131.7741241455078
2021-06-22,132.65406799316406
2021-06-23,132.13754272460938
2021-06-24,132.6827850341797
2021-06-25,132.80709838867188
2021-06-28,133.26620483398438
2021-06-29,133.13232421875
2021-06-30,133.23751831054688
2021-07-01,134.10792541503906
2021-07-02,133.94532775878906
2021-07-06,132.52972412109375
