,PWR
2017-10-03,36.82741928100586
2017-10-04,36.48360061645508
2017-10-05,36.83723449707031
2017-10-06,36.876529693603516
2017-10-09,36.70953369140625
2017-10-10,36.699710845947266
2017-10-11,36.85689163208008
2017-10-12,36.83723449707031
2017-10-13,36.63093948364258
2017-10-16,37.17123031616211
2017-10-17,36.788124084472656
2017-10-18,36.739009857177734
2017-10-19,36.51306915283203
2017-10-20,36.788124084472656
2017-10-23,36.81759262084961
2017-10-24,37.21052169799805
2017-10-25,36.70953369140625
2017-10-26,37.16140365600586
2017-10-27,37.30876541137695
2017-10-30,37.3873405456543
2017-10-31,37.063175201416016
2017-11-01,36.68006134033203
2017-11-02,35.913856506347656
2017-11-03,35.02976608276367
2017-11-06,35.66827392578125
2017-11-07,35.570037841796875
2017-11-08,35.697750091552734
2017-11-09,34.882415771484375
2017-11-10,35.20658493041992
2017-11-13,36.0710334777832
2017-11-14,35.118167877197266
2017-11-15,34.72523880004883
2017-11-16,35.33428955078125
2017-11-17,35.37358474731445
2017-11-20,35.825443267822266
2017-11-21,36.23802947998047
2017-11-22,35.825443267822266
2017-11-24,35.491458892822266
2017-11-27,35.52092361450195
2017-11-28,36.4050178527832
2017-11-29,36.984588623046875
2017-11-30,37.23016357421875
2017-12-01,36.72919464111328
2017-12-04,38.1142692565918
2017-12-05,37.740966796875
2017-12-06,37.61328125
2017-12-07,37.77044677734375
2017-12-08,38.70366287231445
2017-12-11,38.47772216796875
2017-12-12,38.42859649658203
2017-12-13,37.61328125
2017-12-14,36.778297424316406
2017-12-15,37.053348541259766
2017-12-18,37.701683044433594
2017-12-19,37.13193893432617
2017-12-20,37.858863830566406
2017-12-21,38.70366287231445
2017-12-22,38.71348571777344
2017-12-26,38.8018913269043
2017-12-27,38.78225326538086
2017-12-28,38.63489532470703
2017-12-29,38.418792724609375
2018-01-02,38.546485900878906
2018-01-03,38.851009368896484
2018-01-04,39.15553665161133
2018-01-05,38.81171798706055
2018-01-08,38.408966064453125
2018-01-09,37.95710372924805
2018-01-10,37.4659309387207
2018-01-11,38.379493713378906
2018-01-12,38.742950439453125
2018-01-16,38.00619888305664
2018-01-17,38.04550552368164
2018-01-18,37.84903335571289
2018-01-19,38.30091094970703
2018-01-22,38.399139404296875
2018-01-23,38.183021545410156
2018-01-24,38.2812614440918
2018-01-25,38.202674865722656
2018-01-26,38.44826126098633
2018-01-29,38.183021545410156
2018-01-30,37.72133255004883
2018-01-31,37.809749603271484
2018-02-01,37.58380889892578
2018-02-02,35.45216369628906
2018-02-05,33.79202651977539
2018-02-06,34.55824279785156
2018-02-07,33.84114074707031
2018-02-08,32.91775894165039
2018-02-09,32.937408447265625
2018-02-12,33.37945556640625
2018-02-13,33.12405014038086
2018-02-14,33.821495056152344
2018-02-15,34.21442794799805
2018-02-16,34.45018768310547
2018-02-20,34.332313537597656
2018-02-21,34.22425842285156
2018-02-22,35.26552963256836
2018-02-23,35.03957748413086
2018-02-26,35.02976608276367
2018-02-27,34.42071533203125
2018-02-28,33.83131408691406
2018-03-01,33.26158142089844
2018-03-02,33.63486099243164
2018-03-05,33.61521530151367
2018-03-06,34.06708908081055
2018-03-07,34.548423767089844
2018-03-08,34.548423767089844
2018-03-09,35.35393524169922
2018-03-12,35.3244514465332
2018-03-13,34.83330535888672
2018-03-14,34.45018768310547
2018-03-15,34.38142395019531
2018-03-16,34.73506546020508
2018-03-19,34.322479248046875
2018-03-20,34.47965621948242
2018-03-21,35.18693161010742
2018-03-22,33.78220748901367
2018-03-23,32.62306213378906
2018-03-26,33.644691467285156
2018-03-27,33.39908981323242
2018-03-28,33.271392822265625
2018-03-29,33.742916107177734
2018-04-02,32.937408447265625
2018-04-03,33.566097259521484
2018-04-04,33.900089263916016
2018-04-05,33.98849105834961
2018-04-06,33.12405014038086
2018-04-09,32.868648529052734
2018-04-10,33.566097259521484
2018-04-11,33.37945556640625
2018-04-12,33.7036247253418
2018-04-13,33.54644012451172
2018-04-16,33.929561614990234
2018-04-17,34.06708908081055
2018-04-18,33.96885299682617
2018-04-19,33.67414474487305
2018-04-20,33.21245193481445
2018-04-23,32.89811325073242
2018-04-24,32.13190460205078
2018-04-25,32.200660705566406
2018-04-26,32.2497673034668
2018-04-27,32.33817672729492
2018-04-30,31.925607681274414
2018-05-01,32.23012161254883
2018-05-02,32.23012161254883
2018-05-03,33.458038330078125
2018-05-04,34.332313537597656
2018-05-07,34.51894760131836
2018-05-08,34.90205383300781
2018-05-09,35.44233703613281
2018-05-10,35.61915588378906
2018-05-11,35.737037658691406
2018-05-14,35.845096588134766
2018-05-15,35.854915618896484
2018-05-16,36.090675354003906
2018-05-17,36.0710334777832
2018-05-18,35.9727897644043
2018-05-21,36.267486572265625
2018-05-22,35.550384521484375
2018-05-23,35.00029754638672
2018-05-24,34.97080993652344
2018-05-25,34.960994720458984
2018-05-29,34.9904670715332
2018-05-30,35.64862060546875
2018-05-31,35.37358474731445
2018-06-01,35.383399963378906
2018-06-04,35.58968734741211
2018-06-05,36.296958923339844
2018-06-06,36.444305419921875
2018-06-07,36.48360061645508
2018-06-08,36.45412826538086
2018-06-11,36.169254302978516
2018-06-12,36.188907623291016
2018-06-13,36.090675354003906
2018-06-14,35.28515625
2018-06-15,34.97080993652344
