,HUBB
2019-01-31,96.65367126464844
2019-02-01,97.44930267333984
2019-02-04,98.35105895996094
2019-02-05,100.71148681640625
2019-02-06,101.87842559814453
2019-02-07,101.66624450683594
2019-02-08,101.94915008544922
2019-02-11,101.91378021240234
2019-02-12,102.51493835449219
2019-02-13,103.33710479736328
2019-02-14,102.4177017211914
2019-02-15,104.85767364501953
2019-02-19,104.91957092285156
2019-02-20,105.9008560180664
2019-02-21,105.41464233398438
2019-02-22,106.2544937133789
2019-02-25,106.6523208618164
2019-02-26,105.22899627685547
2019-02-27,105.60291290283203
2019-02-28,105.10435485839844
2019-03-01,105.14885711669922
2019-03-04,104.29413604736328
2019-03-05,105.22007751464844
2019-03-06,105.91455841064453
2019-03-07,106.43984985351562
2019-03-08,104.88176727294922
2019-03-11,105.9323501586914
2019-03-12,105.70087432861328
2019-03-13,108.02465057373047
2019-03-14,107.90890502929688
2019-03-15,110.1347427368164
2019-03-18,109.74301147460938
2019-03-19,107.88219451904297
2019-03-20,105.63854217529297
2019-03-21,106.4932632446289
2019-03-22,102.30867004394531
2019-03-25,102.47783660888672
2019-03-26,103.07437896728516
2019-03-27,103.2880630493164
2019-03-28,104.36538696289062
2019-03-29,105.04200744628906
2019-04-01,106.3597183227539
2019-04-02,106.99185943603516
2019-04-03,108.32736206054688
2019-04-04,109.46699523925781
2019-04-05,111.32781982421875
2019-04-08,112.2003402709961
2019-04-09,110.62445068359375
2019-04-10,109.93888092041016
2019-04-11,111.06069946289062
2019-04-12,111.30999755859375
2019-04-15,110.74018859863281
2019-04-16,111.64832305908203
2019-04-17,111.43463134765625
2019-04-18,112.33390045166016
2019-04-22,111.87981414794922
2019-04-23,111.70175170898438
2019-04-24,111.4791488647461
2019-04-25,109.44920349121094
2019-04-26,109.75190734863281
2019-04-29,109.74301147460938
2019-04-30,113.60706329345703
2019-05-01,113.0995864868164
2019-05-02,114.59534454345703
2019-05-03,115.4589614868164
2019-05-06,114.40837860107422
2019-05-07,112.44073486328125
2019-05-08,112.46743774414062
2019-05-09,111.64832305908203
2019-05-10,112.02225494384766
2019-05-13,106.17274475097656
2019-05-14,107.33910369873047
2019-05-15,107.58836364746094
2019-05-16,109.28893280029297
2019-05-17,108.07806396484375
2019-05-20,105.86112213134766
2019-05-21,107.49934387207031
2019-05-22,105.82551574707031
2019-05-23,104.31195068359375
2019-05-24,105.0598373413086
2019-05-28,104.53453063964844
2019-05-29,104.44548034667969
2019-05-30,105.01942443847656
2019-05-31,102.71472930908203
2019-06-03,104.56206512451172
2019-06-04,109.28797912597656
2019-06-05,110.28340148925781
2019-06-06,110.94699096679688
2019-06-07,111.16221618652344
2019-06-10,111.8078842163086
2019-06-11,111.09944915771484
2019-06-12,109.90674591064453
2019-06-13,110.6062240600586
2019-06-14,110.04129028320312
2019-06-17,108.48987579345703
2019-06-18,111.01875305175781
2019-06-19,110.9290542602539
2019-06-20,113.3503189086914
2019-06-21,112.68672180175781
2019-06-24,112.54322052001953
2019-06-25,113.26063537597656
2019-06-26,114.30984497070312
2019-06-27,115.17969512939453
2019-06-28,116.93733978271484
2019-07-01,117.59198760986328
2019-07-02,116.37239074707031
2019-07-03,117.13462829589844
2019-07-05,115.80742645263672
2019-07-08,115.55633544921875
2019-07-09,114.51609802246094
2019-07-10,113.33238220214844
2019-07-11,112.30109405517578
2019-07-12,114.78512573242188
2019-07-15,114.1125717163086
2019-07-16,115.12589263916016
2019-07-17,112.34593963623047
2019-07-18,111.93342590332031
2019-07-19,112.5252914428711
2019-07-22,111.53885650634766
2019-07-23,113.40411376953125
2019-07-24,114.37261962890625
2019-07-25,113.52069854736328
2019-07-26,112.9646987915039
2019-07-29,112.4266357421875
2019-07-30,118.03137969970703
2019-07-31,116.47105407714844
2019-08-01,114.49816131591797
2019-08-02,114.71337890625
2019-08-05,110.92012023925781
2019-08-06,113.0633544921875
2019-08-07,113.52069854736328
2019-08-08,115.77157592773438
2019-08-09,113.54759979248047
2019-08-12,112.69567108154297
2019-08-13,114.12152099609375
2019-08-14,110.2744369506836
2019-08-15,110.38204193115234
2019-08-16,113.0633544921875
2019-08-19,114.61474609375
2019-08-20,114.52506256103516
2019-08-21,115.32319641113281
2019-08-22,114.90171813964844
2019-08-23,110.95596313476562
2019-08-26,111.08150482177734
2019-08-27,111.009765625
2019-08-28,113.8435287475586
2019-08-29,116.74131774902344
2019-08-30,118.38428497314453
2019-09-03,115.23373413085938
2019-09-04,117.06626892089844
2019-09-05,119.44046783447266
2019-09-06,121.0383071899414
2019-09-09,121.56189727783203
2019-09-10,122.32919311523438
2019-09-11,123.50277709960938
2019-09-12,122.60004425048828
2019-09-13,124.46868133544922
2019-09-16,120.53278350830078
2019-09-17,120.93901062011719
2019-09-18,120.39738464355469
2019-09-19,118.62799835205078
2019-09-20,118.43842315673828
2019-09-23,119.77448272705078
2019-09-24,119.68421173095703
2019-09-25,120.614013671875
2019-09-26,120.12654876708984
2019-09-27,119.28702545166016
2019-09-30,118.61895751953125
2019-10-01,117.40931701660156
2019-10-02,113.71714782714844
2019-10-03,115.48650360107422
2019-10-04,118.07733917236328
