,GD
2016-06-09,117.5356216430664
2016-06-10,117.16307830810547
2016-06-13,115.15972900390625
2016-06-14,115.42463684082031
2016-06-15,115.98756408691406
2016-06-16,115.69783020019531
2016-06-17,115.06043243408203
2016-06-20,116.65811920166016
2016-06-21,115.40812683105469
2016-06-22,114.89482879638672
2016-06-23,115.71440124511719
2016-06-24,112.70108795166016
2016-06-27,110.15133666992188
2016-06-28,110.87985229492188
2016-06-29,112.91961669921875
2016-06-30,115.92512512207031
2016-07-01,117.6734848022461
2016-07-05,115.234130859375
2016-07-06,116.4663314819336
2016-07-07,115.46722412109375
2016-07-08,116.95751190185547
2016-07-11,117.54861450195312
2016-07-12,117.84004211425781
2016-07-13,117.99822235107422
2016-07-14,118.6892318725586
2016-07-15,118.29791259765625
2016-07-18,117.39044952392578
2016-07-19,119.31361389160156
2016-07-20,120.33766174316406
2016-07-21,118.93901062011719
2016-07-22,119.69662475585938
2016-07-25,119.65503692626953
2016-07-26,120.31268310546875
2016-07-27,122.0777359008789
2016-07-28,122.46904754638672
2016-07-29,122.2942123413086
2016-08-01,124.12582397460938
2016-08-02,123.40149688720703
2016-08-03,123.0601577758789
2016-08-04,122.69383239746094
2016-08-05,123.95930480957031
2016-08-08,123.3099594116211
2016-08-09,123.69288635253906
2016-08-10,126.10729217529297
2016-08-11,125.96575927734375
2016-08-12,126.10729217529297
2016-08-15,127.71416473388672
2016-08-16,126.88159942626953
2016-08-17,127.35614013671875
2016-08-18,126.90657806396484
2016-08-19,126.86492919921875
2016-08-22,126.73173522949219
2016-08-23,126.67342376708984
2016-08-24,126.79000854492188
2016-08-25,127.11470794677734
2016-08-26,126.1988525390625
2016-08-29,127.23130798339844
2016-08-30,127.0147933959961
2016-08-31,126.73173522949219
2016-09-01,127.24788665771484
2016-09-02,128.05551147460938
2016-09-06,128.73814392089844
2016-09-07,127.47270965576172
2016-09-08,126.88159942626953
2016-09-09,124.80850219726562
2016-09-12,126.39035034179688
2016-09-13,125.38297271728516
2016-09-14,124.7419662475586
2016-09-15,126.68177795410156
2016-09-16,125.50782775878906
2016-09-19,126.69007873535156
2016-09-20,126.43205261230469
2016-09-21,127.46439361572266
2016-09-22,128.92970275878906
2016-09-23,128.05551147460938
2016-09-26,128.10546875
2016-09-27,129.27932739257812
2016-09-28,129.88711547851562
2016-09-29,129.55410766601562
2016-09-30,129.17945861816406
2016-10-03,128.80477905273438
2016-10-04,127.83898162841797
2016-10-05,128.61717224121094
2016-10-06,128.96859741210938
2016-10-07,127.98128509521484
2016-10-10,127.92267608642578
2016-10-11,125.16997528076172
2016-10-12,125.50459289550781
2016-10-13,126.34970092773438
2016-10-14,126.62579345703125
2016-10-17,125.90625
2016-10-18,127.07760620117188
2016-10-19,126.6927490234375
2016-10-20,126.09870147705078
2016-10-21,125.65522766113281
2016-10-24,126.70948028564453
2016-10-25,127.67168426513672
2016-10-26,126.45845031738281
2016-10-27,125.6134262084961
2016-10-28,126.75973510742188
2016-10-31,126.12377166748047
2016-11-01,125.4878921508789
2016-11-02,125.2285385131836
2016-11-03,125.52975463867188
2016-11-04,125.3456802368164
2016-11-07,127.50432586669922
2016-11-08,128.66737365722656
2016-11-09,135.62030029296875
