,NKE
2018-11-29,69.24398803710938
2018-11-30,70.1781997680664
2018-12-03,72.81269073486328
2018-12-04,70.80411529541016
2018-12-06,70.5705795288086
2018-12-07,68.51530456542969
2018-12-10,67.7398910522461
2018-12-11,68.73016357421875
2018-12-12,69.43083190917969
2018-12-13,68.13227081298828
2018-12-14,67.7585678100586
2018-12-17,65.30159759521484
2018-12-18,66.46935272216797
2018-12-19,64.43276977539062
2018-12-20,63.08749008178711
2018-12-21,67.60909271240234
2018-12-24,63.62001037597656
2018-12-26,68.20698547363281
2018-12-27,68.82357788085938
2018-12-28,68.51530456542969
2018-12-31,69.26266479492188
2019-01-02,69.18791961669922
2019-01-03,67.96410369873047
2019-01-04,69.73912048339844
2019-01-07,70.73873138427734
2019-01-08,71.68228912353516
2019-01-09,71.55150604248047
2019-01-10,71.39266967773438
2019-01-11,71.03765869140625
2019-01-14,71.0843734741211
2019-01-15,72.75662231445312
2019-01-16,72.56977844238281
2019-01-17,73.92440032958984
2019-01-18,75.15753173828125
2019-01-22,75.43783569335938
2019-01-23,75.20426177978516
2019-01-24,75.14823150634766
2019-01-25,75.3070297241211
2019-01-28,75.03609466552734
2019-01-29,74.94268035888672
2019-01-30,75.93294525146484
2019-01-31,76.49347686767578
2019-02-01,76.1478271484375
2019-02-04,76.59623718261719
2019-02-05,77.40901947021484
2019-02-06,77.26888275146484
2019-02-07,76.96994018554688
2019-02-08,76.9419174194336
2019-02-11,78.17506408691406
2019-02-12,79.13731384277344
2019-02-13,79.78192138671875
2019-02-14,79.10929107666016
2019-02-15,79.76323699951172
2019-02-19,79.00653076171875
2019-02-20,79.25875854492188
2019-02-21,78.42729949951172
2019-02-22,79.18402862548828
2019-02-25,79.56705474853516
2019-02-26,80.15560913085938
2019-02-27,80.50126647949219
2019-02-28,80.09020233154297
2019-03-01,81.63563537597656
2019-03-04,80.21196746826172
2019-03-05,80.0246353149414
2019-03-06,79.73429107666016
2019-03-07,79.85606384277344
2019-03-08,79.42520141601562
2019-03-11,80.38056182861328
2019-03-12,80.01528930664062
2019-03-13,80.48358917236328
2019-03-14,81.3639907836914
2019-03-15,81.2984619140625
2019-03-18,82.25381469726562
2019-03-19,82.13203430175781
2019-03-20,81.1954116821289
2019-03-21,82.43177032470703
2019-03-22,76.98062896728516
2019-03-25,77.11176300048828
2019-03-26,78.09522247314453
2019-03-27,77.82360076904297
2019-03-28,78.71337890625
2019-03-29,78.87259674072266
2019-04-01,79.82797241210938
2019-04-02,79.02246856689453
2019-04-03,79.11612701416016
2019-04-04,79.87479400634766
2019-04-05,79.98717498779297
2019-04-08,79.35965728759766
2019-04-09,78.93815612792969
2019-04-10,79.5001449584961
2019-04-11,79.61251831054688
2019-04-12,80.77391815185547
2019-04-15,81.32654571533203
2019-04-16,82.23506927490234
2019-04-17,83.10612487792969
2019-04-18,83.54631805419922
2019-04-22,81.82293701171875
2019-04-23,81.88851928710938
2019-04-24,82.78768157958984
2019-04-25,82.0102767944336
2019-04-26,82.71273803710938
2019-04-29,82.66590881347656
2019-04-30,82.26316833496094
2019-05-01,80.45548248291016
2019-05-02,79.86542510986328
2019-05-03,80.26817321777344
2019-05-06,78.27316284179688
2019-05-07,77.3084487915039
2019-05-08,77.52386474609375
2019-05-09,77.7205810546875
2019-05-10,78.62908172607422
2019-05-13,77.29908752441406
2019-05-14,78.3668441772461
2019-05-15,78.68527221679688
2019-05-16,78.93815612792969
2019-05-17,79.20980072021484
2019-05-20,77.59880065917969
2019-05-21,78.33873748779297
2019-05-22,77.92662811279297
2019-05-23,77.40210723876953
2019-05-24,76.9525375366211
2019-05-28,76.05339050292969
2019-05-29,73.8710708618164
2019-05-30,74.23637390136719
2019-05-31,72.45182037353516
2019-06-03,73.22196960449219
2019-06-04,76.65955352783203
2019-06-05,77.69268798828125
2019-06-06,77.4390869140625
2019-06-07,78.34077453613281
2019-06-10,77.56121063232422
2019-06-11,78.19988250732422
2019-06-12,77.60816955566406
2019-06-13,78.52860260009766
2019-06-14,78.36894226074219
2019-06-17,77.11978149414062
2019-06-18,79.1766586303711
2019-06-19,78.47227478027344
2019-06-20,80.0595474243164
2019-06-21,80.53853607177734
2019-06-24,79.36454010009766
2019-06-25,77.59877014160156
2019-06-26,77.53302001953125
2019-06-27,78.5755615234375
2019-06-28,78.84794616699219
2019-07-01,80.21920013427734
2019-07-02,79.79656982421875
2019-07-03,80.96119689941406
2019-07-05,81.54351043701172
2019-07-08,83.10264587402344
2019-07-09,82.68938446044922
2019-07-10,82.12584686279297
2019-07-11,82.92418670654297
2019-07-12,83.70372772216797
2019-07-15,84.04185485839844
2019-07-16,83.21533966064453
2019-07-17,82.18218231201172
2019-07-18,82.12584686279297
2019-07-19,81.2899398803711
2019-07-22,80.74518585205078
2019-07-23,81.43079376220703
2019-07-24,81.43079376220703
2019-07-25,81.97555541992188
2019-07-26,82.2197494506836
2019-07-29,82.29488372802734
2019-07-30,81.9004135131836
2019-07-31,80.8015365600586
2019-08-01,78.0683822631836
2019-08-02,76.20872497558594
2019-08-05,74.17060852050781
2019-08-06,76.35897827148438
2019-08-07,76.3402099609375
