,SJM
2017-02-13,110.70891571044922
2017-02-14,110.02293395996094
2017-02-15,110.50151824951172
2017-02-16,109.95114135742188
2017-02-17,108.44354248046875
2017-02-21,113.20564270019531
2017-02-22,112.25642395019531
2017-02-23,112.33618927001953
2017-02-24,112.61534118652344
2017-02-27,112.43988037109375
2017-02-28,113.05408477783203
2017-03-01,112.22449493408203
2017-03-02,112.43191528320312
2017-03-03,112.0649642944336
2017-03-06,111.66614532470703
2017-03-07,111.01204681396484
2017-03-08,110.42973327636719
2017-03-09,111.42682647705078
2017-03-10,111.26728820800781
2017-03-13,110.96416473388672
2017-03-14,110.81262969970703
2017-03-15,110.98812866210938
2017-03-16,110.6530990600586
2017-03-17,110.5174789428711
2017-03-20,110.47762298583984
2017-03-21,107.37467193603516
2017-03-22,106.60093688964844
2017-03-23,106.21803283691406
2017-03-24,106.1382827758789
2017-03-27,106.00265502929688
2017-03-28,106.20207214355469
2017-03-29,105.76335906982422
2017-03-30,104.70246124267578
2017-03-31,104.5588607788086
2017-04-03,104.5588607788086
2017-04-04,104.33551788330078
2017-04-05,103.71334838867188
2017-04-06,103.25069427490234
2017-04-07,103.21878814697266
2017-04-10,101.85477447509766
2017-04-11,101.91859436035156
2017-04-12,102.26158142089844
2017-04-13,101.60747528076172
2017-04-17,102.11002349853516
2017-04-18,102.18981170654297
2017-04-19,101.70323944091797
2017-04-20,101.67131042480469
2017-04-21,100.96935272216797
2017-04-24,101.43201446533203
2017-04-25,101.24853515625
2017-04-26,101.22460174560547
2017-04-27,100.83375549316406
2017-04-28,101.0810317993164
2017-05-01,100.41896057128906
2017-05-02,99.44578552246094
2017-05-03,99.67710876464844
2017-05-04,100.1876220703125
2017-05-05,100.57050323486328
2017-05-08,100.6981430053711
2017-05-09,100.09989166259766
2017-05-10,100.58137512207031
2017-05-11,100.34062194824219
2017-05-12,100.10791015625
2017-05-15,100.13198852539062
2017-05-16,100.12397766113281
2017-05-17,100.94247436523438
2017-05-18,101.03076171875
2017-05-19,101.1190185546875
2017-05-22,101.88136291503906
2017-05-23,102.3468017578125
2017-05-24,102.51531982421875
2017-05-25,102.71593475341797
2017-05-26,102.85234832763672
2017-05-30,102.53138732910156
2017-05-31,102.59556579589844
2017-06-01,104.50543212890625
2017-06-02,104.73014068603516
2017-06-05,104.72209930419922
2017-06-06,104.73814392089844
2017-06-07,105.02704620361328
2017-06-08,103.12519073486328
2017-06-09,102.04186248779297
2017-06-12,102.75605773925781
2017-06-13,102.90852355957031
2017-06-14,102.29866790771484
2017-06-15,102.0338363647461
2017-06-16,100.0838394165039
2017-06-19,99.63446044921875
2017-06-20,98.19803619384766
2017-06-21,97.55606079101562
2017-06-22,97.283203125
2017-06-23,96.87396240234375
2017-06-26,97.94925689697266
2017-06-27,96.43262481689453
2017-06-28,96.14373016357422
