,RVTY
2015-10-13,46.20680236816406
2015-10-14,45.85673904418945
2015-10-15,46.916629791259766
2015-10-16,47.24723434448242
2015-10-19,47.52922439575195
2015-10-20,47.616722106933594
2015-10-21,47.4514274597168
2015-10-22,47.636173248291016
2015-10-23,48.929439544677734
2015-10-26,48.491851806640625
2015-10-27,48.686336517333984
2015-10-28,49.580902099609375
2015-10-29,49.736488342285156
2015-10-30,50.212955474853516
2015-11-02,51.44785690307617
2015-11-03,51.46729278564453
2015-11-04,51.739566802978516
2015-11-05,50.98112106323242
2015-11-06,50.50465393066406
2015-11-09,50.22267532348633
2015-11-10,50.738037109375
2015-11-11,50.086544036865234
2015-11-12,49.279476165771484
2015-11-13,49.240577697753906
2015-11-16,49.6003532409668
2015-11-17,50.14488220214844
2015-11-18,51.13668441772461
2015-11-19,51.175601959228516
2015-11-20,51.214481353759766
2015-11-23,51.37006378173828
2015-11-24,51.088077545166016
2015-11-25,51.690940856933594
2015-11-27,52.099327087402344
2015-11-30,51.690940856933594
2015-12-01,52.177127838134766
2015-12-02,51.107513427734375
2015-12-03,49.483680725097656
2015-12-04,50.80609893798828
2015-12-07,49.989295959472656
2015-12-08,49.2891960144043
2015-12-09,48.861358642578125
2015-12-10,48.98776626586914
2015-12-11,48.89052963256836
2015-12-14,49.6003532409668
2015-12-15,49.96985626220703
2015-12-16,51.165863037109375
2015-12-17,50.50465393066406
2015-12-18,49.4642219543457
2015-12-21,50.12543869018555
2015-12-22,51.175601959228516
2015-12-23,51.59370803833008
2015-12-24,51.963199615478516
2015-12-28,52.06044387817383
2015-12-29,52.85777282714844
2015-12-30,52.439666748046875
2015-12-31,52.08961486816406
2016-01-04,50.98112106323242
2016-01-05,51.54509353637695
2016-01-06,50.80609893798828
2016-01-07,48.67660903930664
2016-01-08,47.95705795288086
2016-01-11,46.430458068847656
2016-01-12,47.20834732055664
2016-01-13,45.85478591918945
2016-01-14,46.83830642700195
2016-01-15,46.16640090942383
2016-01-19,46.51695251464844
2016-01-20,46.896728515625
2016-01-21,46.27351760864258
2016-01-22,47.84130096435547
2016-01-25,47.120697021484375
2016-01-26,47.646541595458984
