,HBAN
2017-03-14,10.069317817687988
2017-03-15,9.96204662322998
2017-03-16,10.012395858764648
2017-03-17,9.875732421875
2017-03-20,9.724682807922363
2017-03-21,9.134872436523438
2017-03-22,9.192416191101074
2017-03-23,9.365043640136719
2017-03-24,9.429779052734375
2017-03-27,9.365043640136719
2017-03-28,9.508899688720703
2017-03-29,9.508899688720703
2017-03-30,9.77503490447998
2017-03-31,9.631176948547363
2017-04-03,9.60240650177002
2017-04-04,9.573637008666992
2017-04-05,9.401007652282715
2017-04-06,9.494512557983398
2017-04-07,9.43697452545166
2017-04-10,9.350658416748047
2017-04-11,9.350658416748047
2017-04-12,9.249957084655762
2017-04-13,9.055753707885742
2017-04-17,9.28592300415039
2017-04-18,9.206802368164062
2017-04-19,9.055753707885742
2017-04-20,9.149260520935059
2017-04-21,9.062943458557129
2017-04-24,9.343464851379395
2017-04-25,9.37942886352539
2017-04-26,9.43697452545166
2017-04-27,9.343464851379395
2017-04-28,9.249957084655762
2017-05-01,9.415392875671387
2017-05-02,9.31469440460205
2017-05-03,9.4513578414917
2017-05-04,9.386622428894043
2017-05-05,9.343464851379395
2017-05-08,9.386622428894043
2017-05-09,9.300308227539062
2017-05-10,9.278730392456055
2017-05-11,9.199609756469727
2017-05-12,9.178030967712402
2017-05-15,9.31469440460205
2017-05-16,9.37942886352539
2017-05-17,8.839970588684082
2017-05-18,8.99101734161377
2017-05-19,9.04136848449707
2017-05-22,9.091717720031738
2017-05-23,9.271539688110352
2017-05-24,9.221189498901367
2017-05-25,9.25715446472168
2017-05-26,9.249957084655762
2017-05-30,9.163643836975098
2017-05-31,9.019790649414062
2017-06-01,9.149260520935059
2017-06-02,9.04856014251709
2017-06-05,9.04136848449707
2017-06-06,8.955053329467773
2017-06-07,9.127680778503418
2017-06-08,9.293113708496094
2017-06-09,9.55925178527832
2017-06-12,9.616792678833008
2017-06-13,9.60240650177002
2017-06-14,9.645560264587402
2017-06-15,9.616621017456055
2017-06-16,9.56596851348877
2017-06-19,9.638325691223145
2017-06-20,9.573205947875977
2017-06-21,9.45019245147705
2017-06-22,9.363361358642578
2017-06-23,9.196931838989258
2017-06-26,9.254819869995117
2017-06-27,9.341652870178223
2017-06-28,9.508079528808594
2017-06-29,9.681740760803223
2017-06-30,9.783047676086426
2017-07-03,9.949474334716797
2017-07-05,9.9856538772583
2017-07-06,9.884349822998047
2017-07-07,9.906059265136719
2017-07-10,9.906059265136719
2017-07-11,9.920533180236816
2017-07-12,9.935002326965332
2017-07-13,10.036307334899902
2017-07-14,9.978418350219727
2017-07-17,9.992891311645508
2017-07-18,9.920533180236816
2017-07-19,9.91329574584961
2017-07-20,9.811990737915039
2017-07-21,9.3850679397583
2017-07-24,9.544257164001465
2017-07-25,9.696212768554688
2017-07-26,9.537025451660156
2017-07-27,9.493609428405762
2017-07-28,9.529787063598633
2017-07-31,9.587675094604492
2017-08-01,9.638325691223145
2017-08-02,9.638325691223145
2017-08-03,9.522552490234375
2017-08-04,9.623855590820312
2017-08-07,9.60938549041748
2017-08-08,9.660035133361816
2017-08-09,9.529787063598633
2017-08-10,9.269291877746582
2017-08-11,9.204170227050781
2017-08-14,9.377833366394043
2017-08-15,9.406776428222656
2017-08-16,9.406776428222656
2017-08-17,9.146282196044922
2017-08-18,9.160752296447754
2017-08-21,9.11733627319336
2017-08-22,9.189697265625
2017-08-23,9.167988777160645
2017-08-24,9.189697265625
2017-08-25,9.233113288879395
2017-08-28,9.204170227050781
2017-08-29,9.110102653503418
2017-08-30,9.167988777160645
2017-08-31,9.110102653503418
2017-09-01,9.189697265625
2017-09-05,8.958145141601562
2017-09-06,9.05221176147461
2017-09-07,8.813425064086914
2017-09-08,8.914729118347168
2017-09-11,9.073922157287598
2017-09-12,9.254819869995117
2017-09-13,9.334416389465332
2017-09-14,9.262057304382324
2017-09-15,9.291181564331055
2017-09-18,9.531473159790039
2017-09-19,9.64797592163086
2017-09-20,9.728071212768555
2017-09-21,9.757197380065918
2017-09-22,9.749916076660156
2017-09-25,9.742632865905762
2017-09-26,9.793607711791992
2017-09-27,10.012049674987793
2017-09-28,10.0994291305542
2017-09-29,10.164963722229004
2017-10-02,10.223214149475098
2017-10-03,10.1212739944458
2017-10-04,10.019331932067871
2017-10-05,10.164963722229004
2017-10-06,10.1212739944458
2017-10-09,10.08486557006836
2017-10-10,10.179523468017578
2017-10-11,10.08486557006836
2017-10-12,10.041176795959473
2017-10-13,9.9756441116333
2017-10-16,10.135834693908691
2017-10-17,10.055742263793945
2017-10-18,10.15768051147461
2017-10-19,10.179523468017578
2017-10-20,10.332435607910156
2017-10-23,10.274184226989746
2017-10-24,10.346999168395996
2017-10-25,10.106709480285645
2017-10-26,10.128555297851562
2017-10-27,10.150396347045898
2017-10-30,10.026612281799316
2017-10-31,10.048458099365234
2017-11-01,10.055742263793945
2017-11-02,10.0994291305542
2017-11-03,10.033893585205078
2017-11-06,10.033893585205078
2017-11-07,9.757197380065918
2017-11-08,9.677103042602539
2017-11-09,9.618851661682129
2017-11-10,9.567878723144531
2017-11-13,9.728071212768555
2017-11-14,9.910111427307129
2017-11-15,9.837296485900879
2017-11-16,9.757197380065918
2017-11-17,9.859138488769531
2017-11-20,9.880983352661133
2017-11-21,9.866419792175293
2017-11-22,9.859138488769531
2017-11-24,9.800887107849121
2017-11-27,9.830011367797852
2017-11-28,10.172242164611816
2017-11-29,10.543599128723145
2017-11-30,10.485345840454102
2017-12-01,10.514472961425781
2017-12-04,10.703791618347168
2017-12-05,10.529035568237305
2017-12-06,10.572724342346191
2017-12-07,10.71107006072998
2017-12-08,10.813015937805176
2017-12-11,10.645538330078125
2017-12-12,10.78388786315918
2017-12-13,10.616413116455078
2017-12-14,10.514472961425781
2017-12-15,10.697907447814941
2017-12-18,10.771282196044922
2017-12-19,10.71992015838623
2017-12-20,10.74193286895752
2017-12-21,10.888680458068848
2017-12-22,10.84465503692627
2017-12-26,10.73459529876709
2017-12-27,10.705245018005371
2017-12-28,10.815305709838867
2017-12-29,10.683233261108398
2018-01-02,10.712584495544434
2018-01-03,10.800630569458008
2018-01-04,10.896018028259277
2018-01-05,10.991402626037598
2018-01-08,10.969390869140625
2018-01-09,11.174838066101074
2018-01-10,11.358274459838867
2018-01-11,11.46833324432373
2018-01-12,11.629755020141602
2018-01-16,11.505020141601562
2018-01-17,11.563719749450684
2018-01-18,11.380285263061523
2018-01-19,11.600409507751465
2018-01-22,11.761829376220703
2018-01-23,11.769168853759766
2018-01-24,11.820526123046875
2018-01-25,11.776503562927246
2018-01-26,11.893901824951172
2018-01-29,11.908576965332031
2018-01-30,11.813191413879395
2018-01-31,11.8718900680542
2018-02-01,11.989287376403809
2018-02-02,11.798515319824219
2018-02-05,11.321587562561035
2018-02-06,11.394957542419434
2018-02-07,11.475669860839844
2018-02-08,11.07945442199707
2018-02-09,11.306910514831543
2018-02-12,11.358274459838867
2018-02-13,11.387622833251953
2018-02-14,11.659106254577637
2018-02-15,11.637093544006348
2018-02-16,11.615081787109375
2018-02-20,11.666440963745117
2018-02-21,11.776503562927246
2018-02-22,11.541706085205078
2018-02-23,11.732478141784668
2018-02-26,11.761829376220703
2018-02-27,11.607746124267578
2018-02-28,11.519695281982422
