,HIG
2018-08-30,43.43047332763672
2018-08-31,43.57755661010742
2018-09-04,43.63810729980469
2018-09-05,43.30070114135742
2018-09-06,43.153629302978516
2018-09-07,42.902748107910156
2018-09-10,42.7210578918457
2018-09-11,42.63454055786133
2018-09-12,42.34904479980469
2018-09-13,42.7037467956543
2018-09-14,43.1190299987793
2018-09-17,43.00654983520508
2018-09-18,43.343963623046875
2018-09-19,43.75922775268555
2018-09-20,43.914955139160156
2018-09-21,44.05339050292969
2018-09-24,43.75922775268555
2018-09-25,43.40452194213867
2018-09-26,43.04981231689453
2018-09-27,42.93734359741211
2018-09-28,43.22283935546875
2018-10-01,42.747013092041016
2018-10-02,42.816226959228516
2018-10-03,42.565330505371094
2018-10-04,42.902748107910156
2018-10-05,42.920040130615234
2018-10-08,43.326663970947266
2018-10-09,43.81113815307617
2018-10-10,42.11545181274414
2018-10-11,40.50627136230469
2018-10-12,40.48031997680664
2018-10-15,40.17751693725586
2018-10-16,40.32459259033203
2018-10-17,40.45436096191406
2018-10-18,40.25538635253906
2018-10-19,40.350547790527344
2018-10-22,39.74494552612305
2018-10-23,39.80550765991211
2018-10-24,38.84518814086914
2018-10-25,39.39888000488281
2018-10-26,39.02687454223633
2018-10-29,38.5510368347168
2018-10-30,39.052818298339844
2018-10-31,39.295066833496094
2018-11-01,39.623817443847656
2018-11-02,38.83654022216797
2018-11-05,39.35562515258789
2018-11-06,39.917972564697266
2018-11-07,40.61009216308594
2018-11-08,40.194820404052734
2018-11-09,40.307289123535156
2018-11-12,39.372928619384766
2018-11-13,39.20854568481445
2018-11-14,38.12710189819336
2018-11-15,38.04924011230469
2018-11-16,37.936771392822266
2018-11-19,37.91948318481445
2018-11-20,38.12710189819336
2018-11-21,38.36935806274414
2018-11-23,38.15306854248047
2018-11-26,38.75867462158203
2018-11-27,38.17036437988281
2018-11-28,38.85383987426758
2018-11-29,38.308799743652344
2018-11-30,38.4917106628418
2018-12-03,38.11716079711914
2018-12-04,37.298377990722656
2018-12-06,36.88898468017578
2018-12-07,36.26183319091797
2018-12-10,36.209564208984375
2018-12-11,36.009220123291016
2018-12-12,36.05276870727539
2018-12-13,35.99180603027344
2018-12-14,35.94824981689453
2018-12-17,36.40119934082031
2018-12-18,36.82801055908203
2018-12-19,37.16771697998047
2018-12-20,37.0196418762207
2018-12-21,36.74961471557617
2018-12-24,35.504005432128906
2018-12-26,37.324501037597656
2018-12-27,38.21297836303711
2018-12-28,38.12586975097656
2018-12-31,38.71818542480469
2019-01-02,37.82099914550781
2019-01-03,37.298377990722656
2019-01-04,38.448158264160156
2019-01-07,38.30879592895508
2019-01-08,37.79487609863281
2019-01-09,38.12586975097656
2019-01-10,38.51784896850586
2019-01-11,38.726905822753906
2019-01-14,38.787879943847656
2019-01-15,39.10145568847656
2019-01-16,39.484718322753906
2019-01-17,40.16413116455078
2019-01-18,40.66062927246094
2019-01-22,40.25123596191406
2019-01-23,40.50384521484375
2019-01-24,40.65192413330078
2019-01-25,40.73031234741211
2019-01-28,40.64320373535156
2019-01-29,40.146705627441406
2019-01-30,40.61708450317383
2019-01-31,40.86968994140625
2019-02-01,40.956790924072266
2019-02-04,41.07874298095703
2019-02-05,42.09786605834961
2019-02-06,41.73201370239258
2019-02-07,41.98462677001953
2019-02-08,41.714599609375
2019-02-11,42.01947784423828
2019-02-12,42.4724235534668
2019-02-13,42.45499038696289
2019-02-14,42.01947784423828
2019-02-15,42.446285247802734
2019-02-19,42.78599548339844
2019-02-20,42.7424430847168
2019-02-21,42.533390045166016
2019-02-22,42.58564758300781
2019-02-25,42.82954406738281
2019-02-26,42.6901741027832
2019-02-27,42.75115966796875
2019-02-28,42.995052337646484
2019-03-01,43.29301452636719
2019-03-04,43.01258087158203
2019-03-05,42.87235641479492
2019-03-06,42.48674392700195
2019-03-07,42.10114288330078
2019-03-08,42.1624870300293
2019-03-11,42.241355895996094
2019-03-12,42.44293212890625
2019-03-13,42.59190368652344
2019-03-14,42.77595520019531
2019-03-15,42.784725189208984
2019-03-18,43.240440368652344
2019-03-19,43.12650680541992
2019-03-20,42.26764678955078
2019-03-21,42.89864730834961
2019-03-22,42.53055953979492
2019-03-25,42.42539596557617
2019-03-26,43.02134323120117
2019-03-27,43.13526916503906
2019-03-28,43.257957458496094
2019-03-29,43.57345199584961
2019-04-01,43.696144104003906
2019-04-02,43.389408111572266
2019-04-03,43.57345199584961
2019-04-04,43.81884002685547
2019-04-05,43.757484436035156
2019-04-08,43.7224235534668
2019-04-09,43.54715347290039
2019-04-10,43.80131149291992
2019-04-11,44.31837463378906
2019-04-12,44.756561279296875
2019-04-15,44.47612380981445
2019-04-16,45.06329345703125
2019-04-17,44.32712936401367
2019-04-18,44.642635345458984
2019-04-22,44.59881591796875
2019-04-23,44.7916259765625
2019-04-24,44.905548095703125
2019-04-25,44.66892623901367
2019-04-26,45.18599319458008
2019-04-29,45.37002944946289
2019-04-30,45.8432731628418
2019-05-01,45.04575729370117
2019-05-02,45.69429397583008
2019-05-03,46.20258331298828
2019-05-06,46.05360412597656
2019-05-07,45.83451461791992
2019-05-08,46.01853561401367
2019-05-09,46.01853561401367
2019-05-10,46.45673370361328
2019-05-13,45.536529541015625
2019-05-14,46.20258331298828
2019-05-15,46.39539337158203
2019-05-16,46.97380065917969
2019-05-17,46.95627212524414
2019-05-20,46.57065963745117
2019-05-21,47.000083923339844
2019-05-22,47.50838088989258
2019-05-23,46.72841262817383
2019-05-24,46.65829086303711
2019-05-28,45.974727630615234
2019-05-29,46.61448287963867
2019-05-30,46.50931930541992
2019-05-31,46.41237258911133
2019-06-03,47.09101104736328
2019-06-04,47.5052490234375
2019-06-05,48.430686950683594
2019-06-06,48.46593475341797
2019-06-07,48.44831466674805
2019-06-10,48.324920654296875
2019-06-11,48.20152282714844
2019-06-12,48.16627883911133
2019-06-13,48.042884826660156
2019-06-14,48.430686950683594
2019-06-17,48.06050491333008
2019-06-18,48.457115173339844
2019-06-19,48.69508743286133
2019-06-20,49.029991149902344
2019-06-21,49.10932540893555
2019-06-24,49.082889556884766
2019-06-25,49.38254165649414
2019-06-26,48.36898422241211
2019-06-27,48.82729721069336
2019-06-28,49.10932540893555
2019-07-01,49.259159088134766
2019-07-02,49.602882385253906
2019-07-03,50.37848663330078
2019-07-05,50.193397521972656
2019-07-08,50.334415435791016
2019-07-09,50.30797576904297
2019-07-10,50.387290954589844
2019-07-11,50.114078521728516
2019-07-12,50.66932678222656
2019-07-15,50.872047424316406
2019-07-16,51.16289138793945
2019-07-17,50.81916046142578
2019-07-18,51.030696868896484
2019-07-19,50.334415435791016
2019-07-22,50.2727165222168
2019-07-23,50.14932632446289
2019-07-24,50.70457458496094
2019-07-25,50.792720794677734
2019-07-26,51.24222183227539
2019-07-29,50.89848709106445
2019-07-30,50.91611099243164
2019-07-31,50.792720794677734
2019-08-01,50.14932632446289
2019-08-02,50.66051483154297
2019-08-05,49.84967041015625
2019-08-06,50.783905029296875
2019-08-07,51.12763977050781
2019-08-08,51.73576736450195
2019-08-09,51.64763641357422
2019-08-12,51.09238815307617
2019-08-13,51.91204071044922
2019-08-14,50.457801818847656
2019-08-15,51.02187728881836
2019-08-16,51.53306579589844
2019-08-19,52.1059455871582
2019-08-20,51.594764709472656
2019-08-21,51.8944206237793
2019-08-22,52.423221588134766
2019-08-23,51.20696258544922
2019-08-26,51.6212043762207
2019-08-27,51.60357666015625
2019-08-28,51.48017883300781
2019-08-29,51.70051956176758
2019-08-30,51.6296501159668
2019-09-03,52.13460159301758
2019-09-04,52.89646530151367
2019-09-05,53.144527435302734
2019-09-06,53.43687057495117
2019-09-09,53.419151306152344
2019-09-10,52.53325271606445
2019-09-11,52.30292892456055
2019-09-12,53.09136962890625
2019-09-13,53.43687057495117
2019-09-16,53.17995834350586
2019-09-17,53.80007553100586
2019-09-18,53.87981033325195
2019-09-19,53.7203483581543
2019-09-20,53.54316329956055
2019-09-23,53.32169723510742
2019-09-24,53.640621185302734
2019-09-25,53.463443756103516
2019-09-26,53.69376754760742
2019-09-27,53.552032470703125
2019-09-30,53.69376754760742
2019-10-01,52.666141510009766
2019-10-02,51.44361114501953
2019-10-03,51.56763458251953
2019-10-04,52.71928787231445
2019-10-07,52.21433639526367
2019-10-08,51.22214126586914
2019-10-09,51.452476501464844
2019-10-10,51.70052719116211
2019-10-11,51.948570251464844
2019-10-14,52.4180793762207
2019-10-15,52.701568603515625
2019-10-16,52.17889404296875
2019-10-17,51.9397087097168
2019-10-18,52.267494201660156
2019-10-21,52.94075393676758
2019-10-22,50.938655853271484
2019-10-23,51.26643371582031
2019-10-24,50.92979049682617
2019-10-25,50.31853103637695
2019-10-28,50.01732635498047
2019-10-29,50.32740020751953
2019-10-30,50.44255447387695
2019-10-31,50.56658172607422
2019-11-01,50.956382751464844
2019-11-04,50.9652214050293
2019-11-05,53.498870849609375
2019-11-06,54.11014175415039
2019-11-07,54.039268493652344
2019-11-08,54.11900329589844
2019-11-11,54.34933090209961
2019-11-12,54.6151008605957
2019-11-13,54.47335433959961
2019-11-14,54.588523864746094
2019-11-15,54.92515563964844
2019-11-18,54.95173263549805
2019-11-19,55.05804443359375
2019-11-20,54.83656692504883
2019-11-21,54.597373962402344
2019-11-22,54.56194305419922
2019-11-25,54.79227066040039
2019-11-26,55.447837829589844
2019-11-27,55.38581848144531
2019-11-29,55.065364837646484
2019-12-02,54.70038604736328
2019-12-03,53.67670440673828
2019-12-04,54.12179183959961
2019-12-05,53.87255096435547
2019-12-06,54.15740203857422
2019-12-09,54.335426330566406
2019-12-10,54.45114517211914
2019-12-11,54.228614807128906
2019-12-12,54.549068450927734
2019-12-13,54.36214828491211
2019-12-16,54.353233337402344
2019-12-17,54.201904296875
2019-12-18,54.219703674316406
2019-12-19,54.10398864746094
2019-12-20,54.219703674316406
2019-12-23,53.49868392944336
2019-12-24,53.463069915771484
2019-12-26,53.6500129699707
