,COP
2017-01-13,39.49309539794922
2017-01-17,39.14961624145508
2017-01-18,39.2432975769043
2017-01-19,38.923221588134766
2017-01-20,39.60238265991211
2017-01-23,38.98568344116211
2017-01-24,39.2432975769043
2017-01-25,39.571170806884766
2017-01-26,39.524322509765625
2017-01-27,38.58754348754883
2017-01-30,37.065284729003906
2017-01-31,38.06450271606445
2017-02-01,37.86153030395508
2017-02-02,38.00986099243164
2017-02-03,39.36819839477539
2017-02-06,39.102779388427734
2017-02-07,38.579742431640625
2017-02-08,38.720252990722656
2017-02-09,38.884185791015625
2017-02-10,39.35115432739258
2017-02-13,39.005836486816406
2017-02-14,39.35115432739258
2017-02-15,38.73899459838867
2017-02-16,37.9384765625
2017-02-17,37.28706741333008
2017-02-21,37.77365493774414
2017-02-22,36.96529769897461
2017-02-23,37.12224578857422
2017-02-24,36.918212890625
2017-02-27,37.169349670410156
2017-02-28,37.33416748046875
2017-03-01,38.49570846557617
2017-03-02,37.836448669433594
2017-03-03,37.530357360839844
2017-03-06,37.92277526855469
2017-03-07,37.45188522338867
2017-03-08,36.03134536743164
2017-03-09,36.47870635986328
2017-03-10,35.842994689941406
2017-03-13,35.976417541503906
2017-03-14,35.27006912231445
2017-03-15,35.976417541503906
2017-03-16,35.976417541503906
2017-03-17,35.85868835449219
2017-03-20,35.992103576660156
2017-03-21,35.45843505859375
2017-03-22,35.04246520996094
2017-03-23,34.909053802490234
2017-03-24,34.61080551147461
2017-03-27,34.75993728637695
2017-03-28,35.615394592285156
2017-03-29,36.06273651123047
2017-03-30,39.24128341674805
2017-03-31,39.13926696777344
2017-04-03,38.80963897705078
2017-04-04,39.02937698364258
2017-04-05,38.54279327392578
2017-04-06,39.09218215942383
2017-04-07,38.88026428222656
2017-04-10,39.359004974365234
2017-04-11,39.359004974365234
2017-04-12,38.80178451538086
2017-04-13,38.15823745727539
2017-04-17,38.41721725463867
2017-04-18,38.21316146850586
2017-04-19,37.6716423034668
2017-04-20,37.63239669799805
2017-04-21,37.46758270263672
2017-04-24,37.60101318359375
2017-04-25,38.29165267944336
2017-04-26,37.9384765625
2017-04-27,37.561767578125
2017-04-28,37.60101318359375
2017-05-01,37.26353073120117
2017-05-02,36.651363372802734
2017-05-03,36.94960403442383
2017-05-04,36.03919982910156
2017-05-05,36.706302642822266
2017-05-08,36.988853454589844
2017-05-09,36.31388473510742
2017-05-10,37.365570068359375
2017-05-11,37.42475128173828
2017-05-12,37.06959533691406
2017-05-15,37.440521240234375
2017-05-16,37.195865631103516
2017-05-17,36.627628326416016
2017-05-18,36.635528564453125
2017-05-19,37.47210693359375
2017-05-22,37.03803253173828
2017-05-23,36.903873443603516
2017-05-24,36.832828521728516
2017-05-25,35.55429458618164
2017-05-26,35.791072845458984
2017-05-30,35.34910202026367
2017-05-31,35.270179748535156
2017-06-01,35.40433883666992
2017-06-02,34.93081283569336
2017-06-05,34.741397857666016
2017-06-06,35.10444641113281
2017-06-07,34.37836837768555
2017-06-08,33.99164581298828
2017-06-09,35.372779846191406
2017-06-12,36.08307647705078
2017-06-13,36.6434326171875
2017-06-14,35.8463134765625
2017-06-15,35.822635650634766
2017-06-16,36.72234344482422
2017-06-19,36.58818054199219
2017-06-20,36.161991119384766
2017-06-21,35.475379943847656
2017-06-22,35.364891052246094
2017-06-23,35.38066482543945
2017-06-26,34.90713882446289
2017-06-27,34.70195007324219
2017-06-28,34.69404983520508
2017-06-29,34.78876876831055
2017-06-30,34.69404983520508
2017-07-03,36.03572463989258
2017-07-05,34.85188674926758
2017-07-06,34.181060791015625
2017-07-07,33.93639373779297
2017-07-10,34.12582015991211
2017-07-11,34.21263122558594
2017-07-12,34.12582015991211
2017-07-13,34.13370895385742
2017-07-14,34.29154968261719
2017-07-17,34.08634567260742
2017-07-18,33.99164581298828
2017-07-19,34.45729064941406
2017-07-20,34.32626724243164
2017-07-21,33.86573028564453
2017-07-24,33.833961486816406
2017-07-25,34.6597785949707
2017-07-26,34.699466705322266
2017-07-27,35.461734771728516
2017-07-28,35.93815994262695
2017-07-31,36.02549743652344
2017-08-01,35.533203125
2017-08-02,36.21608352661133
2017-08-03,35.660255432128906
2017-08-04,36.17637252807617
2017-08-07,35.86669158935547
2017-08-08,36.231956481933594
2017-08-09,36.247840881347656
2017-08-10,35.707889556884766
2017-08-11,35.564971923828125
2017-08-14,35.36647033691406
2017-08-15,35.33469009399414
2017-08-16,34.691532135009766
2017-08-17,34.14364242553711
2017-08-18,34.23097610473633
2017-08-21,33.74662780761719
2017-08-22,34.29450607299805
2017-08-23,34.691532135009766
2017-08-24,34.38185501098633
2017-08-25,34.604190826416016
2017-08-28,34.183345794677734
2017-08-29,34.02451705932617
2017-08-30,34.469200134277344
2017-08-31,34.66770935058594
2017-09-01,35.12825012207031
2017-09-05,35.24734115600586
2017-09-06,35.77935791015625
2017-09-07,35.81906509399414
2017-09-08,35.31087875366211
2017-09-11,35.67612075805664
2017-09-12,35.67612075805664
2017-09-13,36.17637252807617
2017-09-14,36.390769958496094
2017-09-15,36.93071746826172
2017-09-18,37.39125442504883
2017-09-19,37.75651550292969
2017-09-20,38.375858306884766
2017-09-21,38.66171646118164
2017-09-22,38.97138977050781
2017-09-25,39.68601608276367
2017-09-26,39.439876556396484
2017-09-27,39.87659454345703
2017-09-28,39.70191192626953
2017-09-29,39.741607666015625
2017-10-02,39.94805908203125
2017-10-03,39.09843826293945
2017-10-04,39.15402603149414
2017-10-05,39.463687896728516
2017-10-06,38.79670333862305
2017-10-09,38.83641052246094
2017-10-10,39.058738708496094
2017-10-11,39.38429260253906
2017-10-12,39.55104446411133
2017-10-13,39.435298919677734
2017-10-16,39.69074249267578
2017-10-17,39.69074249267578
2017-10-18,39.682743072509766
2017-10-19,39.682743072509766
2017-10-20,40.113826751708984
2017-10-23,40.1218147277832
2017-10-24,40.70457077026367
2017-10-25,39.88231658935547
2017-10-26,41.07973861694336
2017-10-27,40.88017654418945
2017-10-30,41.023868560791016
2017-10-31,40.8322868347168
2017-11-01,41.59066390991211
2017-11-02,41.894004821777344
2017-11-03,42.277183532714844
2017-11-06,42.84396743774414
2017-11-07,42.692283630371094
2017-11-08,42.72420883178711
2017-11-09,42.732200622558594
2017-11-10,42.30112075805664
2017-11-13,41.96584701538086
2017-11-14,40.89615249633789
2017-11-15,40.30541229248047
2017-11-16,40.08987808227539
2017-11-17,40.01803207397461
2017-11-20,39.978126525878906
2017-11-21,39.92224884033203
2017-11-22,40.08987808227539
2017-11-24,40.2894401550293
2017-11-27,39.24370193481445
2017-11-28,40.01803207397461
2017-11-29,40.49700164794922
2017-11-30,40.616756439208984
2017-12-01,41.30327224731445
2017-12-04,40.94404602050781
2017-12-05,40.89615249633789
2017-12-06,40.21760940551758
2017-12-07,40.34532165527344
2017-12-08,41.167564392089844
2017-12-11,41.26335906982422
2017-12-12,41.4788932800293
2017-12-13,41.2553825378418
2017-12-14,41.75830078125
2017-12-15,41.64653778076172
2017-12-18,41.78224182128906
2017-12-19,42.05366516113281
2017-12-20,43.30695724487305
2017-12-21,44.6640510559082
2017-12-22,44.3048210144043
2017-12-26,44.8875846862793
2017-12-27,44.37667465209961
2017-12-28,44.04936981201172
2017-12-29,43.81786346435547
2018-01-02,44.16114044189453
2018-01-03,44.97538757324219
2018-01-04,45.49427032470703
2018-01-05,45.40645980834961
2018-01-08,45.86946105957031
2018-01-09,46.24467086791992
2018-01-10,46.02113723754883
2018-01-11,47.242515563964844
2018-01-12,47.9370231628418
2018-01-16,46.971099853515625
2018-01-17,47.78534698486328
2018-01-18,47.70551300048828
2018-01-19,47.697540283203125
2018-01-22,48.43195343017578
2018-01-23,48.27231216430664
2018-01-24,48.288272857666016
2018-01-25,47.481998443603516
2018-01-26,48.208431243896484
2018-01-29,47.625694274902344
2018-01-30,46.667762756347656
2018-01-31,46.9471549987793
2018-02-01,47.378231048583984
2018-02-02,46.077022552490234
2018-02-05,44.65608215332031
2018-02-06,44.65608215332031
2018-02-07,44.40859603881836
2018-02-08,42.50071334838867
2018-02-09,41.75029754638672
2018-02-12,42.86587142944336
2018-02-13,42.793636322021484
2018-02-14,44.55129623413086
2018-02-15,43.77280044555664
2018-02-16,43.8610725402832
2018-02-20,44.01356887817383
2018-02-21,43.13875198364258
2018-02-22,44.06975173950195
2018-02-23,45.78727340698242
2018-02-26,45.4180908203125
2018-02-27,44.80812072753906
2018-02-28,43.58821487426758
2018-03-01,43.24309539794922
2018-03-02,43.387550354003906
2018-03-05,43.33137130737305
2018-03-06,43.387550354003906
2018-03-07,43.395572662353516
2018-03-08,42.994285583496094
2018-03-09,44.19013214111328
2018-03-12,43.93330764770508
2018-03-13,43.307289123535156
2018-03-14,43.307289123535156
2018-03-15,43.363468170166016
2018-03-16,44.08580017089844
2018-03-19,42.994285583496094
2018-03-20,43.901206970214844
2018-03-21,45.77924728393555
2018-03-22,45.34585952758789
2018-03-23,46.34105682373047
2018-03-26,47.416507720947266
2018-03-27,47.464664459228516
2018-03-28,47.13561248779297
2018-03-29,47.58506774902344
2018-04-02,46.62195587158203
2018-04-03,48.178955078125
2018-04-04,47.8017578125
2018-04-05,48.524078369140625
2018-04-06,47.56096267700195
2018-04-09,48.65248489379883
2018-04-10,50.032936096191406
2018-04-11,50.74721908569336
2018-04-12,50.7552604675293
2018-04-13,52.08753967285156
2018-04-16,52.75368118286133
2018-04-17,53.379703521728516
2018-04-18,53.30745315551758
2018-04-19,53.21917724609375
2018-04-20,52.80183410644531
2018-04-23,52.55303955078125
2018-04-24,52.416587829589844
2018-04-25,52.2159423828125
2018-04-26,53.74888229370117
2018-04-27,52.12765884399414
2018-04-30,52.569087982177734
