,FDS
2020-07-06,325.3526306152344
2020-07-07,327.5231628417969
2020-07-08,335.6002502441406
2020-07-09,333.621826171875
2020-07-10,337.0889892578125
2020-07-13,328.59881591796875
2020-07-14,337.6556091308594
2020-07-15,337.9149475097656
2020-07-16,336.1957702636719
2020-07-17,339.7397155761719
2020-07-20,341.18994140625
2020-07-21,340.6329040527344
2020-07-22,340.479248046875
2020-07-23,334.322998046875
2020-07-24,334.1693115234375
2020-07-27,335.5523681640625
2020-07-28,329.19427490234375
2020-07-29,333.621826171875
2020-07-30,332.0372009277344
2020-07-31,332.5941162109375
2020-08-03,335.0048522949219
2020-08-04,333.5450744628906
2020-08-05,336.205322265625
2020-08-06,339.38433837890625
2020-08-07,341.7374267578125
2020-08-10,342.1600036621094
2020-08-11,341.6798400878906
2020-08-12,345.90557861328125
2020-08-13,341.8718566894531
2020-08-14,340.5560607910156
2020-08-17,341.45892333984375
2020-08-18,346.5299377441406
2020-08-19,346.6356201171875
2020-08-20,342.1407775878906
2020-08-21,342.0063171386719
2020-08-24,343.22601318359375
2020-08-25,341.9102783203125
2020-08-26,341.8718566894531
2020-08-27,339.9222717285156
2020-08-28,339.6912536621094
2020-08-31,337.265625
2020-09-01,337.9201354980469
2020-09-02,340.7788391113281
2020-09-03,326.4661560058594
2020-09-04,320.00775146484375
2020-09-08,310.5076904296875
2020-09-09,320.2002868652344
2020-09-10,312.8658447265625
2020-09-11,314.7813415527344
2020-09-14,320.9221496582031
2020-09-15,323.7230529785156
2020-09-16,321.59588623046875
2020-09-17,320.55633544921875
2020-09-18,323.7904357910156
2020-09-21,324.2138977050781
2020-09-22,326.1004638671875
2020-09-23,318.32330322265625
2020-09-24,321.826904296875
2020-09-25,316.09033203125
2020-09-28,320.7970275878906
2020-09-29,321.4419250488281
2020-09-30,322.32745361328125
2020-10-01,315.705322265625
2020-10-02,311.5857238769531
2020-10-05,311.037109375
2020-10-06,309.70880126953125
2020-10-07,313.1834411621094
2020-10-08,316.2828369140625
