,BEN
2019-02-26,25.350502014160156
2019-02-27,25.36597442626953
2019-02-28,25.242128372192383
2019-03-01,25.2885684967041
2019-03-04,25.118282318115234
2019-03-05,24.94024658203125
2019-03-06,24.66932487487793
2019-03-07,24.181665420532227
2019-03-08,24.25133514404297
2019-03-11,24.878318786621094
2019-03-12,25.12601661682129
2019-03-13,25.36597442626953
2019-03-14,25.156982421875
2019-03-15,25.79170799255371
2019-03-18,26.08584976196289
2019-03-19,26.000709533691406
2019-03-20,25.54401397705078
2019-03-21,25.683349609375
2019-03-22,24.847352981567383
2019-03-25,24.708026885986328
2019-03-26,25.342756271362305
2019-03-27,25.404685974121094
2019-03-28,25.669965744018555
2019-03-29,25.85721778869629
2019-04-01,26.35657501220703
2019-04-02,26.50482177734375
2019-04-03,26.660869598388672
2019-04-04,26.87153434753418
2019-04-05,27.21484375
2019-04-08,27.503528594970703
2019-04-09,26.731088638305664
2019-04-10,27.29286766052246
2019-04-11,27.331878662109375
2019-04-12,27.667387008666992
2019-04-15,27.23824691772461
2019-04-16,27.73760223388672
2019-04-17,27.73760223388672
2019-04-18,27.54254150390625
2019-04-22,27.33968162536621
2019-04-23,27.659582138061523
2019-04-24,27.83123016357422
2019-04-25,27.65178108215332
2019-04-26,27.39430046081543
2019-04-29,26.66867446899414
2019-04-30,26.988571166992188
2019-05-01,26.559436798095703
2019-05-02,26.77010154724121
2019-05-03,27.035388946533203
2019-05-06,26.88713836669922
2019-05-07,26.208330154418945
2019-05-08,26.426801681518555
2019-05-09,26.317564010620117
2019-05-10,26.629661560058594
2019-05-13,25.529518127441406
2019-05-14,26.075681686401367
2019-05-15,26.013269424438477
2019-05-16,26.200531005859375
2019-05-17,25.91964340209961
2019-05-20,26.00547218322754
2019-05-21,26.317564010620117
2019-05-22,26.23954200744629
2019-05-23,25.87282943725586
2019-05-24,25.966453552246094
2019-05-28,25.490501403808594
2019-05-29,25.724578857421875
2019-05-30,25.693370819091797
2019-05-31,24.827301025390625
2019-06-03,25.076976776123047
2019-06-04,25.747987747192383
2019-06-05,25.75579071044922
2019-06-06,25.88062858581543
2019-06-07,26.247337341308594
2019-06-10,26.060083389282227
2019-06-11,26.036670684814453
2019-06-12,25.966453552246094
2019-06-13,26.036670684814453
2019-06-14,26.02887535095215
2019-06-17,25.638755798339844
2019-06-18,26.15371322631836
2019-06-19,26.434600830078125
2019-06-20,26.949560165405273
2019-06-21,26.715492248535156
2019-06-24,26.801313400268555
2019-06-25,26.35657501220703
2019-06-26,26.77010154724121
2019-06-27,27.296857833862305
2019-06-28,27.35974884033203
2019-07-01,27.516984939575195
2019-07-02,27.414791107177734
2019-07-03,27.71354103088379
2019-07-05,27.7449951171875
2019-07-08,27.485544204711914
2019-07-09,27.45409393310547
2019-07-10,27.344030380249023
2019-07-11,27.383344650268555
2019-07-12,27.666366577148438
2019-07-15,27.666366577148438
2019-07-16,27.76858139038086
2019-07-17,27.383344650268555
2019-07-18,27.870786666870117
2019-07-19,27.917953491210938
2019-07-22,27.383344650268555
2019-07-23,27.493408203125
2019-07-24,27.55630111694336
2019-07-25,27.21824073791504
2019-07-26,27.485544204711914
2019-07-29,27.194650650024414
2019-07-30,26.59714126586914
2019-07-31,25.653701782226562
2019-08-01,24.77315330505371
2019-08-02,24.718122482299805
2019-08-05,24.002681732177734
2019-08-06,24.152057647705078
2019-08-07,23.83757781982422
2019-08-08,24.03412437438965
2019-08-09,23.051376342773438
2019-08-12,22.25731658935547
2019-08-13,22.430280685424805
2019-08-14,21.211671829223633
2019-08-15,21.235260009765625
2019-08-16,21.51828956604004
2019-08-19,21.45539093017578
2019-08-20,21.25884437561035
2019-08-21,21.25884437561035
2019-08-22,21.274566650390625
2019-08-23,20.54339599609375
2019-08-26,20.38616371154785
2019-08-27,20.401885986328125
2019-08-28,20.441194534301758
2019-08-29,20.716367721557617
2019-08-30,20.661333084106445
2019-09-03,20.46478271484375
2019-09-04,20.62202262878418
2019-09-05,21.250978469848633
2019-09-06,21.164499282836914
2019-09-09,21.84063148498535
2019-09-10,22.367385864257812
2019-09-11,23.177173614501953
2019-09-12,23.420894622802734
2019-09-13,23.515241622924805
2019-09-16,23.373722076416016
2019-09-17,23.161447525024414
2019-09-18,23.145723342895508
2019-09-19,23.24006462097168
2019-09-20,23.067102432250977
2019-09-23,22.86269187927246
2019-09-24,22.351659774780273
2019-09-25,22.634695053100586
2019-09-26,22.53248405456543
2019-09-27,22.7149715423584
2019-09-30,22.897451400756836
2019-10-01,22.143722534179688
2019-10-02,21.46933364868164
2019-10-03,21.524871826171875
2019-10-04,21.723220825195312
2019-10-07,21.532806396484375
2019-10-08,20.850486755371094
2019-10-09,20.921890258789062
2019-10-10,21.048831939697266
2019-10-11,21.675617218017578
2019-10-14,21.397930145263672
2019-10-15,21.63594627380371
2019-10-16,21.334455490112305
2019-10-17,21.532806396484375
2019-10-18,21.596277236938477
2019-10-21,21.76289176940918
2019-10-22,21.485204696655273
2019-10-23,22.119922637939453
2019-10-24,22.326202392578125
2019-10-25,22.080249786376953
2019-10-28,22.540420532226562
2019-10-29,22.31033706665039
2019-10-30,22.270668029785156
2019-10-31,21.85810089111328
2019-11-01,22.254802703857422
2019-11-04,22.746702194213867
2019-11-05,23.000595092773438
2019-11-06,22.6594295501709
2019-11-07,22.802244186401367
2019-11-08,22.437280654907227
2019-11-11,22.183393478393555
2019-11-12,22.191322326660156
2019-11-13,21.65974998474121
2019-11-14,21.604209899902344
2019-11-15,22.000911712646484
2019-11-18,22.000911712646484
2019-11-19,22.000911712646484
2019-11-20,21.683551788330078
2019-11-21,21.620080947875977
2019-11-22,21.675617218017578
2019-11-25,22.199260711669922
2019-11-26,21.99297523498535
2019-11-27,22.119922637939453
2019-11-29,21.810497283935547
2019-12-02,21.40586280822754
2019-12-03,20.929824829101562
2019-12-04,21.00122833251953
2019-12-05,20.993301391601562
