,JBHT
2019-06-10,84.44244384765625
2019-06-11,83.74701690673828
2019-06-12,84.50911712646484
2019-06-13,85.7951889038086
2019-06-14,86.54777526855469
2019-06-17,85.80471801757812
2019-06-18,85.62371063232422
2019-06-19,85.26171875
2019-06-20,86.56684875488281
2019-06-21,84.69966888427734
2019-06-24,83.19447326660156
2019-06-25,83.65174865722656
2019-06-26,84.16616821289062
2019-06-27,85.4427261352539
2019-06-28,87.0812759399414
2019-07-01,86.91932678222656
2019-07-02,85.99524688720703
2019-07-03,87.0812759399414
2019-07-05,86.55730438232422
2019-07-08,84.99497985839844
2019-07-09,84.65203094482422
2019-07-10,83.48025512695312
2019-07-11,83.60411071777344
2019-07-12,88.5388412475586
2019-07-15,88.19586181640625
2019-07-16,93.10197448730469
2019-07-17,93.14008331298828
2019-07-18,94.53094482421875
2019-07-19,98.82737731933594
2019-07-22,98.2081527709961
2019-07-23,99.2560806274414
2019-07-24,97.88428497314453
2019-07-25,97.30315399169922
2019-07-26,98.06524658203125
2019-07-29,97.02690124511719
2019-07-30,97.77947998046875
2019-07-31,97.5222396850586
2019-08-01,96.6722412109375
2019-08-02,97.10202026367188
2019-08-05,92.54633331298828
2019-08-06,93.5300521850586
2019-08-07,93.03341674804688
2019-08-08,94.81941223144531
2019-08-09,94.27501678466797
2019-08-12,93.998046875
2019-08-13,96.5480728149414
2019-08-14,93.11936950683594
2019-08-15,91.07554626464844
2019-08-16,93.61601257324219
2019-08-19,95.03907012939453
2019-08-20,95.678955078125
2019-08-21,97.35033416748047
2019-08-22,97.21665954589844
2019-08-23,94.6856918334961
2019-08-26,96.22335052490234
2019-08-27,96.13739776611328
2019-08-28,99.29869079589844
2019-08-29,102.09706115722656
2019-08-30,103.1858139038086
2019-09-03,101.85826110839844
2019-09-04,103.94034576416016
2019-09-05,107.38813781738281
2019-09-06,105.7645034790039
2019-09-09,108.75386810302734
2019-09-10,111.01739501953125
2019-09-11,110.5494155883789
2019-09-12,109.35557556152344
2019-09-13,109.79491424560547
2019-09-16,109.8331298828125
2019-09-17,109.75672149658203
2019-09-18,109.48927307128906
2019-09-19,108.01846313476562
2019-09-20,109.02130889892578
2019-09-23,108.35274505615234
2019-09-24,107.45499420166016
2019-09-25,108.78253173828125
2019-09-26,108.59151458740234
2019-09-27,106.05103302001953
2019-09-30,105.67855834960938
2019-10-01,103.53919982910156
2019-10-02,101.8869400024414
2019-10-03,103.8925552368164
2019-10-04,103.70155334472656
2019-10-07,103.252685546875
2019-10-08,101.22792053222656
2019-10-09,101.26611328125
2019-10-10,102.74649047851562
2019-10-11,105.39204406738281
2019-10-14,104.6566390991211
2019-10-15,106.58586883544922
2019-10-16,110.45391845703125
2019-10-17,110.9601058959961
2019-10-18,110.38704681396484
2019-10-21,110.19602966308594
2019-10-22,112.0679702758789
2019-10-23,111.59999084472656
2019-10-24,110.55897521972656
2019-10-25,111.5044937133789
2019-10-28,111.54269409179688
2019-10-29,113.66294860839844
2019-10-30,112.41180419921875
2019-10-31,112.2780990600586
2019-11-01,114.5129623413086
2019-11-04,115.23882293701172
2019-11-05,114.50341796875
2019-11-06,114.53206634521484
2019-11-07,115.44133758544922
2019-11-08,114.83834838867188
2019-11-11,113.11548614501953
2019-11-12,113.45050811767578
2019-11-13,111.526611328125
2019-11-14,111.86161804199219
2019-11-15,110.7800521850586
2019-11-18,111.16292572021484
2019-11-19,111.16292572021484
2019-11-20,110.44506072998047
2019-11-21,110.84705352783203
2019-11-22,111.33519744873047
2019-11-25,112.33062744140625
2019-11-26,112.44547271728516
2019-11-27,111.64147186279297
2019-11-29,110.66519927978516
2019-12-02,109.4208984375
2019-12-03,106.82704162597656
2019-12-04,106.99932098388672
2019-12-05,108.59777069091797
2019-12-06,109.54533386230469
2019-12-09,109.5836181640625
2019-12-10,108.12876892089844
2019-12-11,106.61646270751953
2019-12-12,107.63103485107422
2019-12-13,108.15748596191406
2019-12-16,109.5836181640625
2019-12-17,109.68889617919922
2019-12-18,110.5694808959961
2019-12-19,110.5694808959961
2019-12-20,111.71805572509766
2019-12-23,111.40219116210938
2019-12-24,111.5649185180664
2019-12-26,111.74677276611328
2019-12-27,111.67976379394531
2019-12-30,111.58406066894531
2019-12-31,111.7754898071289
2020-01-02,112.4837646484375
2020-01-03,112.01476287841797
2020-01-06,110.07177734375
2020-01-07,112.60820770263672
2020-01-08,113.670654296875
2020-01-09,113.92906951904297
2020-01-10,113.97691345214844
2020-01-13,113.42176055908203
2020-01-14,113.89076232910156
2020-01-15,113.93864440917969
2020-01-16,114.62776947021484
2020-01-17,109.76548767089844
2020-01-21,110.89490509033203
2020-01-22,109.40176391601562
2020-01-23,111.50749969482422
2020-01-24,110.75133514404297
2020-01-27,109.88990783691406
2020-01-28,108.02346801757812
2020-01-29,107.13331604003906
2020-01-30,106.89403533935547
2020-01-31,103.30474853515625
2020-02-03,105.70718383789062
2020-02-04,108.4350357055664
2020-02-05,107.32473754882812
2020-02-06,107.48784637451172
2020-02-07,107.95799255371094
2020-02-10,107.52625274658203
2020-02-11,107.85246276855469
2020-02-12,109.33960723876953
2020-02-13,109.59866333007812
2020-02-14,105.60733795166016
2020-02-18,105.1659927368164
2020-02-19,105.64571380615234
2020-02-20,105.50180053710938
2020-02-21,105.25233459472656
2020-02-24,101.07869720458984
2020-02-25,97.16407775878906
2020-02-26,96.58842468261719
2020-02-27,92.86573791503906
2020-02-28,92.52993774414062
2020-03-02,92.64508819580078
2020-03-03,90.70697784423828
2020-03-04,94.07466125488281
2020-03-05,89.31575775146484
2020-03-06,89.45008850097656
2020-03-09,82.25416564941406
2020-03-10,88.40426635742188
2020-03-11,84.73915100097656
2020-03-12,80.00902557373047
2020-03-13,84.3265609741211
2020-03-16,72.32380676269531
2020-03-17,81.83200073242188
2020-03-18,81.23715209960938
2020-03-19,80.68065643310547
2020-03-20,77.36094665527344
2020-03-23,75.83540344238281
2020-03-24,82.49402618408203
2020-03-25,87.9053726196289
2020-03-26,89.92981719970703
2020-03-27,86.40861511230469
2020-03-30,89.76670837402344
2020-03-31,88.49064636230469
2020-04-01,86.83076477050781
2020-04-02,87.19535827636719
2020-04-03,86.12077331542969
2020-04-06,93.00007629394531
2020-04-07,94.45845794677734
2020-04-08,94.82305145263672
2020-04-09,95.16844940185547
2020-04-13,91.0811538696289
2020-04-14,93.9211654663086
2020-04-15,96.73236846923828
2020-04-16,99.54356384277344
2020-04-17,103.21827697753906
2020-04-20,96.79950714111328
2020-04-21,95.83049011230469
2020-04-22,96.18547821044922
2020-04-23,96.78034210205078
2020-04-24,97.48074340820312
2020-04-27,100.40707397460938
2020-04-28,101.14585876464844
2020-04-29,101.40491485595703
2020-04-30,97.02018737792969
2020-05-01,96.78034210205078
2020-05-04,96.31018829345703
2020-05-05,96.94345092773438
2020-05-06,95.75371551513672
2020-05-07,96.30207824707031
2020-05-08,99.33255767822266
2020-05-11,99.28446960449219
2020-05-12,96.03270721435547
2020-05-13,94.25291442871094
2020-05-14,94.94558715820312
2020-05-15,94.41645050048828
2020-05-18,98.7457046508789
2020-05-19,98.20696258544922
2020-05-20,101.02579498291016
2020-05-21,102.08406829833984
2020-05-22,104.34490966796875
2020-05-26,110.19419860839844
2020-05-27,114.98527526855469
2020-05-28,114.36955261230469
2020-05-29,115.12955474853516
2020-06-01,111.17550659179688
2020-06-02,113.31127166748047
2020-06-03,111.56033325195312
2020-06-04,113.13811492919922
2020-06-05,116.15898132324219
2020-06-08,117.38079833984375
2020-06-09,115.26426696777344
2020-06-10,114.4753646850586
2020-06-11,108.46249389648438
2020-06-12,109.77091979980469
2020-06-15,111.29096984863281
2020-06-16,112.26264953613281
2020-06-17,115.27388000488281
2020-06-18,114.77362823486328
2020-06-19,113.13811492919922
2020-06-22,112.68594360351562
2020-06-23,115.30274963378906
2020-06-24,112.599365234375
2020-06-25,113.89814758300781
2020-06-26,114.77362823486328
2020-06-29,115.52403259277344
2020-06-30,115.77418518066406
2020-07-01,113.18622589111328
2020-07-02,113.77308654785156
2020-07-06,116.25518798828125
2020-07-07,119.33377075195312
2020-07-08,121.1328125
2020-07-09,120.2573471069336
2020-07-10,122.79718780517578
2020-07-13,120.88268280029297
2020-07-14,123.8073501586914
2020-07-15,125.39472961425781
2020-07-16,127.52091979980469
2020-07-17,131.62887573242188
2020-07-20,129.30068969726562
2020-07-21,127.98267364501953
2020-07-22,127.14569854736328
2020-07-23,126.48189544677734
2020-07-24,125.82767486572266
2020-07-27,125.40437316894531
2020-07-28,123.1242904663086
2020-07-29,125.26966094970703
2020-07-30,124.14405822753906
2020-07-31,124.49040222167969
2020-08-03,125.6640853881836
2020-08-04,127.15533447265625
2020-08-05,126.83782958984375
2020-08-06,129.07440185546875
2020-08-07,131.06028747558594
2020-08-10,131.78330993652344
2020-08-11,132.73773193359375
2020-08-12,132.371337890625
2020-08-13,131.79293823242188
2020-08-14,132.25570678710938
2020-08-17,134.40548706054688
2020-08-18,133.03656005859375
2020-08-19,133.29684448242188
2020-08-20,133.7306671142578
2020-08-21,136.33355712890625
2020-08-24,136.5360107421875
2020-08-25,135.8708038330078
2020-08-26,137.0854949951172
2020-08-27,137.66390991210938
2020-08-28,136.6517333984375
2020-08-31,135.4852294921875
2020-09-01,135.8997344970703
2020-09-02,136.4781494140625
2020-09-03,133.29684448242188
2020-09-04,131.70623779296875
2020-09-08,130.5204315185547
2020-09-09,133.08477783203125
2020-09-10,131.10848999023438
2020-09-11,130.26016235351562
2020-09-14,127.27162170410156
2020-09-15,128.19711303710938
2020-09-16,126.79926300048828
2020-09-17,129.60464477539062
2020-09-18,126.88603210449219
2020-09-21,126.50042724609375
2020-09-22,124.33133697509766
2020-09-23,124.96761322021484
2020-09-24,126.15336608886719
2020-09-25,124.67841339111328
2020-09-28,125.85452270507812
2020-09-29,124.0035629272461
2020-09-30,121.83450317382812
2020-10-01,120.70658111572266
2020-10-02,122.90457916259766
2020-10-05,125.85452270507812
2020-10-06,125.85452270507812
2020-10-07,127.8019027709961
2020-10-08,130.4336700439453
2020-10-09,130.3565673828125
2020-10-12,132.81483459472656
2020-10-13,133.50897216796875
2020-10-14,134.9742431640625
2020-10-15,136.73843383789062
2020-10-16,123.43476867675781
2020-10-19,119.48226928710938
2020-10-20,118.6339111328125
2020-10-21,120.65837860107422
2020-10-22,122.88530731201172
2020-10-23,124.33133697509766
2020-10-26,122.6924819946289
2020-10-27,121.78630065917969
2020-10-28,119.13520050048828
2020-10-29,117.93980407714844
2020-10-30,117.36138153076172
2020-11-02,118.02656555175781
2020-11-03,124.09033966064453
2020-11-04,121.41033172607422
2020-11-05,121.69050598144531
2020-11-06,120.32829284667969
2020-11-09,120.09642028808594
2020-11-10,124.32794952392578
2020-11-11,123.62271118164062
2020-11-12,122.68557739257812
2020-11-13,124.77236938476562
2020-11-16,128.09579467773438
2020-11-17,128.53050231933594
2020-11-18,127.72865295410156
2020-11-19,129.2454376220703
2020-11-20,129.3033905029297
2020-11-23,129.29373168945312
2020-11-24,132.047119140625
2020-11-25,131.24526977539062
2020-11-27,130.70425415039062
2020-11-30,130.69456481933594
2020-12-01,131.06170654296875
2020-12-02,130.4530792236328
2020-12-03,129.8250732421875
2020-12-04,132.588134765625
2020-12-07,133.8247528076172
2020-12-08,134.8874969482422
2020-12-09,134.78118896484375
2020-12-10,132.37562561035156
2020-12-11,134.18223571777344
2020-12-14,129.2454376220703
2020-12-15,131.48683166503906
2020-12-16,133.0132293701172
2020-12-17,134.0083465576172
2020-12-18,135.6990203857422
2020-12-21,136.00814819335938
2020-12-22,135.11932373046875
2020-12-23,133.74745178222656
2020-12-24,132.76202392578125
2020-12-28,132.10511779785156
2020-12-29,131.48683166503906
2020-12-30,130.84915161132812
2020-12-31,132.0181427001953
2021-01-04,130.26950073242188
2021-01-05,133.3900146484375
2021-01-06,142.2974853515625
