,NVDA
2014-09-12,0.4569684565067291
2014-09-15,0.45075443387031555
2014-09-16,0.45744648575782776
2014-09-17,0.4576855003833771
2014-09-18,0.46461647748947144
2014-09-19,0.4560125172138214
2014-09-22,0.4514714479446411
2014-09-23,0.44955945014953613
2014-09-24,0.4521884024143219
2014-09-25,0.4423893392086029
2014-09-26,0.4433453679084778
2014-09-29,0.4426284730434418
2014-09-30,0.4409554600715637
2014-10-01,0.43665340542793274
2014-10-02,0.43474146723747253
2014-10-03,0.4356974959373474
2014-10-06,0.4330684244632721
2014-10-07,0.42852747440338135
2014-10-08,0.4364143908023834
2014-10-09,0.4280494153499603
2014-10-10,0.40271544456481934
2014-10-13,0.4012814164161682
2014-10-14,0.4106024205684662
2014-10-15,0.4168164134025574
2014-10-16,0.4170554280281067
